	isrib_a_hek	isrib_b_hek	ribo_isrib_a	ribo_isrib_b	ribo_tm_a	ribo_tm_b	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b	tm_a_hek	tm_b_hek	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
A1BG	70	79	19	25	23	19	23	17	36	45	57	87	96	139	64	73
A2M	57	55	1	5	2	2	2	4	3	5	32	36	71	109	74	59
AAAS	1222	909	744	1052	1043	650	1269	1223	1517	2100	1020	1137	1946	2776	1173	1090
AACS	281	290	288	389	309	192	467	465	573	725	219	288	394	702	348	331
AADAT	324	244	53	74	58	32	83	82	106	132	194	296	425	620	328	325
AAGAB	1345	953	547	652	630	347	950	972	1091	1320	1063	1254	2146	2867	1518	1420
AAK1	131	165	150	185	152	94	246	254	308	374	66	100	158	323	207	185
AAMDC	152	100	65	64	56	50	83	48	75	123	107	125	226	356	153	139
AAMP	3098	2261	1800	2431	2202	1284	3153	3005	3753	5017	2521	3040	4975	6621	3486	3334
AAR2	620	430	284	403	365	238	412	419	485	680	474	546	900	1352	549	469
AARS	3935	3162	1638	2231	1947	1233	3030	2855	3769	4462	2889	3835	5505	7991	4051	3786
AARS2	1092	929	199	279	321	171	409	306	423	613	788	1076	1643	2418	1275	1114
AASDH	824	641	88	110	117	75	166	167	228	225	648	816	1273	1870	893	778
AASDHPPT	1338	985	836	1120	933	604	1413	1399	1747	1961	1131	1344	2318	3200	1510	1391
AASS	1183	863	255	409	387	202	534	521	423	606	894	1088	1870	2565	1241	1176
AATF	1485	1119	670	876	682	542	1093	1141	1252	1561	1128	1449	2163	2864	1560	1569
AATK	34	22	10	16	22	8	64	40	36	37	21	32	37	64	43	38
ABAT	40	22	32	42	33	18	57	55	82	88	17	51	46	68	37	24
ABCA1	43	53	2	3	5	2	6	1	6	4	46	45	81	115	72	86
ABCA10	15	19	0	1	2	0	2	1	1	1	14	19	33	44	25	22
ABCA12	48	41	1	2	1	0	1	3	1	0	13	27	31	70	49	32
ABCA2	311	329	124	271	179	110	375	304	333	349	210	302	407	699	388	313
ABCA3	568	556	211	312	208	97	409	369	444	539	413	584	736	1258	707	555
ABCA5	548	450	112	138	127	78	237	197	246	271	368	474	742	1119	565	483
ABCA7	240	224	35	76	53	39	121	81	115	128	152	230	283	489	299	247
ABCB1	182	153	456	595	484	286	792	728	951	1047	133	166	261	368	153	159
ABCB10	1292	1035	154	170	186	114	260	259	275	407	1093	1287	2025	2980	1414	1305
ABCB4	14	17	50	62	61	43	96	88	114	105	13	19	18	47	28	17
ABCB6	279	247	131	171	132	78	261	231	267	324	231	284	414	666	338	249
ABCB7	1536	1035	556	763	588	367	974	1043	1256	1330	1148	1462	2345	3413	1568	1401
ABCB8	314	267	155	241	210	125	284	313	331	464	237	291	412	658	345	270
ABCB9	157	110	48	55	66	39	96	84	97	132	115	164	244	318	153	136
ABCC1	785	924	452	541	449	244	830	779	818	1064	514	715	923	1730	1109	823
ABCC10	436	462	129	175	155	105	253	248	276	341	360	398	572	967	565	421
ABCC2	55	70	2	2	4	5	6	4	7	4	35	52	97	113	59	63
ABCC4	1358	1127	422	489	426	292	747	766	829	954	1045	1323	2200	3195	1658	1520
ABCC5	811	766	223	263	264	159	359	381	388	532	577	734	1156	1708	970	895
ABCC6	26	29	0	1	5	0	11	6	11	3	15	20	32	51	19	37
ABCC8	46	38	3	8	8	2	6	10	10	14	32	48	63	89	47	43
ABCD1	41	44	24	35	23	12	43	47	59	61	31	26	65	95	46	37
ABCD2	19	14	14	13	25	16	28	49	47	32	12	29	32	41	21	19
ABCD3	2421	1737	1175	1475	1271	829	2037	2097	2414	2732	1938	2415	3905	5664	2747	2536
ABCD4	486	421	66	101	99	65	150	130	172	206	322	482	671	964	543	497
ABCE1	3886	2705	1110	1269	1091	788	1586	1781	2149	2364	3107	3832	6173	8913	3873	3640
ABCF1	2634	2104	1298	1715	1375	898	2120	2073	2543	3108	1877	2457	3779	5034	2623	2595
ABCF2	110	117	19	36	23	15	43	48	48	54	79	104	187	264	97	93
ABCF3	507	460	241	276	254	173	388	376	468	589	417	514	858	1134	619	593
ABCG2	74	43	49	51	37	31	73	97	138	121	67	67	97	158	65	45
ABHD1	48	50	2	2	2	1	0	1	3	1	36	45	59	98	44	46
ABHD10	830	573	391	516	433	279	664	672	841	918	728	823	1317	1840	875	826
ABHD11	134	113	105	160	150	106	212	181	217	291	118	135	227	373	196	136
ABHD12	321	254	122	174	152	89	237	218	298	341	269	316	557	803	321	295
ABHD12B	36	50	0	0	0	0	0	0	0	0	29	28	53	98	51	35
ABHD13	118	86	60	90	64	52	105	132	131	144	110	128	208	282	96	101
ABHD14A	33	23	9	14	4	8	11	18	13	25	35	31	71	75	51	29
ABHD14B	177	125	52	80	65	47	80	123	130	148	125	138	273	322	156	114
ABHD15	40	27	17	24	22	10	24	24	29	37	45	48	66	107	54	51
ABHD16A	385	232	96	150	129	83	200	196	223	258	263	314	535	704	331	248
ABHD16B	41	32	1	1	3	0	0	3	5	4	28	19	43	59	47	44
ABHD17A	32	27	1	3	1	1	1	3	3	6	15	30	51	67	34	32
ABHD17B	381	256	196	240	211	150	312	313	333	428	297	356	633	872	405	339
ABHD17C	70	59	81	105	74	61	134	114	164	210	51	70	108	168	86	81
ABHD18	315	250	96	107	116	77	157	164	224	265	249	304	518	749	368	310
ABHD2	402	393	219	336	264	155	449	455	485	648	314	367	624	945	423	433
ABHD3	324	194	176	274	225	135	328	310	390	502	214	307	470	680	281	230
ABHD4	31	35	49	81	54	42	77	87	105	137	28	35	45	89	56	57
ABHD5	478	352	73	101	89	55	143	130	186	201	342	452	730	1034	488	403
ABHD6	109	72	51	41	32	27	84	72	92	132	98	111	174	263	155	115
ABHD8	100	112	129	156	125	91	222	181	277	393	64	73	141	206	145	118
ABI1	607	408	391	471	400	274	542	592	776	873	443	565	973	1304	551	485
ABI2	640	483	185	261	184	137	367	330	457	463	418	580	867	1310	612	538
ABI3BP	30	23	4	3	3	2	6	2	1	3	24	29	34	58	32	38
ABL1	777	816	227	341	228	117	412	417	475	660	599	763	1093	1767	1010	943
ABL2	920	959	149	145	153	101	195	191	286	274	644	873	1275	1995	1151	996
ABLIM1	559	420	237	313	269	179	426	366	556	582	444	542	893	1219	518	504
ABLIM2	18	14	7	9	7	3	10	5	10	16	15	13	28	43	19	16
ABR	377	305	401	577	475	285	742	702	875	1046	273	376	469	789	431	393
ABRACL	378	254	365	434	327	182	557	625	671	762	272	375	639	873	405	407
ABRAXAS1	212	176	56	46	33	19	69	81	93	107	133	181	279	397	207	192
ABRAXAS2	499	344	261	315	304	206	359	459	560	576	385	540	764	1056	527	454
ABT1	1092	737	311	456	445	261	516	518	601	845	806	985	1637	2269	1036	989
ABTB1	14	23	25	22	30	20	34	27	32	50	12	15	24	32	15	22
ABTB2	94	92	75	97	115	53	138	136	188	203	60	103	138	256	123	102
AC003665.1	36	22	31	58	43	28	60	67	67	88	14	25	35	52	28	21
AC004080.3	45	31	11	12	10	5	10	20	15	30	32	45	64	108	55	52
AC004475.1	497	408	197	281	275	174	321	331	344	529	373	506	767	1082	531	472
AC005324.3	14	15	0	3	0	0	2	1	2	1	11	13	26	38	18	20
AC005520.1	33	13	15	36	51	44	30	53	65	57	20	18	43	56	28	35
AC006213.1	71	58	120	135	151	105	194	184	226	305	59	53	99	154	105	80
AC007950.1	388	316	252	348	293	189	446	475	559	637	330	385	635	877	478	393
AC008403.1	28	29	6	8	16	10	20	22	24	18	12	24	36	58	36	46
AC008755.1	621	735	376	471	465	323	596	668	778	972	479	644	798	1391	982	939
AC008878.3	18	19	0	0	1	0	1	0	0	0	18	20	30	31	13	18
AC009133.6	25	19	72	91	125	77	95	142	150	200	22	21	39	52	28	30
AC010618.1	306	269	361	490	302	192	555	631	673	999	255	284	482	656	416	347
