	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
A1BG	36	45	19	25
A2M	3	5	1	5
AAAS	1517	2100	744	1052
AACS	573	725	288	389
AADAT	106	132	53	74
AAGAB	1091	1320	547	652
AAK1	308	374	150	185
AAMDC	75	123	65	64
AAMP	3753	5017	1800	2431
AAR2	485	680	284	403
AARS	3769	4462	1638	2231
AARS2	423	613	199	279
AASDH	228	225	88	110
AASDHPPT	1747	1961	836	1120
AASS	423	606	255	409
AATF	1252	1561	670	876
AATK	36	37	10	16
ABAT	82	88	32	42
ABCA1	6	4	2	3
ABCA10	1	1	0	1
ABCA12	1	0	1	2
ABCA2	333	349	124	271
ABCA3	444	539	211	312
ABCA5	246	271	112	138
ABCA7	115	128	35	76
ABCB1	951	1047	456	595
ABCB10	275	407	154	170
ABCB4	114	105	50	62
ABCB6	267	324	131	171
ABCB7	1256	1330	556	763
ABCB8	331	464	155	241
ABCB9	97	132	48	55
ABCC1	818	1064	452	541
ABCC10	276	341	129	175
ABCC2	7	4	2	2
ABCC4	829	954	422	489
ABCC5	388	532	223	263
ABCC6	11	3	0	1
ABCC8	10	14	3	8
ABCD1	59	61	24	35
ABCD2	47	32	14	13
ABCD3	2414	2732	1175	1475
ABCD4	172	206	66	101
ABCE1	2149	2364	1110	1269
ABCF1	2543	3108	1298	1715
ABCF2	48	54	19	36
ABCF3	468	589	241	276
ABCG1	52	63	14	26
ABCG2	138	121	49	51
ABHD1	3	1	2	2
ABHD10	841	918	391	516
ABHD11	217	291	105	160
ABHD12	298	341	122	174
ABHD12B	0	0	0	0
ABHD13	131	144	60	90
ABHD14A	13	25	9	14
ABHD14B	130	148	52	80
ABHD15	29	37	17	24
ABHD16A	223	258	96	150
ABHD16B	5	4	1	1
ABHD17A	3	6	1	3
ABHD17B	333	428	196	240
ABHD17C	164	210	81	105
ABHD18	224	265	96	107
ABHD2	485	648	219	336
ABHD3	390	502	176	274
ABHD4	105	137	49	81
ABHD5	186	201	73	101
ABHD6	92	132	51	41
ABHD8	277	393	129	156
ABI1	776	873	391	471
ABI2	457	463	185	261
ABI3BP	1	3	4	3
