	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
A1BG	64	73	70	79
A2M	74	59	57	55
AAAS	1173	1090	1222	909
AACS	348	331	281	290
AADAT	328	325	324	244
AAGAB	1518	1420	1345	953
AAK1	207	185	131	165
AAMDC	153	139	152	100
AAMP	3486	3334	3098	2261
AAR2	549	469	620	430
AARS	4051	3786	3935	3162
AARS2	1275	1114	1092	929
AASDH	893	778	824	641
AASDHPPT	1510	1391	1338	985
AASS	1241	1176	1183	863
AATF	1560	1569	1485	1119
AATK	43	38	34	22
ABAT	37	24	40	22
ABCA1	72	86	43	53
ABCA10	25	22	15	19
ABCA12	49	32	48	41
ABCA2	388	313	311	329
ABCA3	707	555	568	556
ABCA5	565	483	548	450
ABCA7	299	247	240	224
ABCB1	153	159	182	153
ABCB10	1414	1305	1292	1035
ABCB4	28	17	14	17
ABCB6	338	249	279	247
ABCB7	1568	1401	1536	1035
ABCB8	345	270	314	267
ABCB9	153	136	157	110
ABCC1	1109	823	785	924
ABCC10	565	421	436	462
ABCC2	59	63	55	70
ABCC4	1658	1520	1358	1127
ABCC5	970	895	811	766
ABCC6	19	37	26	29
ABCC8	47	43	46	38
ABCD1	46	37	41	44
ABCD2	21	19	19	14
ABCD3	2747	2536	2421	1737
ABCD4	543	497	486	421
ABCE1	3873	3640	3886	2705
ABCF1	2623	2595	2634	2104
ABCF2	97	93	110	117
ABCF3	619	593	507	460
ABCG1	25	18	19	10
ABCG2	65	45	74	43
ABHD1	44	46	48	50
ABHD10	875	826	830	573
ABHD11	196	136	134	113
ABHD12	321	295	321	254
ABHD12B	51	35	36	50
ABHD13	96	101	118	86
ABHD14A	51	29	33	23
ABHD14B	156	114	177	125
ABHD15	54	51	40	27
ABHD16A	331	248	385	232
ABHD16B	47	44	41	32
ABHD17A	34	32	32	27
ABHD17B	405	339	381	256
ABHD17C	86	81	70	59
ABHD18	368	310	315	250
ABHD2	423	433	402	393
ABHD3	281	230	324	194
ABHD4	56	57	31	35
ABHD5	488	403	478	352
ABHD6	155	115	109	72
ABHD8	145	118	100	112
ABI1	551	485	607	408
ABI2	612	538	640	483
ABI3BP	32	38	30	23
ABL1	1010	943	777	816
ABL2	1151	996	920	959
ABLIM1	518	504	559	420
ABLIM2	19	16	18	14
ABR	431	393	377	305
ABRACL	405	407	378	254
ABRAXAS1	207	192	212	176
ABRAXAS2	527	454	499	344
ABT1	1036	989	1092	737
ABTB1	15	22	14	23
ABTB2	123	102	94	92
AC003665.1	28	21	36	22
AC004080.3	55	52	45	31
AC004475.1	531	472	497	408
AC005324.3	18	20	14	15
AC005520.1	28	35	33	13
AC006213.1	105	80	71	58
AC007950.1	478	393	388	316
AC008403.1	36	46	28	29
AC008581.2	11	19	12	10
AC008755.1	982	939	621	735
AC008878.3	13	18	18	19
AC009133.6	28	30	25	19
AC010618.1	416	347	306	269
AC010761.1	65	51	59	46
AC011455.2	42	45	35	28
AC011462.1	70	52	38	54
AC011481.1	1385	1319	1368	1048
AC011529.1	71	61	58	79
AC012184.2	25	20	26	12
AC015813.2	237	209	179	137
AC017083.3	44	44	34	33
AC018523.2	35	33	36	19
AC018630.2	35	27	21	18
AC022826.2	42	39	38	28
AC023055.1	26	23	15	15
AC025287.4	35	20	17	19
AC026464.4	51	46	44	30
AC026470.1	707	687	665	533
AC026786.1	48	36	33	25
AC026954.2	21	17	22	18
AC048338.1	33	34	36	24
AC068533.4	26	30	22	32
AC068790.8	146	121	156	113
AC068896.1	50	67	45	36
AC073610.2	55	55	55	41
AC073896.1	210	170	231	147
AC074143.1	17	14	11	16
AC079447.1	84	66	72	22
AC079594.2	47	41	41	20
AC080038.1	125	107	122	97
AC087289.1	42	42	32	21
AC090004.1	120	79	121	98
AC091551.1	18	11	25	13
AC092338.1	501	445	443	368
AC092647.5	37	40	34	12
AC092835.1	80	72	53	47
AC093323.1	40	55	28	19
AC093668.1	15	18	25	15
AC097634.4	63	63	54	47
AC099489.1	129	104	108	117
AC104109.3	81	50	69	22
AC108488.2	22	13	18	15
AC117378.1	339	359	339	157
AC118549.1	3960	3622	3824	2891
AC118754.1	22	23	19	25
AC124319.1	2283	1873	1697	1820
AC129492.1	317	218	260	307
AC138811.2	106	76	92	33
AC139530.3	92	67	96	56
AC139768.1	45	37	34	27
AC245033.1	3943	2641	6286	3302
ACAA1	527	466	479	382
ACAA2	567	556	484	344
ACACA	4289	3844	3475	3203
ACACB	480	413	392	419
ACAD10	339	299	281	246
ACAD11	1516	1299	1264	925
ACAD8	424	415	397	305
ACAD9	1062	950	943	824
ACADL	84	74	53	29
ACADM	1952	1985	1843	1240
ACADS	161	143	168	106
ACADSB	400	375	389	310
ACADVL	1184	1019	1164	931
ACAP2	876	808	814	602
ACAP3	416	364	384	351
ACAT1	2462	2293	2207	1490
ACAT2	2710	2475	2503	1816
ACBD3	1510	1482	1550	1010
ACBD4	43	40	39	31
ACBD5	345	326	304	232
ACBD6	1164	1080	1140	859
ACBD7	30	34	29	20
ACCS	65	62	56	39
ACD	230	223	293	224
ACER2	30	19	20	24
ACER3	138	124	149	100
