	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
A1BG	36	45	23	19	64	73	57	87
A2M	3	5	2	2	74	59	32	36
AAAS	1517	2100	1043	650	1173	1090	1020	1137
AACS	573	725	309	192	348	331	219	288
AADAT	106	132	58	32	328	325	194	296
AAGAB	1091	1320	630	347	1518	1420	1063	1254
AAK1	308	374	152	94	207	185	66	100
AAMDC	75	123	56	50	153	139	107	125
AAMP	3753	5017	2202	1284	3486	3334	2521	3040
AAR2	485	680	365	238	549	469	474	546
AARS	3769	4462	1947	1233	4051	3786	2889	3835
AARS2	423	613	321	171	1275	1114	788	1076
AASDH	228	225	117	75	893	778	648	816
AASDHPPT	1747	1961	933	604	1510	1391	1131	1344
AASS	423	606	387	202	1241	1176	894	1088
AATF	1252	1561	682	542	1560	1569	1128	1449
AATK	36	37	22	8	43	38	21	32
ABAT	82	88	33	18	37	24	17	51
ABCA1	6	4	5	2	72	86	46	45
ABCA10	1	1	2	0	25	22	14	19
ABCA12	1	0	1	0	49	32	13	27
ABCA2	333	349	179	110	388	313	210	302
ABCA3	444	539	208	97	707	555	413	584
ABCA5	246	271	127	78	565	483	368	474
ABCA7	115	128	53	39	299	247	152	230
ABCB1	951	1047	484	286	153	159	133	166
ABCB10	275	407	186	114	1414	1305	1093	1287
ABCB4	114	105	61	43	28	17	13	19
ABCB6	267	324	132	78	338	249	231	284
ABCB7	1256	1330	588	367	1568	1401	1148	1462
ABCB8	331	464	210	125	345	270	237	291
ABCB9	97	132	66	39	153	136	115	164
ABCC1	818	1064	449	244	1109	823	514	715
ABCC10	276	341	155	105	565	421	360	398
ABCC2	7	4	4	5	59	63	35	52
ABCC4	829	954	426	292	1658	1520	1045	1323
ABCC5	388	532	264	159	970	895	577	734
ABCC6	11	3	5	0	19	37	15	20
ABCC8	10	14	8	2	47	43	32	48
ABCD1	59	61	23	12	46	37	31	26
ABCD2	47	32	25	16	21	19	12	29
ABCD3	2414	2732	1271	829	2747	2536	1938	2415
ABCD4	172	206	99	65	543	497	322	482
ABCE1	2149	2364	1091	788	3873	3640	3107	3832
ABCF1	2543	3108	1375	898	2623	2595	1877	2457
ABCF2	48	54	23	15	97	93	79	104
ABCF3	468	589	254	173	619	593	417	514
ABCG1	52	63	28	15	25	18	11	21
ABCG2	138	121	37	31	65	45	67	67
ABHD1	3	1	2	1	44	46	36	45
ABHD10	841	918	433	279	875	826	728	823
ABHD11	217	291	150	106	196	136	118	135
ABHD12	298	341	152	89	321	295	269	316
ABHD12B	0	0	0	0	51	35	29	28
ABHD13	131	144	64	52	96	101	110	128
ABHD14A	13	25	4	8	51	29	35	31
ABHD14B	130	148	65	47	156	114	125	138
ABHD15	29	37	22	10	54	51	45	48
ABHD16A	223	258	129	83	331	248	263	314
ABHD16B	5	4	3	0	47	44	28	19
ABHD17A	3	6	1	1	34	32	15	30
ABHD17B	333	428	211	150	405	339	297	356
ABHD17C	164	210	74	61	86	81	51	70
ABHD18	224	265	116	77	368	310	249	304
ABHD2	485	648	264	155	423	433	314	367
ABHD3	390	502	225	135	281	230	214	307
ABHD4	105	137	54	42	56	57	28	35
ABHD5	186	201	89	55	488	403	342	452
ABHD6	92	132	32	27	155	115	98	111
ABHD8	277	393	125	91	145	118	64	73
ABI1	776	873	400	274	551	485	443	565
ABI2	457	463	184	137	612	538	418	580
ABI3BP	1	3	3	2	32	38	24	29
ABL1	475	660	228	117	1010	943	599	763
ABL2	286	274	153	101	1151	996	644	873
ABLIM1	556	582	269	179	518	504	444	542
ABLIM2	10	16	7	3	19	16	15	13
ABR	875	1046	475	285	431	393	273	376
ABRACL	671	762	327	182	405	407	272	375
ABRAXAS1	93	107	33	19	207	192	133	181
ABRAXAS2	560	576	304	206	527	454	385	540
ABT1	601	845	445	261	1036	989	806	985
ABTB1	32	50	30	20	15	22	12	15
ABTB2	188	203	115	53	123	102	60	103
AC003665.1	67	88	43	28	28	21	14	25
AC004080.3	15	30	10	5	55	52	32	45
AC004475.1	344	529	275	174	531	472	373	506
AC005324.3	2	1	0	0	18	20	11	13
AC005520.1	65	57	51	44	28	35	20	18
AC006213.1	226	305	151	105	105	80	59	53
AC007950.1	559	637	293	189	478	393	330	385
AC008403.1	24	18	16	10	36	46	12	24
AC008581.2	3	2	2	1	11	19	13	10
AC008755.1	778	972	465	323	982	939	479	644
AC008878.3	0	0	1	0	13	18	18	20
AC009133.6	150	200	125	77	28	30	22	21
AC010618.1	673	999	302	192	416	347	255	284
AC010761.1	22	29	21	17	65	51	44	51
AC011455.2	62	102	49	32	42	45	23	34
AC011462.1	387	431	187	104	70	52	29	41
AC011481.1	838	1137	397	246	1385	1319	1073	1352
AC011529.1	46	56	29	12	71	61	38	46
AC012184.2	6	14	13	7	25	20	13	13
AC015813.2	7	4	0	3	237	209	121	181
AC017083.3	128	179	120	73	44	44	17	27
AC018523.2	0	2	2	2	35	33	18	29
AC018630.2	1	3	0	2	35	27	13	23
AC022826.2	18	30	11	9	42	39	32	37
AC023055.1	8	11	1	3	26	23	13	19
AC025287.4	0	0	0	0	35	20	15	11
AC026464.4	55	98	92	26	51	46	43	49
AC026470.1	374	413	159	102	707	687	528	628
AC026786.1	27	32	37	30	48	36	27	35
AC026954.2	14	8	2	0	21	17	16	25
AC048338.1	18	25	5	3	33	34	18	17
AC068533.4	122	121	104	70	26	30	14	31
AC068790.8	65	132	72	33	146	121	98	142
AC068896.1	13	23	1	2	50	67	33	58
AC073610.2	177	216	82	47	55	55	35	46
AC073896.1	89	99	54	39	210	170	172	191
AC074143.1	48	47	28	17	17	14	10	10
AC079447.1	234	257	240	135	84	66	36	45
AC079594.2	19	19	11	13	47	41	23	33
AC080038.1	198	205	74	50	125	107	67	97
AC087289.1	48	46	33	15	42	42	25	36
AC090004.1	0	0	0	0	120	79	96	105
AC091551.1	73	90	87	46	18	11	12	16
AC092338.1	361	443	166	139	501	445	306	385
AC092647.5	169	165	138	70	37	40	13	24
AC092835.1	54	70	21	12	80	72	49	55
AC093323.1	62	84	35	17	40	55	25	28
AC093668.1	12	23	11	7	15	18	20	34
AC097634.4	35	40	16	2	63	63	31	49
AC099489.1	2	5	2	3	129	104	64	81
AC104109.3	386	343	246	186	81	50	43	70
AC108488.2	12	9	4	2	22	13	25	16
AC117378.1	1603	1808	1333	717	339	359	226	282
AC118549.1	389	429	143	96	3960	3622	2855	3574
AC118754.1	2	4	0	0	22	23	15	17
AC124319.1	777	880	506	270	2283	1873	1140	1600
AC129492.1	148	158	97	53	317	218	154	213
AC138811.2	261	282	188	75	106	76	59	76
AC139530.3	89	81	36	31	92	67	84	76
AC139768.1	28	32	10	19	45	37	15	26
AC245033.1	1183	1348	335	254	3943	2641	4827	6770
ACAA1	505	616	308	163	527	466	320	433
ACAA2	1453	1543	732	488	567	556	426	494
ACACA	1735	2165	956	573	4289	3844	2524	3260
ACACB	71	72	55	28	480	413	254	380
ACAD10	174	212	123	96	339	299	194	279
ACAD11	1139	1122	607	384	1516	1299	901	1230
ACAD8	142	191	109	60	424	415	292	379
ACAD9	962	1063	496	341	1062	950	730	939
ACADL	236	263	97	82	84	74	60	52
ACADM	2046	2054	938	616	1952	1985	1507	1894
ACADS	307	296	131	77	161	143	129	152
ACADSB	1275	1230	574	417	400	375	287	348
ACADVL	776	838	399	245	1184	1019	909	1097
ACAP2	748	752	337	248	876	808	586	704
ACAP3	162	241	84	49	416	364	253	327
ACAT1	3167	3323	1451	902	2462	2293	1719	2139
ACAT2	2775	3242	1447	891	2710	2475	2055	2463
ACBD3	1243	1414	681	485	1510	1482	1167	1475
ACBD4	58	65	22	17	43	40	15	32
ACBD5	627	787	304	208	345	326	234	305
ACBD6	492	561	230	184	1164	1080	865	1143
ACBD7	251	408	184	104	30	34	24	18
ACCS	17	15	4	1	65	62	28	57
ACD	370	532	226	116	230	223	208	267
ACER2	11	11	3	5	30	19	11	20
ACER3	152	164	74	48	138	124	119	149
ACIN1	2666	3277	1644	1170	4546	4323	3038	4092
ACLY	8104	9216	4259	2665	9217	8141	7372	9019
ACMSD	0	1	3	0	25	15	12	14
ACO1	1082	1290	577	331	1151	1093	854	1037
ACO2	770	1065	593	354	1654	1438	1185	1549
ACOT1	19	27	21	11	26	18	11	13
ACOT13	631	557	218	196	384	350	271	346
ACOT2	128	186	136	66	140	128	88	114
ACOT7	1883	2597	954	554	545	532	323	456
ACOT8	327	396	183	100	232	178	171	208
ACOT9	851	940	400	312	582	517	422	534
ACOX1	1246	1450	632	427	933	906	716	865
ACOX3	114	168	81	48	285	260	197	233
ACP1	1114	1270	524	421	902	773	583	751
ACP2	312	413	173	115	249	235	194	236
ACP4	1	1	0	1	27	25	35	32
ACP6	201	227	128	107	471	409	323	384
ACRV1	0	0	0	0	37	31	21	30
