	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
A1BG	64	73	57	87
A2M	74	59	32	36
AAAS	1173	1090	1020	1137
AACS	348	331	219	288
AADAT	328	325	194	296
AAGAB	1518	1420	1063	1254
AAK1	207	185	66	100
AAMDC	153	139	107	125
AAMP	3486	3334	2521	3040
AAR2	549	469	474	546
AARS	4051	3786	2889	3835
AARS2	1275	1114	788	1076
AASDH	893	778	648	816
AASDHPPT	1510	1391	1131	1344
AASS	1241	1176	894	1088
AATF	1560	1569	1128	1449
AATK	43	38	21	32
ABAT	37	24	17	51
ABCA1	72	86	46	45
ABCA10	25	22	14	19
ABCA12	49	32	13	27
ABCA2	388	313	210	302
ABCA3	707	555	413	584
ABCA5	565	483	368	474
ABCA7	299	247	152	230
ABCB1	153	159	133	166
ABCB10	1414	1305	1093	1287
ABCB4	28	17	13	19
ABCB6	338	249	231	284
ABCB7	1568	1401	1148	1462
ABCB8	345	270	237	291
ABCB9	153	136	115	164
ABCC1	1109	823	514	715
ABCC10	565	421	360	398
ABCC2	59	63	35	52
ABCC4	1658	1520	1045	1323
ABCC5	970	895	577	734
ABCC6	19	37	15	20
ABCC8	47	43	32	48
ABCD1	46	37	31	26
ABCD2	21	19	12	29
ABCD3	2747	2536	1938	2415
ABCD4	543	497	322	482
ABCE1	3873	3640	3107	3832
ABCF1	2623	2595	1877	2457
ABCF2	97	93	79	104
ABCF3	619	593	417	514
ABCG1	25	18	11	21
ABCG2	65	45	67	67
ABHD1	44	46	36	45
ABHD10	875	826	728	823
ABHD11	196	136	118	135
ABHD12	321	295	269	316
ABHD12B	51	35	29	28
ABHD13	96	101	110	128
ABHD14A	51	29	35	31
ABHD14B	156	114	125	138
ABHD15	54	51	45	48
ABHD16A	331	248	263	314
ABHD16B	47	44	28	19
ABHD17A	34	32	15	30
ABHD17B	405	339	297	356
ABHD17C	86	81	51	70
ABHD18	368	310	249	304
ABHD2	423	433	314	367
ABHD3	281	230	214	307
