"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HNRNPD"	3120.04481433016	-0.913167742620784	0.0697911023101518	-13.0843003247415	4.04871074541143e-39	4.23819040829669e-35
"HIST3H2BB"	2613.86345599699	1.14504342136955	0.0914976121630669	12.5144623373214	6.22278076772217e-36	3.25700345382578e-32
"SPEN"	15549.2016772935	-0.76108860987256	0.0638176664752627	-11.925986202701	8.66517501926776e-33	3.02356840338983e-29
"RPL22"	264.894226151082	-1.73653936997689	0.186213757832543	-9.3255159564446	1.10444908373124e-20	2.89034325212467e-17
"DIAPH1"	1897.33578047529	-0.733799021904642	0.0800924201409034	-9.16190346868903	5.09898408988475e-20	1.06752330905827e-16
"EEF1A1"	9670.45490366696	0.605057797421309	0.0669875012012488	9.032398381357	1.67949748259048e-19	2.9301632746262e-16
"EP400"	1015.80387865423	-1.04821347759046	0.117209680160888	-8.94306234904518	3.7853204031802e-19	5.31137454769999e-16
"RPL12"	6479.00100307878	0.638318244948212	0.0714374558916345	8.93534402899923	4.05913224891096e-19	5.31137454769999e-16
"HIST1H2AH"	10197.4011254539	0.553739821863471	0.0621285836637443	8.9128029195137	4.97583816756423e-19	5.78745265978471e-16
"POLR2A"	1606.81622242861	-0.783981844669176	0.0884465128099003	-8.86390904245373	7.72567916765083e-19	8.08724095269689e-16
"ATP2A2"	4087.59002208061	-0.577515020967958	0.065605947748836	-8.802784515497	1.3346266576926e-18	1.27007925933874e-15
"ANKRD52"	1182.06869621615	-0.819224669054567	0.0986571611658603	-8.30375270658056	1.00873489175723e-16	8.79953070576228e-14
"BRD4"	611.296108132679	-1.05352540155282	0.127958378821379	-8.23334439883348	1.82057812108266e-16	1.46543503101975e-13
"TOP1"	2338.63353764028	-0.611359413320814	0.0743338303667392	-8.2245111048975	1.95988636170009e-16	1.46543503101975e-13
"ACTG1"	19272.3793772736	0.48698453996481	0.0594544406000569	8.19088591280672	2.59310306309434e-16	1.67855677750733e-13
"RPL23A"	1523.56015079366	0.750346817986348	0.0916284309149211	8.18901743153346	2.63367398084496e-16	1.67855677750733e-13
"WDR26"	1889.54131603426	-0.636066730919091	0.0777124998483428	-8.18487028676706	2.72597107543224e-16	1.67855677750733e-13
"ANP32B"	1197.61850869567	-0.772701237357253	0.0970731919006319	-7.95998588516819	1.72058906245144e-15	1.00061812809676e-12
"HIST1H2BO"	4748.56067814103	0.519425258587705	0.0656300617271556	7.91444111003759	2.48366246676805e-15	1.2999489351064e-12
"PLEC"	1058.96031755474	-0.817287970635628	0.103238617034164	-7.91649475859567	2.44300032171223e-15	1.2999489351064e-12
"PRR12"	215.21605387848	-1.47002031027214	0.186095890348397	-7.89926261950257	2.80558200420305e-15	1.39851582952369e-12
"HSPA8"	32393.3071563963	0.451833336387571	0.0577743044569293	7.82066250099839	5.25460514668392e-15	2.5002366670676e-12
"HIST1H2BL"	2196.7666042443	0.645622681344285	0.0828489267514345	7.79277060861993	6.55555727848706e-15	2.98363363440011e-12
"ARID1A"	870.154059672698	-0.87034915618969	0.112239009037676	-7.7544265906476	8.87435412928811e-15	3.87069745939116e-12
"PSMD8"	2316.71509421816	0.680197850775282	0.0877808427015273	7.74881887484371	9.27512041864652e-15	3.88367842169567e-12
"RPL32"	14039.4490212287	0.571176918302304	0.0739543053985529	7.72337614725917	1.13288224723675e-14	4.56115821695166e-12
"ANKRD18A"	399.882415140159	-1.05584061931163	0.137205761062083	-7.69530820818727	1.41153511760527e-14	5.47257393003406e-12
"PABPC1"	7311.65168617946	-0.523429239149841	0.0690201236194937	-7.5837192357912	3.3578738786863e-14	1.25536513436029e-11
"HIST1H3A"	2828.23158288691	0.663316940570551	0.0882245194395069	7.51851010109915	5.54039659565477e-14	1.93695737238606e-11
"KMT2B"	524.638629399343	-0.972258897924294	0.129319701266047	-7.51825814942212	5.55108150282593e-14	1.93695737238606e-11
"HIST1H2AB"	1768.9065537043	0.689121524609418	0.0920411068388994	7.48710601465925	7.04088290086093e-14	2.37754716794233e-11
"HIST1H2BK"	4941.97461411768	0.523398939143143	0.0699672579006822	7.48062672237495	7.39690027974207e-14	2.41971100401062e-11
"HNRNPA1"	843.877759980396	0.821238215981858	0.110569181905673	7.42736992195941	1.10778232893094e-13	3.51401982401486e-11
"TMEM123"	798.186218318874	0.825476619716692	0.112122050589007	7.36230398374131	1.80762749564237e-13	5.5653660659954e-11
"EP300"	1885.82822080789	-0.674091266383502	0.0938921168156119	-7.17942346221997	7.00060005132354e-13	2.09377946677871e-10
"ATXN2L"	887.894628674436	-0.829127907543198	0.11587259016771	-7.15551370986999	8.33601568615603e-13	2.42392811674115e-10
"USP14"	1021.63700166927	-0.706341268161897	0.0992340842496888	-7.11793002880572	1.09559962163344e-12	3.09965860520509e-10
"WNK2"	406.77922086503	-0.995118679270458	0.140927327505598	-7.06121869252739	1.65048595923675e-12	4.54665447928693e-10
"SETD1A"	764.512410768336	-0.83444995747263	0.118348769910353	-7.05077000888737	1.779303829314e-12	4.77583397057921e-10
"BPTF"	5141.07429305586	-0.470709785036907	0.0668865934597997	-7.03743098113996	1.95816473641933e-12	5.12451711520938e-10
"ANKRD18B"	568.015998296477	-0.82556873996992	0.117791112381359	-7.00875238614839	2.40452562585035e-12	6.13916445156132e-10
"POGZ"	1244.32012532244	-0.640733362750869	0.0915729582756304	-6.9969713200953	2.61554800047479e-12	6.51894201642145e-10
"ATN1"	229.160427923165	-1.28894738878925	0.186170227536893	-6.9234882818942	4.4065561218322e-12	1.07274022054278e-09
"TRAM1"	2004.2126461985	0.565838818071771	0.0820221787536095	6.89860750677597	5.25147409177501e-12	1.24937342710684e-09
"YLPM1"	2326.21820422751	-0.553562502478519	0.080326987465361	-6.89136391075575	5.525997166717e-12	1.28546974091541e-09
"HIST1H2BC"	5581.4092520208	0.560194827356501	0.0813551324243097	6.88579577788394	5.74653812335606e-12	1.30771219728894e-09
"SRRM1"	1405.60317286636	-0.579914791766299	0.0843057683550799	-6.87870833848294	6.03976722672646e-12	1.34519751764623e-09
"TUBB"	12039.8373362843	0.480845418187338	0.0702704978822574	6.84277801749782	7.76719644333548e-12	1.69389609101741e-09
"ID2"	474.990727797194	0.930439548096973	0.136433254189345	6.81974166507596	9.12043681756861e-12	1.94842311441445e-09
"RPL10"	4470.05204794443	0.491900086165689	0.0723419139439736	6.79965540511756	1.04869686446802e-11	2.19555175545024e-09
"TNRC18"	1050.08173931913	-0.660629346746484	0.0972727255282342	-6.79151677059497	1.1096068201184e-11	2.2775223907842e-09
"HIST4H4"	1302.29242701253	0.630533181651623	0.0928806837218859	6.78863630611977	1.13198400980536e-11	2.27877088743126e-09
"RPL27"	10415.8338160951	0.499477679146964	0.0740226827063742	6.74763006264232	1.50279509410945e-11	2.96741442414514e-09
"STT3A"	3449.87208469652	0.517650735306106	0.0767463795996969	6.74495315617663	1.53076403232554e-11	2.96741442414514e-09
"ANKRD11"	1990.65159123464	-0.537822734020079	0.0797711436420525	-6.74207124863831	1.56144474065001e-11	2.9718551900226e-09
"OAZ1"	7058.55098884474	0.46688819364654	0.0693149395821275	6.7357512891337	1.63085042968576e-11	3.04852541034831e-09
"SMG1"	5146.87078952737	-0.445060160975383	0.0661514376461693	-6.72789854327763	1.7213086822519e-11	3.16116829575665e-09
"EIF3L"	6527.81031431584	0.452955115590806	0.0674660429831736	6.7138236594634	1.89589410979825e-11	3.42176198989105e-09
"EIF3I"	6916.70082527891	0.426629821223416	0.0646702478660998	6.59700303154483	4.1955218873577e-11	7.44385137573905e-09
"TIAL1"	1213.97012886128	-0.595779298586882	0.0904322887321734	-6.58812584464557	4.45413052601964e-11	7.77097305772893e-09
"HPRT1"	1119.87793117888	-0.702690524354614	0.107640077084191	-6.52814958321704	6.65871806370035e-11	1.14267968345599e-08
"PPIA"	1203.90349218642	0.586726162607853	0.0900097307371598	6.51847481158643	7.1025861199176e-11	1.19919147585964e-08
"RPL6"	3926.53545875962	0.431734625497807	0.066432409448712	6.49885543939393	8.09333842184577e-11	1.34477883491875e-08
"SF3B5"	626.278848480706	0.767176503498037	0.118715289695659	6.46232263312323	1.03107967439862e-10	1.68645969243825e-08
"HIST1H4H"	3224.29637256971	0.480816659810951	0.0751370648551556	6.3991940693696	1.56199207924169e-10	2.5155281670003e-08
"ERC1"	935.385428128408	-0.616122718744278	0.0967889940524449	-6.3656278771782	1.94492453511543e-10	3.08476818690733e-08
"SEC16A"	1620.61259750011	-0.596118559811597	0.0938083250256332	-6.35464453340049	2.08909141477169e-10	3.26397148206419e-08
"PRMT1"	4427.05862148365	0.429318617020416	0.067640613133895	6.34705389453784	2.19477260201757e-10	3.37865876439998e-08
"ARHGDIA"	669.913230399614	-0.721783970763119	0.114193712720981	-6.32069799260063	2.60384472229484e-10	3.8938637932832e-08
"UBC"	7294.03256167487	0.379201241675659	0.0599832528597682	6.32178522498895	2.58558588621321e-10	3.8938637932832e-08
"KMT2A"	2707.76390304364	-0.530317543320323	0.0841121900011755	-6.3048833149263	2.88411095024045e-10	4.25223569396014e-08
"NCOR2"	473.271314374491	-0.889020210716458	0.141307557727892	-6.29138472853939	3.14646423473451e-10	4.54387208826231e-08
"NPEPPS"	1911.65055863574	-0.492062728674854	0.0782257593542477	-6.29029021561214	3.16873005772974e-10	4.54387208826231e-08
"ERGIC1"	477.107372468065	0.800666513849218	0.127497387139569	6.27986605696274	3.38864841269171e-10	4.79356372757525e-08
"SON"	13015.4727384038	-0.417032560089345	0.0666795372489293	-6.25428095777676	3.99351520133545e-10	5.57388228367726e-08
"ATP5PO"	2049.20701989381	0.47958943985127	0.0767714275455612	6.24697827283009	4.1846924416476e-10	5.76386322094303e-08
"DAZAP2"	412.571633376053	0.859768127080429	0.137946374975282	6.23262573760627	4.58681110203765e-10	6.23568033975716e-08
"EIF1"	757.695853904436	-0.649704296383369	0.104422730404607	-6.22186657891398	4.91274734646316e-10	6.59315887471492e-08
"ATIC"	1584.28091722438	-0.603504459856788	0.097169805363724	-6.21082297734119	5.27078239274548e-10	6.98412026421009e-08
"SMARCA4"	2896.38344564101	-0.489600110159307	0.0789167844602845	-6.20400480718651	5.50441031869192e-10	7.20252090200837e-08
"RPL30"	10448.3242542442	0.358620050189108	0.0578851903915913	6.19536789570969	5.81490462218773e-10	7.42322214451966e-08
"SEC61A1"	2166.9064530748	0.491062028403798	0.0792445192114752	6.19679484827626	5.7624529789778e-10	7.42322214451966e-08
"GNL3L"	1468.74772916809	-0.521301475003581	0.0847549835267359	-6.15068817562966	7.71474650354815e-10	9.72987546977615e-08
"HECTD4"	1968.13596608622	-0.494353383748515	0.0804621065318441	-6.14392793150235	8.05053802007852e-10	9.98321858058992e-08
"RPS2"	6140.26415031977	0.472058401229925	0.0768470450774615	6.14283087598348	8.10635822841176e-10	9.98321858058992e-08
"GAPDH"	24375.4850630745	0.371120048654316	0.0604733154624398	6.13692247260397	8.41354188765115e-10	1.02410414511549e-07
"BAZ2A"	1281.48435618138	-0.621562003420157	0.101476875985474	-6.12515903139478	9.05930756069021e-10	1.09003254649776e-07
