	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
A1BG	36	45	23	17	64	73	96	139
A2M	3	5	2	4	74	59	71	109
AAAS	1517	2100	1269	1223	1173	1090	1946	2776
AACS	573	725	467	465	348	331	394	702
AADAT	106	132	83	82	328	325	425	620
AAGAB	1091	1320	950	972	1518	1420	2146	2867
AAK1	308	374	246	254	207	185	158	323
AAMDC	75	123	83	48	153	139	226	356
AAMP	3753	5017	3153	3005	3486	3334	4975	6621
AAR2	485	680	412	419	549	469	900	1352
AARS	3769	4462	3030	2855	4051	3786	5505	7991
AARS2	423	613	409	306	1275	1114	1643	2418
AASDH	228	225	166	167	893	778	1273	1870
AASDHPPT	1747	1961	1413	1399	1510	1391	2318	3200
AASS	423	606	534	521	1241	1176	1870	2565
AATF	1252	1561	1093	1141	1560	1569	2163	2864
AATK	36	37	64	40	43	38	37	64
ABAT	82	88	57	55	37	24	46	68
ABCA1	6	4	6	1	72	86	81	115
ABCA10	1	1	2	1	25	22	33	44
ABCA12	1	0	1	3	49	32	31	70
ABCA2	333	349	375	304	388	313	407	699
ABCA3	444	539	409	369	707	555	736	1258
ABCA5	246	271	237	197	565	483	742	1119
ABCA7	115	128	121	81	299	247	283	489
ABCB1	951	1047	792	728	153	159	261	368
ABCB10	275	407	260	259	1414	1305	2025	2980
ABCB4	114	105	96	88	28	17	18	47
ABCB6	267	324	261	231	338	249	414	666
ABCB7	1256	1330	974	1043	1568	1401	2345	3413
ABCB8	331	464	284	313	345	270	412	658
ABCB9	97	132	96	84	153	136	244	318
ABCC1	818	1064	830	779	1109	823	923	1730
ABCC10	276	341	253	248	565	421	572	967
ABCC2	7	4	6	4	59	63	97	113
ABCC4	829	954	747	766	1658	1520	2200	3195
ABCC5	388	532	359	381	970	895	1156	1708
ABCC6	11	3	11	6	19	37	32	51
ABCC8	10	14	6	10	47	43	63	89
ABCD1	59	61	43	47	46	37	65	95
ABCD2	47	32	28	49	21	19	32	41
ABCD3	2414	2732	2037	2097	2747	2536	3905	5664
ABCD4	172	206	150	130	543	497	671	964
ABCE1	2149	2364	1586	1781	3873	3640	6173	8913
ABCF1	2543	3108	2120	2073	2623	2595	3779	5034
ABCF2	48	54	43	48	97	93	187	264
ABCF3	468	589	388	376	619	593	858	1134
ABCG1	52	63	51	47	25	18	24	51
ABCG2	138	121	73	97	65	45	97	158
ABHD1	3	1	0	1	44	46	59	98
ABHD10	841	918	664	672	875	826	1317	1840
ABHD11	217	291	212	181	196	136	227	373
ABHD12	298	341	237	218	321	295	557	803
ABHD12B	0	0	0	0	51	35	53	98
ABHD13	131	144	105	132	96	101	208	282
ABHD14A	13	25	11	18	51	29	71	75
ABHD14B	130	148	80	123	156	114	273	322
ABHD15	29	37	24	24	54	51	66	107
ABHD16A	223	258	200	196	331	248	535	704
ABHD16B	5	4	0	3	47	44	43	59
ABHD17A	3	6	1	3	34	32	51	67
ABHD17B	333	428	312	313	405	339	633	872
ABHD17C	164	210	134	114	86	81	108	168
ABHD18	224	265	157	164	368	310	518	749
ABHD2	485	648	449	455	423	433	624	945
ABHD3	390	502	328	310	281	230	470	680
ABHD4	105	137	77	87	56	57	45	89
ABHD5	186	201	143	130	488	403	730	1034
ABHD6	92	132	84	72	155	115	174	263
ABHD8	277	393	222	181	145	118	141	206
ABI1	776	873	542	592	551	485	973	1304
ABI2	457	463	367	330	612	538	867	1310
ABI3BP	1	3	6	2	32	38	34	58
ABL1	475	660	412	417	1010	943	1093	1767
ABL2	286	274	195	191	1151	996	1275	1995
ABLIM1	556	582	426	366	518	504	893	1219
ABLIM2	10	16	10	5	19	16	28	43
ABR	875	1046	742	702	431	393	469	789
ABRACL	671	762	557	625	405	407	639	873
ABRAXAS1	93	107	69	81	207	192	279	397
ABRAXAS2	560	576	359	459	527	454	764	1056
ABT1	601	845	516	518	1036	989	1637	2269
ABTB1	32	50	34	27	15	22	24	32
ABTB2	188	203	138	136	123	102	138	256
AC003665.1	67	88	60	67	28	21	35	52
AC004080.3	15	30	10	20	55	52	64	108
AC004475.1	344	529	321	331	531	472	767	1082
AC005324.3	2	1	2	1	18	20	26	38
AC005520.1	65	57	30	53	28	35	43	56
AC006213.1	226	305	194	184	105	80	99	154
AC007950.1	559	637	446	475	478	393	635	877
AC008403.1	24	18	20	22	36	46	36	58
AC008581.2	3	2	1	2	11	19	12	18
AC008755.1	778	972	596	668	982	939	798	1391
AC008878.3	0	0	1	0	13	18	30	31
AC009133.6	150	200	95	142	28	30	39	52
AC010618.1	673	999	555	631	416	347	482	656
AC010761.1	22	29	27	25	65	51	72	94
AC011455.2	62	102	73	77	42	45	63	89
AC011462.1	387	431	274	315	70	52	71	126
AC011481.1	838	1137	585	644	1385	1319	2260	3247
AC011529.1	46	56	48	43	71	61	79	142
AC012184.2	6	14	6	7	25	20	37	40
AC015813.2	7	4	5	13	237	209	235	341
AC017083.3	128	179	78	110	44	44	47	63
AC018523.2	0	2	2	3	35	33	66	56
AC018630.2	1	3	0	2	35	27	24	48
AC022826.2	18	30	13	11	42	39	53	74
AC023055.1	8	11	3	3	26	23	29	50
AC025287.4	0	0	0	1	35	20	30	29
AC026464.4	55	98	42	77	51	46	60	100
AC026470.1	374	413	273	278	707	687	1055	1490
AC026786.1	27	32	27	24	48	36	66	78
AC026954.2	14	8	7	3	21	17	41	49
AC048338.1	18	25	11	7	33	34	49	59
AC068533.4	122	121	40	90	26	30	41	66
AC068790.8	65	132	50	58	146	121	258	300
AC068896.1	13	23	17	6	50	67	72	128
AC073610.2	177	216	147	147	55	55	69	102
AC073896.1	89	99	76	87	210	170	338	535
AC074143.1	48	47	32	32	17	14	10	25
AC079447.1	234	257	185	196	84	66	88	123
AC079594.2	19	19	8	25	47	41	52	71
AC080038.1	198	205	208	164	125	107	150	246
AC087289.1	48	46	45	40	42	42	56	66
AC090004.1	0	0	0	0	120	79	142	260
AC091551.1	73	90	75	54	18	11	27	44
AC092338.1	361	443	303	314	501	445	628	882
AC092647.5	169	165	116	144	37	40	54	70
AC092835.1	54	70	38	54	80	72	89	153
AC093323.1	62	84	35	44	40	55	52	95
AC093668.1	12	23	8	9	15	18	33	49
AC097634.4	35	40	31	26	63	63	85	116
AC099489.1	2	5	6	11	129	104	115	224
AC104109.3	386	343	320	400	81	50	113	129
AC108488.2	12	9	10	10	22	13	29	36
AC117378.1	1603	1808	1051	1258	339	359	475	672
AC118549.1	389	429	289	291	3960	3622	5666	8378
AC118754.1	2	4	5	3	22	23	23	43
AC124319.1	777	880	835	713	2283	1873	2126	3830
AC129492.1	148	158	130	104	317	218	289	520
AC138811.2	261	282	189	213	106	76	135	186
AC139530.3	89	81	55	69	92	67	146	193
AC139768.1	28	32	38	30	45	37	38	65
AC245033.1	1183	1348	1027	1052	3943	2641	10894	15669
ACAA1	505	616	406	385	527	466	733	996
ACAA2	1453	1543	1193	1135	567	556	724	1119
ACACA	1735	2165	1633	1537	4289	3844	4981	7616
ACACB	71	72	78	81	480	413	506	833
ACAD10	174	212	172	144	339	299	443	651
ACAD11	1139	1122	967	887	1516	1299	1857	2751
ACAD8	142	191	115	141	424	415	559	811
ACAD9	962	1063	787	811	1062	950	1490	2128
ACADL	236	263	210	203	84	74	102	131
ACADM	2046	2054	1606	1588	1952	1985	3026	4033
ACADS	307	296	203	194	161	143	259	340
ACADSB	1275	1230	965	976	400	375	562	853
ACADVL	776	838	673	638	1184	1019	1679	2498
ACAP2	748	752	596	572	876	808	1185	1729
ACAP3	162	241	227	169	416	364	564	727
ACAT1	3167	3323	2526	2729	2462	2293	3416	4872
ACAT2	2775	3242	2262	2252	2710	2475	4134	5567
ACBD3	1243	1414	940	992	1510	1482	2290	3010
ACBD4	58	65	62	47	43	40	43	65
ACBD5	627	787	489	537	345	326	478	650
ACBD6	492	561	394	386	1164	1080	1853	2575
ACBD7	251	408	239	240	30	34	38	57
ACCS	17	15	10	7	65	62	70	120
ACD	370	532	305	324	230	223	383	516
ACER2	11	11	12	8	30	19	38	54
ACER3	152	164	135	152	138	124	229	346
ACIN1	2666	3277	2156	2352	4546	4323	6023	8438
ACLY	8104	9216	6212	6564	9217	8141	13809	19662
ACMSD	0	1	2	4	25	15	24	42
ACO1	1082	1290	931	915	1151	1093	1729	2399
