"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ZNF653"	295.634766508608	2.85028012076321	0.261754779026669	10.8891235199676	1.29884239427862e-27	1.00166725446767e-23
"HIST2H2AC"	4855.99635245685	-1.08547749600323	0.1286528655919	-8.43725859512896	3.24867177544453e-17	1.25268783661141e-13
"HIST3H2BB"	1833.79115492379	-1.15032332700133	0.146903744055814	-7.83045615613636	4.86103035641138e-15	1.24960887028815e-11
"HIST1H2BD"	5823.13800120218	-0.97855511236533	0.125653103015044	-7.78775126825298	6.82122954758552e-15	1.31513305677449e-11
"HIST1H2BJ"	9300.87299605451	-0.944305786649072	0.124632117139763	-7.57674513055191	3.54331889506033e-14	5.46521506374106e-11
"HIST1H2AH"	9690.71407649244	-0.764484452310833	0.103536658358118	-7.38370799709023	1.5394087118296e-13	1.97865333093831e-10
"HIST1H2AG"	8108.51881923208	-0.845276320538139	0.116545761279411	-7.25274185228959	4.08418057688704e-13	4.49960008699327e-10
"HIST1H2BO"	3476.08938265297	-0.801594836270968	0.11348040055877	-7.06372935171154	1.62092311572354e-12	1.56256988355749e-09
"HIST1H3A"	2799.097322626	-0.903355378052785	0.128641095957143	-7.0222923034933	2.18257314007743e-12	1.68320040562771e-09
"SF3B5"	1456.83499148623	-1.18445639161528	0.168355714225794	-7.03543920123033	1.9863431737522e-12	1.68320040562771e-09
"AC245033.1"	3482.95021533428	-1.08867590217894	0.155813594568218	-6.98704054158957	2.8074513661481e-12	1.96827863052129e-09
"HIST1H2BC"	6184.41482903593	-0.800843711161199	0.116050798757741	-6.90080309428099	5.17093665139799e-12	3.32318862129844e-09
"HIST4H4"	1761.10599409931	-0.863158612821772	0.125676483784353	-6.86809963829717	6.50627740974155e-12	3.85972395260975e-09
"PSMD8"	6181.14541182907	-0.737588176937371	0.112428446947619	-6.56051201419707	5.36233339315601e-11	2.95387965200137e-08
"MIF"	5714.52700228976	-0.802641275606917	0.122733401848949	-6.5397134236917	6.16368253228328e-11	3.16895464593124e-08
"HIST1H2BL"	1907.82593883557	-1.07644935265021	0.166487432381109	-6.465649312112	1.00864751623643e-10	4.86168102825961e-08
"HIST1H2AB"	3096.28380605117	-0.786875545769588	0.124048410569921	-6.34329405878247	2.24903554693562e-10	9.12871691471973e-08
"ID2"	1036.48015395673	-0.961685943730605	0.151578008466873	-6.34449517748333	2.23155976825824e-10	9.12871691471973e-08
"LRP1"	586.255135782785	1.37706115829122	0.216674841159894	6.3554271041326	2.07848297928517e-10	9.12871691471973e-08
"VDAC1"	1849.08630796944	-0.799944324145189	0.12926174354604	-6.18856207722641	6.07154976169621e-10	2.34118958811006e-07
"HIST2H2BE"	3587.80124503478	-0.990488906045616	0.161997650983628	-6.11421770643897	9.70317664516924e-10	3.56337610893072e-07
"HSPA8"	32234.8324144279	-0.770181392987813	0.126308745447501	-6.0976093956054	1.07666436512396e-09	3.77419799265273e-07
"FBN2"	4669.39892979648	0.773184639206665	0.130018788592081	5.94671468315587	2.73577656767599e-09	9.17317777822489e-07
"HIST1H2BF"	1485.53204657725	-0.77018511824467	0.130041630175609	-5.92260430144259	3.16882694162678e-09	1.00488405893065e-06
"MACF1"	4137.57152486784	0.935541813728075	0.158082411329497	5.91806391274036	3.2575339047285e-09	1.00488405893065e-06
"EMILIN2"	410.132889667481	1.23180757472703	0.210673443027672	5.84699977853987	5.00518171195781e-09	1.4296281986155e-06
"VPS13A"	3524.6598664019	0.766719703332887	0.131004353370428	5.85262766928752	4.83866548735633e-09	1.4296281986155e-06
"ATP5MF"	1722.95920377898	-0.944022142429369	0.161713302005714	-5.83762826385187	5.29491300013557e-09	1.45837032346591e-06
"MRPS18B"	1589.14060075438	-0.817174094098493	0.141582717029088	-5.77170795451403	7.84720360323449e-09	2.01725447293815e-06
"TUBB"	18289.3715151712	-0.611452659651529	0.105923658595789	-5.77257873979666	7.80674431480523e-09	2.01725447293815e-06
"ACTG1"	23775.4672742317	-0.581626524706761	0.100956281430383	-5.76117222688951	8.35317497908226e-09	2.07805436898976e-06
"SNRPA"	1795.10137692762	-0.67288885610422	0.118005012635249	-5.7022057036179	1.18266984493604e-08	2.85023432629586e-06
"HIST2H3D"	1315.25220712592	-0.779007202121756	0.137441914240524	-5.66790128343592	1.44557205474409e-08	3.37825808672316e-06
"PERP"	987.876986917398	-0.936894935511223	0.166905582414858	-5.61332294555906	1.98477675478699e-08	4.50194068615213e-06
"KRTCAP2"	1299.31108746446	-0.888051653809226	0.158363622060616	-5.60767455463546	2.0506315671518e-08	4.51842018453562e-06
"ANP32B"	1595.34399819941	0.827288094755532	0.148110258172491	5.58562320370857	2.32863631444654e-08	4.94379381620327e-06
"DAZAP2"	1055.34608040495	-0.840125953993195	0.150494830757267	-5.58242399267675	2.37189278007678e-08	4.94379381620327e-06
"DBI"	990.221545556653	-0.871409113800106	0.161451109777056	-5.39735598599113	6.76301190612664e-08	1.37253546894865e-05
"LRP1B"	736.394401271078	1.04585677503294	0.194008937773794	5.39076594632133	7.01580029871268e-08	1.38732953599159e-05
"TMEM258"	833.808886090674	-0.799618004029287	0.149479026331141	-5.34936588533759	8.82629398251153e-08	1.70170947982822e-05
"RPL10A"	4509.82293566685	-0.612387203543503	0.114755599563021	-5.33644724854749	9.47854313579026e-08	1.78289084544426e-05
"AHNAK"	1426.80027604587	0.775509987531391	0.146183598753277	5.305041017907	1.12647663211734e-07	2.06842566354498e-05
"ADGRV1"	2007.24662248471	0.909510898104184	0.171698334678032	5.2971445518659	1.17627577015021e-07	2.10963691613917e-05
"HIST1H3B"	18447.5636723928	-0.4733868876025	0.0896385044058678	-5.28106633126191	1.28434177969606e-07	2.25110086477636e-05
"TKT"	8314.39574148883	-0.525686055501197	0.100059251149801	-5.25374764912223	1.49035048186393e-07	2.5541295369188e-05
"UBC"	7654.32528642851	-0.496441469151154	0.0946799779281362	-5.24336274695756	1.57676111964432e-07	2.64347429449935e-05
"HIST1H2BK"	3716.69737949863	-0.615826681819953	0.117634294904546	-5.2350947682363	1.64900233366536e-07	2.70576723345261e-05
"MYO6"	2224.77040302019	0.611296663240771	0.117548877819138	5.20036153965943	1.98901245128181e-07	3.19568000505944e-05
"HIST1H2AM"	3851.34269794649	-0.55371510784055	0.106796186422617	-5.18478352447315	2.16265913641301e-07	3.40376066530962e-05
"TMEM123"	1294.81212129908	-0.784364695671511	0.153002187081447	-5.12649335694774	2.95188467032328e-07	4.55298691550663e-05
"SHMT2"	3854.49267543304	-0.54353630404057	0.107251845782029	-5.06785034865705	4.02333516943145e-07	6.08391388757948e-05
"UBR4"	8050.62029721326	0.673088895050944	0.13306023991883	5.05852759217589	4.22506121817165e-07	6.26609079125764e-05
"MYL6"	4765.6386290669	-0.504907601254597	0.100135317494906	-5.04225296215079	4.6008251900775e-07	6.69463469167503e-05
"SMG1"	3552.8296990202	0.729768969541937	0.144918607709721	5.03571612421022	4.76065645506089e-07	6.79892270026474e-05
"RPL27"	9412.66106269792	-0.563251409821178	0.112490874582524	-5.00708534724719	5.52604281795592e-07	7.74851676583201e-05
"PRMT1"	4831.29888610634	-0.529297635639251	0.106379820337637	-4.97554549311442	6.50641508349798e-07	8.96026305784579e-05
"IGF2R"	3700.02594697575	0.681531356320335	0.138073253160762	4.93601288242852	7.97358427610802e-07	0.000107881196381307
"CAPN15"	622.119278174947	0.883226972338035	0.179306762902759	4.92578728230694	8.4021364326557e-07	0.000109938945720684
"ZNF318"	1329.20211797191	0.670742025754764	0.13617506812132	4.92558612239643	8.41078552583035e-07	0.000109938945720684
"JUN"	938.591097327242	-0.738141815567455	0.150807322087949	-4.8946019685767	9.85048921382519e-07	0.0001266116213617
"COX6B1"	3666.93060853582	-0.557171077048722	0.114257111258948	-4.87646738928985	1.08002533301313e-06	0.000136543530626184
