	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
A1BG	64	73	96	139
A2M	74	59	71	109
AAAS	1173	1090	1946	2776
AACS	348	331	394	702
AADAT	328	325	425	620
AAGAB	1518	1420	2146	2867
AAK1	207	185	158	323
AAMDC	153	139	226	356
AAMP	3486	3334	4975	6621
AAR2	549	469	900	1352
AARS	4051	3786	5505	7991
AARS2	1275	1114	1643	2418
AASDH	893	778	1273	1870
AASDHPPT	1510	1391	2318	3200
AASS	1241	1176	1870	2565
AATF	1560	1569	2163	2864
AATK	43	38	37	64
ABAT	37	24	46	68
ABCA1	72	86	81	115
ABCA10	25	22	33	44
ABCA12	49	32	31	70
ABCA2	388	313	407	699
ABCA3	707	555	736	1258
ABCA5	565	483	742	1119
ABCA7	299	247	283	489
ABCB1	153	159	261	368
ABCB10	1414	1305	2025	2980
ABCB4	28	17	18	47
ABCB6	338	249	414	666
ABCB7	1568	1401	2345	3413
ABCB8	345	270	412	658
ABCB9	153	136	244	318
ABCC1	1109	823	923	1730
ABCC10	565	421	572	967
ABCC2	59	63	97	113
ABCC4	1658	1520	2200	3195
ABCC5	970	895	1156	1708
ABCC6	19	37	32	51
ABCC8	47	43	63	89
ABCD1	46	37	65	95
ABCD2	21	19	32	41
ABCD3	2747	2536	3905	5664
ABCD4	543	497	671	964
ABCE1	3873	3640	6173	8913
ABCF1	2623	2595	3779	5034
ABCF2	97	93	187	264
ABCF3	619	593	858	1134
ABCG1	25	18	24	51
ABCG2	65	45	97	158
ABHD1	44	46	59	98
ABHD10	875	826	1317	1840
ABHD11	196	136	227	373
ABHD12	321	295	557	803
ABHD12B	51	35	53	98
ABHD13	96	101	208	282
ABHD14A	51	29	71	75
ABHD14B	156	114	273	322
ABHD15	54	51	66	107
ABHD16A	331	248	535	704
ABHD16B	47	44	43	59
ABHD17A	34	32	51	67
ABHD17B	405	339	633	872
ABHD17C	86	81	108	168
ABHD18	368	310	518	749
ABHD2	423	433	624	945
ABHD3	281	230	470	680
ABHD4	56	57	45	89
ABHD5	488	403	730	1034
ABHD6	155	115	174	263
ABHD8	145	118	141	206
ABI1	551	485	973	1304
ABI2	612	538	867	1310
ABI3BP	32	38	34	58
ABL1	1010	943	1093	1767
ABL2	1151	996	1275	1995
ABLIM1	518	504	893	1219
ABLIM2	19	16	28	43
ABR	431	393	469	789
ABRACL	405	407	639	873
ABRAXAS1	207	192	279	397
ABRAXAS2	527	454	764	1056
ABT1	1036	989	1637	2269
ABTB1	15	22	24	32
ABTB2	123	102	138	256
AC003665.1	28	21	35	52
AC004080.3	55	52	64	108
AC004475.1	531	472	767	1082
AC005324.3	18	20	26	38
AC005520.1	28	35	43	56
AC006213.1	105	80	99	154
AC007950.1	478	393	635	877
AC008403.1	36	46	36	58
AC008581.2	11	19	12	18
AC008755.1	982	939	798	1391
AC008878.3	13	18	30	31
AC009133.6	28	30	39	52
AC010618.1	416	347	482	656
