"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HIST3H2BB"	3809.21297070681	1.14881145140789	0.0948152209510477	12.1163188767024	8.65604195193467e-34	8.66383238969141e-30
"HIST2H2AC"	8276.04706608801	0.961109709795113	0.0937493914756929	10.2519034488273	1.16035625999826e-24	5.80700290316127e-21
"HIST1H2AH"	15363.7831935104	0.636906820460438	0.0692940201819595	9.19136772246698	3.87877699149029e-20	1.29408929692754e-16
"EEF1A1"	14106.7113757558	0.610865681977411	0.0682603876667971	8.94905087500032	3.58551890772238e-19	8.97186468684832e-16
"ANP32B"	1693.77688105918	-0.882547756388665	0.106916016134932	-8.25458886603911	1.52426029189374e-16	3.0512642523129e-13
"HIST4H4"	2011.36200969239	0.768850203079432	0.0940073875414799	8.17861471514868	2.87125573675881e-16	4.62328395061082e-13
"RPL12"	9400.79789492403	0.631372183813877	0.077333412074132	8.1642871674748	3.23338871558355e-16	4.62328395061082e-13
"HIST1H2BJ"	13591.6804619511	0.74512677364878	0.0925568979927368	8.05047262611645	8.24749209169492e-16	9.13349850825651e-13
"HIST1H3A"	4213.46481470367	0.718907149415243	0.0896070883839884	8.02288259087885	1.03292068809974e-15	9.13349850825651e-13
"ID2"	724.485773720397	1.0335325536764	0.128677824728189	8.03193989220421	9.59433765757673e-16	9.13349850825651e-13
"RPL22"	421.264043104574	-1.25608847408523	0.156652284084255	-8.01832211657795	1.07199383673242e-15	9.13349850825651e-13
"RPL23A"	2233.09618937571	0.767198226838187	0.0957118354007256	8.01570906697262	1.09503429012966e-15	9.13349850825651e-13
"HIST1H2BL"	3277.38835872489	0.704436066569296	0.0907180338428639	7.76511611560581	8.15704599204921e-15	6.28029794880158e-12
"PSMD8"	3391.79796022034	0.694612193645455	0.0906830080561619	7.65978333245482	1.86247025778192e-14	1.33153320072423e-11
"HIST1H2BK"	7279.45937578691	0.553152256752688	0.0731217758583919	7.5648088446857	3.88435390512485e-14	2.56393620577518e-11
"HNRNPD"	4700.06821102266	-0.773339544174984	0.102323011294414	-7.55782628357034	4.09860918097741e-14	2.56393620577518e-11
"ATP5MF"	1180.91096982737	0.954414129456213	0.126484846174414	7.54567964718985	4.49934813513647e-14	2.64905738144594e-11
"HSPA8"	47552.3736932937	0.47335879401371	0.0635304387876128	7.450897601954	9.27072987329171e-14	5.14549929780107e-11
"SF3B5"	950.704953458251	0.862226779476599	0.115828319303305	7.44400665280132	9.76765777382559e-14	5.14549929780107e-11
"HIST1H2BC"	8390.5113284284	0.637804145047395	0.0861657308518812	7.40206273122408	1.34085127179779e-13	6.71029018971203e-11
"HIST1H2BO"	6942.52359656622	0.530677135371449	0.0718982693435351	7.38094449583808	1.57170524591456e-13	7.49104657445660e-11
"RPL32"	20668.9200122122	0.598987585898485	0.0812636488604445	7.37091669274089	1.69458718888841e-13	7.70960144253824e-11
"HIST1H2BD"	10031.7290690201	0.666585435318939	0.0905307634790083	7.36308200331816	1.7971189526179e-13	7.82059286815331e-11
"HIST1H2AB"	2587.2464840919	0.700525876178808	0.0964873698206902	7.26028575015205	3.86273428664739e-13	1.61092114479391e-10
"HIST1H2AG"	10819.4687718422	0.614962125615137	0.084978420084873	7.23668579624025	4.5978165187047e-13	1.84078182142861e-10
"HIST2H2BE"	6204.98337860377	0.694958886616824	0.0971465628162048	7.15371564850568	8.44599310681406e-13	3.25138250023469e-10
"RPL27"	15646.8753054438	0.576694014225314	0.0807880373514367	7.13835900873088	9.44516811049106e-13	3.50135880066315e-10
"DBI"	895.083608021232	0.826484983056036	0.119186582757637	6.93437939014219	4.08008328881552e-12	1.45848405849123e-09
"KRTCAP2"	985.508206226976	0.879871133400709	0.127177335164831	6.91845864092318	4.56584047266184e-12	1.52331657636241e-09
"TMEM123"	1147.58435670185	0.797117978745657	0.115151590891471	6.92233578862952	4.44256640308917e-12	1.52331657636241e-09
"HIST2H3D"	2066.55974090384	0.63806079317652	0.0927104237914223	6.88229831212954	5.88945171369997e-12	1.90153297427171e-09
"MIF"	3740.69567122833	0.663306075629152	0.0965517408604681	6.86995459344156	6.42223427800303e-12	2.00875446526663e-09
"PPIA"	1769.06087906257	0.608268628263582	0.0934943662578369	6.50593883471129	7.72096392325343e-11	2.20797508308124e-08
"TRAM1"	2901.20996443616	0.553215987508196	0.0849743610017738	6.51038714485476	7.49573658203582e-11	2.20797508308124e-08
"UBC"	10863.0562225083	0.437454890365721	0.0672103837055822	6.50873966561491	7.57839261967583e-11	2.20797508308124e-08
