	SRR1795409_accepted_hits	SRR1795410_accepted_hits	SRR1795425_accepted_hits	SRR1795426_accepted_hits
ENSG00000000003	435	519	514	336
ENSG00000000005	2	0	0	0
ENSG00000000419	459	552	1287	695
ENSG00000000457	203	235	105	58
ENSG00000000460	618	673	578	361
ENSG00000000938	0	0	0	0
ENSG00000000971	0	2	0	0
ENSG00000001036	696	864	977	555
ENSG00000001084	371	449	521	308
ENSG00000001167	229	226	286	171
ENSG00000001460	40	64	85	65
ENSG00000001461	160	181	135	84
ENSG00000001497	1083	1171	1577	988
ENSG00000001561	116	123	315	159
ENSG00000001617	24	31	4	8
ENSG00000001626	1	0	0	0
ENSG00000001629	461	539	169	66
ENSG00000001630	984	1141	767	513
ENSG00000001631	47	90	19	12
ENSG00000002016	119	116	66	23
ENSG00000002330	99	92	195	142
ENSG00000002549	935	1079	770	387
ENSG00000002586	311	338	451	272
ENSG00000002587	0	0	0	0
ENSG00000002726	0	0	1	0
ENSG00000002745	2	3	16	12
ENSG00000002746	11	9	5	2
ENSG00000002822	434	440	221	141
ENSG00000002834	36	41	262	164
ENSG00000002919	103	114	108	37
ENSG00000002933	0	0	0	0
ENSG00000003056	479	586	675	422
ENSG00000003096	294	316	298	161
ENSG00000003137	16	14	19	11
ENSG00000003147	61	73	57	16
ENSG00000003249	14	23	54	37
ENSG00000003393	528	615	231	139
ENSG00000003400	15	22	81	75
ENSG00000003402	137	128	86	40
ENSG00000003436	23	19	144	91
ENSG00000003509	212	275	183	129
ENSG00000003756	1510	1828	610	316
ENSG00000003987	46	55	90	48
ENSG00000003989	269	322	464	237
ENSG00000004059	464	463	1569	874
ENSG00000004139	103	93	146	84
ENSG00000004142	554	592	839	562
ENSG00000004399	92	99	107	71
ENSG00000004455	1278	1419	1024	647
ENSG00000004468	0	0	0	0
ENSG00000004478	3454	3850	4806	2854
ENSG00000004487	2523	2842	3403	2008
ENSG00000004534	1393	1578	307	166
ENSG00000004660	129	177	154	87
ENSG00000004700	590	714	1337	781
ENSG00000004766	417	574	539	342
ENSG00000004776	2	1	2	4
ENSG00000004777	28	20	32	16
ENSG00000004779	575	690	1653	991
ENSG00000004799	6	12	83	54
ENSG00000004809	0	0	0	0
ENSG00000004838	9	20	0	2
ENSG00000004846	0	0	1	2
ENSG00000004848	1	1	2	0
ENSG00000004864	987	1077	1280	714
ENSG00000004866	199	235	259	127
ENSG00000004897	1172	1409	1287	770
ENSG00000004939	0	0	0	0
