	SRR1795409_1	SRR1795425_1
ENSG00000000003	435	514
ENSG00000000005	2	0
ENSG00000000419	459	1287
ENSG00000000457	203	105
ENSG00000000460	618	578
ENSG00000000938	0	0
ENSG00000000971	0	0
ENSG00000001036	696	977
ENSG00000001084	371	521
ENSG00000001167	229	286
ENSG00000001460	40	85
ENSG00000001461	160	134
ENSG00000001497	1083	1577
ENSG00000001561	116	315
ENSG00000001617	24	4
ENSG00000001626	1	0
ENSG00000001629	461	169
ENSG00000001630	984	767
ENSG00000001631	47	19
ENSG00000002016	119	66
ENSG00000002330	99	195
ENSG00000002549	935	770
ENSG00000002586	311	451
ENSG00000002587	0	0
ENSG00000002726	0	1
ENSG00000002745	2	16
ENSG00000002746	11	5
ENSG00000002822	434	221
ENSG00000002834	36	262
ENSG00000002919	103	108
ENSG00000002933	0	0
ENSG00000003056	479	675
ENSG00000003096	294	298
ENSG00000003137	16	19
ENSG00000003147	61	57
ENSG00000003249	14	54
ENSG00000003393	528	231
ENSG00000003400	15	81
ENSG00000003402	137	86
ENSG00000003436	23	144
ENSG00000003509	212	183
ENSG00000003756	1510	610
ENSG00000003987	46	90
ENSG00000003989	269	464
ENSG00000004059	464	1569
ENSG00000004139	103	146
ENSG00000004142	554	839
ENSG00000004399	92	107
ENSG00000004455	1278	1024
ENSG00000004468	0	0
ENSG00000004478	3454	4806
ENSG00000004487	2523	3403
ENSG00000004534	1393	307
ENSG00000004660	129	154
ENSG00000004700	590	1337
ENSG00000004766	417	539
ENSG00000004776	2	2
ENSG00000004777	28	32
ENSG00000004779	575	1653
ENSG00000004799	6	83
ENSG00000004809	0	0
ENSG00000004838	9	0
ENSG00000004846	0	1
ENSG00000004848	1	2
ENSG00000004864	987	1280
ENSG00000004866	199	259
ENSG00000004897	1172	1287
ENSG00000004939	0	0
ENSG00000004948	0	1
ENSG00000004961	307	142
ENSG00000004975	376	616
ENSG00000005001	0	0
ENSG00000005007	921	1313
ENSG00000005020	192	693
ENSG00000005022	4239	5855
ENSG00000005059	248	337
ENSG00000005073	83	320
ENSG00000005075	37	33
ENSG00000005100	541	693
ENSG00000005102	1	4
ENSG00000005108	13	4
ENSG00000005156	606	699
ENSG00000005175	760	1276
ENSG00000005187	77	45
ENSG00000005189	135	187
ENSG00000005194	473	536
ENSG00000005206	101	60
ENSG00000005238	5	1
ENSG00000005243	0	0
ENSG00000005249	129	483
ENSG00000005302	213	135
ENSG00000005339	967	720
ENSG00000005379	0	0
ENSG00000005381	0	0
ENSG00000005421	1	0
ENSG00000005436	655	426
ENSG00000005448	181	202
ENSG00000005469	106	161
ENSG00000005471	13	71
ENSG00000005483	561	151
ENSG00000005486	136	268
ENSG00000005513	3	15
ENSG00000005700	751	880
ENSG00000005801	449	207
ENSG00000005810	3348	573
ENSG00000005812	560	280
ENSG00000005844	1	2
ENSG00000005882	96	379
ENSG00000005884	36	32
ENSG00000005889	1412	261
ENSG00000005893	699	1744
ENSG00000005961	14	19
ENSG00000005981	0	1
ENSG00000006007	409	163
ENSG00000006015	77	172
ENSG00000006016	4	19
ENSG00000006025	20	36
ENSG00000006042	108	115
ENSG00000006047	1	53
ENSG00000006059	0	0
ENSG00000006062	40	14
ENSG00000006071	25	8
ENSG00000006116	0	0
ENSG00000006118	203	96
ENSG00000006125	1091	1715
ENSG00000006128	3	60
ENSG00000006194	304	88
ENSG00000006210	0	13
ENSG00000006282	136	91
ENSG00000006283	4	2
ENSG00000006327	5	57
ENSG00000006377	7	81
ENSG00000006432	111	19
ENSG00000006451	175	264
ENSG00000006453	293	523
ENSG00000006459	119	180
ENSG00000006468	12	250
ENSG00000006530	535	577
ENSG00000006534	9	0
ENSG00000006555	0	0
ENSG00000006576	327	232
ENSG00000006606	0	0
ENSG00000006607	337	433
ENSG00000006611	13	0
ENSG00000006625	191	354
ENSG00000006634	701	123
ENSG00000006638	6	14
ENSG00000006652	571	334
ENSG00000006659	0	0
ENSG00000006695	148	100
ENSG00000006704	196	141
ENSG00000006712	622	2075
ENSG00000006715	699	328
ENSG00000006740	85	70
ENSG00000006744	1497	1106
ENSG00000006747	6	910
ENSG00000006756	0	0
ENSG00000006757	23	0
ENSG00000006788	0	0
ENSG00000006831	315	483
ENSG00000006837	14	27
ENSG00000007001	5	0
ENSG00000007038	0	0
ENSG00000007047	125	158
ENSG00000007062	0	52
ENSG00000007080	325	851
ENSG00000007129	0	0
