	SRR1795409_accepted_hits	SRR1795409_sort	SRR1795410_accepted_hits	SRR1795410_sort	SRR1795425_accepted_hits	SRR1795425_sort	SRR1795426_accepted_hits	SRR1795426_sort	tophat_isrib_counts_count_table	tophat_isrib_unique_sorted_count_table
ENSG00000000003	435	389	519	461	514	111	336	66	SRR1795409_accepted_hits	SRR1795409_accepted_hits
ENSG00000000005	2	2	0	0	0	0	0	0	435	435
ENSG00000000419	459	427	552	490	1287	250	695	108	2	2
ENSG00000000457	203	181	235	193	105	40	58	17	459	459
ENSG00000000460	618	575	673	606	578	143	361	53	203	203
ENSG00000000938	0	0	0	0	0	0	0	0	618	618
ENSG00000000971	0	0	2	2	0	0	0	0	0	0
ENSG00000001036	696	623	864	731	977	223	555	119	0	0
ENSG00000001084	371	347	449	403	521	113	308	65	696	696
ENSG00000001167	229	200	226	192	286	77	171	38	371	371
ENSG00000001460	40	32	64	53	85	30	65	18	229	229
ENSG00000001461	160	145	181	167	135	39	84	23	40	40
ENSG00000001497	1083	1004	1171	1069	1577	411	988	231	160	160
ENSG00000001561	116	108	123	112	315	85	159	36	1083	1083
ENSG00000001617	24	23	31	25	4	3	8	2	116	116
ENSG00000001626	1	0	0	0	0	0	0	0	24	24
ENSG00000001629	461	424	539	473	169	46	66	18	1	1
ENSG00000001630	984	837	1141	921	767	191	513	94	461	461
ENSG00000001631	47	44	90	80	19	3	12	3	984	984
ENSG00000002016	119	104	116	98	66	12	23	8	47	47
ENSG00000002330	99	81	92	76	195	60	142	45	119	119
ENSG00000002549	935	820	1079	927	770	187	387	83	99	99
ENSG00000002586	311	260	338	274	451	96	272	63	935	935
ENSG00000002587	0	0	0	0	0	0	0	0	311	311
ENSG00000002726	0	0	0	0	1	1	0	0	0	0
ENSG00000002745	2	1	3	2	16	1	12	2	0	0
ENSG00000002746	11	6	9	4	5	1	2	0	2	2
ENSG00000002822	434	378	440	360	221	64	141	34	11	11
ENSG00000002834	36	30	41	33	262	67	164	39	434	434
ENSG00000002919	103	94	114	95	108	31	37	3	36	36
ENSG00000002933	0	0	0	0	0	0	0	0	103	103
ENSG00000003056	479	437	586	513	675	163	422	94	0	0
ENSG00000003096	294	282	316	278	298	79	161	42	479	479
ENSG00000003137	16	16	14	9	19	6	11	5	294	294
ENSG00000003147	61	49	73	61	57	12	16	6	16	16
ENSG00000003249	14	13	23	20	54	21	37	10	61	61
ENSG00000003393	528	487	615	542	231	59	139	29	14	14
ENSG00000003400	15	13	22	20	81	20	75	15	528	528
ENSG00000003402	137	124	128	110	86	23	40	9	15	15
ENSG00000003436	23	23	19	18	144	28	91	17	137	137
ENSG00000003509	212	200	275	253	183	31	129	15	23	23
ENSG00000003756	1510	1390	1828	1593	610	159	316	71	212	212
ENSG00000003987	46	33	55	43	90	29	48	10	1510	1510
ENSG00000003989	269	249	322	281	464	129	237	45	46	46
ENSG00000004059	464	434	463	392	1569	516	874	233	269	269
ENSG00000004139	103	90	93	81	146	54	84	28	464	464
ENSG00000004142	554	517	592	514	839	248	562	161	103	103
ENSG00000004399	92	86	99	82	107	47	71	21	554	554
ENSG00000004455	1278	1190	1419	1263	1024	310	647	147	92	92
ENSG00000004468	0	0	0	0	0	0	0	0	1278	1278
ENSG00000004478	3454	3207	3850	3409	4806	1329	2854	687	0	0
ENSG00000004487	2523	2346	2842	2490	3403	867	2008	432	3454	3454
ENSG00000004534	1393	1287	1578	1412	307	80	166	38	2523	2523
ENSG00000004660	129	110	177	143	154	42	87	21	1393	1393
ENSG00000004700	590	530	714	625	1337	256	781	118	129	129
ENSG00000004766	417	385	574	524	539	141	342	66	590	590
ENSG00000004776	2	2	1	1	2	0	4	0	417	417
ENSG00000004777	28	24	20	18	32	10	16	2	2	2
ENSG00000004779	575	545	690	624	1653	459	991	226	28	28
ENSG00000004799	6	5	12	12	83	23	54	9	575	575
ENSG00000004809	0	0	0	0	0	0	0	0	6	6
ENSG00000004838	9	8	20	20	0	0	2	1	0	0
ENSG00000004846	0	0	0	0	1	0	2	0	9	9
ENSG00000004848	1	0	1	1	2	0	0	0	0	0
ENSG00000004864	987	914	1077	959	1280	295	714	155	1	1
ENSG00000004866	199	181	235	213	259	81	127	28	987	987
ENSG00000004897	1172	1068	1409	1241	1287	311	770	160	199	199
ENSG00000004939	0	0	0	0	0	0	0	0	1172	1172
ENSG00000004948	0	0	0	0	1	0	0	0	0	0
ENSG00000004961	307	289	345	309	142	45	100	28	0	0
ENSG00000004975	376	337	473	410	616	212	378	123	307	307
ENSG00000005001	0	0	0	0	0	0	0	0	376	376
ENSG00000005007	921	834	1001	872	1313	390	827	232	0	0
ENSG00000005020	192	185	245	217	693	138	375	54	921	921
ENSG00000005022	4239	3947	4780	4227	5855	1595	3488	802	192	192
ENSG00000005059	248	219	290	244	337	65	202	41	4239	4239
ENSG00000005073	83	70	94	77	320	99	214	71	248	248
ENSG00000005075	37	31	47	42	33	7	15	3	83	83
ENSG00000005100	541	498	609	544	693	251	420	125	37	37
ENSG00000005102	1	1	1	1	4	1	0	0	541	541
ENSG00000005108	13	9	11	7	4	2	0	0	1	1
ENSG00000005156	606	563	647	578	699	199	418	91	13	13
ENSG00000005175	760	720	916	824	1276	279	783	130	606	606
ENSG00000005187	77	69	104	90	45	12	17	4	760	760
ENSG00000005189	135	128	175	154	187	46	114	27	77	77
ENSG00000005194	473	428	556	481	536	129	357	70	135	135
ENSG00000005206	101	86	128	100	60	17	39	15	473	473
ENSG00000005238	5	5	7	7	1	0	2	2	101	101
ENSG00000005243	0	0	4	4	0	0	0	0	5	5
ENSG00000005249	129	108	173	149	483	86	302	56	0	0
ENSG00000005302	213	199	256	223	135	39	90	22	129	129
ENSG00000005339	967	883	1068	925	720	238	443	146	213	213
ENSG00000005379	0	0	0	0	0	0	2	0	967	967
ENSG00000005381	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	1	1	0	0	0	0	0	0	0	0
ENSG00000005436	655	606	811	697	426	108	242	60	1	1
ENSG00000005448	181	166	231	198	202	70	133	46	655	655
ENSG00000005469	106	101	164	142	161	35	112	23	181	181
ENSG00000005471	13	13	16	16	71	20	42	9	106	106
ENSG00000005483	561	523	659	588	151	44	102	18	13	13
ENSG00000005486	136	121	152	120	268	109	163	57	561	561
ENSG00000005513	3	3	11	9	15	6	11	3	136	136
ENSG00000005700	751	715	919	829	880	192	552	99	3	3
ENSG00000005801	449	411	494	444	207	54	114	31	751	751
ENSG00000005810	3348	3115	4078	3593	573	137	304	53	449	449
ENSG00000005812	560	525	695	621	280	65	164	27	3348	3348
ENSG00000005844	1	0	0	0	2	2	0	0	560	560
ENSG00000005882	96	83	90	75	379	141	209	76	1	1
ENSG00000005884	36	36	22	19	32	9	20	9	96	96
ENSG00000005889	1412	1331	1661	1488	261	53	145	32	36	36
ENSG00000005893	699	652	829	752	1744	413	1071	213	1412	1412
ENSG00000005961	14	12	17	15	19	8	12	8	699	699
ENSG00000005981	0	0	0	0	1	0	0	0	14	14
ENSG00000006007	409	378	469	415	163	54	106	39	0	0
ENSG00000006015	77	71	85	76	172	62	117	35	409	409
ENSG00000006016	4	4	3	3	19	6	15	3	77	77
ENSG00000006025	20	16	8	8	36	8	26	8	4	4
ENSG00000006042	108	97	128	116	115	44	84	29	20	20
ENSG00000006047	1	1	2	2	53	50	16	10	108	108
ENSG00000006059	0	0	0	0	0	0	0	0	1	1
ENSG00000006062	40	40	30	28	14	4	21	6	0	0
ENSG00000006071	25	20	26	19	8	3	3	1	40	40
ENSG00000006116	0	0	0	0	0	0	0	0	25	25
ENSG00000006118	203	177	210	178	96	41	82	24	0	0
ENSG00000006125	1091	1000	1228	1063	1715	412	1101	201	203	203
ENSG00000006128	3	3	2	2	60	12	28	6	1091	1091
ENSG00000006194	304	276	319	281	88	25	45	10	3	3
ENSG00000006210	0	0	0	0	13	6	13	3	304	304
ENSG00000006282	136	107	137	108	91	30	56	19	0	0
ENSG00000006283	4	4	5	4	2	1	3	0	136	136
ENSG00000006327	5	5	4	3	57	14	19	6	4	4
ENSG00000006377	7	6	11	10	81	31	52	15	5	5
ENSG00000006432	111	98	116	95	19	8	13	2	7	7
ENSG00000006451	175	159	167	141	264	46	182	24	111	111
ENSG00000006453	293	279	275	247	523	129	329	82	175	175
ENSG00000006459	119	111	154	131	180	36	125	31	293	293
ENSG00000006468	12	10	12	10	250	75	145	41	119	119
ENSG00000006530	535	491	649	572	577	170	344	89	12	12
ENSG00000006534	9	6	7	6	0	0	2	2	535	535
ENSG00000006555	0	0	0	0	0	0	0	0	9	9
ENSG00000006576	327	310	398	349	232	50	135	20	0	0
ENSG00000006606	0	0	1	1	0	0	0	0	327	327
ENSG00000006607	337	316	420	366	433	111	250	55	0	0
ENSG00000006611	13	11	19	14	0	0	0	0	337	337
ENSG00000006625	191	185	202	177	354	96	188	32	13	13
ENSG00000006634	701	665	849	765	123	10	89	13	191	191
ENSG00000006638	6	1	8	1	14	6	10	2	701	701
ENSG00000006652	571	528	693	617	334	70	180	32	6	6
ENSG00000006659	0	0	0	0	0	0	0	0	571	571
ENSG00000006695	148	125	159	137	100	31	56	25	0	0
ENSG00000006704	196	180	185	158	141	44	95	30	148	148
ENSG00000006712	622	573	718	621	2075	578	1222	326	196	196
ENSG00000006715	699	629	826	722	328	80	210	30	622	622
ENSG00000006740	85	77	91	82	70	19	22	9	699	699
ENSG00000006744	1497	1347	1701	1471	1106	367	622	171	85	85
ENSG00000006747	6	4	8	7	910	205	554	116	1497	1497
ENSG00000006756	0	0	0	0	0	0	0	0	6	6
ENSG00000006757	23	22	27	24	0	0	1	0	0	0
ENSG00000006788	0	0	0	0	0	0	0	0	23	23
ENSG00000006831	315	291	338	301	483	135	268	69	0	0
ENSG00000006837	14	13	31	27	27	6	30	10	315	315
ENSG00000007001	5	0	1	0	0	0	0	0	14	14
ENSG00000007038	0	0	0	0	0	0	0	0	5	5
ENSG00000007047	125	114	106	84	158	51	84	28	0	0
ENSG00000007062	0	0	0	0	52	10	38	14	125	125
ENSG00000007080	325	284	358	279	851	246	524	129	0	0
ENSG00000007129	0	0	0	0	0	0	0	0	325	325
ENSG00000007168	731	691	833	732	1107	261	731	130	0	0
ENSG00000007171	23	21	21	19	57	17	33	10	731	731
ENSG00000007174	3	1	3	1	0	0	0	0	23	23
ENSG00000007202	2699	2489	3219	2851	501	135	317	80	3	3
ENSG00000007216	0	0	0	0	0	0	0	0	2699	2699
ENSG00000007237	9	9	13	13	13	6	6	1	0	0
ENSG00000007255	24	20	43	37	42	15	21	6	9	9
ENSG00000007264	111	103	145	123	32	12	10	3	24	24
ENSG00000007306	0	0	0	0	0	0	0	0	111	111
ENSG00000007312	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	6	5	7	6	0	0	0	0	0	0
ENSG00000007341	163	143	190	168	205	59	124	21	6	6
ENSG00000007350	1	1	1	1	2	2	0	0	163	163
ENSG00000007372	120	111	142	124	136	36	70	11	1	1
ENSG00000007376	224	202	234	196	180	57	108	26	120	120
ENSG00000007384	25	23	30	25	55	21	32	7	224	224
ENSG00000007392	594	547	655	573	676	200	414	101	25	25
ENSG00000007402	74	69	80	67	75	31	30	9	594	594
ENSG00000007516	16	12	21	16	8	2	3	1	74	74
ENSG00000007520	295	271	326	273	245	77	174	49	16	16
ENSG00000007541	225	207	219	180	228	93	145	48	295	295
ENSG00000007545	226	198	246	206	134	47	106	30	225	225
ENSG00000007866	20	18	19	15	97	50	47	9	226	226
ENSG00000007908	0	0	0	0	0	0	0	0	20	20
ENSG00000007923	891	763	969	788	754	174	469	89	0	0
ENSG00000007933	16	13	13	11	0	0	0	0	891	891
ENSG00000007944	125	114	146	131	106	19	71	18	16	16
ENSG00000007952	0	0	2	1	0	0	0	0	125	125
ENSG00000007968	113	92	139	113	304	74	177	42	0	0
