	isrib_a_hek	isrib_b_hek	ribo_isrib_a	ribo_isrib_b	ribo_tm_a	ribo_tm_b	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b	tm_a_hek	tm_b_hek	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
A1BG	70	80	16	19	21	11	21	16	29	43	56	85	93	141	67	73
A2M	57	57	1	5	2	2	2	4	3	5	32	37	71	109	73	57
AAAS	1211	902	697	995	936	601	1199	1157	1441	1978	1014	1126	1935	2747	1147	1070
AACS	288	294	288	389	309	192	467	465	573	725	220	291	397	709	351	335
AADAT	315	243	53	70	50	29	81	71	98	118	192	292	414	613	321	315
AAGAB	1331	940	527	622	591	331	932	949	1045	1276	1042	1240	2110	2827	1498	1410
AAK1	169	242	215	266	209	116	357	372	423	519	92	144	228	470	288	240
AAMDC	270	198	98	102	108	88	144	133	137	237	190	254	418	608	255	263
AAMP	3069	2248	1684	2256	1900	1138	2959	2795	3524	4702	2497	3022	4933	6574	3459	3311
AAR2	621	430	284	404	365	238	412	419	485	680	475	546	901	1352	549	469
AARS	3916	3155	1599	2184	1822	1181	2941	2785	3687	4345	2879	3818	5470	7949	4030	3757
AARS2	1093	926	190	268	294	163	400	287	406	596	783	1068	1626	2410	1267	1111
AASDH	819	641	85	109	111	74	166	167	227	222	651	809	1271	1862	885	779
AASDHPPT	1338	985	836	1120	933	604	1413	1399	1747	1961	1131	1344	2318	3200	1510	1391
AASS	1170	857	249	394	372	192	522	498	410	585	889	1082	1851	2532	1224	1162
AATF	1485	1119	670	876	682	542	1093	1141	1252	1561	1128	1449	2163	2864	1560	1569
AATK	34	22	10	16	21	8	63	40	36	35	21	33	37	67	44	40
ABAT	40	23	33	45	35	20	58	58	83	89	17	51	48	69	37	24
ABCA1	43	56	2	3	5	2	6	1	6	4	45	46	83	115	74	86
ABCA10	15	18	0	1	2	0	2	1	1	1	14	19	32	44	27	21
ABCA12	48	41	1	2	1	0	1	3	1	0	13	28	31	72	49	32
ABCA2	312	330	124	271	177	106	363	296	330	342	210	306	408	702	390	315
ABCA3	558	548	209	307	205	96	408	365	445	531	408	579	728	1248	702	546
ABCA5	537	443	110	132	122	76	231	191	242	261	366	473	733	1111	559	484
ABCA7	240	225	35	76	53	40	120	81	115	128	152	230	285	491	299	249
ABCB1	181	150	455	592	476	280	790	717	948	1020	130	162	257	363	150	157
ABCB10	1286	1033	151	171	169	113	243	244	268	401	1088	1288	2016	2971	1412	1308
ABCB4	17	18	48	57	55	39	93	82	113	102	14	19	18	47	27	17
ABCB6	274	246	125	162	128	73	254	228	260	312	229	282	411	648	332	239
ABCB7	1530	1033	558	769	593	370	983	1045	1262	1338	1143	1460	2336	3398	1558	1394
ABCB8	323	276	167	247	233	139	301	328	345	487	245	299	429	679	365	286
ABCB9	154	108	48	55	66	39	96	85	97	132	112	157	242	312	152	133
ABCC1	790	930	452	541	449	244	830	779	818	1064	515	717	924	1741	1114	827
ABCC10	440	464	129	175	155	105	253	248	276	341	362	398	574	971	569	426
ABCC2	55	70	2	2	4	5	6	4	7	4	35	52	97	113	59	63
ABCC4	1355	1126	418	482	411	286	734	751	817	932	1044	1323	2203	3199	1657	1519
ABCC5	835	796	218	260	256	158	356	370	383	520	586	763	1188	1765	999	923
ABCC6	27	29	0	2	6	0	11	7	13	4	16	21	33	52	21	36
ABCC8	48	39	3	8	8	2	7	10	11	13	35	51	70	93	54	47
ABCD1	42	46	24	35	23	12	43	47	60	61	32	26	67	97	46	37
ABCD2	18	12	14	13	26	16	28	48	47	31	12	28	32	40	21	18
ABCD3	2426	1743	1175	1475	1271	829	2038	2097	2415	2732	1940	2418	3911	5670	2754	2541
