	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
A1BG	36	45	19	25	70	77	77	86
A2M	3	5	1	5	74	59	57	55
AAAS	1518	2100	744	1052	1173	1090	1222	909
AACS	573	725	288	389	351	335	288	294
AADAT	107	132	53	74	329	325	326	246
AAGAB	1091	1320	547	652	1518	1420	1345	953
AAK1	432	527	221	268	295	245	167	245
AAMDC	137	237	98	102	255	263	270	198
AAMP	3756	5022	1803	2436	3489	3336	3098	2263
AAR2	485	680	284	404	549	469	621	430
AARS	3769	4462	1638	2231	4054	3788	3936	3166
AARS2	423	613	199	279	1275	1114	1092	929
AASDH	228	226	88	110	893	779	824	641
AASDHPPT	1747	1961	836	1120	1510	1391	1338	985
AASS	423	606	255	409	1243	1178	1185	865
AATF	1252	1561	670	876	1560	1569	1485	1119
AATK	36	38	10	16	43	38	34	22
ABAT	83	89	33	45	37	24	40	23
ABCA1	6	4	2	3	74	86	43	56
ABCA10	1	1	0	1	26	22	15	19
ABCA12	1	0	1	2	49	32	48	41
ABCA2	333	349	124	271	390	313	311	329
ABCA3	444	539	211	312	707	555	569	556
ABCA5	246	271	112	138	565	483	548	450
ABCA7	115	128	35	76	299	249	240	225
ABCB1	951	1047	456	595	153	159	182	153
ABCB10	275	407	154	170	1414	1305	1292	1035
ABCB4	114	105	50	62	28	17	17	17
ABCB6	267	324	131	171	338	249	279	247
ABCB7	1256	1330	556	763	1568	1402	1536	1036
ABCB8	345	487	167	247	365	286	323	276
ABCB9	97	132	48	55	154	136	159	112
ABCC1	818	1064	452	541	1114	827	790	930
ABCC10	276	341	129	175	569	426	440	464
ABCC2	7	4	2	2	59	63	55	70
ABCC4	829	954	422	489	1661	1520	1359	1127
ABCC5	388	532	223	263	996	912	827	782
ABCC6	13	4	0	2	21	37	26	29
ABCC8	10	14	3	8	54	45	47	39
ABCD1	60	61	24	35	46	37	42	46
ABCD2	47	32	14	13	21	19	19	14
ABCD3	2415	2732	1175	1475	2754	2541	2426	1743
ABCD4	174	209	67	101	617	580	534	469
ABCE1	2149	2364	1110	1269	3873	3640	3886	2705
ABCF1	2543	3108	1298	1715	2623	2595	2634	2104
ABCF2	48	54	19	36	97	93	110	117
ABCF3	468	589	241	276	619	593	507	460
ABCG1	52	64	14	26	25	19	19	10
ABCG2	138	121	49	51	65	45	74	43
ABHD1	3	1	2	2	47	48	49	50
ABHD10	842	918	391	517	883	834	834	576
ABHD11	220	293	105	162	199	138	136	118
ABHD12	298	341	122	174	330	297	327	259
ABHD12B	0	0	0	0	51	35	36	50
ABHD13	131	144	60	90	96	101	118	86
ABHD14A	33	36	20	19	98	46	62	46
ABHD14B	111	131	39	69	164	125	172	119
ABHD15	29	37	17	24	54	51	40	27
ABHD16A	224	258	97	150	333	252	392	233
ABHD16B	5	4	1	1	47	44	41	32
ABHD17A	3	6	1	3	34	32	32	27
ABHD17B	333	429	196	240	410	342	383	260
ABHD17C	164	210	81	105	86	81	70	59
ABHD18	224	265	96	107	368	310	315	250
ABHD2	485	648	219	336	423	433	402	393
ABHD3	390	502	176	274	287	237	330	205
ABHD4	105	137	49	81	56	57	31	35
ABHD5	188	202	73	101	501	416	484	365
ABHD6	92	132	51	41	155	116	109	72
ABHD8	256	361	119	149	127	101	88	101
ABI1	776	873	391	471	551	486	607	410
ABI2	470	471	194	267	634	553	664	503
ABI3BP	1	4	4	3	38	40	31	23
ABL1	479	668	228	343	1011	945	779	817
ABL2	286	274	149	147	1162	1002	927	970
ABLIM1	556	584	237	313	527	508	566	425
ABLIM2	10	16	7	9	19	16	19	14
ABR	1046	1261	498	698	454	416	392	320
ABRACL	671	762	365	434	406	409	379	255
ABRAXAS1	94	107	57	46	222	211	224	194
ABRAXAS2	560	576	261	315	527	454	499	344
ABT1	601	845	311	456	1036	989	1092	737
ABTB1	32	50	25	22	16	22	14	25
ABTB2	188	203	75	97	123	102	94	92
AC003665.1	67	88	31	58	28	21	36	22
AC004080.3	15	30	11	12	55	52	45	31
AC004475.1	344	529	197	281	538	481	509	420
AC004832.3	1	6	0	6	109	68	109	64
AC005324.3	2	1	0	3	18	20	14	15
AC005520.1	65	57	15	36	28	35	33	13
AC006213.1	226	305	120	135	105	80	71	58
AC007950.1	569	650	258	351	488	396	399	319
AC008403.1	24	21	6	8	40	49	32	30
AC008581.2	3	2	1	2	11	19	12	10
AC008755.1	778	972	376	471	982	939	621	735
AC008878.3	0	0	0	0	13	18	18	19
AC009133.6	150	200	72	91	28	30	25	19
AC010618.1	673	1000	361	490	425	351	317	270
AC010761.1	22	30	13	15	66	53	59	50
AC011462.1	387	431	162	235	70	52	39	54
AC011481.1	839	1137	453	638	1387	1321	1369	1052
AC011529.1	47	56	18	33	78	65	62	82
AC017083.3	128	179	67	98	44	44	34	33
AC018523.2	0	2	3	1	35	33	36	19
AC018630.2	6	7	1	3	52	39	44	27
AC022826.2	13	21	4	7	34	33	27	26
AC023055.1	42	32	18	12	55	38	48	35
AC025287.4	0	0	0	0	35	20	17	19
AC026464.4	55	98	51	57	51	46	44	30
AC026470.1	374	413	132	178	707	687	665	533
AC026786.1	20	26	13	20	38	28	28	23
AC026954.2	14	8	4	5	21	17	22	18
AC048338.1	18	25	6	9	33	34	36	24
AC068580.4	49	99	29	43	60	56	46	42
AC068790.8	65	132	47	57	146	121	156	113
AC073610.2	177	216	73	126	55	55	55	41
AC073896.1	89	99	45	60	210	170	231	147
AC074143.1	48	47	19	24	24	26	12	25
AC079447.1	234	257	122	126	84	66	72	22
AC080038.1	198	205	68	93	125	107	122	97
AC087289.1	48	47	20	27	54	55	43	28
AC090004.1	0	0	0	0	120	79	121	98
AC091551.1	73	90	38	55	18	11	25	13
AC092073.1	0	1	2	1	134	118	90	117
AC092338.1	361	443	186	257	501	445	443	368
AC092647.5	169	165	80	99	37	40	34	12
AC092835.1	54	70	34	39	81	72	53	47
AC093323.1	62	84	28	50	40	55	28	19
AC093512.2	215	184	96	105	82	70	68	39
AC099489.1	2	5	3	2	130	104	108	118
AC104109.3	386	343	183	221	81	50	69	22
AC108488.2	12	9	3	6	22	13	18	15
AC117378.1	1603	1808	639	1059	339	359	339	157
AC118549.1	394	434	182	219	4005	3671	3872	2916
AC118553.2	6	3	0	4	18	29	16	11
AC118754.1	2	5	2	0	56	37	41	50
AC124319.1	778	885	356	446	2288	1880	1703	1828
AC129492.1	148	159	65	89	322	220	262	309
AC138811.2	261	282	122	192	106	76	92	33
AC139768.1	28	32	16	23	45	37	34	27
AC245033.1	1183	1348	666	778	3943	2641	6286	3302
ACAA1	505	616	266	328	546	488	489	386
ACAA2	1453	1543	690	885	567	556	484	344
ACACA	1747	2180	882	1168	4353	3895	3537	3250
ACACB	71	72	40	48	484	414	395	420
ACAD10	174	212	72	131	339	299	281	246
ACAD11	1139	1122	460	620	1535	1320	1289	941
ACAD8	142	191	75	96	424	415	397	305
ACAD9	976	1081	437	616	1103	982	963	847
ACADL	236	263	125	154	84	74	53	29
ACADM	2054	2066	889	1143	1953	1987	1846	1240
ACADS	307	296	112	154	163	145	169	108
ACADSB	1275	1230	536	657	400	375	389	310
ACADVL	791	855	359	503	1201	1037	1183	949
ACAP2	748	752	357	422	882	812	824	606
ACAP3	162	241	82	137	420	369	388	355
ACAT1	3167	3323	1416	1737	2467	2294	2209	1494
ACAT2	2775	3242	1443	1713	2710	2475	2503	1816
ACBD3	1243	1414	608	780	1510	1482	1550	1010
ACBD4	58	65	17	32	44	42	40	32
ACBD5	627	787	247	432	346	326	304	232
ACBD6	492	561	241	285	1167	1086	1143	864
ACBD7	251	408	168	198	30	34	29	20
ACCS	17	15	3	6	65	62	56	39
ACD	370	532	179	258	230	223	293	224
ACER2	11	11	7	8	30	19	20	24
ACER3	152	164	72	97	144	127	154	105
ACIN1	2769	3372	1423	1843	4623	4390	4517	3760
ACLY	8104	9216	3694	5021	9217	8141	9254	7874
ACMSD	0	1	0	2	25	15	15	22
ACO1	1082	1290	545	678	1151	1093	1075	796
ACO2	772	1065	366	614	1661	1442	1644	1373
ACOT1	19	27	19	10	26	18	19	11
ACOT11	21	15	5	8	25	18	12	26
ACOT13	631	557	245	284	384	350	323	210
ACOT2	128	186	55	93	140	128	119	60
ACOT7	2101	2892	1055	1396	546	541	482	400
ACOT8	328	399	141	192	236	179	218	170
ACOT9	851	940	404	515	583	517	508	414
ACOX1	1262	1485	608	808	968	939	887	715
ACOX3	114	168	54	89	285	260	233	239
ACP1	1301	1478	622	747	1107	976	959	612
ACP2	312	413	160	220	252	237	281	214
ACP4	1	1	0	0	27	25	49	46
ACP6	201	227	91	141	471	409	413	336
ACRV1	0	0	0	0	37	31	24	32
ACSBG2	1	2	0	1	12	15	12	20
ACSF2	193	187	70	103	149	123	130	110
ACSF3	328	407	147	209	460	416	447	403
ACSL1	965	1002	444	548	487	471	472	400
ACSL3	3216	3675	1586	1955	2675	2485	2404	1752
