	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
A1BG	29	43	16	19
A2M	3	5	1	5
AAAS	1441	1978	697	995
AACS	573	725	288	389
AADAT	98	118	53	70
AAGAB	1045	1276	527	622
AAK1	423	519	215	266
AAMDC	137	237	98	102
AAMP	3524	4702	1684	2256
AAR2	485	680	284	404
AARS	3687	4345	1599	2184
AARS2	406	596	190	268
AASDH	227	222	85	109
AASDHPPT	1747	1961	836	1120
AASS	410	585	249	394
AATF	1252	1561	670	876
ABCA1	6	4	2	3
ABCA2	330	342	124	271
ABCA3	445	531	209	307
ABCA5	242	261	110	132
ABCA7	115	128	35	76
ABCB1	948	1020	455	592
ABCB10	268	401	151	171
ABCB6	260	312	125	162
ABCB7	1262	1338	558	769
ABCB8	345	487	167	247
ABCB9	97	132	48	55
ABCC1	818	1064	452	541
ABCC10	276	341	129	175
ABCC2	7	4	2	2
ABCC4	817	932	418	482
ABCC5	383	520	218	260
ABCC8	11	13	3	8
ABCD1	60	61	24	35
ABCD3	2415	2732	1175	1475
ABCD4	168	200	65	93
ABCE1	2149	2364	1110	1269
ABCF1	2543	3108	1298	1715
ABCF2	26	48	13	24
ABCF3	468	589	241	276
ABCG2	134	118	46	49
ABHD1	3	1	2	2
ABHD10	842	918	391	517
ABHD11	206	289	98	157
ABHD12	290	317	116	165
ABHD12B	0	0	0	0
ABHD13	131	144	60	90
ABHD14A	39	44	25	24
ABHD14B	114	134	39	69
ABHD15	33	34	16	24
ABHD16A	216	248	94	144
ABHD17B	322	406	182	227
ABHD17C	164	210	81	105
ABHD18	224	265	96	107
ABHD2	485	648	219	336
ABHD3	384	468	171	258
ABHD4	105	137	49	81
ABHD5	188	202	73	101
ABHD6	92	132	51	41
ABHD8	258	354	120	149
ABI1	770	824	383	456
ABI2	470	471	194	267
ABI3BP	1	4	4	3
ABL1	479	668	228	343
ABL2	283	273	149	147
ABLIM1	559	587	239	315
ABR	1022	1240	485	677
ABRACL	671	762	365	434
ABRAXAS1	92	105	52	43
ABRAXAS2	560	576	261	315
ABT1	601	845	311	456
ABTB2	190	203	76	97
AC004475.1	340	524	198	276
AC004832.3	1	6	0	6
AC006213.1	226	305	120	135
AC007950.1	569	650	258	351
AC008755.1	779	970	377	467
AC010618.1	673	1000	361	490
AC010761.1	22	30	13	15
AC011462.1	379	420	156	225
AC011481.1	839	1137	453	638
AC011529.1	47	56	18	33
AC023055.1	305	318	135	173
AC026464.4	55	98	51	57
AC026470.1	375	408	133	178
AC068790.8	65	132	47	57
AC068831.7	20	42	12	14
AC073896.1	18	44	8	20
AC080038.1	198	205	68	93
AC087289.1	49	46	18	25
AC090004.1	0	0	0	0
AC092073.1	0	1	2	1
AC092338.1	360	441	180	256
AC092835.1	54	70	34	39
AC093512.2	215	184	96	105
AC099489.1	2	5	3	2
AC104109.3	855	1092	459	654
AC117378.1	1645	1936	685	1110
AC118549.1	391	426	179	219
AC124319.1	778	885	356	446
AC129492.1	143	153	63	85
AC138811.2	1693	2366	993	1346
AC245033.1	958	1648	601	889
ACAA1	483	607	255	320
ACAA2	1418	1508	678	873
ACACA	1749	2176	883	1166
ACACB	71	72	40	48
ACAD10	174	212	72	131
ACAD11	1117	1109	460	611
ACAD8	142	191	75	96
ACAD9	976	1081	437	616
ACADL	220	253	123	151
ACADM	2054	2066	889	1143
ACADS	307	296	112	154
ACADSB	1275	1230	536	657
ACADVL	791	855	359	503
ACAP2	735	723	350	414
ACAP3	157	231	75	133
ACAT1	3167	3323	1416	1737
ACAT2	2775	3242	1443	1713
ACBD3	1235	1397	598	769
ACBD5	618	779	239	428
ACBD6	460	510	211	264
ACCS	17	15	3	6
ACD	370	531	178	258
ACER3	152	164	72	97
ACIN1	2713	3307	1382	1788
ACLY	7968	9087	3621	4959
ACO1	1082	1290	545	678
ACO2	772	1065	366	614
ACOT13	631	557	245	284
ACOT2	128	186	55	93
ACOT7	2118	2896	1057	1392
ACOT8	289	353	130	162
ACOT9	804	870	389	489
ACOX1	1266	1465	607	793
ACOX3	108	154	48	82
ACP1	1301	1478	622	747
ACP2	312	404	157	215
ACP4	1	1	0	0
ACP6	200	223	89	136
ACSF2	193	187	70	103
ACSF3	328	407	147	209
ACSL1	891	929	421	513
ACSL3	3216	3675	1586	1955
ACSL4	1993	2161	905	1135
ACSM3	62	52	22	27
ACSS1	304	386	154	225
ACSS2	159	223	57	91
ACSS3	189	211	88	107
ACTA2	430	702	256	373
ACTB	26266	31775	12597	18044
ACTG1	20421	26175	10257	15314
ACTL6A	2020	2416	1004	1231
ACTN1	2009	2715	1023	1475
ACTN2	7	22	5	10
ACTN4	9078	12164	4672	6591
ACTR10	1331	1446	674	773
ACTR1A	2511	3185	1186	1609
ACTR1B	213	286	114	170
ACTR2	1820	2290	880	1224
ACTR3	2662	3031	1348	1652
ACTR3B	59	80	24	35
ACTR5	196	266	77	136
ACTR6	1402	1422	604	760
ACTR8	720	797	336	454
ACTRT3	41	26	17	20
ACVR1	162	160	76	94
ACVR1B	347	519	195	266
ACVR1C	18	26	6	14
ACVR2A	224	291	111	145
ACVR2B	93	129	33	72
ACYP1	213	211	77	120
ACYP2	60	78	22	25
ADA	284	281	121	136
ADAL	123	108	49	60
ADAM10	852	907	381	550
ADAM11	102	130	40	67
ADAM15	521	675	247	354
ADAM17	259	357	147	182
ADAM19	43	51	19	17
ADAM22	107	103	38	68
ADAM23	180	221	70	98
ADAM9	804	885	341	457
ADAMTS1	4765	6225	2244	2961
ADAMTS13	21	8	13	15
ADAMTS17	35	59	16	20
ADAMTS19	138	183	69	95
ADAMTS2	73	79	24	27
ADAMTS20	51	48	22	48
ADAMTS3	135	156	72	90
ADAMTS6	9	5	2	3
ADAMTS9	32	35	17	12
ADAMTSL4	9	6	1	4
ADAP1	13	24	7	8
ADAP2	49	48	21	37
ADAR	4151	4810	1830	2507
ADARB1	107	199	48	64
ADAT1	135	124	62	65
ADAT2	116	112	30	59
ADAT3	53	100	24	34
ADCK1	114	150	58	75
ADCK2	524	627	208	293
ADCK5	18	29	8	8
ADCY1	37	22	13	11
ADCY3	501	617	228	328
ADCY6	413	556	191	262
ADCY7	73	63	22	40
ADCY9	297	360	158	207
ADCYAP1R1	12	20	6	5
ADD1	1651	2058	787	1111
ADD2	339	445	123	172
ADD3	1747	1975	773	1080
ADGRA2	28	38	10	17
ADGRA3	170	195	76	94
ADGRB2	54	48	24	38
ADGRB3	14	11	8	7
ADGRE5	1085	1296	484	669
ADGRG6	395	394	154	212
ADGRL1	276	283	104	123
ADGRL2	860	982	400	541
ADGRL3	80	98	27	53
ADGRV1	546	609	288	338
ADH5	713	1002	352	489
ADI1	694	1011	351	556
ADIPOR1	450	561	211	291
ADIPOR2	760	973	377	486
ADK	1289	1354	582	702
ADM	89	154	44	85
ADNP	2253	2581	1103	1376
ADNP2	674	761	329	388
ADO	228	323	114	166
ADORA2A	19	7	4	6
ADORA2B	101	91	38	43
ADPGK	528	677	236	335
ADPRHL1	32	32	19	15
ADPRHL2	524	671	255	419
ADPRM	50	62	29	35
ADRA2C	9	9	9	8
ADRM1	2823	4391	1514	2230
ADSL	2915	3184	1366	1858
ADSS	1122	1514	618	714
AEBP2	617	799	311	413
AEN	653	1044	409	567
AES	1266	1570	586	875
AFAP1	141	187	69	100
AFAP1L1	114	105	46	46
AFDN	1798	2196	930	1187
AFF1	629	692	304	368
AFF3	206	239	87	161
AFF4	2212	2311	1037	1279
AFG1L	165	204	85	119
AFG3L2	1192	1421	591	706
AFMID	207	300	114	139
AFTPH	320	405	156	185
AGA	296	342	122	181
AGAP1	182	266	97	151
AGAP2	54	59	25	43
AGAP3	547	736	231	323
AGAP6	1	3	3	2
AGAP9	2	3	0	0
AGBL3	21	20	3	21
AGBL5	271	322	104	138
AGER	5	3	1	2
AGFG1	1637	1837	777	1095
AGFG2	121	172	62	87
AGGF1	203	154	81	98
AGK	800	1129	466	672
AGL	1825	1894	826	1032
AGMAT	2	2	0	2
AGO1	592	737	285	360
AGO2	734	883	357	501
AGO3	298	298	136	168
AGO4	116	113	42	57
AGPAT1	584	718	254	333
AGPAT2	495	625	246	364
AGPAT3	423	537	195	227
AGPAT4	199	235	107	108
AGPAT5	438	508	178	239
AGPS	1989	2308	945	1286
AGRN	1040	1668	597	804
AGTPBP1	891	1016	438	570
AGTRAP	390	579	225	292
AHCTF1	253	334	137	156
AHCY	3021	4258	1584	2156
AHCYL1	1690	1831	795	1022
AHCYL2	304	383	153	228
AHDC1	179	241	94	92
AHI1	324	332	160	171
