"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HNRNPA1"	861.992473645134	0.585518568814573	0.138350219086812	4.23214775285011	2.3147025912549e-05	0.272671965249827
"KCNQ2"	103.36346857967	-1.13363714610324	0.302846431016903	-3.74327391706976	0.000181638033780808	0.365443484199139
"RPL3"	5929.74985620168	0.328624798599074	0.0870127805520137	3.77674172132255	0.000158893349340694	0.365443484199139
"RPL32"	3840.19817865056	0.313902665600246	0.084880462775603	3.69817335268429	0.000217156569558062	0.365443484199139
"RPL37A"	9260.31814523891	0.362972084566996	0.095302172383688	3.80864439380946	0.000139730740862329	0.365443484199139
"RPS19"	13369.4886541966	0.347186843966845	0.0931142393871998	3.72861171665836	0.000192537549983536	0.365443484199139
"TSC22D3"	427.669907561936	-0.545556123037821	0.144393719714476	-3.77825381960242	0.000157931869073274	0.365443484199139
"SRSF5"	2192.51830010401	0.329811524257955	0.0909458293605645	3.62646123056816	0.000287331936321355	0.423096276233196
"TPT1"	2453.61825094956	0.326233048104493	0.0923223830819372	3.53362897722167	0.000409896041189958	0.536508373913079
"A1BG"	24.8448408935841	-0.0342793369476663	0.523210800354525	-0.0655172579091234	0.947762166032373	0.999988455051991
"A2M"	3.32566115119743	0.518959272727757	1.41497989641778	0.366760880519628	0.713797390022924	0.999988455051991
"AAAS"	1184.91907510401	-0.0236560917344244	0.111604839064542	-0.21196295727593	0.83213593348232	0.999988455051991
"AACS"	463.597878991607	0.0517839407716042	0.138844652314725	0.372963163566597	0.709175860278716	0.999988455051991
"AADAT"	80.9020876275408	0.177373429771434	0.293068524189674	0.605228522107128	0.545027166927684	0.999988455051991
"AAGAB"	811.901266176848	-0.015457315820903	0.117339989366036	-0.131731014332077	0.895197053390814	0.999988455051991
"AAK1"	334.09343873319	0.0254162863993729	0.157517254035998	0.16135557056857	0.871813357619888	0.999988455051991
"AAMDC"	135.655664120365	0.122237123287219	0.256392009469645	0.476758708432726	0.633533951998282	0.999988455051991
