	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
A1BG	70	77	77	86
A2M	74	59	57	55
AAAS	1173	1090	1222	909
AACS	351	335	288	294
AADAT	329	325	326	246
AAGAB	1518	1420	1345	953
AAK1	295	245	167	245
AAMDC	255	263	270	198
AAMP	3489	3336	3098	2263
AAR2	549	469	621	430
AARS	4054	3788	3936	3166
AARS2	1275	1114	1092	929
AASDH	893	779	824	641
AASDHPPT	1510	1391	1338	985
AASS	1243	1178	1185	865
AATF	1560	1569	1485	1119
AATK	43	38	34	22
ABAT	37	24	40	23
ABCA1	74	86	43	56
ABCA10	26	22	15	19
ABCA12	49	32	48	41
ABCA2	390	313	311	329
ABCA3	707	555	569	556
ABCA5	565	483	548	450
ABCA7	299	249	240	225
ABCB1	153	159	182	153
ABCB10	1414	1305	1292	1035
ABCB4	28	17	17	17
ABCB6	338	249	279	247
ABCB7	1568	1402	1536	1036
ABCB8	365	286	323	276
ABCB9	154	136	159	112
ABCC1	1114	827	790	930
ABCC10	569	426	440	464
ABCC2	59	63	55	70
ABCC4	1661	1520	1359	1127
ABCC5	996	912	827	782
ABCC6	21	37	26	29
ABCC8	54	45	47	39
ABCD1	46	37	42	46
ABCD2	21	19	19	14
ABCD3	2754	2541	2426	1743
ABCD4	617	580	534	469
ABCE1	3873	3640	3886	2705
ABCF1	2623	2595	2634	2104
ABCF2	97	93	110	117
ABCF3	619	593	507	460
ABCG1	25	19	19	10
ABCG2	65	45	74	43
ABHD1	47	48	49	50
ABHD10	883	834	834	576
ABHD11	199	138	136	118
ABHD12	330	297	327	259
ABHD12B	51	35	36	50
ABHD13	96	101	118	86
ABHD14A	98	46	62	46
ABHD14B	164	125	172	119
ABHD15	54	51	40	27
ABHD16A	333	252	392	233
ABHD16B	47	44	41	32
ABHD17A	34	32	32	27
ABHD17B	410	342	383	260
ABHD17C	86	81	70	59
ABHD18	368	310	315	250
ABHD2	423	433	402	393
ABHD3	287	237	330	205
ABHD4	56	57	31	35
ABHD5	501	416	484	365
ABHD6	155	116	109	72
ABHD8	127	101	88	101
ABI1	551	486	607	410
ABI2	634	553	664	503
ABI3BP	38	40	31	23
ABL1	1011	945	779	817
ABL2	1162	1002	927	970
ABLIM1	527	508	566	425
ABLIM2	19	16	19	14
ABR	454	416	392	320
ABRACL	406	409	379	255
ABRAXAS1	222	211	224	194
ABRAXAS2	527	454	499	344
ABT1	1036	989	1092	737
ABTB1	16	22	14	25
ABTB2	123	102	94	92
AC003665.1	28	21	36	22
AC004080.3	55	52	45	31
AC004475.1	538	481	509	420
AC004832.3	109	68	109	64
AC005324.3	18	20	14	15
AC005520.1	28	35	33	13
AC006213.1	105	80	71	58
AC007950.1	488	396	399	319
AC008403.1	40	49	32	30
AC008581.2	11	19	12	10
AC008755.1	982	939	621	735
AC008878.3	13	18	18	19
AC009133.6	28	30	25	19
AC010618.1	425	351	317	270
AC010761.1	66	53	59	50
AC011462.1	70	52	39	54
AC011481.1	1387	1321	1369	1052
AC011529.1	78	65	62	82
AC017083.3	44	44	34	33
AC018523.2	35	33	36	19
AC018630.2	52	39	44	27
AC022826.2	34	33	27	26
AC023055.1	55	38	48	35
AC025287.4	35	20	17	19
AC026464.4	51	46	44	30
AC026470.1	707	687	665	533
AC026786.1	38	28	28	23
AC026954.2	21	17	22	18
AC048338.1	33	34	36	24
AC068580.4	60	56	46	42
AC068790.8	146	121	156	113
AC073610.2	55	55	55	41
AC073896.1	210	170	231	147
AC074143.1	24	26	12	25
AC079447.1	84	66	72	22
AC080038.1	125	107	122	97
AC087289.1	54	55	43	28
AC090004.1	120	79	121	98
AC091551.1	18	11	25	13
AC092073.1	134	118	90	117
AC092338.1	501	445	443	368
AC092647.5	37	40	34	12
AC092835.1	81	72	53	47
AC093323.1	40	55	28	19
AC093512.2	82	70	68	39
AC099489.1	130	104	108	118
AC104109.3	81	50	69	22
AC108488.2	22	13	18	15
AC117378.1	339	359	339	157
AC118549.1	4005	3671	3872	2916
AC118553.2	18	29	16	11
AC118754.1	56	37	41	50
AC124319.1	2288	1880	1703	1828
AC129492.1	322	220	262	309
AC138811.2	106	76	92	33
AC139768.1	45	37	34	27
AC245033.1	3943	2641	6286	3302
ACAA1	546	488	489	386
ACAA2	567	556	484	344
ACACA	4353	3895	3537	3250
ACACB	484	414	395	420
ACAD10	339	299	281	246
ACAD11	1535	1320	1289	941
ACAD8	424	415	397	305
ACAD9	1103	982	963	847
ACADL	84	74	53	29
ACADM	1953	1987	1846	1240
ACADS	163	145	169	108
ACADSB	400	375	389	310
ACADVL	1201	1037	1183	949
ACAP2	882	812	824	606
ACAP3	420	369	388	355
ACAT1	2467	2294	2209	1494
ACAT2	2710	2475	2503	1816
ACBD3	1510	1482	1550	1010
ACBD4	44	42	40	32
ACBD5	346	326	304	232
ACBD6	1167	1086	1143	864
ACBD7	30	34	29	20
ACCS	65	62	56	39
ACD	230	223	293	224
ACER2	30	19	20	24
ACER3	144	127	154	105
ACIN1	4623	4390	4517	3760
ACLY	9217	8141	9254	7874
ACMSD	25	15	15	22
ACO1	1151	1093	1075	796
ACO2	1661	1442	1644	1373
ACOT1	26	18	19	11
ACOT11	25	18	12	26
ACOT13	384	350	323	210
ACOT2	140	128	119	60
ACOT7	546	541	482	400
ACOT8	236	179	218	170
ACOT9	583	517	508	414
ACOX1	968	939	887	715
ACOX3	285	260	233	239
ACP1	1107	976	959	612
ACP2	252	237	281	214
ACP4	27	25	49	46
ACP6	471	409	413	336
ACRV1	37	31	24	32
ACSBG2	12	15	12	20
ACSF2	149	123	130	110
ACSF3	460	416	447	403
ACSL1	487	471	472	400
ACSL3	2675	2485	2404	1752
ACSL4	1299	1240	1165	908
ACSM3	173	151	118	100
ACSS1	233	232	203	195
ACSS2	285	244	273	233
ACSS3	59	62	45	45
ACTA2	77	63	77	60
ACTB	17010	15507	17772	15271
ACTG1	18963	16603	23790	17390
ACTL6A	1072	1032	1170	766
ACTN1	1429	1219	1276	1290
ACTN2	194	180	131	141
ACTN4	2388	2095	2156	2152
ACTR10	806	792	831	580
ACTR1A	1795	1597	1751	1305
ACTR1B	523	460	472	361
ACTR2	2393	2286	2053	1780
ACTR3	2590	2446	2603	1740
ACTR3B	247	178	160	158
ACTR3C	22	20	15	12
ACTR5	413	354	316	278
ACTR6	1029	1079	950	676
ACTR8	1761	1621	1676	1233
ACTRT3	59	75	54	43
ACVR1	130	75	86	105
ACVR1B	322	329	322	242
ACVR1C	32	36	33	33
ACVR2A	304	285	297	212
ACVR2B	496	437	426	382
ACYP1	155	158	155	96
ACYP2	37	37	45	36
AD000864.1	57	51	38	44
ADA	200	179	174	106
ADAL	184	168	199	157
ADAM10	940	875	834	717
ADAM11	131	121	133	117
ADAM15	1004	828	1036	748
ADAM17	899	862	776	606
ADAM19	51	68	58	43
ADAM22	406	346	389	308
ADAM23	292	283	270	238
ADAM32	21	33	20	21
ADAM8	36	31	28	28
ADAM9	1994	1943	1882	1347
ADAMTS1	845	758	786	620
ADAMTS10	11	12	16	15
ADAMTS13	161	111	107	128
ADAMTS15	47	22	35	14
ADAMTS17	259	241	190	219
ADAMTS19	210	196	174	173
ADAMTS2	47	27	25	34
ADAMTS20	307	252	257	194
ADAMTS3	259	275	264	200
ADAMTS6	68	68	68	58
ADAMTS7	50	43	44	49
ADAMTS9	298	280	236	232
ADAMTSL3	42	38	41	22
ADAMTSL4	40	40	48	62
ADAP1	59	60	75	59
ADAP2	83	77	63	49
ADAR	5993	5227	5372	4535
ADARB1	354	284	318	320
ADAT1	550	455	409	417
ADAT2	340	331	245	211
ADAT3	58	59	45	31
ADCK1	184	185	165	157
ADCK2	593	555	534	425
ADCK5	66	62	66	45
ADCY1	392	341	346	292
ADCY3	1217	1055	1180	1027
ADCY6	386	323	330	275
ADCY7	103	83	95	82
ADCY9	615	562	459	446
ADCYAP1R1	25	25	34	27
ADD1	1370	1395	1316	1162
ADD2	479	455	407	428
ADD3	1347	1188	1403	993
ADGRA2	92	65	74	63
ADGRA3	1075	942	955	761
ADGRB2	279	240	241	222
ADGRB3	363	327	326	265
ADGRE5	93	57	51	48
ADGRG2	53	34	19	27
ADGRG6	105	107	95	80
ADGRL1	834	640	609	730
ADGRL2	2653	2299	2672	1966
ADGRL3	515	435	481	358
ADGRV1	3356	3098	3109	2534
ADH5	1513	1451	1578	1063
ADI1	1237	1233	1082	831
ADIPOR1	1565	1435	1601	1174
ADIPOR2	643	627	740	572
ADK	862	838	800	605
ADM	38	42	57	40
ADNP	3299	2794	2310	2685
ADNP2	1432	1246	1286	1027
ADO	161	182	151	110
ADORA2A	39	25	39	31
ADORA2B	157	127	171	110
ADPGK	969	816	925	687
ADPRHL1	55	47	38	29
ADPRHL2	524	496	487	371
ADPRM	102	88	107	79
ADRA2C	44	54	67	30
ADRM1	1490	1396	1464	1173
ADSL	4094	3778	4108	2916
ADSS	2699	2808	2453	1761
ADSSL1	13	10	13	10
AEBP2	525	423	367	370
AEN	655	598	737	478
AES	223	190	245	194
AFAP1	258	281	213	209
AFAP1L1	100	87	102	82
AFDN	4857	4431	4019	3435
AFF1	536	436	384	488
AFF3	141	113	121	142
AFF4	2177	1794	1900	1799
AFG1L	183	184	179	133
AFG3L2	2560	2396	2213	1778
AFMID	252	233	187	166
AFTPH	783	653	718	552
AGA	261	246	233	154
AGAP1	565	567	517	519
AGAP2	83	86	91	69
AGAP3	1016	801	878	767
AGAP5	35	24	24	35
AGAP6	121	84	127	128
AGAP9	152	140	124	122
AGBL3	72	77	60	54
AGBL5	1387	1099	1330	988
AGER	68	62	39	38
AGFG1	1237	973	1254	907
AGFG2	102	75	93	67
AGGF1	219	218	240	144
AGK	1127	967	988	758
AGL	2885	2468	2549	2065
AGMAT	58	47	42	36
AGO1	1139	982	929	895
AGO2	1084	864	950	896
AGO3	808	730	748	664
AGO4	306	272	273	223
AGPAT1	280	251	263	297
AGPAT2	141	128	153	135
AGPAT3	502	432	385	426
AGPAT4	337	327	296	230
AGPAT5	525	574	462	374
AGPS	2017	2150	1983	1469
AGRN	702	571	494	540
AGTPBP1	2811	2706	2565	1955
AGTRAP	169	133	161	129
AHCTF1	1776	1630	1613	1412
AHCY	3649	3158	4253	2865
AHCYL1	1341	1192	1289	1116
AHCYL2	291	286	236	199
AHDC1	107	55	44	84
AHI1	1214	1103	1145	933
AHNAK	1967	2066	1520	1431
AHNAK2	282	223	265	225
AHR	28	13	37	15
AHSA1	3620	3401	3456	2433
AIF1L	151	131	101	92
AIFM1	2408	2329	2424	1908
AIFM2	84	95	74	56
AIG1	510	418	412	303
AIMP1	1217	1202	1167	888
AIMP2	1482	1373	1432	967
AIP	594	562	628	396
AJUBA	139	137	94	86
AK1	375	358	324	281
AK2	1885	1982	1786	1331
AK3	293	266	259	191
AK4	73	87	32	23
AK5	21	22	12	12
AK6	778	725	679	484
AK7	38	37	38	24
AK8	26	29	24	18
AK9	89	96	81	61
AKAP1	2226	2028	2092	1745
AKAP10	961	797	853	669
AKAP11	3358	3155	2727	2459
AKAP12	3951	3786	3443	2766
AKAP13	2881	2493	2373	2199
AKAP17A	470	456	441	352
AKAP5	133	119	121	80
AKAP6	167	134	126	138
AKAP7	159	180	125	119
AKAP8	941	920	887	724
AKAP8L	1268	1192	1250	1054
AKAP9	5034	4878	4973	3862
AKIP1	242	163	178	128
AKIRIN1	400	348	376	230
AKIRIN2	196	166	175	184
AKNA	46	44	42	42
AKR1A1	777	648	660	550
AKR1B1	1308	1194	1339	1069
AKR7A2	603	545	612	450
AKR7A3	36	21	27	21
AKT1	1290	1120	1286	936
AKT1S1	153	140	147	128
AKT2	957	850	965	831
AKT3	1203	1065	970	778
AKTIP	146	158	141	96
AL022238.4	17	24	18	13
AL022312.1	178	161	137	111
AL031777.3	50	69	88	32
AL034430.1	136	135	144	98
AL034430.2	213	196	207	120
AL049629.2	57	35	51	35
AL109811.3	67	60	81	72
AL109827.1	149	118	151	100
AL121753.1	111	104	118	99
AL121768.1	1124	1106	913	776
AL135905.2	30	38	45	28
AL136295.1	31	37	33	34
AL139011.2	78	70	81	55
AL139260.3	72	60	52	23
AL139300.1	25	19	17	23
AL157935.2	44	37	40	39
AL162171.1	201	175	148	128
AL162231.1	28	23	29	17
AL358472.7	156	147	153	85
ALAD	166	134	120	108
ALAS1	1120	1061	1190	873
ALCAM	1183	1035	1190	744
ALDH16A1	633	576	505	426
ALDH18A1	4826	4327	4375	3202
ALDH1A2	1130	1083	997	726
ALDH1A3	30	37	27	24
ALDH1B1	1148	1080	1040	761
ALDH1L2	680	645	532	497
ALDH2	229	228	265	170
ALDH3A1	21	14	21	11
ALDH3A2	1934	1706	1646	1258
ALDH4A1	150	120	158	140
ALDH5A1	399	469	390	288
ALDH6A1	456	395	393	324
ALDH7A1	980	855	780	699
ALDH8A1	32	27	22	41
ALDH9A1	1886	1736	1888	1233
ALDOA	804	711	1037	556
ALDOC	53	43	52	50
ALG1	412	314	394	279
ALG10	205	163	268	165
ALG10B	99	73	116	85
ALG11	443	431	422	321
