"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HIST3H2BB"	2280.07046598253	0.802455648463254	0.158302969686204	5.06911304351346	3.99673810636349e-07	0.00475491932514064
"RPS17"	4955.80445460352	-0.562913857711807	0.120954136110464	-4.65394467534134	3.25644212608536e-06	0.0193709459870188
"HSPA1B"	600.478906847915	0.676300534057999	0.151244516745829	4.47157059713141	7.76472181007843e-06	0.0307922984581677
"TIMM8B"	342.317769314948	-0.779509393259971	0.190284725662442	-4.09654211890234	4.19367216443813e-05	0.124730294350801
"DAZAP2"	414.465802633385	0.68622190353958	0.171093980872417	4.01078927523049	6.05161046450033e-05	0.143992019392321
"ACTG1"	18724.2999781679	0.421290993377452	0.110136760826277	3.82516237282457	0.000130685923905361	0.188472513667451
"MRPS26"	854.284899360926	-0.586079898838367	0.150728721219249	-3.88830936862961	0.00010094490869605	0.188472513667451
"SRF"	382.330450376855	0.65743022424378	0.172261102784243	3.81647518573714	0.000135371682421981	0.188472513667451
"TMEM123"	721.506209819353	0.617945363778618	0.162461048159105	3.8036524494994	0.000142578181306805	0.188472513667451
"RPL9"	1402.24985365506	-0.499576321891945	0.132290924320368	-3.77634614361091	0.000159145788239224	0.189335744268205
"ERGIC1"	458.416250696581	0.639855595118852	0.173906271045784	3.67931294984985	0.000233863145075802	0.203192489238875
"ID2"	438.854961123386	0.708008980909375	0.190909687905955	3.70860687414748	0.000208402696196555	0.203192489238875
"RPL13A"	5189.29096777051	-0.462166593285908	0.125656484474933	-3.67801626169245	0.000235054977060326	0.203192489238875
"RPL41"	104.620534798266	-1.27889030995337	0.348125252476671	-3.6736499316121	0.000239110267239157	0.203192489238875
"PTMS"	349.372948717931	-0.782267805460496	0.217536107392098	-3.59603660669765	0.00032310235205909	0.256263245496466
"TEX261"	98.0784916517788	1.0868524933639	0.304339282362465	3.57118701512041	0.000355367031047823	0.264237598023497
"SLC29A1"	525.708371583311	0.566542638367204	0.162366780036546	3.48927679812143	0.000484329345215179	0.33338709155682
"WAC"	1248.28969266832	0.50649451529321	0.145611205302784	3.47840342534084	0.000504410157856834	0.33338709155682
"FAM53C"	417.796778344117	0.591353235152766	0.171414437570019	3.44984496951263	0.000560908570250109	0.35121732948766
"ROMO1"	702.189860197696	-0.528401132277424	0.154980568156495	-3.40946699681639	0.000650899529115963	0.387187584894631
"ARF1"	2960.38986777155	0.406780417697199	0.120976834904858	3.36246536799471	0.0007724981530903	0.417745933059786
