"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RPS20"	4546.22621711379	0.694936940916634	0.148896265123471	4.66725569201056	3.05249369899295e-06	0.00292734145733424
"POTEE"	2201.48586578875	0.907792331225506	0.214950387716937	4.22326445124144	2.40789007707205e-05	0.0115458329195605
"ARF1"	2712.27019193544	-0.561934080610788	0.140875326687885	-3.98887508424932	6.63873672355925e-05	0.0212218283929777
"HIST2H2BE"	10331.2252004405	-0.697575284844497	0.184990104413451	-3.77087891839567	0.000162673593235511	0.0312007951825711
"HSPA1B"	12935.1155515139	-0.660518978273278	0.175031345509189	-3.77371822373725	0.000160832407952126	0.0312007951825711
"CKB"	10247.5814541778	-0.504309973621342	0.137215904404153	-3.6753026248033	0.000237567645211569	0.0376560346276086
"HSPA1A"	12390.1966007974	-0.633569790904175	0.174157727762211	-3.63790799894467	0.00027486156662488	0.0376560346276086
"HIST2H2BF"	10888.8391024092	-0.59630172523897	0.16824639495885	-3.5442169526712	0.000393781068118161	0.0472045055406646
"HIST1H2AD"	3246.03025270494	-0.563975550722907	0.161405024525424	-3.49416353289591	0.000475549624915661	0.0506724544771244
"ATF4"	3489.47096997327	-0.659890158168409	0.194093198792876	-3.3998623458857	0.000674197850827831	0.064655573894389
"HIST1H2BJ"	9668.80382843516	-0.668623915111037	0.198980208604923	-3.3602533628789	0.000778710240837247	0.0678893746329927
"RPL37A"	8771.58170845666	0.685076093481938	0.207101933813823	3.30791741470553	0.000939925229772424	0.0693375611809042
"RPS19"	13535.5798355696	0.49235804624587	0.148675851203464	3.3116208332453	0.000927571721284441	0.0693375611809042
"HIST1H2BN"	6883.54179655459	-0.650908243671233	0.198607580651222	-3.27735850533473	0.00104783233499004	0.071776514946818
"RPS27A"	8907.76325910019	0.450991373083939	0.141519550698816	3.18677787526152	0.00143867216526372	0.0862304129054939
"SRSF5"	2105.51696796994	0.510334634300577	0.160119336274808	3.18721427513729	0.00143650310135143	0.0862304129054939
"RPL29"	7315.29906002044	-0.639075745420335	0.204329262929772	-3.12767606683916	0.00176194253586231	0.0993942877583503
"HIST1H2AB"	1985.66402098362	-0.520519097850068	0.173226681443595	-3.00484367368983	0.00265717379791705	0.135300004050204
"RPS3A"	19988.3595824084	0.425967526827611	0.141886439951172	3.00217220880446	0.00268060487690706	0.135300004050204
"RPL21"	9901.27722909634	0.425290056327438	0.144196783514102	2.94937269724775	0.0031841972534387	0.152682258302386
"RPS23"	11767.3666159385	0.47424683154825	0.16372837429241	2.8965463903115	0.00377294855001916	0.164466257248563
"SUB1"	2469.04411165454	0.438301901347953	0.151281162052456	2.89726688638189	0.00376429374437026	0.164466257248563
"HIST1H2AJ"	4229.82838567019	-0.409117007812216	0.145436982316976	-2.81301909111781	0.00490787372223859	0.204636995635948
"ACTG1"	22315.4429175625	-0.369710307039452	0.132254951739454	-2.79543640655354	0.00518296976662418	0.207102833591358
"SCD"	2854.96425619527	-0.377786115714493	0.135866292069823	-2.78057279667532	0.00542630921568502	0.208153221513677
"PSMD8"	4488.11654778596	-0.465679241669431	0.168844456667719	-2.75803689893044	0.00581496336277582	0.214482687111616
"TUBB2A"	2337.68720536919	-0.404349950634467	0.148565095504131	-2.72170222260062	0.0064946635240535	0.230680826650641
"RPS6"	23130.4331129424	0.400906372528065	0.148993351174911	2.69076686554569	0.00712879932250235	0.244161376795705
"TUBB"	22721.5935147709	-0.363551461660284	0.137275004218003	-2.64834420316563	0.00808871225197028	0.267485346539293
"TPT1"	6465.28959121088	0.4001466233721	0.15347010325039	2.60732621466508	0.00912523784302435	0.291703436382012
"MACF1"	2531.93134246981	0.475847584522118	0.186400982488384	2.5528169335254	0.010685564318142	0.321519732554859
"RPS13"	6375.16182056009	0.366378304289767	0.143597810933867	2.55141984342993	0.0107284999392654	0.321519732554859
"RPL13A"	8859.87317176564	0.392075877103908	0.156591064742863	2.50382023870731	0.0122860438896812	0.357039881521343
"TUBB2B"	2415.71785694326	-0.352038576147704	0.143006012513945	-2.46170472107511	0.0138278456870191	0.390026588642685
"CCNG1"	2126.65408575295	0.378928525377435	0.156167851591815	2.426418251356	0.0152486852856666	0.41277919076565
"HSPA8"	32509.184112348	-0.383926168938016	0.158608535329591	-2.42058958643184	0.0154953606543935	0.41277919076565
"BRD2"	4000.72950583541	-0.340892400683229	0.142584171514472	-2.39081517297752	0.0168110133858807	0.435723292893504
"TKT"	4832.49069436959	-0.305844176859659	0.130280729386885	-2.34757802093214	0.0188959152463955	0.476873229507718
"EEF1A1"	127963.688018408	0.362432958766761	0.16016512445591	2.26287064676512	0.0236436643331955	0.566856852388362
"RPL18"	7707.84788204024	0.364397244940241	0.160817778488091	2.26590149650168	0.0234574149795801	0.566856852388362
"SEC61A1"	1991.12996468931	-0.378437614378865	0.168375244048845	-2.24758465246282	0.0246026871195939	0.575462852382697
"HIST1H2BK"	13386.3441707513	-0.347434234636631	0.156097529988479	-2.22575100747765	0.0260308640909824	0.594371396744099
"RGPD1"	4351.7300144366	0.306601748887686	0.141224069119172	2.17103041145883	0.0299288736066837	0.641078581722617
"RPS10-NUDT3"	12315.8907203365	0.297148034879441	0.136605929988581	2.17522061380702	0.0296135881536229	0.641078581722617
"SHMT2"	2313.8054763014	-0.314376545893596	0.144940081844915	-2.16901040686577	0.0300818938243147	0.641078581722617
"STT3A"	2177.56000728015	-0.363965286880112	0.170740575509033	-2.13168595569631	0.0330326721384043	0.681926192493285
"UQCRH"	2161.97329276886	0.359669187011262	0.169097607681725	2.12699157570715	0.0334207831566052	0.681926192493285
"COX7A2"	1838.8048511498	0.418295618817493	0.203607088340173	2.05442562057876	0.0399345154521757	0.711486206049081
"DST"	2515.57885726488	0.316837444085394	0.154237295328034	2.05422069552983	0.0399543362371137	0.711486206049081
"HIST1H2AG"	5963.48081356424	-0.333842411496349	0.162977383358327	-2.04839717399532	0.0405210982241961	0.711486206049081
"MIF"	4818.01445729598	-0.435867452253581	0.211554128493794	-2.06031172899737	0.0393687493586227	0.711486206049081
"PTMA"	8795.88737893801	0.386555824603013	0.185170033652227	2.08757225442327	0.0368364369809441	0.711486206049081
"RGPD4"	2822.01007823018	0.289717319843557	0.141635830891533	2.04550866839215	0.0408047354876949	0.711486206049081
"RPL13"	10721.2608998881	0.283657937366831	0.1369204826626	2.07169834527843	0.0382935817628985	0.711486206049081
"RPL28"	2202.27807226818	0.302590745108391	0.147103673425206	2.05698972746756	0.0396872140075671	0.711486206049081
"BOLA2"	1917.41556952649	0.346924524646625	0.170802373961237	2.03114580085028	0.0422402065177672	0.723363536616764
"CALM1"	1798.29153864032	0.320315956750523	0.159888256340535	2.00337388174591	0.0451371727180387	0.735954229841908
"HIST2H2AC"	9690.30820359709	-0.300064041587563	0.150021205731458	-2.00014418044797	0.0454846972574488	0.735954229841908
"RGPD8"	3596.47748448008	0.276364785895817	0.138530130113344	1.99497961685085	0.0460451030140922	0.735954229841908
"RPL7"	15502.6567786608	0.283076811459791	0.141361328613589	2.00250531199789	0.0452304123734769	0.735954229841908
"RBM8A"	2044.64912348181	0.317185770123699	0.160213980690429	1.97976336869487	0.0477301242930929	0.750380150771739
"RGPD6"	7232.95914116719	0.262543878080574	0.133288632986232	1.96973944588128	0.0488682397016834	0.755881320547006
"HIST1H4C"	6515.1285466577	0.308577688885146	0.157477678429314	1.95950113033737	0.0500541276384165	0.761935054051451
"HIST1H2BC"	8284.28484403836	-0.645217876698349	0.331833332169464	-1.94440345242003	0.0518468178690033	0.776892161505846
"DDX5"	9945.97628046225	0.256379801969171	0.132473455416815	1.93532961877151	0.052949859945291	0.781214087500524
