"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ATF4"	4181.18588920149	2.55982624579352	0.146570037784597	17.4648672026374	2.65317883895357e-68	2.3658395706949e-64
"PTP4A1"	423.198340143998	2.45628366233632	0.196336531104177	12.5105788949332	6.53462556992538e-36	2.91346281035123e-32
"SPEN"	5964.81632761454	1.26989034405916	0.109314899174299	11.6168093613146	3.38544682165204e-31	1.00626764362237e-27
"RPL18A"	5997.42258283209	-1.26868773481787	0.113528366664831	-11.1750725575346	5.4006220530747e-29	1.20393367118168e-25
"RPS12"	5061.17570200822	-1.23555739916013	0.115172665257515	-10.7278701625732	7.53119752859717e-27	1.34311376725002e-23
"RPL29"	6363.44604307406	-1.49128740968511	0.13947282189749	-10.6923154590016	1.10575391311772e-26	1.64333460721178e-23
"RPS27"	4520.850914811	-1.34640434186056	0.138793838283441	-9.70075010902841	2.99290112958201e-22	3.81252848178326e-19
"RPL12"	6139.12767991478	-1.20816550601125	0.128056279355429	-9.43464476785164	3.92321341476357e-21	4.37291175243084e-18
"DYNC1H1"	9508.5725855893	0.915900536554991	0.0974714283697983	9.39660526036555	5.63518772330155e-21	5.13701489214721e-18
"RPL27A"	5330.12880741471	-1.06364054492945	0.113270473060536	-9.39027194104682	5.98455421770654e-21	5.13701489214721e-18
"RPLP0"	13146.37944729	-0.964228078886492	0.102749694812137	-9.38424275273467	6.33701511871922e-21	5.13701489214721e-18
"RPS15A"	6618.90813598496	-0.943948258911483	0.10345652054884	-9.12410599065008	7.23307616435913e-20	5.37477834646586e-17
"KMT2D"	1442.93897774756	1.47940962477425	0.167251361308351	8.84542650775057	9.1179375057203e-19	6.254203749116e-16
"SRCAP"	1679.30466076757	1.36120047288297	0.154856640381982	8.79006847575489	1.49468837426839e-18	9.52009730953661e-16
"EEF2"	23132.787040633	-1.01328016837184	0.117585947525801	-8.61735768340434	6.8516843755253e-18	3.81852934853495e-15
"RPS18"	12645.1953528002	-1.26587471439276	0.146844637725895	-8.62050350626818	6.66603427196319e-18	3.81852934853495e-15
"POLR2A"	3007.37309649426	1.1548827313575	0.134660670387446	8.57624373942786	9.80217139970725e-18	5.14152719830527e-15
"SRRM2"	6915.00489257206	1.13169749584487	0.13234088340455	8.55138235994244	1.21622994655687e-17	6.025068018582e-15
"RPL11"	8934.20447201339	-0.844793278772844	0.0991831713856705	-8.51750621572578	1.63025606155138e-17	7.65104910571246e-15
"RPL17-C18orf32"	8441.99371663479	-0.854005393641009	0.101333771022473	-8.42764840412004	3.52680857560776e-17	1.57242760343472e-14
"RPLP2"	4622.62503277236	-0.862598375999044	0.1040225225708	-8.2924193211325	1.10967934167208e-16	4.71190985223331e-14
"IFRD1"	581.29223271536	1.54500593881398	0.186908344582431	8.26611536400717	1.38394635446232e-16	5.60938620124567e-14
"RPS5"	5806.80244736511	-0.899115571260481	0.1104514091826	-8.14037211398585	3.94064873869614e-16	1.52777238273711e-13
"SON"	8014.58435589353	0.893379631766254	0.112236910778151	7.95976676097331	1.72363879231611e-15	6.40403629628449e-13
"RPS4X"	22580.7717903141	-0.733750051329708	0.0936631874631695	-7.83392142850397	4.72884358866677e-15	1.68668393120566e-12
"RPS2"	17245.1363385553	-0.806445270580411	0.103651002438531	-7.7803904603688	7.23010461619683e-15	2.47964780240873e-12
"UCP2"	112.174560853243	2.61588567941379	0.336680014192121	7.76964942718897	7.87036473536e-15	2.59926082760019e-12
"RPL9"	5807.68308862812	-0.787673802266765	0.102869735388424	-7.65700231747077	1.90323200852262e-14	5.85211028275731e-12
"TOP1"	2897.18978814779	0.858199198628604	0.112020678785886	7.66107836454864	1.84378305277482e-14	5.85211028275731e-12
"EIF3L"	3627.12841095956	-0.891190747394993	0.117144624734299	-7.60761109966711	2.79208484335523e-14	8.29900684939953e-12
"DIAPH1"	1073.23124398943	1.20407832546583	0.158863082296762	7.57934636580049	3.47300189403365e-14	9.98992189970906e-12
"RPL32"	10869.5543693516	-1.01845176167761	0.134755469251392	-7.55777681852491	4.1001676887396e-14	1.14253735251534e-11
"SLC25A5"	6425.09663563771	-0.730546379343187	0.0970088110282985	-7.53072191689968	5.04605514363797e-14	1.36350526411575e-11
"RPL27"	6616.77431506531	-0.854746029629201	0.115296990444905	-7.41342880096806	1.23075130451717e-13	3.22782628893517e-11
"HNRNPD"	3774.43278541226	0.932729423504759	0.126431686668284	7.37733908392713	1.61484362446525e-13	4.11416017124476e-11
"EP400"	827.627486654472	1.29066143706286	0.17512249628324	7.37004933378385	1.70564906085646e-13	4.2247979654603e-11
"RPS17L"	20181.0491435597	-0.891156270249111	0.122355512183135	-7.28333570223855	3.25665481980173e-13	7.84853811572216e-11
"RPS8"	14192.0774142271	-0.663792826252727	0.0912972434654286	-7.27067763556393	3.57688605655459e-13	8.39344551744666e-11
"RPS11"	8093.4912340193	-0.753251109937224	0.103688259205366	-7.2645747523384	3.74213636459654e-13	8.55605896489933e-11
"RPS7"	11702.3999629628	-0.783991376421084	0.108373505045098	-7.23416093347577	4.68416054071848e-13	1.04421648853967e-10
"TUBA1A"	20226.0145164377	-0.71960424470104	0.09965658485913	-7.22083990454057	5.16674522253257e-13	1.12370407681275e-10
"MRPL37"	1781.20392511595	-0.840478401109928	0.116535957153261	-7.21218087224857	5.50627657891834e-13	1.16903495843369e-10
"LOC100132247"	477.416509137952	1.83296645342167	0.256137377929593	7.15618496698094	8.295319967991e-13	1.7202178640599e-10
"RPL8"	11941.7594895912	-0.686261580367326	0.0964068937132227	-7.11838701502735	1.09197395639417e-12	2.1837816000077e-10
"RPS21"	1946.32608115664	-1.03607107601982	0.145574481709389	-7.11712014258192	1.10205418863235e-12	2.1837816000077e-10
"ANKRD18A"	396.039644973553	1.73168975402538	0.243876742213037	7.10067609691404	1.24148033234085e-12	2.40658263553987e-10
"GNB2L1"	24524.3182628639	-0.735204465599583	0.103916058868261	-7.0749841132027	1.49465883010345e-12	2.83571761447498e-10
"TMEM123"	607.513571190795	-1.25724265543131	0.179186799971676	-7.01637986520234	2.27690498730357e-12	4.22982536912207e-10
"ZNF721"	786.651351419094	1.20011888716223	0.171132550780932	7.01280312649873	2.3359004147506e-12	4.25086204047573e-10
"RPL3"	13463.5626695483	-0.675851529258714	0.0979889618425638	-6.89722103949408	5.30296379357532e-12	9.45730562946222e-10
"RPL26"	8880.64266447879	-0.781651152488578	0.113554181852894	-6.88350829299428	5.83961967117926e-12	1.02101742368442e-09
"SLC25A6"	3318.89613421134	-0.861984626297645	0.125456881324342	-6.87076402026261	6.38589556627646e-12	1.09505828393245e-09
"C19orf48"	246.339332591131	2.37654490016306	0.346867500019152	6.85144875213689	7.3105788984131e-12	1.22997041579528e-09
"MKI67"	5860.15202315923	0.842481596176336	0.123365167609714	6.82916914474323	8.54078272635832e-12	1.41033628835069e-09
"HSPA8"	28861.6511025899	-0.87378269204957	0.129031596995905	-6.77185055748243	1.27145439847255e-11	2.0613743402145e-09
"PSMD8"	3988.97198274859	-0.803880386900234	0.11882372754116	-6.76531870809869	1.33016060684707e-11	2.11804323772416e-09
"MIF"	4365.47269755536	-0.923784124219834	0.137551265829336	-6.71592601238584	1.86875602958189e-11	2.92345570452311e-09
"EP300"	1333.57785683974	0.957532794294566	0.143863901491763	6.65582390276957	2.81717397887605e-11	4.33116213269616e-09
"HIST1H2AD"	3079.91776864049	-0.84724979686046	0.127450331389802	-6.64768610345296	2.9773641173057e-11	4.49985692101948e-09
"TKT"	4154.82709415517	-0.689689488870458	0.104296812599453	-6.61275710811201	3.77227138387103e-11	5.60622398832966e-09
"SEC16A"	1340.01633739776	0.891090857285378	0.134966906586873	6.60229147885093	4.04850506740771e-11	5.91811798132369e-09
"TPT1"	5368.18872442663	-0.800333340759464	0.121599988382417	-6.58168928637158	4.65132845462764e-11	6.68966061772817e-09
"RPL34"	3755.7635776858	-0.691569074516797	0.10619078371955	-6.51251502525145	7.39028190811786e-11	1.04601815515376e-08
"TUBA1B"	33626.0578900228	-0.633180585899362	0.0976091221585657	-6.48689970667662	8.76206219659931e-11	1.22080169698556e-08
"HELZ"	1326.07846372106	0.820811165246304	0.126694503476458	6.47866436762053	9.25380885764096e-11	1.26948020897822e-08
"RPL31"	5909.76894782435	-0.768644502058716	0.119028183405404	-6.45766809227655	1.0632862154926e-10	1.43656411871932e-08
"SMG1"	4044.05623354326	0.831090522676094	0.129410481449869	6.42212681202365	1.3438339659832e-10	1.78850260816003e-08
