"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ATF4"	1555.26826187837	-2.69532028405215	0.128742531405029	-20.9357409290996	2.53099398747156e-97	1.77372058642007e-93
"PTP4A1"	279.788342418552	-1.88474843696957	0.184599954306555	-10.2099073862156	1.79035642998801e-24	6.273408930678e-21
"PABPC1"	2736.5687334801	0.961077297550168	0.0995844896947758	9.65087334881012	4.87388554845847e-22	1.1385396641199e-18
"SAT1"	794.614987006783	-1.18496693546743	0.128891574723794	-9.19351740411838	3.80201219105661e-20	6.66112535873118e-17
"RPS2"	4486.931193284	0.816799711938549	0.0939152591787802	8.69719914613303	3.40176136646793e-18	4.76790873124145e-15
"IFRD1"	369.165321657079	-1.42841841174378	0.170230776685552	-8.39107028444299	4.81736213295357e-17	5.62667897128977e-14
"OAZ1"	1686.73113873872	-0.987403118200583	0.118590712842162	-8.32614202694576	8.35195936189612e-17	8.36150445830971e-14
"RPL12"	2037.77250397189	0.952544555557616	0.116161561212851	8.20017005291624	2.4004721714252e-16	2.10281362216848e-13
"RPS12"	1764.82229826937	0.855355353744217	0.10568839469622	8.09318143399536	5.81261840511839e-16	4.52609219811885e-13
"RPS3A"	6762.25706478563	0.71207563687915	0.0888207911334181	8.01699273100978	1.08365531875716e-15	7.59425647385014e-13
"RPS5"	3697.6477482985	0.689289900227692	0.0898011388196263	7.67573673661526	1.6447060164397e-14	1.04782725120086e-11
"DYNC1H1"	4358.48441820998	-0.681470313829707	0.0891905150726801	-7.64061417600724	2.16187987594973e-14	1.26253784755464e-11
"RPLP0"	4289.54799580144	0.701708120074271	0.0935827134808764	7.49826644231325	6.46673506579341e-14	3.48606764162156e-11
"RPL13A"	2450.54734447044	0.835804403943596	0.11192967153782	7.46722823769913	8.19016412843751e-14	4.09976215800643e-11
"RPS27"	1555.12751589188	0.810796309935576	0.111457942616874	7.27445968317047	3.47809729116877e-13	1.62496705443405e-10
"RPL27A"	2343.67008250656	0.718676358736526	0.0997254549023437	7.20654881384387	5.7387757119666e-13	2.51358376184137e-10
"RPL11"	5121.62727014871	0.620606556635762	0.0866116760176979	7.16539137874378	7.75646365749427e-13	3.19748807715999e-10
"PCBP2"	4899.34966352843	0.616650158920573	0.086965152901901	7.09077300900248	1.33364939821703e-12	5.1923416570583e-10
"RPS10-NUDT3"	6802.98075985763	0.599164155908157	0.0853995263325426	7.01601263659278	2.28289416670628e-12	8.42027490540927e-10
"RPL18A"	4533.00279549157	0.672070530964382	0.0961813713344339	6.98753325763587	2.79761271231226e-12	9.80283494394215e-10
"RPS6"	6362.62075276314	0.617811842535907	0.0885546270819326	6.97661842067603	3.02369483651352e-12	1.00905016258508e-09
"RPL17-C18orf32"	7019.65787221512	0.571359306885492	0.0857103545026364	6.66616431819701	2.62575269906824e-11	8.02688848073371e-09
"RPS18"	5483.20422310284	0.798093549264232	0.119731721055606	6.66568176108969	2.63439547740975e-11	8.02688848073371e-09
"PABPC3"	690.935284011162	0.857303777392684	0.130339477710461	6.57746825790661	4.78525968565445e-11	1.3972958282111e-08
"EEF2"	14764.2188585907	0.65372936097604	0.0999357737583736	6.54149496612332	6.09068846980586e-11	1.70734179185598e-08
"EEF1A1"	41102.2426985813	0.677791489422171	0.103749610875923	6.53295452098382	6.44847301008138e-11	1.73811149440963e-08
"RPL3"	7879.76820734625	0.560655531305207	0.0862891835551608	6.49740220275471	8.17187798163169e-11	2.04530431768839e-08
"RPS8"	8187.04398024699	0.545044922779973	0.0838791049655678	6.49798210178462	8.14044862696906e-11	2.04530431768839e-08
"TPT1"	2432.1318795483	0.683429523064048	0.105985641240216	6.44832182045354	1.13095419343695e-10	2.73300930607109e-08
"RPLP2"	3927.90450612353	0.585525829206265	0.0911551074756036	6.42340122700171	1.33262626972038e-10	3.1130149660668e-08
"CSDE1"	3364.42238824865	0.620660966928586	0.096767353475703	6.41395000106545	1.4179672985292e-10	3.20552091228794e-08
"RPL26"	3607.43223481737	0.647924754370994	0.101190249013919	6.40303547708304	1.52317781256824e-10	3.33575940952445e-08
"RPL9"	4168.04406057677	0.583250017552364	0.0916362630757873	6.3648385254426	1.95495292933527e-10	4.1516091299338e-08
"UCP2"	122.595747696334	-1.54577822845997	0.245810301861377	-6.28850059071856	3.20546849320311e-10	6.60703623540218e-08
"SLC25A6"	2346.53633174313	0.686400590716572	0.109795371423537	6.25163503540395	4.0617768820343e-10	8.13283782551325e-08
"SRM"	920.198273143061	0.731817353244941	0.12034247190662	6.08112282929334	1.19343821141467e-09	2.32322638488723e-07
"TXNRD1"	1095.7223356584	-0.659894697626105	0.108994283827082	-6.05439729915578	1.4094436032337e-09	2.66956237066534e-07
"RPS16"	7663.34318949023	0.565232398564951	0.0936175537165552	6.03767537310683	1.56350200995054e-09	2.88342686466668e-07
"PNRC2"	128.639336930549	-1.49918932600344	0.250064372184896	-5.99521360401932	2.03218145413559e-09	3.60095366587715e-07
"RPS21"	2039.69956500782	0.668157911325736	0.111482802234883	5.99337205318893	2.0553388503865e-09	3.60095366587715e-07
"RBM12"	1513.37444403768	-0.627773983225919	0.105779367657011	-5.93474887523884	2.94295600476569e-09	5.03030138570682e-07
"RPS20"	1436.67999712991	0.697834567350263	0.118246890064962	5.90150461434454	3.60201348761808e-09	5.97715757463088e-07
"RPS25"	2316.15772170029	0.590360060299569	0.100085924277545	5.89853233170392	3.66749109173984e-09	5.97715757463088e-07
"RPL28"	1794.36053566946	0.605947669787794	0.103102185133822	5.877156424971	4.17373778216047e-09	6.64762599485923e-07
"DNTTIP2"	757.410479481399	-0.827520612283403	0.142364294731643	-5.81269772623313	6.14740060872101e-09	9.57355188131485e-07
"NAP1L1"	3786.39494398803	0.598970317619362	0.103737087310064	5.77392650160956	7.74452289438265e-09	1.17986122703986e-06
"SLU7"	728.074689113465	-0.6990937198629	0.121789970939763	-5.74015836007275	9.45880582747879e-09	1.41036832423343e-06
"CASC5"	778.795823377854	-0.696768766230298	0.123144484087925	-5.65814028448734	1.53022037607879e-08	2.23412174907504e-06
"EEF1G"	6123.65731588127	0.534212695889321	0.0945342369691828	5.6509970674801	1.59519813388337e-08	2.28145888209279e-06
"ODC1"	1292.1508925789	0.631406010831731	0.113130956012484	5.58119574948218	2.38870616716762e-08	3.34801056390214e-06
"RPL4"	11553.2775374365	0.475802359604777	0.0862006900124463	5.51970476728292	3.3956968940349e-08	4.66608702615619e-06
"RPL21"	4106.60300549413	0.527044650849618	0.0962046195785401	5.47837154970865	4.29258031565744e-08	5.77937304718224e-06
"SON"	5478.08335681149	-0.499284886998868	0.0911906862719675	-5.47517413686084	4.37081580337698e-08	5.77937304718224e-06
"RPL7A"	10295.1600357601	0.462113431802154	0.0846188030424598	5.4611199306409	4.73140269746249e-08	6.14030927848465e-06
"RPS19"	7979.65841263745	0.563721616788254	0.103636353924399	5.43941961909889	5.34544194738158e-08	6.81106493950002e-06
"RPL10A"	3961.30846234301	0.481800140671202	0.0896479845699651	5.37435551933892	7.68570813261273e-08	9.6181147488125e-06
