	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
1-Mar	404	501	586	526
10-Sep	473	587	663	636
11-Sep	1032	1239	1468	1430
14-Sep	16	32	35	38
15-Sep	362	460	494	467
2-Mar	167	174	240	212
2-Sep	2206	2844	3018	2952
3-Mar	40	51	40	38
3-Sep	49	67	133	104
5-Mar	314	449	428	430
6-Mar	1266	1556	2314	2009
6-Sep	229	319	350	294
7-Mar	1314	1633	1802	1519
7-Sep	1429	1763	1872	1907
8-Mar	124	156	190	168
8-Sep	623	815	853	798
9-Mar	35	29	66	48
9-Sep	404	534	562	422
AAAS	831	897	904	834
AACS	197	247	288	286
AADAT	176	266	279	267
AAED1	99	142	139	120
AAGAB	933	1090	1360	1300
AAK1	52	77	142	151
AAMDC	113	162	174	170
AAMP	2185	2612	3031	2949
AAR2	399	465	455	395
AARS	2327	3088	3244	3011
AARS2	650	884	1014	880
AASDH	529	647	710	642
AASDHPPT	967	1105	1325	1182
AASS	780	954	1051	1016
AATF	953	1206	1263	1286
ABCA1	35	37	54	72
ABCA10	33	43	68	52
ABCA2	195	261	336	272
ABCA3	365	529	622	492
ABCA5	310	404	483	435
ABCA7	100	170	223	190
ABCB1	120	144	140	156
ABCB10	1130	1419	1544	1488
ABCB6	192	227	239	178
ABCB7	1025	1301	1406	1226
ABCB8	178	219	260	195
ABCB9	95	132	116	106
ABCC1	425	635	948	681
ABCC10	303	343	463	382
ABCC2	30	39	43	50
ABCC4	915	1152	1391	1304
ABCC5	423	567	697	652
ABCC8	26	37	40	30
ABCD1	27	29	41	34
ABCD3	1710	2133	2335	2154
ABCD4	245	379	354	339
ABCE1	3553	4340	4377	4140
ABCF1	1646	2138	2263	2260
ABCF2	2094	2521	2664	2435
ABCF3	367	452	548	526
ABCG2	50	59	55	37
ABHD10	577	659	724	701
ABHD12	194	250	255	232
ABHD13	82	100	79	76
ABHD14A	46	53	63	40
ABHD14B	91	108	117	91
ABHD15	28	32	36	34
ABHD16A	243	319	308	231
ABHD17A	272	316	337	284
ABHD17B	283	333	368	321
ABHD17C	37	58	74	61
ABHD2	275	321	370	379
ABHD3	177	253	217	190
ABHD4	24	24	42	42
ABHD5	289	365	376	311
ABHD6	79	85	112	88
ABI1	316	428	379	330
ABI2	338	486	501	446
ABL1	483	623	843	801
ABL2	540	733	971	841
ABLIM1	261	323	314	319
ABR	250	316	392	347
ABRACL	235	310	357	343
ABT1	675	809	818	743
ABTB2	44	63	79	74
ACAA1	233	330	350	319
ACAA2	499	610	693	705
ACACA	2128	2789	3683	3250
ACACB	209	309	384	325
ACAD10	161	243	272	241
ACAD8	211	276	298	293
