	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
1-Mar	820	1201	586	526	174	220	254	337
10-Sep	866	1236	663	636	318	355	478	598
11-Sep	2038	2808	1468	1430	1049	1267	1539	2071
14-Sep	42	72	35	38	4	5	6	5
15-Sep	763	1001	494	467	524	574	681	1055
2-Mar	268	344	240	212	95	88	120	144
2-Sep	4398	5929	3018	2952	3051	3178	3823	5661
3-Mar	67	97	40	38	39	30	37	48
3-Sep	106	193	133	104	88	53	90	112
5-Mar	631	901	428	430	411	477	608	753
6-Mar	2567	4132	2314	2009	1216	1383	1577	2398
6-Sep	490	779	350	294	398	416	580	707
7-Mar	2650	3991	1802	1519	718	953	1069	1179
7-Sep	2833	3864	1872	1907	979	1239	1535	2052
8-Mar	226	367	190	168	24	23	27	58
8-Sep	1212	1738	853	798	486	437	552	839
9-Mar	83	124	66	48	33	35	52	86
9-Sep	829	1140	562	422	406	468	612	713
AAAS	1553	2201	904	834	686	702	939	1456
AACS	344	604	288	286	288	298	396	575
AADAT	365	536	279	267	47	36	71	92
AAED1	159	269	139	120	76	88	129	133
AAGAB	1873	2562	1360	1300	529	572	633	954
AAK1	128	244	142	151	151	153	191	287
AAMDC	261	411	174	170	54	56	60	133
AAMP	4293	5702	3031	2949	1642	1684	2238	3437
AAR2	750	1114	455	395	231	257	303	510
AARS	4380	6406	3244	3011	1663	1708	2370	3314
AARS2	1313	1956	1014	880	231	166	266	461
AASDH	1013	1483	710	642	95	99	144	163
AASDHPPT	2005	2732	1325	1182	780	847	1088	1485
AASS	1612	2230	1051	1016	296	313	261	449
AATF	1800	2354	1263	1286	626	741	839	1200
ABCA1	66	95	54	72	3	0	2	2
ABCA10	75	114	68	52	1	5	5	5
ABCA2	356	615	336	272	166	148	176	222
ABCA3	644	1153	622	492	252	230	295	411
ABCA5	633	979	483	435	128	119	147	205
ABCA7	216	374	223	190	57	51	72	86
ABCB1	229	344	140	156	459	464	663	823
ABCB10	2169	3152	1544	1488	188	222	239	391
ABCB6	342	501	239	178	159	158	174	240
ABCB7	2054	2990	1406	1226	537	664	816	1005
ABCB8	338	534	260	195	164	185	204	345
ABCB9	206	258	116	106	47	52	53	104
ABCC1	798	1446	948	681	477	492	542	817
ABCC10	498	812	463	382	147	153	181	263
ABCC2	80	92	43	50	3	1	2	3
ABCC4	1945	2703	1391	1304	408	462	500	684
ABCC5	872	1293	697	652	200	249	215	388
ABCC8	44	72	40	30	2	4	7	10
ABCD1	56	84	41	34	32	27	42	48
ABCD3	3356	4896	2335	2154	1142	1299	1486	2097
ABCD4	497	729	354	339	70	77	97	143
ABCE1	7071	10075	4377	4140	2216	2590	3076	3950
ABCF1	3280	4344	2263	2260	1217	1270	1645	2317
ABCF2	3935	5492	2664	2435	992	1020	1278	2007
ABCF3	771	971	548	526	221	225	310	437
ABCG2	85	125	55	37	46	54	92	92
ABHD10	1091	1513	724	701	381	413	527	676
ABHD12	450	622	255	232	124	124	187	228
ABHD13	166	221	79	76	64	89	88	109
ABHD14A	111	117	63	40	16	23	23	43
ABHD14B	204	229	117	91	48	69	63	106
ABHD15	43	74	36	34	8	11	24	26
ABHD16A	535	705	308	231	127	158	166	235
ABHD17A	523	788	337	284	30	50	58	81
ABHD17B	581	815	368	321	166	198	196	287
ABHD17C	93	138	74	61	74	67	95	166
ABHD2	553	857	370	379	260	280	333	494
ABHD3	408	550	217	190	209	197	244	340
ABHD4	30	68	42	42	38	54	65	111
ABHD5	572	825	376	311	76	88	124	143
ABHD6	143	216	112	88	49	46	60	110
ABI1	713	951	379	330	310	347	522	653
ABI2	720	1099	501	446	208	199	299	374
ABL1	896	1475	843	801	222	230	322	496
ABL2	1057	1652	971	841	106	117	188	209
ABLIM1	525	760	314	319	202	181	306	385
ABR	410	699	392	347	437	444	594	790
ABRACL	531	749	357	343	319	374	390	541
ABT1	1327	1811	818	743	294	290	389	606
ABTB2	95	161	79	74	77	75	139	144
ACAA1	530	746	350	319	262	246	311	452
ACAA2	897	1363	693	705	1195	1250	1655	2070
ACACA	4229	6454	3683	3250	911	973	1118	1662
ACACB	417	668	384	325	40	50	44	55
ACAD10	354	541	272	241	101	78	97	165
ACAD8	401	596	298	293	55	85	89	136
ACAD9	1252	1837	874	828	454	499	644	811
ACADL	78	106	68	67	110	137	138	201
ACADM	2409	3141	1559	1560	969	984	1298	1530
ACADS	220	291	133	122	103	110	192	217
ACADSB	521	799	382	330	581	601	738	915
ACADVL	1069	1598	753	640	399	389	507	633
ACAP2	1063	1492	766	692	352	402	508	549
ACAP3	441	621	318	305	110	93	88	164
ACAT1	3213	4526	2297	2135	1508	1714	2087	2589
ACAT2	3706	4942	2425	2237	1254	1295	1712	2279
ACBD3	1877	2529	1248	1249	533	600	781	1071
ACBD5	431	557	301	275	252	300	382	580
ACBD6	1670	2334	1036	948	223	229	303	386
ACCS	43	87	44	40	3	2	11	11
ACD	265	377	172	157	180	206	241	418
ACER3	180	254	95	101	77	87	90	109
ACIN1	4912	6817	3570	3311	1180	1440	1722	2433
ACLY	12052	17209	7973	7024	3538	4036	5074	6869
ACN9	405	534	245	264	200	264	385	423
ACO1	1555	2109	1001	939	531	579	677	989
ACO2	1717	2561	1221	1109	571	600	647	1098
ACOT13	486	637	319	295	244	296	362	339
ACOT2	488	748	353	314	288	307	369	527
ACOT7	628	929	515	514	1259	1378	1813	2698
ACOT8	203	324	168	121	122	160	193	258
ACOT9	712	966	479	429	343	385	492	652
ACOX1	1180	1753	843	822	509	653	751	1073
ACOX3	213	379	204	178	67	74	65	124
ACP1	1161	1724	803	713	700	801	984	1274
ACP2	286	460	197	187	171	169	186	294
ACP6	458	634	335	297	96	95	116	154
ACPL2	241	373	147	134	28	50	47	70
ACRC	104	143	87	42	2	9	2	2
ACSF2	169	256	107	91	69	62	127	142
ACSF3	483	678	358	322	130	124	182	292
ACSL1	667	945	400	425	416	467	555	709
ACSL3	3382	4800	2245	2153	1590	1706	2024	2800
ACSL4	1498	1982	1028	975	868	1013	1312	1646
ACSL6	76	118	63	55	10	13	10	20
ACSM3	65	64	38	26	20	17	46	43
ACSS1	258	394	187	202	153	174	203	300
ACSS2	326	379	221	194	64	70	102	161
ACSS3	59	102	48	46	100	90	126	164
ACTA1	229	315	131	86	1178	1239	1581	2347
ACTA2	54	94	49	41	348	363	400	677
ACTB	23936	35980	17954	16671	27437	31271	42689	60640
ACTG1	31378	43408	17047	14857	18199	20638	26490	40920
ACTL6A	1601	2282	949	941	926	1006	1245	1765
ACTN1	1565	2477	1252	1031	1098	1263	1703	2432
ACTN2	123	202	130	117	25	19	48	57
ACTN4	2982	4655	2309	1968	4932	5163	7178	10630
ACTR10	1089	1541	664	633	648	707	872	1126
ACTR1A	1591	2233	896	810	1385	1388	1836	2629
ACTR1B	659	890	436	377	98	115	135	202
ACTR2	3472	4841	2892	2713	2198	2333	2898	3915
ACTR3	3620	5171	2337	2194	1437	1742	2106	2804
ACTR3B	350	633	367	274	82	104	113	161
ACTR3C	106	164	90	67	25	38	33	62
ACTR5	449	696	341	295	87	103	131	208
ACTR6	1317	1735	835	894	580	731	929	1080
ACTR8	2043	2967	1415	1325	305	343	475	619
ACTRT3	73	104	54	65	19	22	24	14
ACVR1	124	170	105	59	86	88	109	128
ACVR1B	325	486	262	270	210	205	210	400
ACVR2A	375	508	253	219	119	125	151	233
ACVR2B	548	820	465	417	51	41	67	96
ACY1	324	530	247	221	104	128	151	252
ACYP1	119	192	66	74	52	61	92	108
ADA	196	271	120	124	101	101	183	208
ADAL	195	294	142	117	53	37	69	58
ADAM10	1007	1480	742	707	541	566	569	693
ADAM11	224	290	147	128	58	73	67	100
ADAM15	1225	1780	851	730	295	293	351	508
ADAM17	1025	1447	732	739	166	180	168	277
ADAM19	69	98	43	62	24	28	22	40
ADAM22	417	658	295	278	56	65	71	78
ADAM23	290	470	245	220	109	107	118	169
ADAM9	2670	3619	1823	1744	491	472	516	690
ADAMTS1	998	1324	668	597	2399	2608	3128	4677
ADAMTS13	106	196	147	97	16	1	5	2
ADAMTS17	170	344	183	167	25	17	19	45
ADAMTS19	126	183	137	114	87	78	83	125
ADAMTS20	260	423	234	177	31	35	24	39
ADAMTS3	314	462	205	191	81	94	86	115
ADAMTS6	64	110	60	50	5	5	5	5
ADAMTS7	51	105	55	41	21	16	12	21
ADAMTS9	268	447	255	238	14	18	24	24
ADAP1	104	142	59	54	9	10	6	18
ADAP2	107	137	73	71	23	15	22	35
ADAR	7064	10396	5119	4424	1734	2094	2685	3585
ADARB1	356	514	269	206	52	53	69	131
ADAT1	516	857	468	388	57	61	83	102
ADAT2	258	435	290	289	45	35	74	84
ADAT3	44	85	43	47	23	33	34	68
ADC	59	83	45	46	7	12	8	9
ADCK1	231	306	153	146	49	56	73	113
ADCK2	724	1015	502	493	277	242	340	492
ADCK3	2339	3342	1467	1404	474	479	606	873
ADCK4	271	432	186	176	139	133	188	258
ADCK5	80	91	49	42	15	8	12	19
ADCY1	426	624	325	296	18	12	25	16
ADCY3	1058	1689	823	703	273	252	317	453
ADCY6	340	545	302	243	229	182	270	407
ADCY9	484	855	523	454	172	144	200	252
ADD1	1565	2372	1170	1151	881	908	1116	1600
ADD2	444	671	347	348	129	144	213	320
ADD3	1751	2530	1020	950	824	950	1110	1477
ADH5	4019	5261	2291	2248	1159	1125	1328	2152
ADI1	1433	2124	1079	1043	271	293	397	631
ADIPOR1	1910	2795	1255	1186	221	260	308	466
ADIPOR2	806	1101	462	441	360	393	476	713
ADK	1143	1623	841	802	578	632	802	998
ADM	77	82	30	38	57	62	62	114
ADNP	2359	4260	2558	2149	1068	1174	1392	1910
ADNP2	1577	2258	1259	1096	290	363	416	554
ADO	182	276	102	129	71	88	133	206
ADORA2A	44	60	33	22	7	3	14	5
ADORA2B	184	251	127	110	45	44	67	71
ADPGK	1124	1744	828	707	278	304	361	527
ADPRHL1	47	66	41	32	10	16	11	18
ADPRHL2	746	1084	501	469	278	281	313	498
ADPRM	144	203	85	61	17	29	25	50
ADRA2C	78	100	35	42	7	10	4	7
ADRBK1	1077	1580	705	674	167	189	247	319
ADRBK2	713	1066	524	479	39	28	70	78
ADRM1	1518	2250	1001	921	1249	1351	1791	3178
ADSL	6204	9083	3822	3582	1586	1553	2139	2700
ADSS	3575	4862	2581	2727	730	812	935	1405
AEBP2	472	678	445	356	272	301	363	562
AEN	935	1167	536	503	272	346	376	667
AES	378	471	202	163	495	515	674	965
AFAP1	228	406	225	246	78	86	102	137
AFAP1L1	143	205	92	76	50	50	74	83
AFF1	471	777	453	379	282	334	419	530
