	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
1-Mar	174	220	254	337
10-Sep	318	355	478	598
11-Sep	1049	1267	1539	2071
14-Sep	4	5	6	5
15-Sep	524	574	681	1055
2-Mar	95	88	120	144
2-Sep	3051	3178	3823	5661
3-Mar	39	30	37	48
3-Sep	88	53	90	112
5-Mar	411	477	608	753
6-Mar	1216	1383	1577	2398
6-Sep	398	416	580	707
7-Mar	718	953	1069	1179
7-Sep	979	1239	1535	2052
8-Mar	24	23	27	58
8-Sep	486	437	552	839
9-Mar	33	35	52	86
9-Sep	406	468	612	713
AAAS	686	702	939	1456
AACS	288	298	396	575
AADAT	47	36	71	92
AAED1	76	88	129	133
AAGAB	529	572	633	954
AAK1	151	153	191	287
AAMDC	54	56	60	133
AAMP	1642	1684	2238	3437
AAR2	231	257	303	510
AARS	1663	1708	2370	3314
AARS2	231	166	266	461
AASDH	95	99	144	163
AASDHPPT	780	847	1088	1485
AASS	296	313	261	449
AATF	626	741	839	1200
ABCA1	3	0	2	2
ABCA10	1	5	5	5
ABCA2	166	148	176	222
ABCA3	252	230	295	411
ABCA5	128	119	147	205
ABCA7	57	51	72	86
ABCB1	459	464	663	823
ABCB10	188	222	239	391
ABCB6	159	158	174	240
ABCB7	537	664	816	1005
ABCB8	164	185	204	345
ABCB9	47	52	53	104
ABCC1	477	492	542	817
ABCC10	147	153	181	263
ABCC2	3	1	2	3
ABCC4	408	462	500	684
ABCC5	200	249	215	388
ABCC8	2	4	7	10
ABCD1	32	27	42	48
ABCD3	1142	1299	1486	2097
ABCD4	70	77	97	143
ABCE1	2216	2590	3076	3950
ABCF1	1217	1270	1645	2317
ABCF2	992	1020	1278	2007
ABCF3	221	225	310	437
ABCG2	46	54	92	92
ABHD10	381	413	527	676
ABHD12	124	124	187	228
ABHD13	64	89	88	109
ABHD14A	16	23	23	43
ABHD14B	48	69	63	106
ABHD15	8	11	24	26
ABHD16A	127	158	166	235
ABHD17A	30	50	58	81
ABHD17B	166	198	196	287
ABHD17C	74	67	95	166
ABHD2	260	280	333	494
ABHD3	209	197	244	340
ABHD4	38	54	65	111
ABHD5	76	88	124	143
ABHD6	49	46	60	110
ABI1	310	347	522	653
ABI2	208	199	299	374
ABL1	222	230	322	496
ABL2	106	117	188	209
ABLIM1	202	181	306	385
ABR	437	444	594	790
ABRACL	319	374	390	541
ABT1	294	290	389	606
ABTB2	77	75	139	144
ACAA1	262	246	311	452
ACAA2	1195	1250	1655	2070
ACACA	911	973	1118	1662
ACACB	40	50	44	55
ACAD10	101	78	97	165
ACAD8	55	85	89	136
ACAD9	454	499	644	811
ACADL	110	137	138	201
ACADM	969	984	1298	1530
ACADS	103	110	192	217
ACADSB	581	601	738	915
ACADVL	399	389	507	633
ACAP2	352	402	508	549
ACAP3	110	93	88	164
ACAT1	1508	1714	2087	2589
ACAT2	1254	1295	1712	2279
ACBD3	533	600	781	1071
ACBD5	252	300	382	580
ACBD6	223	229	303	386
ACCS	3	2	11	11
ACD	180	206	241	418
ACER3	77	87	90	109
ACIN1	1180	1440	1722	2433
ACLY	3538	4036	5074	6869
ACN9	200	264	385	423
ACO1	531	579	677	989
ACO2	571	600	647	1098
ACOT13	244	296	362	339
ACOT2	288	307	369	527
ACOT7	1259	1378	1813	2698
ACOT8	122	160	193	258
ACOT9	343	385	492	652
ACOX1	509	653	751	1073
ACOX3	67	74	65	124
ACP1	700	801	984	1274
ACP2	171	169	186	294
ACP6	96	95	116	154
ACPL2	28	50	47	70
ACRC	2	9	2	2
ACSF2	69	62	127	142
ACSF3	130	124	182	292
ACSL1	416	467	555	709
ACSL3	1590	1706	2024	2800
ACSL4	868	1013	1312	1646
ACSL6	10	13	10	20
ACSM3	20	17	46	43
ACSS1	153	174	203	300
ACSS2	64	70	102	161
ACSS3	100	90	126	164
ACTA1	1178	1239	1581	2347
ACTA2	348	363	400	677
ACTB	27437	31271	42689	60640
ACTG1	18199	20638	26490	40920
ACTL6A	926	1006	1245	1765
ACTN1	1098	1263	1703	2432
ACTN2	25	19	48	57
ACTN4	4932	5163	7178	10630
ACTR10	648	707	872	1126
ACTR1A	1385	1388	1836	2629
ACTR1B	98	115	135	202
ACTR2	2198	2333	2898	3915
ACTR3	1437	1742	2106	2804
ACTR3B	82	104	113	161
ACTR3C	25	38	33	62
ACTR5	87	103	131	208
ACTR6	580	731	929	1080
ACTR8	305	343	475	619
ACTRT3	19	22	24	14
ACVR1	86	88	109	128
ACVR1B	210	205	210	400
ACVR2A	119	125	151	233
ACVR2B	51	41	67	96
ACY1	104	128	151	252
ACYP1	52	61	92	108
ADA	101	101	183	208
ADAL	53	37	69	58
ADAM10	541	566	569	693
ADAM11	58	73	67	100
ADAM15	295	293	351	508
ADAM17	166	180	168	277
ADAM19	24	28	22	40
ADAM22	56	65	71	78
ADAM23	109	107	118	169
ADAM9	491	472	516	690
ADAMTS1	2399	2608	3128	4677
ADAMTS13	16	1	5	2
ADAMTS17	25	17	19	45
ADAMTS19	87	78	83	125
ADAMTS20	31	35	24	39
ADAMTS3	81	94	86	115
ADAMTS6	5	5	5	5
ADAMTS7	21	16	12	21
ADAMTS9	14	18	24	24
ADAP1	9	10	6	18
ADAP2	23	15	22	35
ADAR	1734	2094	2685	3585
ADARB1	52	53	69	131
ADAT1	57	61	83	102
ADAT2	45	35	74	84
ADAT3	23	33	34	68
ADC	7	12	8	9
ADCK1	49	56	73	113
ADCK2	277	242	340	492
ADCK3	474	479	606	873
ADCK4	139	133	188	258
ADCK5	15	8	12	19
ADCY1	18	12	25	16
ADCY3	273	252	317	453
ADCY6	229	182	270	407
ADCY9	172	144	200	252
ADD1	881	908	1116	1600
ADD2	129	144	213	320
ADD3	824	950	1110	1477
ADH5	1159	1125	1328	2152
ADI1	271	293	397	631
ADIPOR1	221	260	308	466
ADIPOR2	360	393	476	713
ADK	578	632	802	998
ADM	57	62	62	114
ADNP	1068	1174	1392	1910
ADNP2	290	363	416	554
ADO	71	88	133	206
ADORA2A	7	3	14	5
ADORA2B	45	44	67	71
