"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HSPA1L"	1260.06611084214	0.846793153286824	0.122033868378004	6.93900115223634	3.94881912928504e-12	1.94321389352117e-08
"FBN2"	3093.14375088019	-0.641784775939765	0.100375019784502	-6.39386948383803	1.6173949947399e-10	3.97960038455751e-07
"KCTD12"	881.277019429364	0.596058570530566	0.113317700623316	5.26006587895696	1.44003799382506e-07	0.000187137162493195
"MACF1"	806.503681225126	-0.763628758540371	0.145453563478549	-5.24998315804749	1.5211311724706e-07	0.000187137162493195
"LRP1"	406.334577244802	-0.765940118791584	0.150204954595467	-5.09929995887564	3.40911941192597e-07	0.000335525532521754
"JUN"	563.883438998114	0.682457131828797	0.137343493302346	4.96898044035072	6.73058581163358e-07	0.000552020212984148
"HEY1"	281.883703729215	-0.846097572487411	0.175492027345424	-4.82128781167946	1.42634388222528e-06	0.00100271974920437
"HIST1H2BK"	11960.304019279	0.442389385026439	0.0950740240648063	4.65310466636911	3.26974168905806e-06	0.00201129985648184
"HOXA13"	327.625241123334	0.79331283871114	0.17265860216344	4.59469049772673	4.33392045848633e-06	0.0023696913973568
"GPR98"	431.77881842029	-0.764955574122	0.169384458612825	-4.51609067553545	6.29917000052678e-06	0.00309982155725923
"LNPEP"	535.069080685991	-0.592726092486293	0.133456509279721	-4.44134269422523	8.93992885903436e-06	0.00399939908320983
"HIST2H2BE"	8536.47307844145	0.338929890453348	0.0779681544810431	4.34702979324403	1.37993481189471e-05	0.00565888267444489
"VPS13C"	915.085050999582	-0.468934144658845	0.113442359646525	-4.13367763258802	3.57004133850853e-05	0.0135139795590773
"VPS13A"	764.19460031176	-0.514782636460175	0.12604585433078	-4.08409018442795	4.42498443464138e-05	0.0155538202877645
"SRSF5"	1765.08609596574	-0.384557315493219	0.0945670481568825	-4.06650437957263	4.7723588795287e-05	0.0156565186974405
"HIST1H2BL"	6094.22338284392	0.306704457225016	0.0775513235928225	3.95485780275454	7.65801852442883e-05	0.0218503356154228
"HIST2H2BF"	9490.91001394754	0.299976893210605	0.0760469442314001	3.94462783800777	7.99240075345683e-05	0.0218503356154228
"MIF"	6378.43621812136	0.331068764383016	0.0833817247397727	3.97051950431889	7.1716084542362e-05	0.0218503356154228
"FAT1"	1586.25438835957	-0.404015897243436	0.102799104170278	-3.93014998043387	8.48928916646749e-05	0.0219872589411508
"UBR4"	3689.53592939568	-0.351192597162431	0.0898856095167254	-3.9071059210772	9.34082128442679e-05	0.0229830907703321
"FREM2"	649.120787305257	-0.479599342864754	0.126761182789115	-3.78348743923158	0.000154646132435005	0.0362387437006029
"FN1"	1666.91891597432	-0.37486077231245	0.0998147919618888	-3.75556332828484	0.000172952020104142	0.038563789286959
"UBBP4"	7953.25419005362	0.29999692120208	0.0801014446096129	3.74521236994117	0.000180241242349127	0.038563789286959
"TUBB4Q"	1143.19599942919	0.461061266405454	0.123817242113283	3.72372424499344	0.000196305337514319	0.0402507735794984
"DNAJB1"	721.602700270166	0.481890751391604	0.130716917541236	3.68652168713807	0.000227340076242663	0.043028481353467
"MKI67"	4867.19253741725	-0.319169042659801	0.086520420411352	-3.68894465771602	0.000225186190933553	0.043028481353467
"HERC2"	1254.07620047623	-0.416910331928315	0.113581004172302	-3.67059910208103	0.000241982624579103	0.0441035739093987
"HSP90B1"	11332.9056901232	-0.291172050262292	0.0805015274415191	-3.61697547259356	0.000298065535777895	0.052385017912965
"SPEN"	2280.96916933578	-0.374807055352496	0.104380630531024	-3.59077209483896	0.000329699838245748	0.0559466518623217
"DST"	688.70206282134	-0.486762970062518	0.136089231620431	-3.57679269892681	0.00034783579904659	0.0570566655702757
"HIST1H2BI"	2354.76026219982	0.331029821303209	0.0932215759913604	3.55100005318391	0.000383770339377091	0.0597862851653579
"ZIC2"	652.931269494942	0.478464098511739	0.13487022975547	3.54758866637382	0.000388774867972252	0.0597862851653579
"IGF2R"	1776.37183840483	-0.348034037019323	0.0983345455430549	-3.53928555928434	0.000401211590967789	0.0598291587621967
"HSPA1A"	13274.0882527239	0.758892311557221	0.215684293128078	3.51853303989352	0.000433939777109746	0.0606877606356849
"LAMC1"	2246.9369539276	-0.3275169321082	0.0932441213987854	-3.512467351239	0.000443966548035899	0.0606877606356849
"MARCKSL1"	1642.28201737293	0.365163266079865	0.103816455944889	3.51739290998058	0.000435808163210707	0.0606877606356849
"KNTC1"	1081.69367124157	-0.378039622061201	0.108548013526706	-3.48269498242078	0.000496393587470638	0.0660203471335949
"CHORDC1"	731.280084077197	0.452691537961865	0.130561803774188	3.46725860761554	0.000525795765254425	0.06746811368207
"HSPA1B"	13793.4557856646	0.759173018182222	0.219240380911683	3.46274265272345	0.000534699539443351	0.06746811368207
"IRS4"	10053.5470367609	-0.273886603223726	0.0794358394022452	-3.44789713666682	0.000564969156142386	0.069505330434417
"TUBB8"	778.501192802568	0.470695544757632	0.137151966015795	3.43192706915645	0.000599308700740496	0.0709830678977862
"ZNF703"	1883.88136471565	0.398481692461641	0.116209609851344	3.42899088097258	0.000605829882484662	0.0709830678977862
"SERF2"	752.131237890569	0.431046306251765	0.127852780452105	3.37142692343119	0.0007477987482123	0.0855794799989007
"ADAM10"	596.625689803154	-0.443215587817835	0.132578442583519	-3.34304415696108	0.000828647128695233	0.0875281336154666
"CPD"	1594.23382246016	-0.316139922655569	0.0949256088672623	-3.33039657504476	0.000867223737765	0.0875281336154666
"GNS"	883.914204089112	-0.376972814733353	0.112975023561101	-3.33678013821765	0.000847549661103458	0.0875281336154666
"HIST1H4J"	1766.19876239335	0.358908447681549	0.107968848623279	3.32418519098818	0.000886772882778995	0.0875281336154666
"HIST1H4K"	1766.19876239335	0.358908447681549	0.107968848623279	3.32418519098818	0.000886772882778995	0.0875281336154666
"ITGB1"	3302.46005393705	-0.289618064493103	0.0862650687365021	-3.35730404826716	0.000787065099659664	0.0875281336154666
"NDUFAF3"	664.368234283369	0.409341128294035	0.123170078312268	3.3233812456971	0.00088933279430468	0.0875281336154666
"HECTD4"	748.194492935273	-0.481694635152568	0.146715679332126	-3.28318443771873	0.0010264148783892	0.0972320437020942
"SMG1"	1103.75342495045	-0.42077798510746	0.128172603325231	-3.28290113636656	0.00102744691577096	0.0972320437020942
"VPS13B"	296.085037382443	-0.549046069129099	0.1684767536681	-3.25888324160567	0.00111851690623477	0.10385323953927
"TENM3"	523.247276245103	-0.436119034516252	0.135042779812215	-3.22948798242084	0.0012401209321282	0.111564705876077
"TMSB10"	829.606480757376	0.398057792286253	0.123316895423805	3.22792583220848	0.0012469129898769	0.111564705876077
"UBB"	17874.517789052	0.25048061917345	0.0777703946435043	3.22077083859019	0.00127846329930913	0.11234496242679
