	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
1-Mar	820	1201	586	526
10-Sep	866	1236	663	636
11-Sep	2038	2808	1468	1430
14-Sep	42	72	35	38
15-Sep	763	1001	494	467
2-Mar	268	344	240	212
2-Sep	4398	5929	3018	2952
3-Mar	67	97	40	38
3-Sep	106	193	133	104
5-Mar	631	901	428	430
6-Mar	2567	4132	2314	2009
6-Sep	490	779	350	294
7-Mar	2650	3991	1802	1519
7-Sep	2833	3864	1872	1907
8-Mar	226	367	190	168
8-Sep	1212	1738	853	798
9-Mar	83	124	66	48
9-Sep	829	1140	562	422
AAAS	1553	2201	904	834
AACS	344	604	288	286
AADAT	365	536	279	267
AAED1	159	269	139	120
AAGAB	1873	2562	1360	1300
AAK1	128	244	142	151
AAMDC	261	411	174	170
AAMP	4293	5702	3031	2949
AAR2	750	1114	455	395
AARS	4380	6406	3244	3011
AARS2	1313	1956	1014	880
AASDH	1013	1483	710	642
AASDHPPT	2005	2732	1325	1182
AASS	1612	2230	1051	1016
AATF	1800	2354	1263	1286
ABCA1	66	95	54	72
ABCA10	75	114	68	52
ABCA2	356	615	336	272
ABCA3	644	1153	622	492
ABCA5	633	979	483	435
ABCA7	216	374	223	190
ABCB1	229	344	140	156
ABCB10	2169	3152	1544	1488
ABCB6	342	501	239	178
ABCB7	2054	2990	1406	1226
ABCB8	338	534	260	195
ABCB9	206	258	116	106
ABCC1	798	1446	948	681
ABCC10	498	812	463	382
ABCC2	80	92	43	50
ABCC4	1945	2703	1391	1304
ABCC5	872	1293	697	652
ABCC8	44	72	40	30
ABCD1	56	84	41	34
ABCD3	3356	4896	2335	2154
ABCD4	497	729	354	339
ABCE1	7071	10075	4377	4140
ABCF1	3280	4344	2263	2260
ABCF2	3935	5492	2664	2435
ABCF3	771	971	548	526
ABCG2	85	125	55	37
ABHD10	1091	1513	724	701
ABHD12	450	622	255	232
ABHD13	166	221	79	76
ABHD14A	111	117	63	40
ABHD14B	204	229	117	91
ABHD15	43	74	36	34
ABHD16A	535	705	308	231
ABHD17A	523	788	337	284
ABHD17B	581	815	368	321
ABHD17C	93	138	74	61
ABHD2	553	857	370	379
ABHD3	408	550	217	190
ABHD4	30	68	42	42
ABHD5	572	825	376	311
ABHD6	143	216	112	88
ABI1	713	951	379	330
ABI2	720	1099	501	446
ABL1	896	1475	843	801
ABL2	1057	1652	971	841
ABLIM1	525	760	314	319
ABR	410	699	392	347
ABRACL	531	749	357	343
ABT1	1327	1811	818	743
ABTB2	95	161	79	74
ACAA1	530	746	350	319
ACAA2	897	1363	693	705
ACACA	4229	6454	3683	3250
ACACB	417	668	384	325
ACAD10	354	541	272	241
ACAD8	401	596	298	293
ACAD9	1252	1837	874	828
ACADL	78	106	68	67
ACADM	2409	3141	1559	1560
ACADS	220	291	133	122
ACADSB	521	799	382	330
ACADVL	1069	1598	753	640
ACAP2	1063	1492	766	692
ACAP3	441	621	318	305
ACAT1	3213	4526	2297	2135
ACAT2	3706	4942	2425	2237
ACBD3	1877	2529	1248	1249
ACBD5	431	557	301	275
ACBD6	1670	2334	1036	948
ACCS	43	87	44	40
ACD	265	377	172	157
ACER3	180	254	95	101
ACIN1	4912	6817	3570	3311
ACLY	12052	17209	7973	7024
ACN9	405	534	245	264
ACO1	1555	2109	1001	939
ACO2	1717	2561	1221	1109
ACOT13	486	637	319	295
ACOT2	488	748	353	314
ACOT7	628	929	515	514
ACOT8	203	324	168	121
ACOT9	712	966	479	429
ACOX1	1180	1753	843	822
ACOX3	213	379	204	178
ACP1	1161	1724	803	713
ACP2	286	460	197	187
ACP6	458	634	335	297
ACPL2	241	373	147	134
ACRC	104	143	87	42
ACSF2	169	256	107	91
ACSF3	483	678	358	322
ACSL1	667	945	400	425
ACSL3	3382	4800	2245	2153
ACSL4	1498	1982	1028	975
ACSL6	76	118	63	55
ACSM3	65	64	38	26
ACSS1	258	394	187	202
ACSS2	326	379	221	194
ACSS3	59	102	48	46
ACTA1	229	315	131	86
ACTA2	54	94	49	41
ACTB	23936	35980	17954	16671
ACTG1	31378	43408	17047	14857
ACTL6A	1601	2282	949	941
ACTN1	1565	2477	1252	1031
ACTN2	123	202	130	117
ACTN4	2982	4655	2309	1968
ACTR10	1089	1541	664	633
ACTR1A	1591	2233	896	810
ACTR1B	659	890	436	377
ACTR2	3472	4841	2892	2713
ACTR3	3620	5171	2337	2194
ACTR3B	350	633	367	274
ACTR3C	106	164	90	67
ACTR5	449	696	341	295
ACTR6	1317	1735	835	894
ACTR8	2043	2967	1415	1325
ACTRT3	73	104	54	65
ACVR1	124	170	105	59
ACVR1B	325	486	262	270
ACVR2A	375	508	253	219
ACVR2B	548	820	465	417
ACY1	324	530	247	221
ACYP1	119	192	66	74
ADA	196	271	120	124
ADAL	195	294	142	117
ADAM10	1007	1480	742	707
ADAM11	224	290	147	128
ADAM15	1225	1780	851	730
ADAM17	1025	1447	732	739
ADAM19	69	98	43	62
ADAM22	417	658	295	278
ADAM23	290	470	245	220
