"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HIST1H2BN"	9134.15175108728	-0.954452473665168	0.082616678566515	-11.5527819591142	7.14689272001223e-31	6.07342943346639e-27
"HIST1H2BO"	13707.2485275347	-0.851583267444597	0.0788601586768532	-10.7986501895608	3.4930072400648e-27	1.48417877630354e-23
"HIST1H2BC"	14663.3933300601	-0.896291771994571	0.0893350067900468	-10.0329289065933	1.09227530227613e-23	3.09405183958086e-20
"HIST1H2BE"	8637.69180621227	-0.917064838947593	0.0928026345952493	-9.88188366577407	4.98862127167323e-23	1.05983258916698e-19
"HIST1H2BJ"	15374.2981226427	-0.896490860379034	0.0922184661324091	-9.72138117209447	2.44442991818177e-22	4.15455308894174e-19
"HIST1H2AD"	4586.30302943818	-0.832879098713282	0.0872597706678334	-9.54482337437895	1.36339727214429e-21	1.9310250031137e-18
"HIST1H2BD"	16180.4731939794	-0.847808995827689	0.091498405202628	-9.2658335842048	1.93559420088827e-20	2.34981135987836e-17
"MIF"	3819.32381167516	-0.92847475494025	0.103623920021611	-8.96004276567236	3.24552509451024e-19	3.4475590316435e-16
"HNRNPA3"	3771.76859145994	0.72031654837504	0.081124744713463	8.87912252814153	6.7389844028489e-19	6.36309882837888e-16
"HIST2H2BF"	21391.3428742798	-0.779281725605215	0.0886479485520579	-8.79074742657566	1.48568230035205e-18	1.26253281883917e-15
"POTEE"	1012.33350592851	1.12021826308299	0.128219550185046	8.73671964584419	2.39977062796506e-18	1.8539318905861e-15
"RPL18A"	12025.4334818992	-0.667642396338017	0.0772039278890914	-8.64777757547686	5.25120552041233e-18	3.718728709372e-15
"AK097143"	6358.77045380915	0.834340477298224	0.0979821570810451	8.51522871259209	1.66261832453196e-17	1.08684080937481e-14
"TUBA1A"	22394.8797569383	-0.59300151018547	0.0699533947294423	-8.47709410642633	2.30888185622546e-17	1.40149128672885e-14
"ID2"	507.7194037562	-1.33179297614702	0.162983866669219	-8.17131783264128	3.05038838615584e-16	1.72814670037016e-13
"PSMD8"	3232.64160108112	-0.730129222991395	0.0910095830940151	-8.02255320999717	1.0356951132452e-15	5.50083567022359e-13
"RPS27"	14574.9419597757	-0.664889736364841	0.083012611014336	-8.0095027519375	1.15173161744014e-15	5.75730310882724e-13
"HIST1H2BK"	23458.8072273365	-0.560045302922684	0.0702876720072122	-7.96790229252746	1.61390382400664e-15	7.61941927578244e-13
"HIST2H2AC"	14288.2895113788	-0.6021091032925	0.0757179443685895	-7.95200012775672	1.83524064870275e-15	8.20835528035578e-13
"DBI"	831.298685671186	-0.966293945314782	0.122218681953005	-7.90627038251272	2.65214806106593e-15	1.12689771114691e-12
"HSPA8"	49472.8445089123	-0.482279572432907	0.0638508982183475	-7.55321516047717	4.2464260882921e-14	1.71838709039554e-11
"POLR2J"	823.695136397851	-0.943961927160886	0.125431073091857	-7.52574225741967	5.2421659432809e-14	2.02490573572732e-11
"RPS15A"	18222.5442680562	-0.5249147436639	0.0699392257542611	-7.50529817856782	6.12889298648692e-14	2.26449272170286e-11
"HNRNPUL2"	1643.35379285985	0.772518250143866	0.10302289621427	7.49851031694118	6.45471731325791e-14	2.28550782200274e-11
"ANP32B"	1542.25332310859	0.804068632110278	0.107403145736941	7.4864532746523	7.07597197563807e-14	2.40526439395889e-11
"TMEM123"	973.0218317356	-0.884523684313653	0.120107196606133	-7.36445200044312	1.77876040216053e-13	5.81380996060006e-11
"RPS17L"	59415.5055236379	-0.501232610461264	0.0682031515023088	-7.34911216594289	1.99527702747262e-13	6.27994969609717e-11
"LOC100132247"	1884.96020298972	0.798171250279797	0.109026595538025	7.32088575581927	2.46339495329537e-13	7.47206254607775e-11
"SF3B5"	757.944108608837	-0.921810846799255	0.125994924716289	-7.31625380049994	2.54989190205054e-13	7.47206254607775e-11
"UBE2D3"	1963.7259842147	-0.698780686232593	0.0960948387095694	-7.27178166503345	3.54776697106825e-13	1.0049641240046e-10
"TUBA1B"	50392.3564295901	-0.487115689446221	0.0673828802189233	-7.2290719521577	4.86305744685008e-13	1.33310523172039e-10
"LOC23117"	279.234962007473	1.34626483479301	0.187514792045077	7.17951272062517	6.99603141780763e-13	1.85788359339154e-10
"HIST2H2AA4"	54124.4092832375	-0.457425293425636	0.0649862654472407	-7.0387995105981	1.9390313035123e-12	4.99329939916592e-10
"HIST1H2AB"	2127.99327512641	-0.704796717290561	0.10108691274653	-6.97218559891926	3.12054483937862e-12	7.79952648383516e-10
"TUBA1C"	32457.4945491707	-0.465508002211085	0.0669689230432527	-6.95110479692843	3.62436496517438e-12	8.79995813544339e-10
"RPL27"	14323.6591382177	-0.561959558679099	0.0812365903414321	-6.91756702635129	4.59466017315447e-12	1.08459505976296e-09
"HIST1H2AH"	10474.2509363849	-0.494061158694359	0.0717032352960696	-6.89036075784214	5.56510754303748e-12	1.27816983515493e-09
"HIST1H2AK"	1799.13509176532	-0.671742455856241	0.0977113789318143	-6.87476180563374	6.20935228359396e-12	1.38860725542056e-09
"MORC4"	4741.78935082664	0.598747652549245	0.0875968321382728	6.83526604711131	8.18529784992151e-12	1.73852691892311e-09
"PTMS"	353.728407647438	1.22048336467663	0.17863035509972	6.83245221113342	8.34752186855999e-12	1.73852691892311e-09
"RPL36"	9624.12521267792	-0.50717610880078	0.0742379681580074	-6.83176171687932	8.38780932876528e-12	1.73852691892311e-09
"HIST1H2BL"	3576.49566056887	-0.551051645649534	0.0813548162946955	-6.7734360514494	1.25759176868692e-11	2.48535229076779e-09
"TOP1"	3694.52699961778	0.561514210560424	0.0828671156186526	6.77608006949904	1.23480262866209e-11	2.48535229076779e-09
"RPL32"	25955.4733688252	-0.510955321028829	0.0761270072825317	-6.71187978180345	1.92132964622032e-11	3.71078621217733e-09
"ZNF721"	2527.32187862784	0.567476154115237	0.0852659077270762	6.65536988044091	2.82588467012432e-11	5.33652620593699e-09
"PRMT1"	5989.42580701592	-0.510028508611381	0.0770666317297119	-6.61801998042619	3.64041831722444e-11	6.72527714342897e-09
"UBE2E1"	1222.62806391939	-0.758942200733007	0.115324983753763	-6.58090013134941	4.67608607282725e-11	8.45476158444383e-09
"HIST3H2BB"	6310.1675418054	-0.536380570578939	0.081732680595906	-6.56262056582795	5.28702604970836e-11	9.36023903550451e-09
"HIST1H2AG"	10900.5343383901	-0.55786046712785	0.0864089419965717	-6.45605019848505	1.074709733098e-10	1.86385373711568e-08
"TUBB"	23150.6016489503	-0.497270636852628	0.0772838944731581	-6.4343371958997	1.24013279241933e-10	2.1077296939959e-08
"ZNF207"	3845.78802293814	-0.514701408218229	0.0802702920755989	-6.4121033437063	1.43525485390883e-10	2.39152857814064e-08
"HSP90AA1"	48457.8435622445	0.43452492700085	0.0679038969046745	6.39911620405011	1.56278875440117e-10	2.55395746825021e-08
"H3F3C"	1470.63513461423	-0.652978149553802	0.102313900120502	-6.38210593853567	1.74669055558681e-10	2.80063704554277e-08
"NPIPL3"	1604.15798946932	0.719513318164068	0.11297503089098	6.36878177850109	1.90535468341994e-10	2.99846372216716e-08
"RPS18"	35426.4240190264	-0.457942062145792	0.0725089733015406	-6.31566054923111	2.69009944092037e-10	4.1564481907166e-08
"RPL41"	1217.46774249854	0.767981507936079	0.122707260008161	6.25864767809989	3.88330061716046e-10	5.89290868654099e-08
"UBC"	57216.4229576221	-0.388276128688394	0.0630694803340464	-6.156323575712	7.44530286843517e-10	1.11000322413969e-07
"ATP6V0B"	935.893562727905	-0.82999985610587	0.135364006397212	-6.13161414320376	8.69918864074703e-10	1.27068131719969e-07
"TMEM258"	571.039207020336	-0.869382565271618	0.141838531705789	-6.12938215600647	8.82209904857399e-10	1.27068131719969e-07
"POLR2J3"	1872.55297382966	-0.655037956211813	0.107508967705604	-6.09286806664845	1.10905463998094e-09	1.570791055093e-07
"VDAC1"	4872.91646495273	-0.451827903221423	0.07453710549836	-6.06178493517386	1.3461914310459e-09	1.87539914443083e-07
"PCNT"	4958.46229728072	0.478703612523126	0.0790061724029134	6.05906599400673	1.3691421579982e-09	1.87660807397882e-07
"ARF1"	3232.17804141888	-0.475790677785816	0.078927437980167	-6.02820375222839	1.65791955926632e-09	2.23634927216591e-07
"NUTF2"	744.515942610028	-0.871509137997107	0.145139363637537	-6.00463662065905	1.91760886762814e-09	2.54622502454749e-07
"RPS7"	31221.5514838051	-0.43063284823091	0.0718971311568442	-5.98956928186023	2.103974910318e-09	2.75070442890498e-07
"MRPS18B"	894.57907900003	-0.712250616385355	0.11922983722322	-5.97376154302628	2.31844614982003e-09	2.98517505775312e-07
"TUBB3"	641.529922406373	-0.768108220088676	0.128690435028969	-5.9686504277942	2.39224029322992e-09	3.03421761371161e-07
"STT3A"	4035.31991137372	-0.489481414123872	0.082093709901762	-5.96247160360536	2.4845083850308e-09	3.10490474352819e-07
"EIF3L"	9081.0601707422	-0.456272686882222	0.0766891901812924	-5.94963495902876	2.68741173564811e-09	3.30980071442574e-07
"HIST1H2AJ"	4674.98348937587	-0.467699603986125	0.0789400957841842	-5.92474077134106	3.12790412810375e-09	3.79727561151795e-07
"HINT1"	2171.53046068313	-0.531000126668733	0.0897909829249255	-5.9137355374838	3.34434708762851e-09	3.94725854870376e-07
"MYL12B"	1369.72510469662	-0.578695311705564	0.0978436558099016	-5.91448987586787	3.32905712600792e-09	3.94725854870376e-07
"RPS28"	1048.35960575353	-0.73535548580294	0.124957658177725	-5.8848372842988	3.98445795769475e-09	4.63834571568356e-07
"HIST1H3A"	3182.51357177892	-0.495539974360782	0.0847096867736421	-5.84986196070993	4.91981140641097e-09	5.64980504482168e-07
"NDUFB4"	1150.35617359826	-0.659023781769577	0.11300076593979	-5.83202933439163	5.47572892074892e-09	6.20436591580324e-07
"RPL27A"	15188.9328983799	-0.392452930543318	0.0676023625874742	-5.80531383108842	6.42455538209707e-09	7.1836673206659e-07
"ACTG1"	24426.2621242165	-0.394649263303942	0.0681926016458305	-5.78727389451451	7.15378829645826e-09	7.89518090172757e-07
"FTL"	3150.74639942095	-0.515488366355486	0.0896108070068235	-5.75252453999475	8.792050074277e-09	9.57882583733409e-07
"POLR2J2"	1648.22738103707	-0.643449071124411	0.112676001518874	-5.7106132845567	1.12569775561859e-08	1.21090880091731e-06
"PHB"	4118.38835599799	-0.462363661040734	0.0810687290235126	-5.70335401344005	1.17472650997651e-08	1.24785323522255e-06
"ANKRD11"	2657.50925656736	0.547746621806898	0.0965914942026432	5.67075420386145	1.42170248058583e-08	1.49155897284178e-06
"TRAM1"	2551.68098955809	-0.493357100733149	0.0882674098376779	-5.58934607507373	2.27926301464784e-08	2.362094768107e-06
"GAPDH"	36528.0029739598	-0.40368773729346	0.0723585712913638	-5.5789898845286	2.41919307315192e-08	2.47690394405362e-06
"HIST2H4A"	35835.372809363	-0.397509832761997	0.0713802739463782	-5.56890315468124	2.56347910169435e-08	2.59338635788079e-06
"NACA2"	610.891798137226	-0.693999605997853	0.126293598436951	-5.49512892646192	3.9042507505353e-08	3.90333210329987e-06
"GORASP2"	867.965628859755	-0.651295331752588	0.119328928929119	-5.45798355518177	4.81572247127409e-08	4.75860576289386e-06
"ERGIC1"	528.820547904225	-0.725028292606537	0.133056406175257	-5.44902957661095	5.06453915962867e-08	4.94694871017522e-06
"CKB"	6358.60615209368	-0.404616213330355	0.0747464984756326	-5.41317950114092	6.19153664657612e-08	5.97905436620498e-06
"RPL38"	10258.5179065026	-0.378277811338044	0.0702085937028401	-5.387913236649	7.12804458116095e-08	6.80608121918042e-06
"EIF3E"	13327.7425660691	-0.359485032885574	0.0670258991630794	-5.36337501434958	8.16811769738171e-08	7.71251824359442e-06
"HPRT1"	1510.69790269082	0.606621289797291	0.11332742202868	5.35281998776757	8.65939846789227e-08	8.08654595386247e-06
"FYCO1"	802.810876609854	0.633583238960032	0.118493081811128	5.34700616505133	8.94209716006049e-08	8.25977626806457e-06
"AHNAK"	2761.51359683396	0.495406780706255	0.0930091494521578	5.32643061058292	1.00161518579594e-07	9.15239338590744e-06
"HIST4H4"	1013.75645719415	-0.583468927037127	0.110294220380955	-5.29011334430609	1.22240582584773e-07	1.10510688383553e-05
"EMC3"	1080.70810780874	-0.56960628217144	0.107910432011406	-5.27850988596943	1.30238640939494e-07	1.16501891653034e-05
"STOML2"	3751.28332063443	-0.410762223221621	0.0780893703750195	-5.26015539949881	1.43933707613964e-07	1.27411317427444e-05
"ATP5J"	1157.39042604656	-0.572964532365763	0.109049551200833	-5.25416680817469	1.48696069725594e-07	1.29561591587894e-05
"CDC123"	3284.68129423854	-0.413687172961669	0.0787483194815732	-5.25328255491815	1.49412049607126e-07	1.29561591587894e-05
"RPL31"	15176.7472397501	-0.391399520620557	0.0747411702428103	-5.23673257120573	1.63444249498399e-07	1.40297902246201e-05
"KRTCAP2"	1072.26154822729	-0.621034116735788	0.118954837558686	-5.22075545207989	1.78194720504955e-07	1.51429873485111e-05
"TUBB2A"	1561.96806790639	-0.494246500536382	0.0947447365466454	-5.21661169317887	1.82225711225644e-07	1.53322187524309e-05
"HIST2H3C"	31876.1180633577	-0.358412457412327	0.0687567061643963	-5.2127636329083	1.86047890879103e-07	1.55003429087316e-05
"RPL29"	11604.1257371753	-0.984811763942066	0.189195589310716	-5.20525751963863	1.93727761913647e-07	1.59834807839046e-05
"MYL12A"	1121.76820418279	-0.571665743124368	0.109878718413881	-5.20269758672533	1.96416350030727e-07	1.60494821400108e-05
"H3F3A"	4639.06248368459	-0.39776620432717	0.0765106732406537	-5.19883288800834	2.00543716793558e-07	1.62306714791586e-05
"NPEPPS"	3781.0791721025	0.419834322471044	0.0809297740706623	5.18763739664556	2.12978782298669e-07	1.70744687922084e-05
"MRPL42"	1073.11399521691	-0.53038405718878	0.102750510008909	-5.1618630130672	2.44504192290975e-07	1.94186600569038e-05
"HSBP1"	1042.04281079745	-0.575161619951058	0.111494035796877	-5.15867611967067	2.48702097483924e-07	1.95691705964666e-05
"SS18"	659.871286644781	-0.65483246834664	0.126983616038846	-5.15682643772185	2.51170416684434e-07	1.95820752383882e-05
"H2AFX"	1464.46020836624	-0.534745394827179	0.103887581895359	-5.14734663249554	2.64196852134309e-07	2.04104077221578e-05
"HIST1H4H"	4074.02360288093	-0.439643796198591	0.0855178114137844	-5.14096173569435	2.733357212391e-07	2.09261888206294e-05
"GNG5"	190.950890698353	-1.10504618938019	0.21532977415409	-5.13187827239076	2.86865008721059e-07	2.1633351577271e-05
"TIPARP"	731.102436994977	-0.602430039753948	0.117401750028077	-5.13135485297172	2.87664006617042e-07	2.1633351577271e-05
"SIN3A"	2165.69730434528	0.466614266871129	0.091236395321864	5.11434351636762	3.14833958680242e-07	2.34689384286377e-05
"APH1A"	981.417983439072	-0.57615897327192	0.112702349552091	-5.11221794010263	3.18398184914876e-07	2.3528241525275e-05
"ATP5E"	1063.663942746	-0.57059351883493	0.112030786232139	-5.09318498981705	3.52097842150561e-07	2.5794202263754e-05
"MRPS36"	558.521872857668	-0.729202670490264	0.143492623568161	-5.08181293475257	3.73849488977767e-07	2.71536150199407e-05
"DAZAP2"	484.17869748486	-0.696028513806115	0.137365295842524	-5.06698951534342	4.04156534623517e-07	2.91061206036495e-05
"TUBB2B"	1677.02632086747	-0.463245993573478	0.0916157775575859	-5.05639973728653	4.27245324258068e-07	3.05103425676055e-05
"RPS12"	15350.5008489246	-0.372932209049185	0.0741863591677797	-5.02696470392572	4.98304025366596e-07	3.52882300630444e-05
"C14orf119"	411.795403476424	-0.822064520267348	0.163693785494843	-5.02196535917515	5.11454092730367e-07	3.58039893761351e-05
"SNRPC"	1743.18489895158	-0.474730672772961	0.0945489013039422	-5.02100676185401	5.14013497751057e-07	3.58039893761351e-05
"COL2A1"	619.696670000525	0.683465961847332	0.136177102678243	5.01894920956141	5.19548827028816e-07	3.58953327812266e-05
"KAT5"	874.704312146632	-0.550173854982232	0.110439116870481	-4.98169372023735	6.30301417783871e-07	4.31959794219947e-05
"TIAL1"	1527.40088720429	0.520930796058505	0.104632544871363	4.97866889024773	6.40230621161866e-07	4.35254385490683e-05
"RPL17-C18orf32"	15005.5641761537	-0.336250434051047	0.0675897915485747	-4.97487011495507	6.52914031652397e-07	4.40354241347783e-05
"SMG1"	14054.3922965702	0.414013093926664	0.0832584232778426	4.97262712440586	6.60516299149062e-07	4.41973819698325e-05
"BPTF"	6800.93162291095	0.428072044960819	0.0862491637402709	4.96320226651597	6.93403031096211e-07	4.60354606113719e-05
"PSMA1"	3060.53938837176	-0.427011992642433	0.0860839211945479	-4.9604152171158	7.0342658113491e-07	4.63389076471664e-05
"ZC3H4"	831.102265273514	0.63375756184459	0.128103466187006	4.94723195795054	7.52762548651742e-07	4.920750875725e-05
"RPN2"	5849.93411267142	-0.370445634802777	0.0749756312027603	-4.9408805082409	7.77705609977177e-07	5.04499410197408e-05
"ANKRD18B"	482.057527925524	0.831552548054076	0.168695960809874	4.92929732319591	8.25258993532853e-07	5.27297062183623e-05
"GLA"	5508.18211440523	-0.36775529852867	0.0746001539179401	-4.92968551959288	8.23620900754357e-07	5.27297062183623e-05
"SLC29A1"	639.103740643546	-0.613796239845265	0.124633606746192	-4.9248052420983	8.4444416564291e-07	5.31561964417292e-05
"TICRR"	2601.17655593097	0.444632525171392	0.0902832061559224	4.92486414808415	8.44189827784469e-07	5.31561964417292e-05
"ATP2A2"	5589.14846367083	0.498661725808753	0.101683295297679	4.90406732343708	9.38722921066525e-07	5.86563778178186e-05
"ERC1"	1243.37485411858	0.533174757660833	0.108758994602025	4.90235092381873	9.4696473972422e-07	5.87394624684411e-05
"TKT"	6672.55605097697	-0.37814131849816	0.0773274849206311	-4.89012824982325	1.00770300548498e-06	6.20540589899373e-05
"CSNK2A2"	1143.13718501986	0.494331921327626	0.101121844723362	4.88847807988439	1.01618509955134e-06	6.21261940718511e-05
"ANKRD20A3"	835.903024288788	0.678969330419768	0.138970137874451	4.88572106788271	1.03051005017254e-06	6.25519600454732e-05
"NDUFA11"	1103.5738360865	-0.500408548816439	0.102501104133182	-4.88198203373738	1.05024827021622e-06	6.32979418460814e-05
"EIF3I"	8700.91521193736	-0.337923912920589	0.0692877730956414	-4.87710742924492	1.07652811708859e-06	6.44249009790059e-05
"GNL3L"	1956.93346017573	0.485391262538287	0.0995884639584604	4.87397077176278	1.09377179393388e-06	6.49991098241269e-05
"COA1"	630.478832212614	-0.680524737032642	0.13992198913135	-4.86360107698159	1.15269118942366e-06	6.80247897758491e-05
"SHMT2"	3091.07721796657	-0.413783139396396	0.0851307748968075	-4.86055882726275	1.17054852689263e-06	6.86022164243692e-05
"MYL6"	5328.14377780032	-0.361151981678136	0.0743558406451922	-4.85707616973177	1.19131775658302e-06	6.93412212016608e-05
"CCNL1"	1310.56413316592	-0.486938469462816	0.100361218878408	-4.85185886445604	1.22309652476261e-06	7.07066276696101e-05
"SEC61A1"	1982.20282957633	-0.428341161255282	0.0884425301470783	-4.84315815640912	1.2779148860278e-06	7.33764912261097e-05
"EEF1B2"	11899.4124281956	-0.366971059369528	0.0758767096094972	-4.83641240188406	1.32203493456995e-06	7.4401674662089e-05
"RPS11"	19866.2569948596	-0.32555872630842	0.0672969404775172	-4.837645277755	1.3138634862029e-06	7.4401674662089e-05
"SERINC3"	963.020138274516	-0.546067114353852	0.11290458636037	-4.83653615815844	1.32121248136185e-06	7.4401674662089e-05
"IPO8"	2117.53123666937	0.422142029626085	0.0873457019481449	4.83300288635497	1.34488836531916e-06	7.51898771610674e-05
"OAZ1"	8866.9837933482	-0.334908457727404	0.0695411604166566	-4.81597453538015	1.46483204749984e-06	8.13604100630956e-05
"RBM3"	3084.84676431355	-0.384901688833261	0.0800003259376383	-4.81125150831634	1.4998813099741e-06	8.22322024010317e-05
"TBC1D10B"	1382.88688881136	0.495919489407127	0.10306184359187	4.8118631699525	1.49529717462552e-06	8.22322024010317e-05
"HIST2H2BE"	21293.9432569399	-0.90735691530969	0.188912628156685	-4.8030506174374	1.56266361586807e-06	8.51250987669671e-05
"LAMTOR3"	210.195127731177	-0.96456803372103	0.201013133141259	-4.79853240754769	1.59832449476974e-06	8.65131309334603e-05
"EIF4H"	3789.73453728173	-0.375504032349326	0.078383224348767	-4.79061732238159	1.66268968652965e-06	8.9427449089424e-05
"ANKRD36"	5663.79280468947	0.354813904361653	0.0742589601677171	4.77806184681674	1.76992946206108e-06	9.45966073496544e-05
"HIGD1A"	1065.12840691184	-0.513595732996695	0.107557816816878	-4.77506654742831	1.79647837452997e-06	9.48228150730168e-05
"PABPC3"	1203.35015938915	0.56351627966859	0.117995810071948	4.77573126812712	1.79055377014574e-06	9.48228150730168e-05
"GSE1"	422.805086983234	0.760204486125811	0.159365332253726	4.77019986326442	1.8404322006268e-06	9.65431656847316e-05
"ZC3H7A"	2032.32795038124	0.440306358228286	0.0927960970068938	4.74488014507309	2.08629828956558e-06	0.000108769097329621
"DKFZp547E087"	1357.36050880231	0.490122823295061	0.103423187248564	4.73900327706124	2.14772031542834e-06	0.000110793147514226
"PEF1"	749.693951868607	-0.570267686472539	0.120343265954113	-4.73867550420297	2.15119667449368e-06	0.000110793147514226
"TNRC18"	1414.78674714687	0.582063766314589	0.123143218580534	4.72672204790494	2.28173256497886e-06	0.000116808212874641
"DEGS1"	2674.19336359211	-0.391349122336059	0.0828207287708174	-4.72525571972453	2.29825959281184e-06	0.000116949760597096
"HERC2"	6148.67912767994	0.38238032022035	0.0809712980356344	4.72241806043506	2.33056996803827e-06	0.000117887997549936
"UQCRC2"	4485.68601068676	-0.375303616615876	0.0796181797202228	-4.71379297962711	2.4314769969992e-06	0.000122264446866859
"PSMD3"	2849.97914034397	-0.379808605466387	0.0806125430199409	-4.71153236503697	2.45861040425349e-06	0.000122901595384389
"RPL36A-HNRNPH2"	7910.92741265476	-0.337381920186271	0.0716624606783966	-4.70793100030933	2.50243771934623e-06	0.000124360910754411
"KMT2A"	4385.785133402	0.468625785453793	0.0997575520584416	4.69764720348445	2.63175502481263e-06	0.000130027059307312
"COX6B1"	1505.36685486798	-0.488336548748643	0.104009157903496	-4.69513029998514	2.66436833474576e-06	0.00013087746883624
"TNKS1BP1"	949.573800897673	0.517315478222712	0.110448069690394	4.68378922033533	2.81619610325208e-06	0.000137540428077219
"UNG"	1676.9520148057	-0.429276260042374	0.091737405709228	-4.67940265722156	2.87711916220214e-06	0.000139712906516536
"HSPA5"	6756.92563480305	0.397852022247212	0.0851026511505899	4.67496625390916	2.94001959804137e-06	0.000141956173546338
"KIAA1671"	1281.95802596784	0.52823425603656	0.113212022327584	4.66588481661509	3.07291812164455e-06	0.000146297281006339
"TAF1"	2073.62695912927	0.426616586075298	0.0914107930806961	4.66702641665834	3.05590053789792e-06	0.000146297281006339
"TOMM5"	238.850384864207	0.913158052852463	0.195733775250919	4.66530649440471	3.08157369970989e-06	0.000146297281006339
"CEP250"	2041.88715391917	0.398066516429119	0.0856774138337166	4.64610798362436	3.38255991642782e-06	0.000159571668710551
"HIST1H4I"	288.728841947226	0.790438746542925	0.170180423711721	4.64471018054284	3.40554188394412e-06	0.000159571668710551
"PERP"	473.818012800217	-0.661655172794376	0.142475718128649	-4.64398552598929	3.417515145366e-06	0.000159571668710551
"SHISA5"	990.360347787084	-0.578255638974906	0.124689418955046	-4.63756783711843	3.52532924112905e-06	0.000163706272629042
"PNRC2"	665.350468020009	-0.569581469386629	0.12289474395362	-4.63470976107478	3.57438626552972e-06	0.000165082252632998
"AX748249"	338.493992237905	0.796200610258441	0.171977577593524	4.62967685322499	3.66236818187139e-06	0.000168231377348881
"NACA"	14291.6895426106	-0.328693904663125	0.0710753595236895	-4.62458307444187	3.75352628249451e-06	0.000171491754562572
"ZFAND6"	583.014404301663	-0.601381591346999	0.130195708638579	-4.61905847462626	3.85485220492137e-06	0.000175179326403325
