	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
1-Mar	485	405	586	526	123	191	254	337
10-Sep	538	464	663	636	269	344	478	598
11-Sep	1258	1032	1468	1430	860	1078	1539	2071
14-Sep	28	27	35	38	6	2	6	5
15-Sep	471	285	494	467	366	451	681	1055
2-Mar	188	130	240	212	57	70	120	144
2-Sep	2808	2280	3018	2952	2210	2981	3823	5661
3-Mar	51	26	40	38	26	28	37	48
3-Sep	80	84	133	104	46	65	90	112
5-Mar	425	305	428	430	319	421	608	753
6-Mar	1857	1737	2314	2009	824	1204	1577	2398
6-Sep	327	276	350	294	294	336	580	707
7-Mar	1690	1291	1802	1519	564	696	1069	1179
7-Sep	1754	1137	1872	1907	827	1036	1535	2052
8-Mar	175	143	190	168	19	28	27	58
8-Sep	833	663	853	798	306	435	552	839
9-Mar	35	40	66	48	21	28	52	86
9-Sep	518	440	562	422	303	387	612	713
AAAS	954	722	904	834	505	716	939	1456
AACS	244	257	288	286	217	306	396	575
AADAT	278	217	279	267	38	52	71	92
AAED1	113	73	139	120	52	100	129	133
AAGAB	1183	860	1360	1300	391	482	633	954
AAK1	96	130	142	151	107	138	191	287
AAMDC	163	118	174	170	65	65	60	133
AAMP	2642	1951	3031	2949	1226	1609	2238	3437
AAR2	485	361	455	395	219	312	303	510
AARS	3168	2552	3244	3011	1159	1623	2370	3314
AARS2	906	734	1014	880	143	207	266	461
AASDH	667	524	710	642	59	80	144	163
AASDHPPT	1132	820	1325	1182	619	841	1088	1485
AASS	1023	729	1051	1016	181	279	261	449
AATF	1239	921	1263	1286	510	638	839	1200
ABCA1	32	44	54	72	2	1	2	2
ABCA10	47	58	68	52	3	3	5	5
ABCA2	268	276	336	272	84	141	176	222
ABCA3	497	501	622	492	159	234	295	411
ABCA5	470	372	483	435	89	92	147	205
ABCA7	180	171	223	190	26	54	72	86
ABCB1	170	131	140	156	349	467	663	823
ABCB10	1345	1064	1544	1488	134	169	239	391
ABCB6	213	198	239	178	90	139	174	240
ABCB7	1370	918	1406	1226	423	557	816	1005
ABCB8	245	211	260	195	109	169	204	345
ABCB9	125	85	116	106	39	45	53	104
ABCC1	655	798	948	681	340	432	542	817
ABCC10	358	400	463	382	97	125	181	263
ABCC2	48	57	43	50	1	3	2	3
ABCC4	1145	964	1391	1304	312	369	500	684
ABCC5	603	546	697	652	172	192	215	388
ABCC8	34	32	40	30	1	6	7	10
ABCD1	37	40	41	34	20	34	42	48
ABCD3	2091	1473	2335	2154	872	1102	1486	2097
ABCD4	342	291	354	339	48	67	97	143
ABCE1	4367	3057	4377	4140	1811	2098	3076	3950
ABCF1	2291	1841	2263	2260	938	1258	1645	2317
ABCF2	2508	2004	2664	2435	810	978	1278	2007
ABCF3	449	397	548	526	176	204	310	437
ABCG2	60	37	55	37	39	33	92	92
ABHD10	662	477	724	701	260	364	527	676
ABHD12	245	202	255	232	79	115	187	228
ABHD13	90	65	79	76	49	64	88	109
ABHD14A	56	38	63	40	18	15	23	43
ABHD14B	135	83	117	91	31	52	63	106
ABHD15	29	18	36	34	13	15	24	26
ABHD16A	343	212	308	231	94	143	166	235
ABHD17A	320	228	337	284	37	56	58	81
ABHD17B	362	230	368	321	121	162	196	287
ABHD17C	62	41	74	61	52	71	95	166
ABHD2	360	349	370	379	162	268	333	494
ABHD3	267	153	217	190	130	193	244	340
ABHD4	22	24	42	42	36	68	65	111
ABHD5	379	284	376	311	53	80	124	143
ABHD6	93	68	112	88	37	33	60	110
ABI1	442	303	379	330	299	338	522	653
ABI2	551	387	501	446	151	202	299	374
ABL1	658	679	843	801	175	239	322	496
ABL2	734	824	971	841	112	112	188	209
ABLIM1	345	256	314	319	148	213	306	385
ABR	334	268	392	347	323	436	594	790
ABRACL	320	221	357	343	235	323	390	541
ABT1	882	584	818	743	225	311	389	606
ABTB2	59	55	79	74	57	75	139	144
ACAA1	346	283	350	319	193	232	311	452
ACAA2	572	427	693	705	923	1194	1655	2070
ACACA	2933	2722	3683	3250	693	885	1118	1662
ACACB	310	351	384	325	28	30	44	55
ACAD10	228	206	272	241	50	102	97	165
ACAD8	272	201	298	293	60	68	89	136
ACAD9	816	684	874	828	339	459	644	811
ACADL	43	26	68	67	96	123	138	201
ACADM	1410	945	1559	1560	658	811	1298	1530
ACADS	150	88	133	122	75	120	192	217
ACADSB	357	291	382	330	385	496	738	915
ACADVL	748	591	753	640	269	386	507	633
ACAP2	716	534	766	692	277	318	508	549
ACAP3	313	283	318	305	53	105	88	164
ACAT1	2042	1378	2297	2135	1048	1368	2087	2589
ACAT2	2156	1622	2425	2237	1032	1202	1712	2279
