	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
1-Mar	123	191	254	337
10-Sep	269	344	478	598
11-Sep	860	1078	1539	2071
14-Sep	6	2	6	5
15-Sep	366	451	681	1055
2-Mar	57	70	120	144
2-Sep	2210	2981	3823	5661
3-Mar	26	28	37	48
3-Sep	46	65	90	112
5-Mar	319	421	608	753
6-Mar	824	1204	1577	2398
6-Sep	294	336	580	707
7-Mar	564	696	1069	1179
7-Sep	827	1036	1535	2052
8-Mar	19	28	27	58
8-Sep	306	435	552	839
9-Mar	21	28	52	86
9-Sep	303	387	612	713
AAAS	505	716	939	1456
AACS	217	306	396	575
AADAT	38	52	71	92
AAED1	52	100	129	133
AAGAB	391	482	633	954
AAK1	107	138	191	287
AAMDC	65	65	60	133
AAMP	1226	1609	2238	3437
AAR2	219	312	303	510
AARS	1159	1623	2370	3314
AARS2	143	207	266	461
AASDH	59	80	144	163
AASDHPPT	619	841	1088	1485
AASS	181	279	261	449
AATF	510	638	839	1200
ABCA1	2	1	2	2
ABCA10	3	3	5	5
ABCA2	84	141	176	222
ABCA3	159	234	295	411
ABCA5	89	92	147	205
ABCA7	26	54	72	86
ABCB1	349	467	663	823
ABCB10	134	169	239	391
ABCB6	90	139	174	240
ABCB7	423	557	816	1005
ABCB8	109	169	204	345
ABCB9	39	45	53	104
ABCC1	340	432	542	817
ABCC10	97	125	181	263
ABCC2	1	3	2	3
ABCC4	312	369	500	684
ABCC5	172	192	215	388
ABCC8	1	6	7	10
ABCD1	20	34	42	48
ABCD3	872	1102	1486	2097
ABCD4	48	67	97	143
ABCE1	1811	2098	3076	3950
ABCF1	938	1258	1645	2317
ABCF2	810	978	1278	2007
ABCF3	176	204	310	437
ABCG2	39	33	92	92
ABHD10	260	364	527	676
ABHD12	79	115	187	228
ABHD13	49	64	88	109
ABHD14A	18	15	23	43
ABHD14B	31	52	63	106
ABHD15	13	15	24	26
ABHD16A	94	143	166	235
ABHD17A	37	56	58	81
ABHD17B	121	162	196	287
ABHD17C	52	71	95	166
ABHD2	162	268	333	494
ABHD3	130	193	244	340
ABHD4	36	68	65	111
ABHD5	53	80	124	143
ABHD6	37	33	60	110
ABI1	299	338	522	653
ABI2	151	202	299	374
ABL1	175	239	322	496
ABL2	112	112	188	209
ABLIM1	148	213	306	385
ABR	323	436	594	790
ABRACL	235	323	390	541
ABT1	225	311	389	606
ABTB2	57	75	139	144
ACAA1	193	232	311	452
ACAA2	923	1194	1655	2070
ACACA	693	885	1118	1662
ACACB	28	30	44	55
ACAD10	50	102	97	165
ACAD8	60	68	89	136
ACAD9	339	459	644	811
ACADL	96	123	138	201
ACADM	658	811	1298	1530
ACADS	75	120	192	217
ACADSB	385	496	738	915
ACADVL	269	386	507	633
ACAP2	277	318	508	549
ACAP3	53	105	88	164
ACAT1	1048	1368	2087	2589
ACAT2	1032	1202	1712	2279
ACBD3	437	572	781	1071
ACBD5	178	299	382	580
ACBD6	157	212	303	386
ACCS	2	4	11	11
ACD	133	199	241	418
ACER3	48	66	90	109
ACIN1	994	1321	1722	2433
ACLY	2689	3694	5074	6869
ACN9	157	224	385	423
ACO1	430	511	677	989
ACO2	374	590	647	1098
ACOT13	145	176	362	339
ACOT2	178	251	369	527
ACOT7	977	1325	1813	2698
ACOT8	95	112	193	258
ACOT9	284	373	492	652
ACOX1	413	565	751	1073
ACOX3	36	63	65	124
ACP1	509	648	984	1274
ACP2	112	133	186	294
ACP6	69	91	116	154
ACPL2	16	37	47	70
ACRC	1	1	2	2
ACSF2	55	79	127	142
ACSF3	108	156	182	292
ACSL1	308	386	555	709
ACSL3	1198	1511	2024	2800
ACSL4	660	870	1312	1646
ACSL6	6	15	10	20
ACSM3	16	20	46	43
ACSS1	106	150	203	300
ACSS2	39	79	102	161
ACSS3	63	86	126	164
ACTA1	907	1121	1581	2347
ACTA2	253	346	400	677
ACTB	23051	32775	42689	60640
ACTG1	15531	21889	26490	40920
ACTL6A	732	901	1245	1765
ACTN1	891	1261	1703	2432
ACTN2	27	37	48	57
ACTN4	3949	5519	7178	10630
ACTR10	537	619	872	1126
ACTR1A	960	1353	1836	2629
ACTR1B	92	130	135	202
ACTR2	1528	2027	2898	3915
ACTR3	1210	1512	2106	2804
ACTR3B	67	70	113	161
ACTR3C	30	25	33	62
ACTR5	52	100	131	208
ACTR6	470	583	929	1080
ACTR8	246	342	475	619
ACTRT3	13	14	24	14
ACVR1	57	79	109	128
ACVR1B	136	194	210	400
ACVR2A	82	122	151	233
ACVR2B	18	62	67	96
ACY1	83	124	151	252
ACYP1	46	70	92	108
ADA	86	89	183	208
ADAL	29	34	69	58
ADAM10	289	418	569	693
ADAM11	27	52	67	100
ADAM15	189	259	351	508
ADAM17	109	148	168	277
ADAM19	13	13	22	40
ADAM22	32	52	71	78
ADAM23	55	82	118	169
ADAM9	255	357	516	690
ADAMTS1	1642	2215	3128	4677
ADAMTS13	5	4	5	2
ADAMTS17	8	13	19	45
ADAMTS19	53	72	83	125
ADAMTS20	15	34	24	39
ADAMTS3	53	68	86	115
ADAMTS6	2	2	5	5
ADAMTS7	8	10	12	21
ADAMTS9	12	10	24	24
ADAP1	5	6	6	18
ADAP2	16	29	22	35
ADAR	1360	1783	2685	3585
ADARB1	32	45	69	131
ADAT1	44	54	83	102
ADAT2	21	46	74	84
ADAT3	18	28	34	68
ADC	5	9	8	9
ADCK1	47	62	73	113
ADCK2	148	215	340	492
ADCK3	307	445	606	873
ADCK4	88	121	188	258
ADCK5	6	6	12	19
ADCY1	9	9	25	16
ADCY3	158	237	317	453
ADCY6	149	214	270	407
ADCY9	117	152	200	252
ADD1	613	845	1116	1600
ADD2	84	125	213	320
ADD3	554	815	1110	1477
ADH5	787	985	1328	2152
ADI1	220	343	397	631
ADIPOR1	173	230	308	466
ADIPOR2	251	361	476	713
ADK	434	500	802	998
ADM	34	61	62	114
ADNP	780	987	1392	1910
ADNP2	244	279	416	554
ADO	69	113	133	206
ADORA2A	4	4	14	5
ADORA2B	35	36	67	71
ADPGK	185	266	361	527
ADPRHL1	10	9	11	18
ADPRHL2	183	318	313	498
ADPRM	22	24	25	50
ADRA2C	6	7	4	7
ADRBK1	134	147	247	319
ADRBK2	24	33	70	78
ADRM1	1072	1540	1791	3178
ADSL	1121	1552	2139	2700
ADSS	559	662	935	1405
AEBP2	249	300	363	562
AEN	276	346	376	667
AES	366	556	674	965
AFAP1	48	67	102	137
AFAP1L1	32	38	74	83
AFF1	233	293	419	530
AFF3	58	122	136	180
AFF4	791	960	1470	1778
AFG3L2	494	612	897	1259
AFMID	67	84	122	167
AFTPH	111	132	209	309
AGA	95	161	196	254
AGAP1	71	131	153	248
AGAP11	6	8	15	17
AGAP3	144	249	337	552
AGAP4	29	16	38	31
AGAP5	42	22	48	50
AGAP6	31	17	38	37
AGAP7	26	14	37	32
AGAP8	51	28	67	63
AGAP9	80	40	96	82
AGBL3	1	13	11	16
AGBL5	79	101	167	223
AGFG1	570	789	1006	1394
AGFG2	49	67	76	130
AGGF1	140	176	256	345
AGK	413	627	705	1133
AGL	605	787	1157	1508
AGMAT	0	2	1	1
AGO1	206	269	400	561
AGO2	278	389	504	679
AGO3	104	127	193	237
AGO4	31	44	67	92
AGPAT1	198	269	367	531
AGPAT2	183	270	329	475
