"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ATF4"	399.797889740033	0.689285610824032	0.167381598788952	4.11804891225312	3.82093609936635e-05	0.205642780867897
"TPT1"	4088.93316558554	-0.385052753319786	0.0918265527037895	-4.19326155651159	2.74972086558269e-05	0.205642780867897
"1-Mar"	211.810197203393	0.0139034595583528	0.190339380248865	0.0730456279734352	0.941769808591402	0.999975608660972
"10-Sep"	403.185285706485	-0.0936021072851539	0.146664132469947	-0.63820721337123	0.523338802235304	0.999975608660972
"11-Sep"	1309.33860242049	-0.0165359039623053	0.0997332489359616	-0.165801316398737	0.868313310126362	0.999975608660972
"14-Sep"	5.01649144794394	-0.491370578489592	1.16184776921787	-0.422921652481523	0.672352424525636	0.999975608660972
"15-Sep"	587.244297980423	0.158137298876206	0.129352006916339	1.22253456012077	0.221505542834362	0.999975608660972
"2-Mar"	91.2719861681584	0.151554352244026	0.276642207694825	0.547835247220164	0.583805033992226	0.999975608660972
"2-Sep"	3451.08010354375	-0.0489953378958945	0.0830003395931895	-0.590302860639316	0.554987621882044	0.999975608660972
"3-Mar"	33.9145470849312	-0.265664664174401	0.438292977378613	-0.606134886676295	0.544425186410386	0.999975608660972
"3-Sep"	74.0643774537766	-0.0354509745379058	0.301964148230284	-0.117401270136447	0.906542077610485	0.999975608660972
"5-Mar"	497.640366806411	-0.022787270811962	0.136883774584883	-0.166471671906092	0.867785774637021	0.999975608660972
"6-Mar"	1391.18152497208	0.0561033911267523	0.103322142662447	0.542994847774712	0.587133349830856	0.999975608660972
"6-Sep"	449.413909519091	0.120268075241976	0.147445568525328	0.815677788385459	0.414684445987589	0.999975608660972
"7-Mar"	840.743470246783	-0.0585589095761832	0.131424625731026	-0.445570297426832	0.655907670117426	0.999975608660972
"7-Sep"	1280.0945386307	0.0318656383194939	0.100629056721763	0.316664384598194	0.751498275972469	0.999975608660972
"8-Mar"	30.5440685551019	-0.0897581064282969	0.471866995489572	-0.190219081406978	0.849137459297897	0.999975608660972
"8-Sep"	497.838003218181	-0.00840842063761026	0.135336917420708	-0.0621295415756504	0.950459671659983	0.999975608660972
"9-Mar"	41.0339249265381	0.564820921923927	0.407437934939373	1.38627475128935	0.165663023547288	0.999975608660972
"9-Sep"	475.951197389471	0.0435631661809941	0.144642396414602	0.301178404540014	0.763278456427659	0.999975608660972
"AAAS"	838.061058060188	0.0527038966706112	0.116307048305897	0.453144477813553	0.650444709641389	0.999975608660972
"AACS"	350.213098933474	-0.0205018653106004	0.152161361736324	-0.134737656634064	0.892819298961668	0.999975608660972
"AADAT"	59.8762515411843	-0.0480935536453686	0.332518927164273	-0.144634033483481	0.884999824922172	0.999975608660972
"AAED1"	98.4822796947104	-0.0743360227821225	0.286902808068112	-0.259098275414839	0.795559415397253	0.999975608660972
"AAGAB"	580.388246025206	-0.0640977228202266	0.127923798797629	-0.501061752564328	0.616327663475146	0.999975608660972
