	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
1-Mar	485	405	586	526
10-Sep	538	464	663	636
11-Sep	1258	1032	1468	1430
14-Sep	28	27	35	38
15-Sep	471	285	494	467
2-Mar	188	130	240	212
2-Sep	2808	2280	3018	2952
3-Mar	51	26	40	38
3-Sep	80	84	133	104
5-Mar	425	305	428	430
6-Mar	1857	1737	2314	2009
6-Sep	327	276	350	294
7-Mar	1690	1291	1802	1519
7-Sep	1754	1137	1872	1907
8-Mar	175	143	190	168
8-Sep	833	663	853	798
9-Mar	35	40	66	48
9-Sep	518	440	562	422
AAAS	954	722	904	834
AACS	244	257	288	286
AADAT	278	217	279	267
AAED1	113	73	139	120
AAGAB	1183	860	1360	1300
AAK1	96	130	142	151
AAMDC	163	118	174	170
AAMP	2642	1951	3031	2949
AAR2	485	361	455	395
AARS	3168	2552	3244	3011
AARS2	906	734	1014	880
AASDH	667	524	710	642
AASDHPPT	1132	820	1325	1182
AASS	1023	729	1051	1016
AATF	1239	921	1263	1286
ABCA1	32	44	54	72
ABCA10	47	58	68	52
ABCA2	268	276	336	272
ABCA3	497	501	622	492
ABCA5	470	372	483	435
ABCA7	180	171	223	190
ABCB1	170	131	140	156
ABCB10	1345	1064	1544	1488
ABCB6	213	198	239	178
ABCB7	1370	918	1406	1226
ABCB8	245	211	260	195
ABCB9	125	85	116	106
ABCC1	655	798	948	681
ABCC10	358	400	463	382
ABCC2	48	57	43	50
ABCC4	1145	964	1391	1304
ABCC5	603	546	697	652
ABCC8	34	32	40	30
ABCD1	37	40	41	34
ABCD3	2091	1473	2335	2154
ABCD4	342	291	354	339
ABCE1	4367	3057	4377	4140
ABCF1	2291	1841	2263	2260
ABCF2	2508	2004	2664	2435
ABCF3	449	397	548	526
ABCG2	60	37	55	37
ABHD10	662	477	724	701
ABHD12	245	202	255	232
ABHD13	90	65	79	76
ABHD14A	56	38	63	40
ABHD14B	135	83	117	91
ABHD15	29	18	36	34
ABHD16A	343	212	308	231
ABHD17A	320	228	337	284
ABHD17B	362	230	368	321
ABHD17C	62	41	74	61
ABHD2	360	349	370	379
ABHD3	267	153	217	190
ABHD4	22	24	42	42
