	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
1-Mar	105	82	254	337
10-Sep	198	147	478	598
11-Sep	760	530	1539	2071
14-Sep	2	1	6	5
15-Sep	487	306	681	1055
2-Mar	64	39	120	144
2-Sep	1865	1358	3823	5661
3-Mar	24	18	37	48
3-Sep	44	38	90	112
5-Mar	327	197	608	753
6-Mar	853	546	1577	2398
6-Sep	243	232	580	707
7-Mar	606	462	1069	1179
7-Sep	760	561	1535	2052
8-Mar	15	4	27	58
8-Sep	307	230	552	839
9-Mar	25	22	52	86
9-Sep	258	199	612	713
AAAS	622	453	939	1456
AACS	210	146	396	575
AADAT	41	21	71	92
AAED1	48	38	129	133
AAGAB	399	234	633	954
AAK1	103	70	191	287
AAMDC	46	32	60	133
AAMP	1187	818	2238	3437
AAR2	243	180	303	510
AARS	1252	845	2370	3314
AARS2	202	123	266	461
AASDH	80	55	144	163
AASDHPPT	578	454	1088	1485
AASS	253	144	261	449
AATF	448	414	839	1200
ABCA1	3	1	2	2
ABCA10	3	1	5	5
ABCA2	84	40	176	222
ABCA3	143	77	295	411
ABCA5	84	55	147	205
ABCA7	41	24	72	86
ABCB1	339	226	663	823
ABCB10	137	105	239	391
ABCB6	90	58	174	240
ABCB7	375	263	816	1005
ABCB8	145	99	204	345
ABCB9	40	18	53	104
ABCC1	314	189	542	817
ABCC10	103	72	181	263
ABCC2	4	5	2	3
ABCC4	300	208	500	684
ABCC5	181	112	215	388
ABCC8	6	2	7	10
ABCD1	19	4	42	48
ABCD3	856	586	1486	2097
ABCD4	60	41	97	143
ABCE1	1556	1197	3076	3950
ABCF1	924	649	1645	2317
ABCF2	686	549	1278	2007
ABCF3	146	125	310	437
ABCG2	24	21	92	92
ABHD10	281	193	527	676
ABHD12	72	59	187	228
ABHD13	46	34	88	109
ABHD14A	3	8	23	43
ABHD14B	33	29	63	106
ABHD15	11	5	24	26
ABHD16A	108	74	166	235
ABHD17A	27	16	58	81
ABHD17B	126	94	196	287
ABHD17C	41	44	95	166
ABHD2	196	117	333	494
ABHD3	140	90	244	340
ABHD4	33	34	65	111
ABHD5	61	39	124	143
ABHD6	22	13	60	110
ABI1	252	200	522	653
ABI2	137	96	299	374
ABL1	159	84	322	496
ABL2	88	71	188	209
ABLIM1	156	115	306	385
ABR	339	203	594	790
ABRACL	198	117	390	541
ABT1	262	179	389	606
ABTB2	75	39	139	144
ACAA1	198	117	311	452
ACAA2	863	640	1655	2070
ACACA	654	438	1118	1662
ACACB	37	21	44	55
ACAD10	90	71	97	165
ACAD8	70	44	89	136
ACAD9	324	267	644	811
ACADL	68	53	138	201
