"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"AK097143"	4207.2282311929	1.00095453212574	0.0775958678188554	12.8995855096618	4.5252459172639e-38	4.31934722802839e-34
"HNRNPD"	2713.52727479641	0.907802570034531	0.0737719767436957	12.305520471391	8.45893794661475e-35	4.03702813502189e-31
"SPEN"	12940.2304679896	0.794402760764904	0.0647836424030789	12.262397285756	1.44170644987551e-34	4.58702935468725e-31
"HIST1H2BN"	6190.62361513066	-0.919049638921681	0.0769496236003186	-11.9435235147515	7.01856732451367e-33	1.67480562781207e-29
"SRCAP"	3276.74188860834	0.943978438721385	0.0822569683939052	11.4759692358335	1.74214505810259e-30	3.32575491591785e-27
"HIST1H2BO"	9303.08305316	-0.818503356675074	0.0725472712045269	-11.2823451948665	1.60411675109012e-29	2.55188239819253e-26
"LOC100132247"	1199.51212520049	1.13419841965001	0.101608438704793	11.1624431406257	6.22567816551323e-29	8.48915686997483e-26
"HNRNPA3"	2513.29066176314	0.850694140896585	0.0776161522901428	10.960272002618	5.93208055648758e-28	7.07771361395925e-25
"POLR2A"	3195.5402306505	0.890971669658702	0.0824559320471844	10.8054283971814	3.24439016473689e-27	3.44085601360151e-24
"TUBA1A"	15805.298837256	-0.651204022982874	0.0606582784443377	-10.7356166327807	6.92550607152766e-27	6.61039554527315e-24
"TUBA1B"	35580.0621439284	-0.548117255072078	0.0583407130373346	-9.39510723362801	5.71595688156891e-21	4.95989167587047e-18
"NPIPL3"	1020.57333468128	1.04378085255871	0.111340421532008	9.37468026613003	6.93857473780917e-21	5.51905798936571e-18
"MORC4"	3185.93367686376	0.690030695605586	0.0736841885651842	9.36470508859788	7.62629677144247e-21	5.59946174487834e-18
"ATP2A2"	3725.21520535824	0.616319931869936	0.0674225441598723	9.14115507727681	6.17887905533664e-20	4.21267147022773e-17
"HIST1H2AD"	3075.47322826387	-0.771501316021192	0.0859646635813602	-8.9746331094638	2.84297691979399e-19	1.80908097996224e-16
"RPL18A"	8011.87417704218	-0.589200880402666	0.0662195534211743	-8.89768731382389	5.70223985726012e-19	3.40174246484674e-16
"TOP1"	2472.64733224454	0.665786338004577	0.0762550397578435	8.73104702481117	2.52325732949305e-18	1.41673477705948e-15
"TUBA1C"	22966.6264427524	-0.532111649104989	0.0618364543376339	-8.60514489074034	7.62204174224559e-18	4.04179935720745e-15
"DIAPH1"	1498.79972464936	0.740924627356204	0.0882815557870116	8.39274546932274	4.74919053853952e-17	2.3858433521242e-14
"ANKRD18A"	960.11371512059	0.819095527482841	0.0978228651266522	8.37325227003268	5.60494406455399e-17	2.67495955480839e-14
"LOC23117"	180.106610255739	1.71662027570556	0.209914429380933	8.17771451332865	2.8927814424538e-16	1.31483804134388e-13
"POTEE"	710.244328691104	1.03871151585214	0.127849344427474	8.12449622251584	4.49224316080569e-16	1.94902095317683e-13
