"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HIST1H2BN"	8314.55135560281	1.49070533064603	0.160883311608889	9.26575488618712	1.93702223937129e-20	1.56492026718806e-16
"MIF"	5894.70195666998	1.2571761611094	0.142487884132016	8.82303901673922	1.11394512765258e-18	4.49978134315258e-15
"HIST2H2BE"	13494.7574218876	1.24368913502869	0.141813788275229	8.76987456688602	1.78865430003559e-18	4.81684602999584e-15
"HIST2H2BF"	14213.0352023168	1.07685618682321	0.124767451545907	8.6309063259739	6.086771898781e-18	1.22937575425629e-14
"HIST1H2BJ"	11985.3608652996	1.36577121786614	0.159394977896819	8.56847082566332	1.04868251226389e-17	1.69446120331599e-14
"HIST1H2BL"	5607.00272139459	0.855329657457002	0.105503011025054	8.10715873553489	5.18171483499764e-16	6.97717902532432e-13
"HIST1H2BK"	16698.7033326596	0.999821931187396	0.125210439702439	7.98513233851312	1.40371631286608e-15	1.62008915594929e-12
"HSPA1L"	1048.96854157523	1.36717211691097	0.171616127832482	7.96645475095143	1.63291240200593e-15	1.64903741197574e-12
"HIST1H2AD"	4232.09128491546	0.968636448553425	0.122039080052322	7.93710054302393	2.06962278912864e-15	1.85783139037447e-12
"HIST2H2AC"	12289.7162999846	0.830205295903938	0.107307897558462	7.73666537872145	1.02058203097712e-14	8.24528222826415e-12
"HIST1H2AB"	2440.91497636813	0.991869779523743	0.138051178605645	7.18479762028766	6.73068109925519e-13	4.94337932735297e-10
"RPL29"	9352.82117630179	1.04077659788994	0.147372263218582	7.06222850324461	1.63853245283923e-12	1.10314197387401e-09
"HSPA1B"	14982.7110282255	1.05106072209961	0.15056050779436	6.98098550208919	2.93116564493785e-12	1.82160671118868e-09
"HSPA1A"	14337.4525979574	1.03393809151281	0.149644538358719	6.90929386967881	4.87072040480808e-12	2.81075358217461e-09
"PSMD8"	5547.482642017	0.803396583648881	0.118014289877645	6.80762121673423	9.92256978188662e-12	5.34429608452413e-09
"HIST2H2AA4"	45032.9999787979	0.642750691963562	0.0957454427906837	6.71312047058707	1.90505700540466e-11	9.61934721666517e-09
"ANKRD36"	2026.33445446214	-1.36223227245564	0.2034338567406	-6.69619253295006	2.1391984410914e-11	1.01662260032808e-08
"DBI"	757.006975566424	1.12382007174694	0.168492755550482	6.66984208356796	2.56078818698962e-11	1.14936709792718e-08
"POTEE"	2567.92580422163	-0.993395866336771	0.151188882567831	-6.57056160125455	5.01258409451939e-11	2.13140352103274e-08
"RPL18A"	9260.05680283293	0.731115182387234	0.112801141625714	6.48145197690594	9.08440842671818e-11	3.66964678397281e-08
"ID2"	843.574462422662	1.18237234561069	0.184555509025348	6.40659469801192	1.48805698860289e-10	5.7247678147251e-08
"HIST1H2AG"	7660.68337351007	0.771663696527087	0.121182211771421	6.36779676857714	1.91762770490067e-10	7.04205192176933e-08
"TUBB3"	1382.20439679112	0.912031124528222	0.14527030392702	6.27816628638982	3.42589407336119e-10	1.20338253124717e-07
"MACF1"	3123.52308100432	-1.00613247615671	0.160801474831572	-6.25698537411157	3.92490205451786e-10	1.32122015410208e-07
"FBN2"	3540.8872971163	-0.830426261746235	0.133200980563328	-6.23438549952283	4.53554925059874e-10	1.46570809582349e-07
"HIST1H2AH"	7589.09044650546	0.66092379061178	0.106231515084956	6.2215416026329	4.92293580706217e-10	1.47305179204649e-07
"SF3B5"	895.439267965383	1.25607860374519	0.201821208431481	6.22371956598228	4.8550456178679e-10	1.47305179204649e-07
