	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
A1BG	36	45	23	19	70	77	58	91
A2M	3	5	2	2	74	59	32	36
AAAS	1518	2100	1043	650	1173	1090	1021	1137
AACS	573	725	309	192	351	335	220	291
AADAT	107	132	58	32	329	325	194	296
AAGAB	1091	1320	630	347	1518	1420	1063	1254
AAK1	432	527	216	124	295	245	90	145
AAMDC	137	237	108	88	255	263	190	254
AAMP	3756	5022	2204	1285	3489	3336	2524	3042
AAR2	485	680	365	238	549	469	475	546
AARS	3769	4462	1947	1233	4054	3788	2890	3836
AARS2	423	613	321	171	1275	1114	788	1076
AASDH	228	226	117	75	893	779	648	816
AASDHPPT	1747	1961	933	604	1510	1391	1131	1344
AASS	423	606	387	202	1243	1178	895	1091
AATF	1252	1561	682	542	1560	1569	1128	1449
AATK	36	38	22	8	43	38	21	32
ABAT	83	89	35	20	37	24	17	51
ABCA1	6	4	5	2	74	86	46	46
ABCA10	1	1	2	0	26	22	15	19
ABCA12	1	0	1	0	49	32	13	27
ABCA2	333	349	179	110	390	313	210	302
ABCA3	444	539	208	97	707	555	414	585
ABCA5	246	271	127	78	565	483	368	474
ABCA7	115	128	53	40	299	249	152	230
ABCB1	951	1047	484	286	153	159	133	166
ABCB10	275	407	186	114	1414	1305	1093	1287
ABCB4	114	105	61	43	28	17	13	19
ABCB6	267	324	132	78	338	249	231	284
ABCB7	1256	1330	588	367	1568	1402	1149	1463
ABCB8	345	487	233	139	365	286	245	299
ABCB9	97	132	67	39	154	136	115	164
ABCC1	818	1064	449	244	1114	827	515	717
ABCC10	276	341	155	105	569	426	362	398
ABCC2	7	4	4	5	59	63	35	52
ABCC4	829	954	426	292	1661	1520	1045	1323
ABCC5	388	532	264	160	996	912	585	757
ABCC6	13	4	6	0	21	37	16	22
ABCC8	10	14	8	2	54	45	35	51
ABCD1	60	61	23	12	46	37	32	26
ABCD2	47	32	25	16	21	19	12	29
ABCD3	2415	2732	1271	829	2754	2541	1940	2418
ABCD4	174	209	101	66	617	580	342	534
ABCE1	2149	2364	1091	788	3873	3640	3107	3832
ABCF1	2543	3108	1375	898	2623	2595	1877	2457
ABCF2	48	54	23	15	97	93	79	104
ABCF3	468	589	254	173	619	593	417	514
ABCG1	52	64	29	15	25	19	11	22
ABCG2	138	121	37	31	65	45	67	67
ABHD1	3	1	2	1	47	48	38	46
ABHD10	842	918	434	279	883	834	730	827
ABHD11	220	293	150	109	199	138	118	138
ABHD12	298	341	152	89	330	297	270	322
ABHD12B	0	0	0	0	51	35	29	28
ABHD13	131	144	64	52	96	101	110	128
ABHD14A	33	36	18	13	98	46	67	44
ABHD14B	111	131	48	37	164	125	120	140
ABHD15	29	37	22	10	54	51	45	48
ABHD16A	224	258	129	83	333	252	266	317
