	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
A1BG	36	45	23	19
A2M	3	5	2	2
AAAS	1518	2100	1043	650
AACS	573	725	309	192
AADAT	107	132	58	32
AAGAB	1091	1320	630	347
AAK1	432	527	216	124
AAMDC	137	237	108	88
AAMP	3756	5022	2204	1285
AAR2	485	680	365	238
AARS	3769	4462	1947	1233
AARS2	423	613	321	171
AASDH	228	226	117	75
AASDHPPT	1747	1961	933	604
AASS	423	606	387	202
AATF	1252	1561	682	542
AATK	36	38	22	8
ABAT	83	89	35	20
ABCA1	6	4	5	2
ABCA10	1	1	2	0
ABCA12	1	0	1	0
ABCA2	333	349	179	110
ABCA3	444	539	208	97
ABCA5	246	271	127	78
ABCA7	115	128	53	40
ABCB1	951	1047	484	286
ABCB10	275	407	186	114
ABCB4	114	105	61	43
ABCB6	267	324	132	78
ABCB7	1256	1330	588	367
ABCB8	345	487	233	139
ABCB9	97	132	67	39
ABCC1	818	1064	449	244
ABCC10	276	341	155	105
ABCC2	7	4	4	5
ABCC4	829	954	426	292
ABCC5	388	532	264	160
ABCC6	13	4	6	0
ABCC8	10	14	8	2
ABCD1	60	61	23	12
ABCD2	47	32	25	16
ABCD3	2415	2732	1271	829
ABCD4	174	209	101	66
ABCE1	2149	2364	1091	788
ABCF1	2543	3108	1375	898
ABCF2	48	54	23	15
ABCF3	468	589	254	173
ABCG1	52	64	29	15
ABCG2	138	121	37	31
ABHD1	3	1	2	1
ABHD10	842	918	434	279
ABHD11	220	293	150	109
ABHD12	298	341	152	89
ABHD12B	0	0	0	0
ABHD13	131	144	64	52
ABHD14A	33	36	18	13
ABHD14B	111	131	48	37
ABHD15	29	37	22	10
ABHD16A	224	258	129	83
ABHD16B	5	4	3	0
ABHD17A	3	6	1	1
ABHD17B	333	429	212	150
ABHD17C	164	210	74	61
ABHD18	224	265	116	77
ABHD2	485	648	264	155
ABHD3	390	502	225	135
ABHD4	105	137	54	42
ABHD5	188	202	89	56
ABHD6	92	132	32	27
ABHD8	256	361	118	84
ABI1	776	873	400	274
ABI2	470	471	189	137
ABI3BP	1	4	3	2
ABL1	479	668	232	121
ABL2	286	274	156	101
ABLIM1	556	584	269	179
ABLIM2	10	16	7	3
ABR	1046	1261	628	366
ABRACL	671	762	327	182
ABRAXAS1	94	107	34	19
ABRAXAS2	560	576	304	206
ABT1	601	845	445	261
ABTB1	32	50	30	20
ABTB2	188	203	115	53
AC003665.1	67	88	43	28
AC004080.3	15	30	10	5
AC004475.1	344	529	275	174
AC004832.3	1	6	2	3
AC005324.3	2	1	0	0
AC005520.1	65	57	51	44
AC006213.1	226	305	151	105
AC007950.1	569	650	293	191
AC008403.1	24	21	17	11
AC008581.2	3	2	2	1
AC008755.1	778	972	465	323
AC008878.3	0	0	1	0
AC009133.6	150	200	125	77
AC010618.1	673	1000	302	193
AC010761.1	22	30	21	17
AC011462.1	387	431	187	104
AC011481.1	839	1137	398	246
AC011529.1	47	56	29	12
AC017083.3	128	179	120	73
AC018523.2	0	2	2	2
AC018630.2	6	7	3	4
AC022826.2	13	21	4	7
AC023055.1	42	32	15	5
AC025287.4	0	0	0	0
AC026464.4	55	98	92	26
AC026470.1	374	413	159	102
AC026786.1	20	26	32	27
AC026954.2	14	8	2	0
AC048338.1	18	25	5	3
AC068580.4	49	99	33	18
AC068790.8	65	132	72	33
AC073610.2	177	216	82	47
AC073896.1	89	99	54	39
AC074143.1	48	47	30	17
AC079447.1	234	257	240	135
AC080038.1	198	205	74	50
AC087289.1	48	47	34	15
AC090004.1	0	0	0	0
AC091551.1	73	90	87	46
AC092073.1	0	1	1	0
AC092338.1	361	443	166	139
AC092647.5	169	165	138	70
AC092835.1	54	70	21	12
AC093323.1	62	84	35	17
AC093512.2	215	184	269	128
AC099489.1	2	5	2	3
AC104109.3	386	343	246	186
AC108488.2	12	9	4	2
AC117378.1	1603	1808	1333	717
AC118549.1	394	434	149	97
AC118553.2	6	3	1	2
AC118754.1	2	5	0	0
AC124319.1	778	885	511	273
AC129492.1	148	159	101	54
