"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ATF4"	765.22741814012	2.75214888354537	0.134603357881835	20.4463612710273	6.4727098298576e-93	5.39241455925436e-89
"ZNF506"	354.019708651675	3.19666537970443	0.17699232158857	18.061039885873	6.45942293229613e-73	2.69067262244795e-69
"RIC8B"	402.84768535024	2.06256735885569	0.15671753053488	13.1610506611233	1.47027002844379e-39	4.08293986898839e-36
"PTP4A1"	320.535733970447	1.85276757921983	0.173161673881502	10.6996400397915	1.02174352412332e-26	2.12803632486784e-23
"PABPC1"	1736.65630497873	-1.05245771189978	0.114897685171629	-9.15995574956685	5.19186024774918e-20	8.65067754479968e-17
"SAT1"	1211.10258997712	1.10250756777979	0.124359375026054	8.86549620845879	7.61641076361695e-19	1.05753863452821e-15
"IFRD1"	536.976212861277	1.26984892832896	0.156725097521508	8.10239679802847	5.3886849795276e-16	6.41330493777778e-13
"OAZ1"	1013.52009597512	0.960911025927081	0.121160432740438	7.93089793584379	2.17566975763398e-15	2.26568809385609e-12
"DYNC1H1"	6058.18019641317	0.634795615611495	0.0855419752343789	7.42086693546882	1.16356172309192e-13	1.07707030167542e-10
"UCP2"	195.743313331206	1.46745915853244	0.207253321725642	7.08050971783717	1.43625192056407e-12	1.19654147502193e-09
"RPL28"	1645.72686039904	-0.756152426682825	0.10748778724028	-7.0347752623515	1.9958242571183e-12	1.51156471691387e-09
"RPL11"	5840.58760853082	-0.609786416193519	0.0878054972481715	-6.94474076571802	3.79155917418054e-12	2.63228995667484e-09
"KCNJ13"	167.536110386803	5.79753884144852	0.84162413829208	6.88851302817139	5.63785716445266e-12	3.43928286689969e-09
"RPS6"	4684.49040551438	-0.622039231683282	0.0903472978385482	-6.88497881580115	5.77961350817377e-12	3.43928286689969e-09
"ALDOA"	1830.54334906473	0.769992391162479	0.112205284262944	6.86235408804869	6.77349117546162e-12	3.76199699885138e-09
"PCBP2"	4495.50640520613	-0.592401844109017	0.0887431059276156	-6.67546890450529	2.46442916441181e-11	1.28319746054468e-08
"RPS5"	3051.39395371411	-0.64656112302653	0.0973909823954958	-6.63881919170817	3.16205982780226e-11	1.54959531914239e-08
"DNTTIP2"	1239.34383200265	0.834212015857607	0.12706677169989	6.56514684915325	5.19816087057828e-11	2.40588212293265e-08
"CSDE1"	4572.57579934706	-0.666310802253159	0.102306089516774	-6.51291438662519	7.37065247849157e-11	3.23183714727965e-08
"SRM"	1377.82194085083	-0.721508655075319	0.111206372388852	-6.48801538595688	8.69744002710251e-11	3.62291864328955e-08
"AL135905.2"	608.118639206189	0.89809833449242	0.13858152833283	6.48064966014423	9.13285124653451e-11	3.62313255880376e-08
"RPS11"	4613.82420464066	-0.565621104823044	0.0887539366415172	-6.37291286703849	1.85471270412434e-10	7.0234597900272e-08
"EEF2"	23086.1682708582	-0.608709950578345	0.0967815116611739	-6.28952720545842	3.18434300899514e-10	1.15342441773646e-07
"TXNRD1"	1600.50501696581	0.607567558724066	0.10088998572086	6.02207993571405	1.72189812013243e-09	5.97713884950971e-07
"RPLP2"	4364.30753144122	-0.58701155726785	0.0977672468044493	-6.00417395860569	1.92308432033298e-09	6.40848618907762e-07
"SLU7"	1118.01341466403	0.646643648867942	0.109800860919813	5.88924024320888	3.87975097978884e-09	1.24316174663926e-06
"ODC1"	1988.22327864704	-0.600142138883569	0.102355284568309	-5.8633234367401	4.5369324659153e-09	1.39989571753853e-06
"GNAS"	9337.40703118765	-0.488108051369611	0.0854309916217155	-5.71347753436986	1.10690492789122e-08	3.2934374836649e-06
"RPLP0"	1108.03320239918	-0.634283980451337	0.112105960552609	-5.65789702282314	1.53239028309651e-08	4.40218739602657e-06
"NAP1L1"	2769.82888645861	-0.56601166996377	0.100206536175016	-5.64845060580879	1.61900354340835e-08	4.49597284004498e-06
"SON"	6775.11813176082	0.495905932838791	0.087957267271608	5.63803251535153	1.72004036197306e-08	4.62246975987018e-06
"RPL7A"	1171.67331621665	-0.622301573425435	0.110531361692112	-5.63009053628485	1.80115050681987e-08	4.67264421289071e-06
"SLC25A5"	4407.27047192649	-0.499302988248126	0.0887588101733535	-5.62539073330236	1.85088535620446e-08	4.67264421289071e-06
"RPL32"	2943.79404541863	-0.605914064527409	0.108525376054637	-5.58315563193593	2.36193204055369e-08	5.78742818525082e-06
"MKI67"	5262.70191679404	0.500261854229164	0.0907418108083886	5.51302480931886	3.52718489033421e-08	8.39570780610695e-06
"RPS21"	2642.60029219066	-0.59094704273818	0.107517453796534	-5.49628941042899	3.87865775943095e-08	8.97586049828313e-06
"AC245033.1"	628.242184971822	-0.768063835391166	0.140321336601701	-5.47360689394871	4.40966683254207e-08	9.92890118429945e-06
"EIF4G2"	4611.22233451971	0.484217905959529	0.0895220332623044	5.40892435430666	6.34044015680871e-08	1.39005807753614e-05
"CCNG1"	1544.99041555818	-0.624143840275436	0.115594402160604	-5.39942963162063	6.68530996756698e-08	1.42808505999488e-05
"RPL14"	1170.69480304549	-0.596178859375619	0.111758695187171	-5.33451878958639	9.57982682082876e-08	1.94657407912986e-05
"RPS15A"	604.99098577173	-0.810445532871088	0.151812689746618	-5.33845710937444	9.37408758642422e-08	1.94657407912986e-05
"ATP7A"	438.64305770252	0.920552531526446	0.173368174872984	5.30981267006404	1.09737969747207e-07	2.17673101419996e-05
"ATP1A1"	8150.43439184534	-0.467523535269305	0.0882527212702062	-5.29755375857332	1.17364358173427e-07	2.2738662045182e-05
"KNL1"	1115.87393181956	0.623059339362603	0.117910339054372	5.28417901567812	1.26269732006792e-07	2.39080258488314e-05
"RBM12"	2088.77785451316	0.543588757374165	0.102955653972404	5.27983395180869	1.29301010806913e-07	2.39379271340531e-05
"UBA52"	3940.07518431899	-0.474148885120649	0.0898976868356974	-5.27431685742074	1.33251510930611e-07	2.41330073383243e-05
"RPL37A"	5928.08625234308	-0.615082323761783	0.117056736578162	-5.25456579212829	1.48374099854458e-07	2.63000984231381e-05
"RPS12"	709.659413642799	-0.753455511459542	0.145752111183672	-5.1694312030243	2.34807552524281e-07	3.99220759199956e-05
"VIM"	12194.540982475	-0.497036773093676	0.0961241033765494	-5.17078189168248	2.33116527471383e-07	3.99220759199956e-05
"RPL3"	3927.96768226729	-0.515413579001593	0.100310720459566	-5.13817044320153	2.77426201595699e-07	4.62247537098754e-05
"RACK1"	21980.0674032714	-0.430141677994091	0.0838307784333975	-5.13107102227176	2.88098171387823e-07	4.70616836437638e-05
"TXNDC5"	1899.5227539393	-0.523632100141597	0.10283455411346	-5.09198590547551	3.54332449757131e-07	5.67681469024358e-05
"RPL26"	576.423279560994	-0.700639096988545	0.138484246700383	-5.05934150405144	4.20706804502636e-07	6.61303469492728e-05
"RPS19"	8857.84973555955	-0.512169745801045	0.102106351046074	-5.01604200477142	5.27468015233632e-07	8.13765932390998e-05
"NT5DC2"	533.259103667116	-0.724059211746447	0.144554677743643	-5.00889506343414	5.47434091098802e-07	8.29213347808021e-05
