	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
A1BG	67	73	56	85
A2M	73	57	32	37
AAAS	1147	1070	1014	1126
AACS	351	335	220	291
AADAT	321	315	192	292
AAGAB	1498	1410	1042	1240
AAK1	288	240	92	144
AAMDC	255	263	190	254
AAMP	3459	3311	2497	3022
AAR2	549	469	475	546
AARS	4030	3757	2879	3818
AARS2	1267	1111	783	1068
AASDH	885	779	651	809
AASDHPPT	1510	1391	1131	1344
AASS	1224	1162	889	1082
AATF	1560	1569	1128	1449
AATK	44	40	21	33
ABAT	37	24	17	51
ABCA1	74	86	45	46
ABCA10	27	21	14	19
ABCA12	49	32	13	28
ABCA2	390	315	210	306
ABCA3	702	546	408	579
ABCA5	559	484	366	473
ABCA7	299	249	152	230
ABCB1	150	157	130	162
ABCB10	1412	1308	1088	1288
ABCB4	27	17	14	19
ABCB6	332	239	229	282
ABCB7	1558	1394	1143	1460
ABCB8	365	286	245	299
ABCB9	152	133	112	157
ABCC1	1114	827	515	717
ABCC10	569	426	362	398
ABCC2	59	63	35	52
ABCC4	1657	1519	1044	1323
ABCC5	999	923	586	763
ABCC6	21	36	16	21
ABCC8	54	47	35	51
ABCD1	46	37	32	26
ABCD2	21	18	12	28
ABCD3	2754	2541	1940	2418
ABCD4	625	580	352	536
ABCE1	3873	3640	3107	3832
ABCF1	2623	2595	1877	2457
ABCF2	33	31	33	54
ABCF3	619	593	417	514
ABCG1	25	19	11	22
ABCG2	64	44	64	67
ABHD1	47	48	38	46
ABHD10	883	834	730	827
ABHD11	197	132	117	138
ABHD12	335	298	284	324
ABHD12B	51	35	29	28
ABHD13	96	101	110	128
ABHD14A	99	46	70	46
ABHD14B	162	122	119	141
ABHD15	53	51	42	48
ABHD16A	330	247	263	318
ABHD16B	47	44	28	19
ABHD17A	29	29	17	27
ABHD17B	411	339	296	356
ABHD17C	86	81	51	70
ABHD18	368	310	249	304
ABHD2	423	433	314	367
ABHD3	278	229	213	303
ABHD4	56	57	28	35
ABHD5	501	416	348	459
ABHD6	155	116	98	111
ABHD8	126	95	55	59
ABI1	540	470	442	557
ABI2	634	553	429	600
ABI3BP	39	41	28	33
ABL1	1011	945	601	763
ABL2	1153	994	647	866
ABLIM1	517	504	444	541
ABLIM2	19	16	15	13
ABR	460	421	288	402
ABRACL	406	409	275	377
ABRAXAS1	223	211	145	185
ABRAXAS2	527	454	385	540
ABT1	1036	989	806	985
ABTB1	16	22	12	15
ABTB2	119	103	59	100
AC003665.1	28	20	13	25
AC004475.1	544	483	384	521
AC004832.3	109	68	76	95
AC005520.1	28	35	20	18
AC006213.1	105	80	59	53
AC007950.1	488	396	334	388
AC008403.1	37	48	12	24
AC008581.2	11	19	13	10
AC008755.1	982	941	479	644
AC008878.3	13	18	18	20
AC009133.6	28	30	22	21
AC010618.1	425	351	261	291
AC010761.1	66	53	45	51
AC011462.1	68	54	29	41
AC011481.1	1387	1321	1073	1354
AC011529.1	78	65	42	49
AC012309.1	14	12	12	16
AC018523.2	35	33	18	29
AC018630.2	33	28	14	22
AC023055.1	89	76	72	74
AC025287.4	36	20	15	12
AC026464.4	51	46	43	49
AC026470.1	704	683	525	626
AC026786.1	38	28	20	27
AC026954.2	28	25	19	28
AC068790.8	146	121	98	142
AC068831.7	96	106	32	46
AC073610.2	39	44	21	42
AC073896.1	110	96	61	74
AC074143.1	24	26	12	14
AC079447.1	84	66	36	45
AC080038.1	125	107	67	97
AC087289.1	53	53	30	49
AC090004.1	120	79	96	105
AC091551.1	18	11	12	16
AC092073.1	134	118	70	101
AC092338.1	488	439	302	379
AC092647.5	37	40	13	24
AC092835.1	81	72	49	55
AC093323.1	40	55	25	28
AC093512.2	82	70	48	51
AC099489.1	130	104	64	81
AC104109.3	180	135	86	132
AC117378.1	567	559	342	455
AC118549.1	3911	3579	2816	3529
AC118553.2	18	29	10	25
AC118754.1	56	37	23	34
AC124319.1	2288	1880	1142	1608
AC129492.1	318	218	153	217
AC138811.2	525	364	293	448
AC139768.1	45	36	14	25
AC245033.1	573	409	170	383
ACAA1	542	481	326	435
ACAA2	551	536	418	482
ACACA	4340	3888	2577	3314
ACACB	484	414	255	382
ACAD10	339	299	194	279
ACAD11	1534	1313	917	1247
ACAD8	424	415	292	379
ACAD9	1103	982	747	961
ACADL	81	73	58	52
ACADM	1953	1987	1507	1897
ACADS	163	145	132	154
ACADSB	400	375	287	348
ACADVL	1201	1037	919	1116
ACAP2	870	784	582	706
ACAP3	420	368	258	329
ACAT1	2467	2294	1722	2140
ACAT2	2710	2475	2055	2463
ACBD3	1477	1466	1141	1439
ACBD4	44	42	15	32
ACBD5	344	322	233	304
ACBD6	1127	1037	825	1068
ACBD7	30	34	22	17
ACCS	65	62	28	57
ACD	231	221	206	262
ACER2	30	19	11	20
ACER3	144	127	119	152
ACHE	18	22	10	20
ACIN1	4604	4365	3059	4131
ACLY	9051	7964	7275	8884
ACMSD	25	15	12	14
ACO1	1151	1093	854	1037
ACO2	1661	1442	1187	1554
ACOT1	26	18	11	13
ACOT11	25	18	14	20
ACOT13	384	350	271	346
ACOT2	140	128	88	114
ACOT7	546	536	324	455
ACOT8	237	182	171	216
ACOT9	570	510	417	526
ACOX1	978	956	753	935
ACOX3	280	254	195	228
ACP1	1107	976	689	902
ACP2	250	236	195	239
ACP4	27	25	35	32
ACP6	462	386	308	366
ACRV1	38	34	20	30
ACSBG2	12	15	16	16
ACSF2	149	123	137	154
ACSF3	460	416	322	413
ACSL1	484	470	366	448
ACSL3	2675	2485	1940	2420
ACSL4	1284	1233	886	1141
ACSM3	172	151	114	143
ACSS1	234	232	141	210
ACSS2	285	244	226	247
ACSS3	59	62	39	51
ACTA2	73	63	47	78
ACTB	16756	15312	12935	16436
ACTG1	18478	16213	17305	22999
ACTL6A	1072	1032	937	1224
ACTN1	1414	1199	872	1197
ACTN2	194	180	84	121
ACTN4	2388	2095	1532	2098
ACTR10	806	792	661	840
ACTR1A	1736	1539	1287	1672
ACTR1B	522	459	335	464
ACTR2	2393	2286	1354	1984
ACTR3	2590	2446	2036	2611
ACTR3B	247	178	126	136
ACTR3C	20	21	13	11
ACTR5	413	354	265	351
ACTR6	1029	1079	798	963
ACTR8	1741	1611	1236	1464
ACTRT3	57	76	42	49
ACVR1	127	75	59	79
ACVR1B	322	329	223	254
ACVR1C	33	36	31	31
ACVR2A	304	285	220	287
ACVR2B	496	437	301	412
ACYP1	147	156	89	165
ACYP2	37	37	30	42
AD000864.1	56	50	23	28
ADA	196	179	124	165
ADAL	184	168	159	166
ADAM10	930	873	598	829
ADAM11	131	121	95	122
ADAM15	1004	828	815	955
ADAM17	881	850	595	756
ADAM19	51	69	45	53
ADAM22	406	346	255	370
ADAM23	292	283	186	285
ADAM32	21	33	13	22
ADAM8	37	30	21	28
ADAM9	1994	1943	1497	1949
ADAMTS1	833	746	633	833
ADAMTS10	11	12	11	16
ADAMTS13	161	111	80	73
ADAMTS15	47	22	17	22
ADAMTS17	256	242	126	191
ADAMTS19	210	196	116	159
ADAMTS2	47	27	29	35
ADAMTS20	305	252	183	253
ADAMTS3	257	272	215	252
ADAMTS6	66	67	59	48
ADAMTS7	50	43	24	45
ADAMTS9	297	279	145	234
ADAMTSL3	42	38	29	26
ADAMTSL4	40	40	28	25
ADAP1	57	60	45	61
ADAP2	83	77	59	64
ADAR	5931	5169	4016	5319
ADARB1	354	284	235	319
ADAT1	537	445	337	381
ADAT2	357	357	202	224
ADAT3	58	59	26	31
ADCK1	184	185	141	158
ADCK2	593	555	427	574
ADCK5	66	62	41	53
ADCY1	392	341	238	323
ADCY3	1229	1057	863	1115
ADCY6	381	322	224	258
ADCY7	103	83	67	71
ADCY9	614	560	314	440
ADCYAP1R1	25	25	33	27
ADD1	1370	1395	995	1286
ADD2	463	441	273	377
ADD3	1347	1188	1166	1478
ADGRA2	92	65	60	70
ADGRA3	1070	940	688	992
ADGRB2	279	237	169	222
ADGRB3	363	327	206	299
ADGRE5	93	57	34	49
ADGRG2	54	37	19	35
ADGRG6	105	107	87	101
ADGRL1	816	624	395	533
ADGRL2	2653	2299	1961	2595
ADGRL3	515	435	318	443
ADGRV1	3356	3098	2057	2835
ADH5	1526	1461	1360	1562
ADI1	1170	1163	745	1049
ADIPOR1	1486	1341	1139	1463
ADIPOR2	643	627	578	641
ADK	862	838	601	792
ADM	38	42	47	55
ADNP	3280	2782	1595	2119
ADNP2	1432	1246	921	1160
ADO	161	182	164	183
ADORA2A	39	25	27	43
ADORA2B	157	127	143	157
ADPGK	944	798	693	794
ADPRHL1	55	45	36	36
ADPRHL2	524	496	389	467
ADPRM	102	88	97	108
ADRA2C	44	54	39	62
ADRM1	1490	1396	1232	1332
ADSL	4094	3778	3446	4068
ADSS	2663	2760	1802	2461
ADSSL1	13	10	15	10
AEBP2	525	423	278	370
AEN	655	598	546	643
AES	221	190	190	247
AFAP1	257	280	141	207
