"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HNRNPD"	2913.75163559035	-0.898694067612836	0.0704965042143001	-12.7480657038103	3.19576501848208e-37	3.21206342007634e-33
"SPEN"	15887.5432552971	-0.749858272807316	0.0628528695036079	-11.9303745195639	8.22028261565567e-33	4.13110302849775e-29
"RPL22"	250.997610445754	-1.7868333367867	0.192377767928622	-9.2881488127551	1.56994980247694e-20	5.25985515489857e-17
"DIAPH1"	1898.38984121823	-0.731855457260014	0.0791855406119869	-9.24228655388163	2.4128491676563e-20	6.06288674602838e-17
"EEF1A1"	9684.09376000645	0.604247412334753	0.0657928293970197	9.18409221601471	4.15012900099821e-20	8.34258931780661e-17
"HIST1H2AH"	10202.1261345689	0.555250634655526	0.0610651566127819	9.09275707219432	9.65588211060253e-20	1.61752118489443e-16
"POLR2A"	1607.16425957805	-0.782466197976647	0.0877408773568997	-8.91792083174463	4.75123863308098e-19	6.82209992872814e-16
"ATP2A2"	4094.63056013783	-0.57473022865386	0.06468283831062	-8.88535883187268	6.37147843998797e-19	8.00496622503988e-16
"ACTG1"	18839.7916512747	0.491739215385827	0.058074771714397	8.46734650639915	2.51046422299458e-17	2.8036306561465e-14
"BRD4"	615.474865709433	-1.05868940492555	0.126641418015812	-8.35974060866374	6.28563054047455e-17	6.31768725623098e-14
"ANKRD52"	1180.70745283931	-0.817271725818376	0.0981301229209247	-8.32844901740265	8.19083300706083e-17	6.8605052128307e-14
"RPL12"	5436.87622726127	0.572115936840878	0.0686777440411003	8.33044161291166	8.05413488905508e-17	6.8605052128307e-14
"RPL23A"	1551.46423765234	0.748123375444605	0.0903113108146821	8.28382811295638	1.19277731452475e-16	7.99240319219218e-14
"TOP1"	2339.23385212912	-0.609853013637051	0.0735617917677002	-8.29035018019813	1.12915538557237e-16	7.99240319219218e-14
