	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
A1BG	36	45	23	17	70	77	102	146
A2M	3	5	2	4	74	59	71	109
AAAS	1518	2100	1269	1223	1173	1090	1946	2777
AACS	573	725	467	465	351	335	397	709
AADAT	107	132	83	82	329	325	427	620
AAGAB	1091	1320	950	972	1518	1420	2146	2867
AAK1	432	527	364	375	295	245	227	465
AAMDC	137	237	144	133	255	263	418	608
AAMP	3756	5022	3154	3008	3489	3336	4977	6625
AAR2	485	680	412	419	549	469	901	1352
AARS	3769	4462	3030	2855	4054	3788	5509	8002
AARS2	423	613	409	306	1275	1114	1643	2418
AASDH	228	226	167	168	893	779	1275	1872
AASDHPPT	1747	1961	1413	1399	1510	1391	2318	3200
AASS	423	606	534	521	1243	1178	1871	2565
AATF	1252	1561	1093	1141	1560	1569	2163	2864
AATK	36	38	64	40	43	38	37	64
ABAT	83	89	58	58	37	24	48	69
ABCA1	6	4	6	1	74	86	83	115
ABCA10	1	1	2	1	26	22	34	44
ABCA12	1	0	1	3	49	32	31	71
ABCA2	333	349	376	304	390	313	407	700
ABCA3	444	539	409	369	707	555	736	1258
ABCA5	246	271	237	197	565	483	745	1120
ABCA7	115	128	120	81	299	249	285	491
ABCB1	951	1047	792	728	153	159	261	368
ABCB10	275	407	260	259	1414	1305	2025	2980
ABCB4	114	105	96	88	28	17	18	49
ABCB6	267	324	261	231	338	249	414	666
ABCB7	1256	1330	974	1043	1568	1402	2345	3414
ABCB8	345	487	301	328	365	286	429	679
ABCB9	97	132	96	85	154	136	245	321
ABCC1	818	1064	830	779	1114	827	924	1741
ABCC10	276	341	253	248	569	426	574	971
ABCC2	7	4	6	4	59	63	97	113
ABCC4	829	954	747	766	1661	1520	2202	3197
ABCC5	388	532	359	381	996	912	1183	1747
ABCC6	13	4	11	7	21	37	33	52
ABCC8	10	14	6	10	54	45	68	93
ABCD1	60	61	43	47	46	37	67	97
ABCD2	47	32	28	49	21	19	32	41
ABCD3	2415	2732	2038	2097	2754	2541	3911	5670
ABCD4	174	209	151	130	617	580	724	1074
ABCE1	2149	2364	1586	1781	3873	3640	6173	8913
ABCF1	2543	3108	2120	2073	2623	2595	3779	5034
ABCF2	48	54	43	48	97	93	187	264
ABCF3	468	589	388	376	619	593	858	1134
ABCG1	52	64	51	47	25	19	24	54
ABCG2	138	121	73	97	65	45	97	158
ABHD1	3	1	0	1	47	48	59	102
ABHD10	842	918	664	672	883	834	1324	1848
ABHD11	220	293	213	185	199	138	229	379
ABHD12	298	341	237	218	330	297	563	809
ABHD12B	0	0	0	0	51	35	53	98
ABHD13	131	144	105	132	96	101	208	282
ABHD14A	33	36	17	23	98	46	118	148
ABHD14B	111	131	72	102	164	125	267	320
ABHD15	29	37	24	24	54	51	66	107
ABHD16A	224	258	200	196	333	252	537	708
ABHD16B	5	4	0	3	47	44	43	59
ABHD17A	3	6	1	3	34	32	51	67
ABHD17B	333	429	312	313	410	342	638	882
ABHD17C	164	210	134	114	86	81	108	168
ABHD18	224	265	157	164	368	310	518	749
ABHD2	485	648	449	455	423	433	624	945
ABHD3	390	502	328	310	287	237	482	693
ABHD4	105	137	77	87	56	57	45	89
ABHD5	188	202	144	131	501	416	741	1052
ABHD6	92	132	84	72	155	116	174	263
ABHD8	256	361	202	173	127	101	115	173
ABI1	776	873	542	592	551	486	973	1305
ABI2	470	471	374	338	634	553	897	1352
ABI3BP	1	4	9	2	38	40	36	61
ABL1	479	668	416	422	1011	945	1097	1770
ABL2	286	274	196	193	1162	1002	1284	1999
ABLIM1	556	584	426	366	527	508	900	1229
ABLIM2	10	16	10	5	19	16	28	43
ABR	1046	1261	892	840	454	416	497	826
ABRACL	671	762	557	626	406	409	641	878
ABRAXAS1	94	107	70	81	222	211	291	419
ABRAXAS2	560	576	359	459	527	454	764	1056
ABT1	601	845	516	518	1036	989	1637	2269
ABTB1	32	50	34	27	16	22	24	33
ABTB2	188	203	138	136	123	102	138	256
AC003665.1	67	88	60	67	28	21	35	52
AC004080.3	15	30	10	20	55	52	64	108
AC004475.1	344	529	321	331	538	481	775	1101
AC004832.3	1	6	6	2	109	68	172	199
AC005324.3	2	1	2	1	18	20	26	38
AC005520.1	65	57	30	53	28	35	43	55
