"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HIST2H2AC"	4829.31906684787	1.08316104119795	0.12959508296822	8.35804118790196	6.37681846262514e-17	4.87954148760076e-13
"HIST3H2BB"	1813.73867925443	1.14799941589684	0.147546642028245	7.78058653261029	7.21890687132853e-15	2.76195376897029e-11
"HIST1H2BD"	5789.69970244917	0.976173936064794	0.126365935298517	7.72497693906795	1.118735949226e-14	2.85352249449246e-11
"HIST1H2BJ"	9282.7506395457	0.941966335970919	0.125641202987177	7.49727249958802	6.51594290813266e-14	1.24649987832578e-10
"HIST1H2AH"	9654.43500892629	0.762309990221232	0.104585283321642	7.28888392334152	3.12533169131573e-13	4.7830076203896e-10
"HIST1H2AG"	8107.73955464418	0.842962813957233	0.117603400811691	7.1678438560378	7.61881257519619e-13	9.71652563756688e-10
"HIST1H2BO"	3442.31444400092	0.799315894893221	0.114033157780379	7.00950416924049	2.39164165650662e-12	2.51250240116167e-09
"SF3B5"	1471.14305075871	1.18229112572749	0.168986330225207	6.99637138786233	2.62676675500436e-12	2.51250240116167e-09
"HIST1H3A"	2791.88435000728	0.901084976283602	0.129580163490116	6.95388053243454	3.55372588089885e-12	3.02145671562644e-09
"HIST1H2BC"	6181.80498799821	0.798543857683591	0.117042620503786	6.82267582737314	8.93601535239983e-12	6.21621722514214e-09
"HIST4H4"	1765.80003699844	0.860894686499114	0.125995902865804	6.83271969102074	8.33196653448718e-12	6.21621722514214e-09
"MIF"	5770.22259982943	0.800297825925043	0.123526888905374	6.47873376409652	9.2495544535862e-11	5.89813255657013e-08
"PSMD8"	6261.69490488048	0.734005604854514	0.113557913876691	6.46371159698786	1.0216550508768e-10	6.01361880716096e-08
"HIST1H2BL"	1897.0587528246	1.07437448457765	0.167426885627019	6.41697706168329	1.39006857869171e-10	7.59771768867783e-08
"LRP1"	590.356017502151	-1.38221100588904	0.216280623330051	-6.39082218558128	1.6499616117599e-10	8.41700416879115e-08
"ID2"	1045.9270058444	0.959417458310087	0.15175371941388	6.32220061567952	2.57864293565581e-10	1.23323598397739e-07
"HIST1H2AB"	3118.36473085659	0.784582730881066	0.124791098936336	6.28716901740993	3.23307331180963e-10	1.45526335188043e-07
"ACTG1"	22415.5727360603	0.605852702136463	0.0968024498442502	6.25865051051132	3.88323010086829e-10	1.65080426288023e-07
"VDAC1"	1828.05554835149	0.805898952966985	0.129666814217515	6.21515194793863	5.12750076642497e-10	2.06503346656231e-07
"HIST2H2BE"	3566.78841313594	0.987949438357486	0.162328074985451	6.08612797537354	1.15673994000502e-09	4.42568701045922e-07
"FBN2"	4685.39392356711	-0.781269228728117	0.131294980138276	-5.95048819006872	2.67343863296143e-09	9.74150115210518e-07
"EMILIN2"	407.495826352282	-1.2342096685213	0.210214394104671	-5.87119485217916	4.32665377772593e-09	1.37948144613162e-06
"HIST1H2BF"	1482.10464741835	0.767984146899127	0.130648959560167	5.87822627508527	4.14685820352839e-09	1.37948144613162e-06
"TUBA1B"	7915.87007011735	0.719978812154387	0.122573765701473	5.87384101348316	4.25811766196127e-09	1.37948144613162e-06
"HSPA8"	31067.6835852537	0.738044960218464	0.126101060280452	5.85280534974912	4.83349709979498e-09	1.47943679230525e-06
"MACF1"	4965.75824832573	-0.899375964778682	0.153942377110425	-5.84228970385163	5.14881634803633e-09	1.48944817591206e-06
"VPS13A"	3506.206724971	-0.765508065766291	0.131105442401553	-5.83887328965089	5.25550192755172e-09	1.48944817591206e-06
"MRPS18B"	1603.49569675407	0.814772634817637	0.141650290466877	5.75200115814914	8.81931952169161e-09	2.41019403499944e-06
