"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ZNF653"	404.671193063328	2.6017461439393	0.168768564222038	15.4160590032415	1.27660831958118e-53	1.12328766039948e-49
"FBN2"	4619.49006390532	0.602718264959305	0.0968560906267065	6.22282255105923	4.88289544412628e-10	2.14822985064336e-06
"ZNF506"	181.59013611039	1.45004184478086	0.240585395781248	6.0271399270607	1.66886511285184e-09	4.89478137599444e-06
"KCTD12"	1437.67793218978	-0.551634674993088	0.0982942694974751	-5.61207360117018	1.99916367313974e-08	4.39766028998913e-05
"LRP1"	601.46812626372	0.716152006007976	0.129108533027303	5.54689910276131	2.90780426362655e-08	5.11715394313e-05
"HEY1"	431.557674450218	0.822214975393589	0.149974156967688	5.48237771105282	4.19647070915067e-08	6.15412429496946e-05
"VPS13A"	1210.50580457036	0.572579242106035	0.117890686997186	4.85686576853778	1.19258380001069e-06	0.00149907783661344
"EMILIN2"	198.893234335054	0.969324089626762	0.214104488180259	4.52734128959813	5.97304303916637e-06	0.00611004640848159
"JUN"	952.119363837632	-0.540026263897732	0.119533981041679	-4.51776356138794	6.24962128382024e-06	0.00611004640848159
"FAT1"	2446.00585705253	0.421069821080685	0.0957178434080607	4.39907342339083	1.08714043804382e-05	0.00956574871434756
"LNPEP"	842.371636627957	0.506904315517244	0.1175246150701	4.31317571399735	1.6092611662828e-05	0.0128726263655658
"KCNQ2"	396.20764558457	1.82455235686128	0.427148452707247	4.27147130066222	1.94187521264608e-05	0.0142387999967274
"SRSF5"	2753.34810165278	0.373334050826613	0.0883164092578415	4.22723312648114	2.36582516904657e-05	0.015491265212176
"VPS13C"	1388.30865254085	0.452719622000926	0.107330425223235	4.21799896030711	2.46479955643214e-05	0.015491265212176
"FN1"	2532.17953010833	0.40228955753666	0.096226816307602	4.18063875511258	2.9069136321124e-05	0.0170519553659713
"FREM2"	1001.44399139875	0.45072718928106	0.112733210519531	3.99817575676133	6.3832546978773e-05	0.0344831762541671
"MKI67"	6828.14956914433	0.316425727134338	0.0793437660884256	3.98803513790477	6.66227976270986e-05	0.0344831762541671
"HOXA13"	560.465305799349	-0.546048913801254	0.140469873507325	-3.88730266616762	0.000101364332589441	0.0469423559186573
"UBR4"	5649.20603602516	0.330633242036747	0.0848372390002231	3.89726546895141	9.72849597936221e-05	0.0469423559186573
"RPS27A"	142.768778352181	0.968461246339781	0.250335412518549	3.8686546046218	0.000109437536218251	0.0481470440592193
"CAPN15"	368.44717993659	0.628817995584885	0.16404738161797	3.83314862683552	0.000126513462493783	0.053009140784895
"DNAJB1"	910.22710163687	-0.463219625210572	0.122776220830948	-3.77287737051609	0.000161375616492911	0.0645429113418694
"DST"	1057.41447626628	0.468752286827531	0.126064801874586	3.71834389819503	0.000200533151083259	0.0767170085383302
"LRP1B"	150.713363048047	0.871931460061783	0.235245822250467	3.70646947826956	0.000210168551028302	0.0770530450207513
"IRS4"	15734.7892544023	0.278516723542161	0.0758636842722147	3.67127863897019	0.00024134005211718	0.0849420447431627
"HIST1H2BD"	3023.43205448968	-0.312911081680923	0.0857229611915037	-3.65025982924091	0.000261975167137347	0.0876390179839165
"MIA3"	1247.01869820452	0.37658128431648	0.103356129007202	3.64353123451671	0.000268923000973491	0.0876390179839165
"ZIC2"	1042.3310593364	-0.421516584310199	0.116423315602055	-3.62055127987404	0.000293975976749741	0.0923819506936061
"ARHGEF17"	177.935654890625	0.780399280482634	0.216410374812068	3.6061084463272	0.000310823281730411	0.0943080708946859
"ITFG1"	433.250561210825	0.511955897216827	0.143583879408739	3.56555275790707	0.000363090108702843	0.099838433327385
"KLF10"	337.022573953653	0.571750344725624	0.160203869902798	3.56889221884919	0.000358493859256507	0.099838433327385
"PTMA"	978.533515090571	-0.514153319984071	0.14391452366873	-3.57262982829708	0.00035341417124762	0.099838433327385
"JMJD6"	640.036939394438	-0.451662602284116	0.127440828714614	-3.54409655712103	0.000393960936065384	0.105044311407252
"LAMA5"	866.796764244129	0.43265735811109	0.122777236661545	3.52392161507739	0.000425210017989684	0.11004185142033
"SPEN"	3645.80995996483	0.346327978160798	0.0992359409436984	3.4899450226132	0.000483119925240343	0.121456349205422
"VCAN"	2031.35085709872	0.325553214417492	0.0935052325875497	3.4816577148522	0.000498320228873711	0.121797769273883
"ADAM10"	896.056375820358	0.415602250617724	0.120477353618655	3.44962964519641	0.00056135611008113	0.133496551691996
"IGF2R"	2683.93356562413	0.31261061584733	0.0908208227279815	3.44205884132578	0.000577304659414216	0.13367641311015
"LAMB2"	722.498723563661	0.436904940035699	0.127589919450153	3.4242904292011	0.000616407067784689	0.139070917677884
"DDB2"	329.046717916516	0.58238844042545	0.172401160338112	3.37810046802048	0.000729884088691107	0.149747278981354
"FBN1"	457.561972311485	0.567241735509527	0.167936618604778	3.37771321241422	0.000730912655471715	0.149747278981354
"LTBP1"	737.387657288853	0.405400078151754	0.120033949769795	3.37737847441698	0.000731802818070033	0.149747278981354
"SULF2"	975.567214684832	0.416461786427211	0.123013025969488	3.38550964944566	0.000710462116064492	0.149747278981354
"CCPG1"	1006.21559155469	0.366214555289209	0.109519187695085	3.34383922120381	0.000826276083968102	0.165236437791712
"LDLR"	560.780584213654	0.437389053366862	0.131387765047985	3.32899378573888	0.000871603490948785	0.170427535930186
"CCND3"	526.981862089405	-0.45812491471265	0.138342938810795	-3.31151642903297	0.000927917912252681	0.177494558911116
"TENM3"	812.632095425428	0.381593697413357	0.116292694870287	3.2813213060286	0.00103321970501756	0.193431918818074
"HIST1H2BF"	981.700326762151	-0.370962523796401	0.113576645723053	-3.26618664809808	0.00109006374957438	0.199822311093853
"KIAA1109"	283.137470200018	0.635004994231799	0.194930270182317	3.25760074942636	0.00112358365495954	0.200035736746594
"MSX2"	703.505204992798	0.430520951618032	0.132292688932965	3.2543064555607	0.00113669585604383	0.200035736746594
"HIST1H2BG"	597.633222773226	-0.429752093143374	0.132356204242724	-3.24693576400291	0.00116654715388193	0.201263694255041
"NFKBIA"	372.436091881909	0.509058114953556	0.15764855381699	3.2290693611088	0.00124193769280547	0.210150187672987
"HSPG2"	583.232370920235	0.451594142907156	0.140130886588029	3.22265957136772	0.00127006401076114	0.21085458925825
"BANF1"	567.150682214635	-0.460867929733172	0.145280149219478	-3.17227048711883	0.00151252060230474	0.237654799637132
"ERF"	286.390887381045	-0.54276497623876	0.170946045177355	-3.17506600211573	0.00149802423390158	0.237654799637132
"SUMO2"	416.626481865473	-0.512956814843536	0.161257383411214	-3.18098188121701	0.00146776809151941	0.237654799637132
"SYNE2"	1119.62113803807	0.373927062631259	0.118459021224987	3.15659422781372	0.00159623304014375	0.246407974039032
"MDN1"	3918.16811878581	0.279251973467368	0.0886134661532558	3.15134917512882	0.00162518073924161	0.246551126285982
"PLXNB2"	1396.82124007844	0.370748309318431	0.117850784809542	3.14591294336813	0.00165569280666669	0.246922728912884
"LAMC1"	3402.21431907564	0.285477897353812	0.0910128189865761	3.13667789364835	0.0017087374020775	0.250586340014665
"AASS"	524.033574058443	0.444909504005388	0.14220619968542	3.12862241582708	0.00175627835919488	0.253335955451734
"NDUFAF3"	1141.83589183367	-0.326257668915544	0.104586478861155	-3.11950141613115	0.00181157390044751	0.257097399194155
"CPD"	2353.58442065783	0.272328785598669	0.0874666538763522	3.11351553454472	0.0018487277735992	0.258205645712689
"RAC3"	767.534932635514	-0.369748343258807	0.119386201141963	-3.0970777168723	0.00195438628436095	0.268697576813938
"KLHL15"	5816.0859450635	0.2526346194177	0.0819121885580827	3.08421278768007	0.00204091564669468	0.276277181157946
"VPS13B"	446.047767024997	0.440481575485641	0.143068362713354	3.07881887463949	0.00207822990148495	0.277065831866153
"YLPM1"	1612.75380700267	0.38538784455674	0.125496189576562	3.07091271740664	0.00213405524589367	0.280261971770424
"ASCC3"	2521.64466578934	0.271858080589423	0.0888295653971559	3.06044591543309	0.00221007672790271	0.28597742836494
"FAT3"	278.202487476335	0.537667181380989	0.178009024566312	3.02044900639685	0.00252400205678921	0.315672799755033
"GPANK1"	144.619010646221	-0.706546308631663	0.234791602622147	-3.00924863044917	0.00261894696921439	0.315672799755033
