"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HIST3H2BB"	3808.45388832878	1.14612262810778	0.0948886343151489	12.0786081112857	1.37019507146402e-33	1.36375515462814e-29
"HIST2H2AC"	8274.80000151407	0.958383153828502	0.093716266842247	10.2264333196472	1.50977737124001e-24	7.51340708797592e-21
"HIST1H2AH"	15362.5343497391	0.634237474921304	0.0690603320835776	9.18381733458425	4.16074097170627e-20	1.38039516304642e-16
"EEF1A1"	14123.7753469295	0.606733485051233	0.0677207070303455	8.95934953513342	3.2659929735414e-19	8.12660701641439e-16
"ANP32B"	1694.44087746436	-0.88498652836822	0.107044781023796	-8.26744209202958	1.36863682335443e-16	2.72440846056933e-13
"HIST4H4"	2011.098050945	0.766126742194121	0.0939307651554924	8.15629193402054	3.45466843449604e-16	5.73071915475651e-13
"HIST1H2BJ"	13590.2811991107	0.742354888952167	0.0924024954795285	8.0339268447207	9.44014953984323e-16	1.17447260462575e-12
"RPL22"	397.884610570859	-1.31427263641523	0.163425468350668	-8.04203071699421	8.83617336504648e-16	1.17447260462575e-12
"RPL23A"	2274.55295042908	0.762670925274363	0.0951419741644542	8.01613517033057	1.09124412921146e-15	1.20679475756019e-12
"HIST1H3A"	4213.10979238864	0.716213008031806	0.0896194052180867	7.99171793529447	1.33071222585705e-15	1.24316141072905e-12
"ID2"	724.347581546315	1.0308254330655	0.129050349252473	7.98777716632756	1.3739350465206e-15	1.24316141072905e-12
"HIST1H2BL"	3277.18252715868	0.701812434427351	0.0908642973699843	7.72374249007492	1.12962940133947e-14	9.36933452627643e-12
"PSMD8"	3407.13650455797	0.689776326737758	0.0907313944742498	7.6023997066806	2.90689246373982e-14	2.22556159166173e-11
"HIST1H2BK"	7278.98409816835	0.550459329801686	0.0728327207436895	7.55785756979812	4.09762373860354e-14	2.91311779073722e-11
"RPL12"	7896.23680084397	0.564411290817004	0.0751525559649702	7.51020751815927	5.90337079521194e-14	3.91708330164963e-11
"HSPA8"	47013.5236314871	0.472672535189183	0.0631185870547715	7.48864252583822	6.95895912920578e-14	4.32890751331157e-11
"SF3B5"	950.548955254368	0.859492641849569	0.11597653790259	7.41091825461686	1.25427883435972e-13	7.34343366963662e-11
