	isrib_a_hek	isrib_b_hek	ribo_isrib_a	ribo_isrib_b	ribo_tm_a	ribo_tm_b	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b	tm_a_hek	tm_b_hek	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
A1BG	70	80	16	19	21	11	7	16	29	43	56	85	93	141	67	73
A2M	57	57	1	5	2	2	1	4	3	5	32	37	71	109	73	57
AAAS	1210	900	697	995	934	601	668	1162	1441	1981	1012	1124	1935	2746	1144	1067
AACS	288	294	288	390	310	192	265	466	575	727	220	291	397	709	351	335
AADAT	315	244	53	70	51	29	44	71	98	120	192	292	414	613	322	315
AAGAB	1330	940	527	621	591	332	538	954	1046	1276	1042	1240	2110	2827	1498	1410
AAK1	169	242	215	266	209	116	202	376	423	520	92	144	228	470	288	240
AAMDC	270	198	99	102	108	88	90	136	137	237	190	254	418	608	255	263
AAMP	3069	2248	1689	2257	1903	1138	1714	2808	3524	4712	2497	3022	4933	6574	3458	3311
AAR2	621	430	283	404	365	237	248	418	487	681	474	546	900	1351	549	469
AARS	3916	3155	1602	2187	1823	1183	1655	2798	3692	4343	2879	3818	5470	7950	4030	3757
AARS2	1093	926	190	270	295	163	229	291	408	598	784	1068	1625	2409	1267	1111
AASDH	819	641	85	109	111	74	79	168	228	221	651	809	1271	1861	885	779
AASDHPPT	1338	985	835	1122	934	603	800	1403	1749	1962	1130	1344	2318	3200	1510	1391
AASS	1170	857	249	396	372	194	308	497	410	586	889	1082	1850	2532	1224	1162
AATF	1485	1119	674	877	683	543	575	1145	1251	1565	1128	1449	2162	2863	1560	1569
ABCA1	43	56	2	3	5	2	5	1	6	4	45	46	83	115	74	86
ABCA2	311	330	124	271	177	106	184	297	329	342	210	306	408	701	390	315
ABCA3	558	548	209	307	205	96	241	367	445	532	408	579	728	1248	702	546
ABCA5	537	443	110	132	120	76	129	192	242	260	366	473	733	1111	559	484
ABCA7	240	225	35	76	52	40	68	81	115	130	152	230	285	491	299	249
ABCB1	181	149	455	592	476	280	429	718	947	1024	129	162	256	362	150	156
ABCB10	1286	1033	151	172	169	114	123	244	269	401	1088	1288	2016	2971	1412	1308
ABCB6	274	246	125	162	128	73	135	230	260	314	229	282	411	648	331	239
ABCB7	1531	1033	556	755	578	366	567	1036	1258	1328	1143	1460	2337	3403	1560	1393
ABCB8	323	276	167	246	234	139	174	330	345	486	245	299	429	679	365	286
ABCB9	154	108	48	55	66	39	55	85	97	132	112	157	242	312	152	133
ABCC1	790	930	451	546	449	243	461	782	818	1070	515	716	924	1741	1113	828
ABCC10	440	464	129	175	156	105	141	249	276	341	362	398	574	972	569	426
ABCC2	55	70	2	2	3	5	4	4	7	4	35	52	97	113	59	63
ABCC4	1356	1127	417	481	412	288	385	753	818	935	1044	1323	2204	3198	1657	1519
ABCC5	835	795	218	261	256	159	210	373	383	521	587	763	1188	1765	999	922
ABCC8	48	39	3	8	7	2	4	10	12	12	35	51	70	93	54	47
ABCD1	42	46	24	35	23	12	26	48	60	61	32	26	67	97	46	37
ABCD3	2425	1742	1179	1476	1271	829	1120	2104	2419	2735	1940	2415	3908	5668	2754	2540
ABCD4	537	473	66	92	93	63	83	125	167	199	352	536	742	1077	625	580
