	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
A1BG	29	43	16	19	67	73	70	80
A2M	3	5	1	5	73	57	57	57
AAAS	1441	1981	697	995	1144	1067	1210	900
AACS	575	727	288	390	351	335	288	294
AADAT	98	120	53	70	322	315	315	244
AAGAB	1046	1276	527	621	1498	1410	1330	940
AAK1	423	520	215	266	288	240	169	242
AAMDC	137	237	99	102	255	263	270	198
AAMP	3524	4712	1689	2257	3458	3311	3069	2248
AAR2	487	681	283	404	549	469	621	430
AARS	3692	4343	1602	2187	4030	3757	3916	3155
AARS2	408	598	190	270	1267	1111	1093	926
AASDH	228	221	85	109	885	779	819	641
AASDHPPT	1749	1962	835	1122	1510	1391	1338	985
AASS	410	586	249	396	1224	1162	1170	857
AATF	1251	1565	674	877	1560	1569	1485	1119
ABCA1	6	4	2	3	74	86	43	56
ABCA2	329	342	124	271	390	315	311	330
ABCA3	445	532	209	307	702	546	558	548
ABCA5	242	260	110	132	559	484	537	443
ABCA7	115	130	35	76	299	249	240	225
ABCB1	947	1024	455	592	150	156	181	149
ABCB10	269	401	151	172	1412	1308	1286	1033
ABCB6	260	314	125	162	331	239	274	246
ABCB7	1258	1328	556	755	1560	1393	1531	1033
ABCB8	345	486	167	246	365	286	323	276
ABCB9	97	132	48	55	152	133	154	108
ABCC1	818	1070	451	546	1113	828	790	930
ABCC10	276	341	129	175	569	426	440	464
ABCC2	7	4	2	2	59	63	55	70
ABCC4	818	935	417	481	1657	1519	1356	1127
ABCC5	383	521	218	261	999	922	835	795
ABCC8	12	12	3	8	54	47	48	39
ABCD1	60	61	24	35	46	37	42	46
ABCD3	2419	2735	1179	1476	2754	2540	2425	1742
ABCD4	167	199	66	92	625	580	537	473
ABCE1	2145	2366	1109	1270	3871	3640	3887	2704
ABCF1	2542	3114	1296	1717	2621	2595	2632	2100
ABCF2	26	49	13	24	33	31	38	43
ABCF3	470	589	240	276	618	593	507	460
ABCG2	135	118	46	49	64	44	71	41
ABHD1	3	1	2	2	47	48	49	50
ABHD10	843	919	391	517	883	834	834	577
ABHD11	207	290	98	157	197	132	136	117
ABHD12	289	317	115	166	358	321	364	286
ABHD12B	0	0	0	0	51	35	36	50
ABHD13	131	144	60	90	96	101	118	86
ABHD14A	39	44	25	25	99	46	66	50
ABHD14B	115	136	39	68	162	122	172	116
ABHD15	33	34	16	24	53	51	42	26
ABHD16A	216	247	95	143	330	247	383	231
ABHD17B	323	406	183	227	411	339	384	257
ABHD17C	164	210	82	105	86	81	70	59
ABHD18	224	265	96	107	369	310	315	250
ABHD2	485	648	219	337	423	433	402	393
ABHD3	384	468	171	258	278	229	325	201
ABHD4	105	137	50	81	56	57	31	35
ABHD5	189	202	73	101	501	416	484	365
ABHD6	92	131	52	41	155	116	109	72
ABHD8	258	354	120	149	127	95	86	100
ABI1	769	829	384	457	540	470	598	406
ABI2	469	471	194	268	634	554	664	504
ABI3BP	1	4	4	3	39	41	32	25
ABITRAM	136	222	78	66	148	136	135	101
ABL1	480	668	228	343	1011	945	779	817
ABL2	283	273	150	147	1153	994	919	969
ABLIM1	559	588	239	316	517	504	562	420
ABR	1023	1239	485	677	460	421	394	327
ABRACL	673	764	368	434	406	409	379	255
ABRAXAS1	92	104	52	43	223	210	228	202
ABRAXAS2	560	575	261	315	527	454	499	344
ABT1	601	849	311	458	1036	989	1092	737
ABTB2	190	204	75	98	119	103	94	89
AC004706.3	15	39	12	12	93	77	60	53
AC004832.3	1	6	0	6	109	68	109	64
AC015871.1	4	5	1	3	57	61	36	37
AC023055.1	305	318	135	170	87	74	86	54
AC026464.4	54	97	51	55	51	46	44	30
AC068831.7	17	41	10	13	91	102	55	43
AC073896.1	16	38	7	19	110	96	83	59
AC079447.1	233	258	122	127	96	73	89	27
AC090004.1	0	0	0	0	120	79	121	98
AC092073.1	0	1	2	1	134	118	90	117
AC092835.1	52	70	34	38	81	72	53	46
AC093512.2	214	183	96	104	82	70	68	39
AC099489.1	2	5	0	2	130	105	107	119
AC104109.3	851	1084	456	647	178	134	147	54
AC117378.1	1643	1928	680	1109	566	558	593	247
AC118549.1	392	427	179	220	3911	3577	3780	2874
AC138811.2	1686	2367	988	1351	524	363	518	153
AC245033.1	931	1604	591	872	569	404	583	126
ACAA1	482	611	255	319	542	481	478	377
ACAA2	1420	1508	679	875	552	536	470	337
ACACA	1748	2179	886	1168	4340	3888	3530	3243
ACACB	70	73	40	48	484	413	395	420
ACAD10	175	212	73	131	338	300	281	246
ACAD11	1121	1109	460	612	1534	1312	1279	942
ACAD8	142	191	75	96	424	415	397	304
ACAD9	974	1081	438	616	1103	982	963	847
ACADL	220	253	123	151	81	73	53	28
ACADM	2058	2067	894	1145	1953	1987	1846	1240
ACADS	308	297	114	154	163	145	169	108
ACADSB	1275	1231	537	661	400	375	389	310
ACADVL	790	853	359	503	1201	1037	1183	949
ACAP2	735	723	350	415	870	787	819	600
ACAP3	157	232	75	134	418	368	388	355
ACAT1	3161	3312	1419	1729	2463	2290	2205	1493
ACAT2	2780	3246	1444	1718	2709	2475	2504	1816
ACBD3	1234	1398	599	769	1476	1467	1510	985
ACBD5	617	782	241	428	344	322	303	229
ACBD6	459	508	211	266	1127	1037	1077	822
ACCS	17	15	3	6	65	62	56	39
ACD	370	532	178	258	231	221	288	223
ACER3	152	163	72	97	144	126	153	104
ACIN1	2719	3314	1384	1792	4604	4364	4501	3741
ACLY	7972	9100	3629	4970	9048	7963	9099	7787
ACO1	1082	1294	546	678	1151	1093	1074	796
ACO2	771	1066	364	613	1661	1443	1644	1373
ACOT13	634	559	246	284	383	350	323	210
ACOT2	128	187	55	93	140	128	119	60
ACOT7	2119	2891	1059	1395	546	536	477	395
ACOT8	289	354	131	162	237	182	220	176
ACOT9	805	869	391	490	570	510	496	401
ACOX1	1270	1464	608	792	978	956	908	733
ACOX3	107	155	48	82	280	254	228	234
ACP1	1300	1477	623	745	1107	976	959	612
ACP2	312	407	159	218	254	239	284	217
ACP4	1	1	0	0	27	25	49	46
ACP6	199	223	89	137	461	386	389	329
ACSF2	193	188	70	102	149	123	130	110
ACSF3	330	409	148	209	461	415	447	404
ACSL1	890	928	423	514	484	470	466	398
ACSL3	3216	3681	1589	1953	2676	2485	2404	1752
ACSL4	1997	2168	908	1140	1285	1234	1131	887
ACSM3	62	52	22	27	172	151	118	99
