"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RPL9"	739.066900261893	0.83105057239299	0.192242253714081	4.32293398738968	1.53967813360673e-05	0.166131270616167
"CNN2"	440.952734534167	-0.77987593890178	0.209760000144186	-3.71794402348257	0.000200850759120183	0.270897461363347
"DAZAP2"	827.216259821241	-0.686473506886791	0.179959663864231	-3.81459651649879	0.00013640561821545	0.270897461363347
"EXOSC6"	299.108282659914	1.02211235902245	0.273518816020438	3.73689961770703	0.000186303256531278	0.270897461363347
"FAM53C"	386.624613924937	-0.777939776791187	0.2079483166873	-3.74102464104581	0.000183271549298158	0.270897461363347
"HIST3H2BB"	1207.86316060284	-0.823455822589427	0.210758418655429	-3.90710761564264	9.34075579957863e-05	0.270897461363347
"HSPA1B"	752.65933042153	-1.00410009173382	0.255274926270034	-3.93340664672906	8.37503743193032e-05	0.270897461363347
"TIMM8B"	483.696348806691	0.783684335308371	0.20801752752298	3.76739568362478	0.000164959434213776	0.270897461363347
"FXYD5"	1111.32078469626	-0.753273897652016	0.216415366507193	-3.48068582101807	0.00050013176870725	0.474113244394903
"KCNQ2"	152.418291329846	-1.19200381919057	0.33989620134903	-3.50696422748936	0.000453250075901152	0.474113244394903
"RPS17"	2329.01817435061	0.758485011380091	0.218455154588581	3.47203989216255	0.000516519576886453	0.474113244394903
"RPS19"	13921.8716158928	0.517982762723638	0.149425266161729	3.46650051914918	0.000527280716657909	0.474113244394903
"ZEB1"	430.512945848702	-0.73533367343017	0.214414099466188	-3.42950242199967	0.000604689036295957	0.501891900125645
"HMGN3"	807.685635101249	0.601729077121699	0.178892001827362	3.3636443830641	0.00076920589105065	0.54627861269239
"RPL37A"	11372.3446934419	0.626879134115903	0.185640855867471	3.37683820291925	0.000733241676720026	0.54627861269239
"RPS6"	21175.347377722	0.500513605859274	0.149436616497508	3.34933711422476	0.000810051696300115	0.54627861269239
"KRTCAP2"	971.674057187694	-0.766624005437024	0.238551598911776	-3.21366114892631	0.00131054233873711	0.831808931469027
"ARF1"	3683.90907677411	-0.435315592042364	0.137979520223543	-3.15492901654609	0.00160537158581858	0.911682074262238
"ID2"	755.289935809638	-0.661352621525903	0.209145764360627	-3.16216120153187	0.00156602846703032	0.911682074262238
"RPS25"	1892.14446644219	0.690061792358652	0.220905405308927	3.12378862524269	0.00178538664732766	0.963216096233274
"A1BG"	45.2105203524562	-0.373325147883952	0.538892553500901	-0.692763604653015	0.488457915941963	0.999960343317646
"A2M"	26.9520199968939	0.514242377881031	0.959037025278474	0.536207012165887	0.591815487787289	0.999960343317646
"AAAS"	1160.76270136383	-0.166571364718577	0.163784140981947	-1.01701766556834	0.309145025707445	0.999960343317646
"AACS"	411.40648947024	0.057905893901045	0.216903431183207	0.266966242005342	0.78949515301558	0.999960343317646
"AADAT"	170.582978111553	0.152587006398459	0.290744769276127	0.524814278786022	0.599712304402669	0.999960343317646
"AAGAB"	1016.2052233394	0.13324822006814	0.165942666736797	0.802977454131708	0.421987766005944	0.999960343317646
"AAK1"	299.438114485502	0.130148559887246	0.292539231424039	0.444892670476028	0.656397319706687	0.999960343317646
"AAMDC"	182.704510693454	0.0568728036709526	0.304881498096626	0.18654068556475	0.852020776270568	0.999960343317646
"AAMP"	2931.19252728705	0.0717931153726731	0.142761376710791	0.502888925749947	0.615042367544584	0.999960343317646
"AAR2"	479.3110834133	-0.0236365959283503	0.20448212372803	-0.115592480640449	0.907975522536979	0.999960343317646
"AARS"	3172.88780414764	-0.179360701267557	0.128546125223052	-1.39530227734467	0.162924705626151	0.999960343317646
"AARS2"	649.940583700068	-0.120883928344227	0.193884747615581	-0.623483434519077	0.532966884784254	0.999960343317646
"AASDH"	407.067147512191	-0.257372194964764	0.226203529579133	-1.13779035828319	0.255208031970374	0.999960343317646
"AASDHPPT"	1340.00380724016	0.170332885005743	0.150510742818798	1.13169918515922	0.257760924235192	0.999960343317646
"AASS"	687.545743108209	0.381167086211908	0.194523577607815	1.95949041704544	0.0500553810661818	0.999960343317646
"AATF"	1209.693830512	0.183380990515851	0.155787008277267	1.17712633770765	0.239145084215037	0.999960343317646
"ABCA1"	28.5539094280286	0.428997610785366	0.972368903594873	0.441188122326157	0.659076811335571	0.999960343317646
"ABCA2"	291.391893753969	0.0714944772020305	0.295503598461051	0.241941139039814	0.808825772537882	0.999960343317646
"ABCA3"	453.382748027965	-0.000216624748418811	0.217038547851224	-0.000998093428856258	0.999203636795098	0.999960343317646
"ABCA5"	312.011657644556	-0.197627675706451	0.228570271582784	-0.864625457798755	0.38724439496899	0.999960343317646
"ABCA7"	152.078250450674	-0.160679378272677	0.325608332280788	-0.493474405729015	0.621677419945381	0.999960343317646
"ABCB1"	499.040110861899	-0.251564311880192	0.215007057767216	-1.17002815857587	0.241989637255083	0.999960343317646
"ABCB10"	651.92651845151	-0.0347250261003628	0.202183573771281	-0.171749986671248	0.863634085979482	0.999960343317646
"ABCB6"	233.21661361775	-0.1008371617908	0.25748232333614	-0.391627512460958	0.695333456492242	0.999960343317646
"ABCB7"	1117.75872289987	0.00604573190518332	0.171823029225291	0.0351858067713164	0.971931579779738	0.999960343317646
"ABCB8"	302.69795225353	-0.122361026487232	0.235828870420861	-0.518855160815834	0.603861748246795	0.999960343317646
"ABCB9"	101.869764274045	-0.240604448510319	0.34990987356949	-0.68761834599256	0.491693152082125	0.999960343317646
"ABCC1"	788.043916723616	0.00101297593750147	0.23341767819208	0.00433975672000255	0.996537385984323	0.999960343317646
"ABCC10"	324.687579460809	-0.136635292414813	0.250982175164988	-0.544402375686612	0.586164611350198	0.999960343317646
"ABCC2"	27.7635974713916	-0.759344975934859	1.01662392753114	-0.746928097373159	0.455106964496259	0.999960343317646
"ABCC4"	953.43951533252	0.173566472523216	0.165282288334868	1.05012142723704	0.293662288404391	0.999960343317646
"ABCC5"	560.795692086175	0.0915317974107585	0.202890450092755	0.45113901304331	0.651889361370442	0.999960343317646
"ABCC8"	23.9015909149581	-0.15831060999089	0.777183213553885	-0.203697927631467	0.838589561755518	0.999960343317646
"ABCD1"	43.1157787098533	-0.381526858545184	0.519618793394794	-0.734243763687949	0.462800185284827	0.999960343317646
"ABCD3"	2071.2190615702	0.167812372301468	0.144627349346298	1.16030870412799	0.24592314195018	0.999960343317646
"ABCD4"	298.229039223172	-0.202921834192631	0.243210318799496	-0.834347141166823	0.404085394480875	0.999960343317646
"ABCE1"	2422.91125794506	0.0557077291002126	0.159057626427091	0.350236139892028	0.726161486543656	0.999960343317646
"ABCF1"	2256.85136487638	0.00735773705707104	0.13788773741747	0.0533603436743231	0.957444801336656	0.999960343317646
"ABCF2"	30.5562538807506	-0.585600688000646	0.627321408440728	-0.933493867930025	0.350565035072727	0.999960343317646
"ABCF3"	445.127339066229	0.0709198593872074	0.204561774912364	0.346691650566633	0.728822983523882	0.999960343317646
"ABCG2"	69.9726596352287	-0.681541735415586	0.447144450023323	-1.5242093139701	0.127456432099724	0.999960343317646
"ABHD1"	21.354471107071	0.692280753334419	1.19012410457577	0.581687868242271	0.560776944660373	0.999960343317646
"ABHD10"	697.463816536832	0.106361950239975	0.180758149823244	0.588421326197363	0.556249526711716	0.999960343317646
"ABHD11"	164.639709141856	0.177200642952904	0.307026853097084	0.577150308402739	0.563837921901431	0.999960343317646
"ABHD12"	251.726222830464	-0.306342196123417	0.238093504885517	-1.28664658983753	0.198217496987703	0.999960343317646
"ABHD12B"	17.8238474497527	0.733673186047374	2.16106511198639	0.339496104017432	0.734236031546387	0.999960343317646
"ABHD13"	102.009198677258	-0.156307420696919	0.347269152111842	-0.450104536341247	0.652635066009699	0.999960343317646
"ABHD14A"	45.7075192760442	0.332999883790383	0.551562232633064	0.603739458738315	0.546016875700652	0.999960343317646
