	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
A1BG	29	43	16	19
A2M	3	5	1	5
AAAS	1441	1981	697	995
AACS	575	727	288	390
AADAT	98	120	53	70
AAGAB	1046	1276	527	621
AAK1	423	520	215	266
AAMDC	137	237	99	102
AAMP	3524	4712	1689	2257
AAR2	487	681	283	404
AARS	3692	4343	1602	2187
AARS2	408	598	190	270
AASDH	228	221	85	109
AASDHPPT	1749	1962	835	1122
AASS	410	586	249	396
AATF	1251	1565	674	877
ABCA1	6	4	2	3
ABCA2	329	342	124	271
ABCA3	445	532	209	307
ABCA5	242	260	110	132
ABCA7	115	130	35	76
ABCB1	947	1024	455	592
ABCB10	269	401	151	172
ABCB6	260	314	125	162
ABCB7	1258	1328	556	755
ABCB8	345	486	167	246
ABCB9	97	132	48	55
ABCC1	818	1070	451	546
ABCC10	276	341	129	175
ABCC2	7	4	2	2
ABCC4	818	935	417	481
ABCC5	383	521	218	261
ABCC8	12	12	3	8
ABCD1	60	61	24	35
ABCD3	2419	2735	1179	1476
ABCD4	167	199	66	92
ABCE1	2145	2366	1109	1270
ABCF1	2542	3114	1296	1717
ABCF2	26	49	13	24
ABCF3	470	589	240	276
ABCG2	135	118	46	49
ABHD1	3	1	2	2
ABHD10	843	919	391	517
ABHD11	207	290	98	157
ABHD12	289	317	115	166
ABHD12B	0	0	0	0
ABHD13	131	144	60	90
ABHD14A	39	44	25	25
ABHD14B	115	136	39	68
ABHD15	33	34	16	24
ABHD16A	216	247	95	143
ABHD17B	323	406	183	227
ABHD17C	164	210	82	105
ABHD18	224	265	96	107
ABHD2	485	648	219	337
ABHD3	384	468	171	258
ABHD4	105	137	50	81
ABHD5	189	202	73	101
ABHD6	92	131	52	41
ABHD8	258	354	120	149
ABI1	769	829	384	457
ABI2	469	471	194	268
ABI3BP	1	4	4	3
ABITRAM	136	222	78	66
ABL1	480	668	228	343
ABL2	283	273	150	147
ABLIM1	559	588	239	316
ABR	1023	1239	485	677
ABRACL	673	764	368	434
ABRAXAS1	92	104	52	43
ABRAXAS2	560	575	261	315
ABT1	601	849	311	458
ABTB2	190	204	75	98
AC004706.3	15	39	12	12
AC004832.3	1	6	0	6
AC015871.1	4	5	1	3
AC023055.1	305	318	135	170
AC026464.4	54	97	51	55
AC068831.7	17	41	10	13
AC073896.1	16	38	7	19
AC079447.1	233	258	122	127
AC090004.1	0	0	0	0
AC092073.1	0	1	2	1
AC092835.1	52	70	34	38
AC093512.2	214	183	96	104
AC099489.1	2	5	0	2
AC104109.3	851	1084	456	647
AC117378.1	1643	1928	680	1109
AC118549.1	392	427	179	220
AC138811.2	1686	2367	988	1351
AC245033.1	931	1604	591	872
ACAA1	482	611	255	319
ACAA2	1420	1508	679	875
ACACA	1748	2179	886	1168
ACACB	70	73	40	48
ACAD10	175	212	73	131
ACAD11	1121	1109	460	612
ACAD8	142	191	75	96
ACAD9	974	1081	438	616
ACADL	220	253	123	151
ACADM	2058	2067	894	1145
ACADS	308	297	114	154
ACADSB	1275	1231	537	661
ACADVL	790	853	359	503
ACAP2	735	723	350	415
ACAP3	157	232	75	134
ACAT1	3161	3312	1419	1729
ACAT2	2780	3246	1444	1718
ACBD3	1234	1398	599	769
ACBD5	617	782	241	428
ACBD6	459	508	211	266
ACCS	17	15	3	6
ACD	370	532	178	258
ACER3	152	163	72	97
ACIN1	2719	3314	1384	1792
ACLY	7972	9100	3629	4970
ACO1	1082	1294	546	678
ACO2	771	1066	364	613
ACOT13	634	559	246	284
ACOT2	128	187	55	93
ACOT7	2119	2891	1059	1395
ACOT8	289	354	131	162
ACOT9	805	869	391	490
ACOX1	1270	1464	608	792
ACOX3	107	155	48	82
ACP1	1300	1477	623	745
ACP2	312	407	159	218
ACP4	1	1	0	0
ACP6	199	223	89	137
ACSF2	193	188	70	102
ACSF3	330	409	148	209
ACSL1	890	928	423	514
ACSL3	3216	3681	1589	1953
ACSL4	1997	2168	908	1140
ACSM3	62	52	22	27
ACSS1	304	387	154	226
ACSS2	159	223	57	91
ACSS3	189	211	88	107
ACTA2	430	700	255	375
ACTB	26215	31722	12573	17995
ACTG1	20400	26150	10242	15317
ACTL6A	2022	2417	1003	1234
ACTN1	2007	2716	1023	1476
ACTN2	7	23	5	10
ACTN4	9082	12175	4679	6598
ACTR10	1333	1446	675	776
ACTR1A	2516	3190	1183	1608
ACTR1B	214	286	114	170
ACTR2	1819	2289	879	1224
ACTR3	2666	3033	1347	1653
ACTR3B	59	80	24	34
ACTR5	196	266	77	135
ACTR6	1399	1425	605	760
ACTR8	721	798	336	455
ACTRT3	41	26	17	20
ACVR1	162	159	76	94
ACVR1B	347	519	195	267
ACVR1C	18	26	6	14
ACVR2A	224	291	111	145
ACVR2B	93	130	33	72
ACYP1	213	212	78	120
ACYP2	60	78	22	25
ADA	286	285	125	139
ADAL	123	107	49	60
ADAM10	853	906	381	549
ADAM11	103	131	40	67
ADAM15	522	676	248	354
ADAM17	259	357	148	184
ADAM19	43	51	19	17
ADAM22	107	103	38	68
ADAM23	180	220	70	98
ADAM9	804	886	342	458
ADAMTS1	4767	6229	2251	2969
ADAMTS13	21	9	13	16
ADAMTS17	35	59	15	20
ADAMTS19	138	185	69	95
ADAMTS2	73	80	25	28
ADAMTS20	51	48	22	49
ADAMTS3	144	162	75	92
ADAMTS6	9	5	2	3
ADAMTS9	32	35	17	12
ADAMTSL4	8	5	1	4
ADAP1	13	24	8	8
ADAP2	49	49	21	37
ADAR	4150	4812	1831	2512
ADARB1	107	199	49	64
ADAT1	135	124	62	65
ADAT2	116	112	30	59
ADAT3	53	100	25	34
ADCK1	114	150	58	75
ADCK2	524	627	208	293
ADCK5	19	29	8	8
ADCY1	37	22	13	11
ADCY3	501	618	229	329
ADCY6	414	556	190	262
ADCY7	73	62	22	41
ADCY9	297	361	159	207
ADCYAP1R1	12	20	6	5
ADD1	1652	2061	789	1113
ADD2	338	444	124	172
ADD3	1748	1973	776	1082
ADGRA2	28	38	10	17
ADGRA3	170	195	76	95
ADGRB2	54	48	24	38
ADGRB3	14	11	8	7
ADGRE5	1085	1292	483	669
ADGRG6	394	394	155	212
ADGRL1	276	285	104	125
ADGRL2	859	983	401	545
ADGRL3	79	98	27	52
ADGRV1	547	609	288	339
ADH5	712	1008	350	490
ADI1	695	1016	351	557
ADIPOR1	448	558	211	291
ADIPOR2	760	976	377	487
ADK	1294	1349	580	704
ADM	89	152	44	85
ADNP	2255	2584	1104	1377
ADNP2	675	763	330	388
ADO	229	324	114	167
ADORA2A	19	7	4	6
ADORA2B	101	91	38	43
ADPGK	527	676	235	335
ADPRHL1	32	32	20	16
ADPRHL2	525	672	256	420
ADPRM	51	62	27	36
ADRA2C	9	9	9	8
ADRM1	2825	4403	1517	2236
ADSL	2920	3194	1368	1860
ADSS	1122	1515	622	714
AEBP2	619	800	311	414
AEN	650	1047	410	566
AFAP1	141	186	69	101
AFAP1L1	115	106	46	46
AFDN	1800	2194	932	1189
AFF1	627	694	304	370
AFF3	204	236	85	159
AFF4	2216	2312	1036	1282
AFG1L	166	204	86	119
AFG3L2	1193	1422	595	707
AFMID	207	298	114	140
AFTPH	321	405	156	185
AGA	297	342	123	181
AGAP1	183	266	97	152
AGAP2	55	59	25	43
AGAP3	548	737	232	324
AGAP6	1	3	3	2
AGAP9	2	3	0	0
AGBL3	20	20	3	21
AGBL5	271	322	105	138
AGER	5	3	1	2
AGFG1	1639	1839	781	1096
AGFG2	121	174	62	87
AGGF1	202	154	81	98
AGK	802	1132	466	675
AGL	1826	1892	825	1035
AGMAT	2	3	0	3
AGO1	593	738	286	362
AGO2	734	884	358	502
AGO3	298	299	136	168
AGO4	116	114	42	57
AGPAT1	584	718	254	337
AGPAT2	495	626	247	365
AGPAT3	424	539	194	228
AGPAT4	199	234	107	108
AGPAT5	438	508	179	239
AGPS	1990	2308	945	1287
AGRN	1045	1667	596	805
AGTPBP1	892	1019	439	570
AGTRAP	390	583	226	293
AHCTF1	252	333	137	156
AHCY	3027	4262	1588	2163
AHCYL1	1695	1833	796	1028
AHCYL2	305	385	153	229
AHDC1	178	241	94	92
AHI1	324	331	161	171
AHNAK	826	903	414	556
AHNAK2	63	106	38	76
AHSA1	2567	3171	1140	1545
AIF1L	629	700	263	403
AIFM1	2236	2603	1033	1346
AIFM2	544	700	260	309
AIG1	591	746	286	391
AIMP1	1055	1303	537	597
AIMP2	1575	2057	775	1072
AIP	887	1150	414	619
AJUBA	60	96	28	27
AK1	475	703	244	350
AK2	1023	1142	405	590
