"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HNRNPA1"	862.113598325873	0.583634898384642	0.138217673656504	4.22257793048289	2.4152384868626e-05	0.259541527798256
"KCNQ2"	103.422365950254	-1.13569898744266	0.301936705618847	-3.76138099909033	0.000168977810404098	0.37909701720653
"RPL3"	5931.00467989202	0.326717902161508	0.0872146547470987	3.7461353611834	0.000179579717345408	0.37909701720653
"RPL32"	3841.05136139895	0.31198405792477	0.0851158076551021	3.66540677366255	0.000246945758463215	0.37909701720653
"RPL37A"	9262.2006977321	0.361080808322708	0.095522736340388	3.78005092982286	0.00015679628250267	0.37909701720653
"RPS19"	13372.1929327101	0.345288560143831	0.0933102385215385	3.70043593945084	0.000215229408538657	0.37909701720653
"TSC22D3"	427.85013730509	-0.547469501159687	0.144130826289862	-3.79842061030489	0.000145621056304763	0.37909701720653
"SRSF5"	2192.98580050489	0.327870625269093	0.0910803061431613	3.59979713675689	0.00031846553581031	0.427778830977199
"TPT1"	2454.1514484372	0.324323140591612	0.0924776052343566	3.50704518969444	0.000453112192920618	0.541015958347218
"A1BG"	24.8517831900507	-0.0362318215270541	0.52109052089034	-0.0695307630335475	0.944567146540255	0.999999554978476
"A2M"	3.32643302958022	0.517447437048657	1.40917537536717	0.367198750484716	0.713470771291763	0.999999554978476
"AAAS"	1185.2671586401	-0.0255509963772329	0.111598702865119	-0.228954241592883	0.818904481371451	0.999999554978476
"AACS"	463.727346412703	0.0498734153326563	0.138592690843643	0.359856028691459	0.718954801152076	0.999999554978476
"AADAT"	80.9225036366935	0.175457499590296	0.291988401906289	0.60090571558595	0.54790278613064	0.999999554978476
"AAGAB"	812.136565241389	-0.0173967680134559	0.117241946788575	-0.148383479547878	0.882040137153526	0.999999554978476
"AAK1"	334.187802162001	0.023482775765957	0.157142175766057	0.149436493745108	0.881209217166702	0.999999554978476
"AAMDC"	135.686210281043	0.120274477158248	0.255519194781539	0.470706231134921	0.637850534044233	0.999999554978476
"AAMP"	2814.05757520045	-0.0691354961108425	0.0910680678439164	-0.759162873965168	0.447755131771717	0.999999554978476
"AAR2"	442.421279740328	0.230793226896943	0.147674554102145	1.562850338707	0.11808780079701	0.999999554978476
"AARS"	2731.55079428285	-0.102548207035218	0.0857198804222471	-1.19631766318474	0.231572618481764	0.999999554978476
