	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
A1BG	29	43	21	11	67	73	56	85
A2M	3	5	2	2	73	57	32	37
AAAS	1441	1981	934	601	1144	1067	1012	1124
AACS	575	727	310	192	351	335	220	291
AADAT	98	120	51	29	322	315	192	292
AAGAB	1046	1276	591	332	1498	1410	1042	1240
AAK1	423	520	209	116	288	240	92	144
AAMDC	137	237	108	88	255	263	190	254
AAMP	3524	4712	1903	1138	3458	3311	2497	3022
AAR2	487	681	365	237	549	469	474	546
AARS	3692	4343	1823	1183	4030	3757	2879	3818
AARS2	408	598	295	163	1267	1111	784	1068
AASDH	228	221	111	74	885	779	651	809
AASDHPPT	1749	1962	934	603	1510	1391	1130	1344
AASS	410	586	372	194	1224	1162	889	1082
AATF	1251	1565	683	543	1560	1569	1128	1449
ABCA1	6	4	5	2	74	86	45	46
ABCA2	329	342	177	106	390	315	210	306
ABCA3	445	532	205	96	702	546	408	579
ABCA5	242	260	120	76	559	484	366	473
ABCA7	115	130	52	40	299	249	152	230
ABCB1	947	1024	476	280	150	156	129	162
ABCB10	269	401	169	114	1412	1308	1088	1288
ABCB6	260	314	128	73	331	239	229	282
ABCB7	1258	1328	578	366	1560	1393	1143	1460
ABCB8	345	486	234	139	365	286	245	299
ABCB9	97	132	66	39	152	133	112	157
ABCC1	818	1070	449	243	1113	828	515	716
ABCC10	276	341	156	105	569	426	362	398
ABCC2	7	4	3	5	59	63	35	52
ABCC4	818	935	412	288	1657	1519	1044	1323
ABCC5	383	521	256	159	999	922	587	763
ABCC8	12	12	7	2	54	47	35	51
ABCD1	60	61	23	12	46	37	32	26
ABCD3	2419	2735	1271	829	2754	2540	1940	2415
ABCD4	167	199	93	63	625	580	352	536
ABCE1	2145	2366	1093	787	3871	3640	3107	3834
ABCF1	2542	3114	1378	896	2621	2595	1874	2452
ABCF2	26	49	15	13	33	31	33	54
ABCF3	470	589	254	173	618	593	417	514
ABCG2	135	118	37	29	64	44	64	67
ABHD1	3	1	2	1	47	48	38	46
ABHD10	843	919	434	280	883	834	730	827
ABHD11	207	290	130	104	197	132	117	138
ABHD12	289	317	137	82	358	321	295	339
ABHD12B	0	0	0	0	51	35	29	28
ABHD13	131	144	64	52	96	101	110	128
ABHD14A	39	44	24	18	99	46	70	46
ABHD14B	115	136	49	39	162	122	119	141
ABHD15	33	34	20	9	53	51	42	48
ABHD16A	216	247	125	79	330	247	263	318
ABHD17B	323	406	190	139	411	339	296	356
ABHD17C	164	210	74	61	86	81	51	70
ABHD18	224	265	116	77	369	310	249	305
ABHD2	485	648	264	154	423	433	314	367
ABHD3	384	468	210	123	278	229	213	303
ABHD4	105	137	55	42	56	57	28	35
ABHD5	189	202	89	56	501	416	348	459
ABHD6	92	131	32	27	155	116	98	111
ABHD8	258	354	117	85	127	95	55	59
ABI1	769	829	382	265	540	470	442	557
ABI2	469	471	189	137	634	554	429	600
ABI3BP	1	4	3	2	39	41	28	33
ABITRAM	136	222	87	47	148	136	107	114
ABL1	480	668	232	122	1011	945	601	763
ABL2	283	273	155	98	1153	994	647	866
ABLIM1	559	588	273	181	517	504	444	541
ABR	1023	1239	601	350	460	421	287	402
ABRACL	673	764	328	182	406	409	275	377
ABRAXAS1	92	104	31	19	223	210	145	184
ABRAXAS2	560	575	304	207	527	454	385	540
ABT1	601	849	445	260	1036	989	806	985
ABTB2	190	204	115	54	119	103	59	100
AC004706.3	15	39	19	11	93	77	34	52
AC004832.3	1	6	2	3	109	68	76	95
AC015871.1	4	5	3	0	57	61	38	41
AC023055.1	305	318	243	138	87	74	72	74
AC026464.4	54	97	92	24	51	46	43	49
AC068831.7	17	41	27	11	91	102	31	43
AC073896.1	16	38	32	16	110	96	61	74
AC079447.1	233	258	241	135	96	73	45	65
AC090004.1	0	0	0	0	120	79	96	105
AC092073.1	0	1	1	0	134	118	70	101
AC092835.1	52	70	21	12	81	72	49	55
AC093512.2	214	183	264	127	82	70	48	51
AC099489.1	2	5	1	2	130	105	64	81
AC104109.3	851	1084	1068	480	178	134	86	132
AC117378.1	1643	1928	1426	769	566	558	342	454
AC118549.1	392	427	144	96	3911	3577	2816	3529
AC138811.2	1686	2367	1131	534	524	363	293	447
AC245033.1	931	1604	848	348	569	404	168	377
ACAA1	482	611	292	159	542	481	326	434
ACAA2	1420	1508	694	475	552	536	418	482
ACACA	1748	2179	964	576	4340	3888	2577	3314
ACACB	70	73	55	28	484	413	255	382
ACAD10	175	212	123	96	338	300	192	279
ACAD11	1121	1109	589	381	1534	1312	917	1248
ACAD8	142	191	109	60	424	415	292	379
ACAD9	974	1081	501	347	1103	982	747	961
ACADL	220	253	92	78	81	73	58	53
ACADM	2058	2067	948	619	1953	1987	1507	1897
ACADS	308	297	132	77	163	145	132	154
ACADSB	1275	1231	576	417	400	375	287	348
ACADVL	790	853	408	255	1201	1037	919	1116
ACAP2	735	723	312	237	870	787	582	706
ACAP3	157	232	76	45	418	368	257	329
ACAT1	3161	3312	1456	901	2463	2290	1721	2135
ACAT2	2780	3246	1449	892	2709	2475	2055	2464
ACBD3	1234	1398	637	472	1476	1467	1140	1439
ACBD5	617	782	289	202	344	322	233	304
ACBD6	459	508	213	155	1127	1037	825	1069
ACCS	17	15	4	1	65	62	28	57
ACD	370	532	225	117	231	221	206	262
ACER3	152	163	77	48	144	126	119	152
ACIN1	2719	3314	1671	1183	4604	4364	3057	4131
ACLY	7972	9100	4035	2562	9048	7963	7273	8881
ACO1	1082	1294	577	332	1151	1093	854	1037
ACO2	771	1066	595	355	1661	1443	1187	1555
ACOT13	634	559	218	194	383	350	271	346
ACOT2	128	187	135	65	140	128	88	114
ACOT7	2119	2891	1185	678	546	536	324	455
ACOT8	289	354	156	80	237	182	171	216
ACOT9	805	869	339	287	570	510	417	526
ACOX1	1270	1464	622	427	978	956	753	935
ACOX3	107	155	67	40	280	254	195	229
ACP1	1300	1477	591	465	1107	976	688	902
ACP2	312	407	167	109	254	239	196	240
ACP4	1	1	0	1	27	25	35	32
ACP6	199	223	120	106	461	386	308	366
ACSF2	193	188	88	47	149	123	137	154
ACSF3	330	409	179	101	461	415	322	412
ACSL1	890	928	400	271	484	470	366	447
ACSL3	3216	3681	1682	1069	2676	2485	1940	2419
ACSL4	1997	2168	930	602	1285	1234	886	1141
ACSM3	62	52	25	23	172	151	114	143
ACSS1	304	387	166	101	234	231	141	210
ACSS2	159	223	80	47	285	244	226	247
ACSS3	189	211	80	72	59	62	39	52
ACTA2	430	700	265	137	73	63	47	78
ACTB	26215	31722	14297	8157	16750	15306	12928	16431
ACTG1	20400	26150	10604	6436	18478	16213	17305	22992
ACTL6A	2022	2417	1080	710	1072	1032	937	1224
ACTN1	2007	2716	1137	685	1412	1199	872	1197
ACTN2	7	23	8	2	194	180	84	121
ACTN4	9082	12175	5331	3363	2389	2093	1532	2098
ACTR10	1333	1446	636	402	806	792	661	840
ACTR1A	2516	3190	1362	844	1736	1539	1287	1672
ACTR1B	214	286	100	61	522	459	335	464
ACTR2	1819	2289	1005	679	2387	2284	1351	1977
ACTR3	2666	3033	1486	981	2590	2447	2036	2612
ACTR3B	59	80	45	20	247	176	125	135
ACTR5	196	266	112	65	413	354	265	351
ACTR6	1399	1425	624	476	1029	1079	798	963
ACTR8	721	798	388	286	1741	1611	1236	1464
ACTRT3	41	26	32	16	57	76	42	49
ACVR1	162	159	74	51	127	75	59	79
ACVR1B	347	519	219	103	322	329	223	254
ACVR1C	18	26	8	7	33	36	31	31
ACVR2A	224	291	137	85	304	285	220	287
ACVR2B	93	130	62	20	496	437	301	412
ACYP1	213	212	80	62	147	156	89	164
ACYP2	60	78	27	22	37	36	30	42
ADA	286	285	104	58	197	179	124	165
ADAL	123	107	43	28	184	168	159	166
ADAM10	853	906	436	240	930	873	598	829
ADAM11	103	131	38	34	131	121	95	122
ADAM15	522	676	265	135	1003	828	813	953
ADAM17	259	357	141	86	881	850	595	756
ADAM19	43	51	10	5	51	69	45	53
ADAM22	107	103	41	20	406	346	255	370
ADAM23	180	220	84	32	292	283	186	285
ADAM9	804	886	406	187	1994	1943	1497	1949
ADAMTS1	4767	6229	2491	1392	833	746	633	833
ADAMTS13	21	9	5	9	161	112	80	73
ADAMTS17	35	59	27	11	256	241	126	191
ADAMTS19	138	185	67	44	210	196	116	159
ADAMTS2	73	80	41	18	47	27	29	35
ADAMTS20	51	48	32	21	305	252	183	253
ADAMTS3	144	162	72	37	257	272	215	252
ADAMTS6	9	5	7	4	66	67	59	48
ADAMTS9	32	35	12	9	298	279	145	234
ADAMTSL4	8	5	4	1	40	40	28	25
ADAP1	13	24	4	2	57	60	45	61
ADAP2	49	49	17	20	83	77	59	64
ADAR	4150	4812	2424	1508	5930	5169	4016	5319
ADARB1	107	199	46	32	354	284	235	319
ADAT1	135	124	72	37	537	445	337	380
ADAT2	116	112	44	26	357	357	202	224
ADAT3	53	100	47	17	58	59	26	31
ADCK1	114	150	68	36	185	185	141	158
ADCK2	524	627	246	134	593	555	427	574
ADCK5	19	29	15	5	66	62	41	53
ADCY1	37	22	19	8	392	341	238	323
ADCY3	501	618	216	129	1229	1058	864	1115
ADCY6	414	556	210	110	381	322	224	258
ADCY7	73	62	32	18	103	83	67	71
ADCY9	297	361	133	69	614	560	314	440
ADCYAP1R1	12	20	4	3	25	25	33	27
ADD1	1652	2061	871	530	1370	1395	995	1286
ADD2	338	444	142	93	463	441	273	378
ADD3	1748	1973	774	560	1347	1188	1166	1478
ADGRA2	28	38	18	3	92	65	60	70
ADGRA3	170	195	117	47	1070	941	687	992
ADGRB2	54	48	29	13	279	237	169	222
ADGRB3	14	11	9	7	363	327	206	299
ADGRE5	1085	1292	566	262	93	57	34	49
ADGRG6	394	394	191	140	105	107	87	101
ADGRL1	276	285	104	51	816	624	395	532
ADGRL2	859	983	451	276	2653	2300	1960	2596
ADGRL3	79	98	47	26	515	435	318	443
