"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ATF4"	3282.05159858807	2.52762834771573	0.133467392756816	18.9381713054153	5.52841597396689e-80	4.92416010801231e-76
"PTP4A1"	460.404411470778	2.47309805392802	0.185286530263993	13.3474249337196	1.22614640873249e-40	5.46064303129015e-37
"SPEN"	7894.01891357908	1.18701292850044	0.109588132889965	10.8315827379986	2.43902559487541e-27	7.2414669911851e-24
"RIC8B"	374.375136593893	2.02139044499222	0.197206323392959	10.2501299664938	1.18184518707784e-24	2.63167377032558e-21
"RPS15A"	1823.13860556712	-1.39354457105847	0.152759945132565	-9.12244744425085	7.34465958257285e-20	1.30837765803953e-16
"DYNC1H1"	11977.5346907633	0.852393261321865	0.0942928907942849	9.03984652651596	1.56891934958657e-19	2.14398236003535e-16
"RPS11"	8313.98769649667	-0.915177517456813	0.101325631315154	-9.03204357651943	1.6849530167562e-19	2.14398236003535e-16
"RPLP0"	4390.06903362941	-0.978534241314754	0.110507135150081	-8.85494171924553	8.37275481442678e-19	9.32201589151242e-16
"SON"	9530.74701497803	0.918535578456664	0.104842692609944	8.76108344406963	1.93382580676714e-18	1.91384294009721e-15
"RPL11"	10312.3557180288	-0.884209778374716	0.101458920583454	-8.71495353281841	2.90877944865006e-18	2.59084985491261e-15
"EEF2"	31657.633417805	-1.00139394653923	0.115052447612243	-8.70380393743716	3.20941304669597e-18	2.59874927335646e-15
"DIAPH1"	1445.03023385911	1.18458134266094	0.137531432668594	8.61316805675544	7.10687947235426e-18	5.27508128835495e-15
"UCP2"	156.355922971613	2.61095129247949	0.304487458611058	8.57490585782922	9.91678788382252e-18	6.79452536009286e-15
"RPL32"	6303.1107164768	-1.14591799610724	0.134488819727467	-8.52054467002814	1.5880470203109e-17	1.0103382007078e-14
"SRRM2"	9271.25677628121	1.06030396711816	0.128056553703321	8.27996644025463	1.23209998911377e-16	7.31620973535755e-14
"RACK1"	29228.588511846	-0.772487448203952	0.0938989373227278	-8.22679649237068	1.92286740897264e-16	1.07043625073246e-13
"SLC25A5"	6081.8410567293	-0.785849087764234	0.0983018565258698	-7.99424462097951	1.30370686619225e-15	6.83065709245552e-13
"RPL28"	1920.49622463735	-0.918883096471733	0.116779384922563	-7.86853858736325	3.5880788898158e-15	1.77550103731052e-12
"EP400"	987.422621344155	1.26560561204515	0.162521510927211	7.78731138311888	6.8450113766379e-15	3.20886928061651e-12
"KCNJ13"	144.356798310459	6.81634901115324	0.889209552099175	7.66562729230894	1.77959269670645e-14	7.88107884658245e-12
"RPS5"	5218.07390946845	-0.881883985018019	0.115127199080435	-7.66008373400865	1.85811896012385e-14	7.88107884658245e-12
"RPL29"	2178.11145049516	-1.04290138249165	0.137560705361925	-7.58139019240813	3.41871721723277e-14	1.38411428426783e-11
"RPL4"	10827.4370450544	-0.698480024419604	0.0922386103149533	-7.57253412681099	3.66013020383282e-14	1.41742520545821e-11
"POLR2A"	1463.26974494088	0.982053668139752	0.130326502236279	7.53533357596994	4.87088048753202e-14	1.80770552093532e-11
"IFRD1"	774.868650178428	1.3177621241293	0.177101150369994	7.44073158969476	1.00129210735283e-13	3.56740352007667e-11
"UBA52"	5331.73521264914	-0.743301910245553	0.100038237395941	-7.43017799587614	1.08451639558518e-13	3.71530289826046e-11
"RPS12"	2866.07050272781	-1.04531996390426	0.140797107313106	-7.42430000056516	1.13377918572356e-13	3.74021155823696e-11
"RPL10"	2073.64947386208	-1.00003396547885	0.134966841167697	-7.40947892702252	1.267966210909e-13	4.03349108591658e-11
"RPL14"	3044.79876857794	-0.847301922544195	0.11449932995996	-7.40006009502847	1.36122881013892e-13	4.18085000410598e-11
"RPS4X"	19247.2051906365	-0.702653671561423	0.0954378107052141	-7.36242445598173	1.80599636158603e-13	5.36200319754892e-11
"MKI67"	7058.11522131097	0.839754942476165	0.115240119311557	7.28700167522257	3.16928967655864e-13	9.10608488680896e-11
"ATP5PO"	1427.55917392762	-0.89047633147807	0.12353197886352	-7.20846812032276	5.65848150816189e-13	1.52727559979388e-10
"HIST2H3D"	863.730743992926	-1.17055512557206	0.162385260742534	-7.20850599506077	5.65690816761404e-13	1.52727559979388e-10
"TOP1"	3248.29700195246	0.808935010052911	0.113785323344356	7.10930888340301	1.16625473216228e-12	3.05524438216747e-10
"HNRNPD"	4320.44718814939	0.876169890161526	0.1237093064932	7.08248970912858	1.41587279456076e-12	3.60319399461505e-10
"KMT2B"	715.876298978797	1.20801496174023	0.171267115021018	7.05339703767404	1.74601718532116e-12	4.31993751934876e-10
"RPL27"	6189.58103148764	-0.818146319870581	0.11649164662768	-7.02321877623953	2.16814308549253e-12	5.09235311910104e-10
"RPL7A"	3223.16393483821	-0.874963559287431	0.1245865966721	-7.02293491161216	2.17255437886875e-12	5.09235311910104e-10
"TKT"	5511.76807838124	-0.685948136050797	0.0978391597300333	-7.01097738312069	2.36658993434053e-12	5.40492731927465e-10
"C19orf48"	324.242108264658	2.05410608635932	0.295111342931901	6.96044437313724	3.39201079404718e-12	7.55316003564456e-10
"FAM13B"	500.437184230996	1.45992392339854	0.213041552533332	6.85276607327637	7.24354856041196e-12	1.57361675677047e-09
"EIF3L"	3830.05231892849	-0.810390874494792	0.11939881391012	-6.78726067668335	1.14282611585131e-11	2.42360766997324e-09
"MRPL37"	2539.37355980096	-0.743026179767193	0.109787232151757	-6.76787423459332	1.30688278113656e-11	2.70707091432171e-09
"CSDE1"	11639.7825736079	-0.774689394852263	0.115177518784042	-6.72604691463102	1.74334375820496e-11	3.52908246689354e-09
"RPL8"	12609.7428049432	-0.66272063821295	0.0990261099709841	-6.69238283122639	2.19565538421741e-11	4.34593389049433e-09
"HSPA8"	21280.0889458251	-0.848232887366014	0.127481759552641	-6.65375886199433	2.85700627971865e-11	5.46399482404535e-09
"ODC1"	4318.85966834433	-0.7173881706833	0.107838749070582	-6.65241554511874	2.88321271730248e-11	5.46399482404535e-09
"RPL27A"	2976.48543964191	-0.856547313669269	0.130512341704391	-6.56296027244182	5.27499052227075e-11	9.78840428788866e-09
"USP14"	2129.99257777425	0.898814599935409	0.137119124923163	6.55499078220545	5.56453137869568e-11	1.01149553040903e-08
"EEF1G"	4356.19975652892	-0.6982905937607	0.106979590088515	-6.52732538218676	6.69544927054567e-11	1.19272733305501e-08
"TMEM123"	836.386865445906	-1.12388739918975	0.173029331108202	-6.49535770606972	8.283635021685e-11	1.44671249290487e-08
"EP300"	1723.19233522956	0.874218091195603	0.134682264226072	6.49096669275009	8.52873350167507e-11	1.46087364037346e-08
"YLPM1"	1677.33918674418	1.05634998108261	0.163203886206368	6.47257859869143	9.63443746825489e-11	1.61913084018389e-08
"HDLBP"	7403.08660574462	-0.616713131097829	0.0954414084920329	-6.46169352319764	1.03537632922773e-10	1.70779573415397e-08
"AHCY"	2631.10789645625	-0.815401611333659	0.126933478991556	-6.4238498606652	1.3287025946492e-10	2.1517734564619e-08
"PPP3R1"	198.51672984394	1.75827416257935	0.275090515498966	6.39162044314814	1.64136918056142e-10	2.52063367090699e-08
"SRRM1"	1703.55428379834	0.834213514076227	0.130475364778803	6.39364768583311	1.61974401196695e-10	2.52063367090699e-08
"TRAM1"	1321.63765165506	-0.838498762312488	0.131139656249349	-6.39393747317873	1.61667560039014e-10	2.52063367090699e-08
"SETD1A"	557.762656709566	1.14351436004801	0.179504734555965	6.37038551031359	1.88553651304262e-10	2.84652096977469e-08
"RPLP2"	5348.83026644088	-0.707193203229001	0.111542404651984	-6.34012871997398	2.29573275482767e-10	3.40801527454168e-08
"ACTG1"	16147.0918591173	-0.609584660378095	0.0966037417388385	-6.31015579112935	2.78754722409215e-10	4.07027592212931e-08
"ZNF721"	670.324071919106	1.12249777195678	0.178977198350047	6.27173618932944	3.57044166415419e-10	5.12934256493893e-08
"ARID1A"	1221.8413499135	0.9570708537749	0.153438769047697	6.23747739710682	4.44683334770388e-10	6.28697533777753e-08
"DDOST"	3203.49126433641	-0.843151418811966	0.138453365826726	-6.08978636075319	1.13061461234995e-09	1.5425566061838e-07
"SEC16A"	1756.30429769998	0.810839240323087	0.133128692142208	6.09064227459658	1.12458589178348e-09	1.5425566061838e-07
"SMG1"	2420.30349013802	0.770451885859039	0.126551730226333	6.08803913214868	1.14301937810857e-09	1.5425566061838e-07
"PRR12"	259.2689625554	1.4027002315771	0.231382392179305	6.06226004652119	1.34221966678671e-09	1.78435083165212e-07
"NT5DC2"	1141.29986104307	-0.855898029098287	0.141405553836194	-6.05278934156839	1.42358981791615e-09	1.86469331002635e-07
"EIF4G2"	10590.4797688817	0.612665878678976	0.10157662886796	6.03156341677163	1.62380977665038e-09	2.09612662038042e-07
"FUS"	7032.41847419049	0.790661181133371	0.131145352143872	6.02889212776663	1.65087426932446e-09	2.10061958812471e-07
"PSMD8"	4365.53901046322	-0.725654067067284	0.121666004321002	-5.96431247263392	2.45666223207052e-09	3.08190007057072e-07
"NDUFA11"	430.143685062374	-1.13727841261906	0.191148455488099	-5.94971280157618	2.68613398945819e-09	3.3229715894589e-07
"CKB"	13014.019678899	-0.649639948366404	0.110616208537245	-5.8729182364596	4.28189692527718e-09	5.2245008100608e-07
"HELZ"	1687.8538355523	0.722321596113329	0.123764869763801	5.83624090981424	5.3391681972709e-09	6.42648258555296e-07
"ATF7IP"	1591.06731331629	0.704231114623111	0.120767426426878	5.83130017306037	5.49971462625612e-09	6.46307527503152e-07
"P4HB"	2941.59786345663	-0.704100623591536	0.120754445554195	-5.83084639542759	5.51469317281234e-09	6.46307527503152e-07
"EIF2S3"	3231.82060451964	-0.742388944587889	0.127636019728834	-5.81645327208661	6.01093354564652e-09	6.95316689494462e-07
"RPL30"	5487.2495892385	-0.716542867490578	0.123512257384119	-5.80139074992496	6.57671405736641e-09	7.5101015524311e-07
"CUX1"	656.765495599584	0.894975708690566	0.155287567857071	5.76334423316047	8.24633607304031e-09	9.29748296235064e-07
"RPS6"	19941.5090604156	-0.583338360621312	0.101359155497404	-5.75516200543176	8.65587437192539e-09	9.50783495542668e-07
"SNRPD2"	2467.10468194382	-0.652693940097876	0.113447393287983	-5.75327401698013	8.75314321707632e-09	9.50783495542668e-07
"TIMM8B"	529.520379959378	1.14300378821419	0.198631333265141	5.75439820810378	8.69509784709286e-09	9.50783495542668e-07
