	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
A1BG	29	43	21	11
A2M	3	5	2	2
AAAS	1441	1981	934	601
AACS	575	727	310	192
AADAT	98	120	51	29
AAGAB	1046	1276	591	332
AAK1	423	520	209	116
AAMDC	137	237	108	88
AAMP	3524	4712	1903	1138
AAR2	487	681	365	237
AARS	3692	4343	1823	1183
AARS2	408	598	295	163
AASDH	228	221	111	74
AASDHPPT	1749	1962	934	603
AASS	410	586	372	194
AATF	1251	1565	683	543
ABCA1	6	4	5	2
ABCA2	329	342	177	106
ABCA3	445	532	205	96
ABCA5	242	260	120	76
ABCA7	115	130	52	40
ABCB1	947	1024	476	280
ABCB10	269	401	169	114
ABCB6	260	314	128	73
ABCB7	1258	1328	578	366
ABCB8	345	486	234	139
ABCB9	97	132	66	39
ABCC1	818	1070	449	243
ABCC10	276	341	156	105
ABCC2	7	4	3	5
ABCC4	818	935	412	288
ABCC5	383	521	256	159
ABCC8	12	12	7	2
ABCD1	60	61	23	12
ABCD3	2419	2735	1271	829
ABCD4	167	199	93	63
ABCE1	2145	2366	1093	787
ABCF1	2542	3114	1378	896
ABCF2	26	49	15	13
ABCF3	470	589	254	173
ABCG2	135	118	37	29
ABHD1	3	1	2	1
ABHD10	843	919	434	280
ABHD11	207	290	130	104
ABHD12	289	317	137	82
ABHD12B	0	0	0	0
ABHD13	131	144	64	52
ABHD14A	39	44	24	18
ABHD14B	115	136	49	39
ABHD15	33	34	20	9
ABHD16A	216	247	125	79
ABHD17B	323	406	190	139
ABHD17C	164	210	74	61
ABHD18	224	265	116	77
ABHD2	485	648	264	154
ABHD3	384	468	210	123
ABHD4	105	137	55	42
ABHD5	189	202	89	56
ABHD6	92	131	32	27
ABHD8	258	354	117	85
ABI1	769	829	382	265
ABI2	469	471	189	137
ABI3BP	1	4	3	2
ABITRAM	136	222	87	47
ABL1	480	668	232	122
ABL2	283	273	155	98
ABLIM1	559	588	273	181
ABR	1023	1239	601	350
ABRACL	673	764	328	182
ABRAXAS1	92	104	31	19
ABRAXAS2	560	575	304	207
ABT1	601	849	445	260
ABTB2	190	204	115	54
AC004706.3	15	39	19	11
AC004832.3	1	6	2	3
AC015871.1	4	5	3	0
AC023055.1	305	318	243	138
AC026464.4	54	97	92	24
AC068831.7	17	41	27	11
AC073896.1	16	38	32	16
AC079447.1	233	258	241	135
AC090004.1	0	0	0	0
AC092073.1	0	1	1	0
AC092835.1	52	70	21	12
AC093512.2	214	183	264	127
AC099489.1	2	5	1	2
AC104109.3	851	1084	1068	480
AC117378.1	1643	1928	1426	769
AC118549.1	392	427	144	96
AC138811.2	1686	2367	1131	534
AC245033.1	931	1604	848	348
ACAA1	482	611	292	159
ACAA2	1420	1508	694	475
ACACA	1748	2179	964	576
ACACB	70	73	55	28
ACAD10	175	212	123	96
ACAD11	1121	1109	589	381
ACAD8	142	191	109	60
ACAD9	974	1081	501	347
ACADL	220	253	92	78
ACADM	2058	2067	948	619
ACADS	308	297	132	77
ACADSB	1275	1231	576	417
ACADVL	790	853	408	255
ACAP2	735	723	312	237
ACAP3	157	232	76	45
ACAT1	3161	3312	1456	901
ACAT2	2780	3246	1449	892
ACBD3	1234	1398	637	472
ACBD5	617	782	289	202
ACBD6	459	508	213	155
ACCS	17	15	4	1
ACD	370	532	225	117
ACER3	152	163	77	48
ACIN1	2719	3314	1671	1183
ACLY	7972	9100	4035	2562
ACO1	1082	1294	577	332
ACO2	771	1066	595	355
ACOT13	634	559	218	194
ACOT2	128	187	135	65
ACOT7	2119	2891	1185	678
ACOT8	289	354	156	80
ACOT9	805	869	339	287
ACOX1	1270	1464	622	427
ACOX3	107	155	67	40
ACP1	1300	1477	591	465
ACP2	312	407	167	109
ACP4	1	1	0	1
ACP6	199	223	120	106
ACSF2	193	188	88	47
ACSF3	330	409	179	101
ACSL1	890	928	400	271
ACSL3	3216	3681	1682	1069
ACSL4	1997	2168	930	602
ACSM3	62	52	25	23
ACSS1	304	387	166	101
ACSS2	159	223	80	47
ACSS3	189	211	80	72
ACTA2	430	700	265	137
ACTB	26215	31722	14297	8157
ACTG1	20400	26150	10604	6436
ACTL6A	2022	2417	1080	710
ACTN1	2007	2716	1137	685
ACTN2	7	23	8	2
ACTN4	9082	12175	5331	3363
ACTR10	1333	1446	636	402
ACTR1A	2516	3190	1362	844
ACTR1B	214	286	100	61
ACTR2	1819	2289	1005	679
ACTR3	2666	3033	1486	981
ACTR3B	59	80	45	20
ACTR5	196	266	112	65
ACTR6	1399	1425	624	476
ACTR8	721	798	388	286
ACTRT3	41	26	32	16
ACVR1	162	159	74	51
ACVR1B	347	519	219	103
