"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ATF4"	769.488706830084	2.77236425343272	0.134066758530736	20.6789832454787	5.35577575883344e-95	3.97237888032676e-91
"RIC8B"	417.494395276659	2.05979208248483	0.155185475835802	13.2730983450039	3.31582158681329e-40	1.22967243546971e-36
"PTP4A1"	321.87282910271	1.87247636456075	0.171948849265672	10.8897289662443	1.29023676499873e-27	3.18989536199854e-24
"PABPC1"	1662.74584572705	-1.04253697317904	0.11494035429368	-9.0702432542994	1.18751601393471e-19	2.00103570428162e-16
"SAT1"	1220.89750555289	1.12157898003102	0.123844554292227	9.05634475767505	1.34895220728167e-19	2.00103570428162e-16
"IFRD1"	538.813608565673	1.29053988237623	0.156325763262646	8.25545230320077	1.51328050926295e-16	1.87066692286722e-13
"OAZ1"	1018.53212051526	0.978926233861733	0.121750676696801	8.04041719044878	8.95331196967424e-16	9.4866735541534e-13
"DYNC1H1"	6070.22652937742	0.654896257187817	0.0860834704035767	7.60768884104615	2.7904064058349e-14	2.58705553900968e-11
"RPL28"	1910.07124511638	-0.758972056609611	0.100524223447202	-7.55014095690319	4.34787416703817e-14	3.58313141076912e-11
"ALDOA"	1831.27166766786	0.788055815165596	0.111959041089177	7.03878675182556	1.93920883437513e-12	1.43831119245604e-09
"UCP2"	186.0283854124	1.47540717070338	0.211824946199661	6.96521914521198	3.27892937823426e-12	2.21089265439668e-09
"KCNJ13"	169.286886070299	5.99739813899802	0.863894592219033	6.94227998764626	3.85821557571867e-12	2.38469874375878e-09
"RPS6"	4846.83207463959	-0.600688254490524	0.0893585185683652	-6.72222709277523	1.78967729867896e-11	1.0210797326386e-08
"RPL11"	5843.20897890744	-0.587018736168881	0.087696717543101	-6.69373669408293	2.17542702778763e-11	1.15251016179292e-08
"EEF2"	21622.4499201407	-0.660788364637473	0.0992693802763534	-6.65651747596209	2.80391807655758e-11	1.38644402492184e-08
"AL135905.2"	609.633034368608	0.917844495921374	0.138183266284319	6.64222608570322	3.08980522154633e-11	1.43231783301307e-08
"SRM"	1349.35312559822	-0.729131997647599	0.111029327702379	-6.5670216395625	5.13315896686859e-11	2.23956706219202e-08
"AC104109.3"	885.097697736683	0.969066664360101	0.150722088320047	6.42949334872776	1.28029961247505e-10	5.27554568095967e-08
"AL031777.3"	2760.00620451432	0.613330661846448	0.0960090824914882	6.38825667249579	1.67787543251399e-10	5.86085959087319e-08
"DNTTIP2"	1187.80636116999	0.830613701833293	0.129707115841521	6.40376355949626	1.5159281368943e-10	5.86085959087319e-08
"PCBP2"	4504.68027606067	-0.572463355601439	0.0894898792643083	-6.39696198394311	1.58498768094289e-10	5.86085959087319e-08
"RPS5"	3048.65181681585	-0.626547149038369	0.0981613071941763	-6.382832166232	1.73842403935837e-10	5.86085959087319e-08
"CSDE1"	4565.95446306241	-0.646523234680802	0.101564751149836	-6.3656261386099	1.94494656760004e-10	6.27202986603892e-08
"ODC1"	1914.76982433282	-0.639501259654149	0.102316114126511	-6.25024968074359	4.0979703485417e-10	1.25727122127371e-07
"TXNRD1"	1605.81515154659	0.629850218175707	0.100856601907179	6.24500732986594	4.23780241766788e-10	1.25727122127371e-07
"RPS11"	4609.57808473244	-0.545587977586797	0.0886136910839093	-6.15692644007091	7.41702777459233e-10	2.11584980785197e-07
"AL109827.1"	196.480774755884	1.22516427770882	0.204537778779667	5.98991680176893	2.09948411201408e-09	5.76736061437349e-07
"RPL4"	3874.29285758451	-0.52889967923613	0.0889644955171869	-5.94506467059045	2.76347731133856e-09	7.32025400649933e-07
"SON"	6836.71519910335	0.514462128234139	0.0877996672359692	5.85949975016964	4.64263584896978e-09	1.18739414109686e-06
"AC093512.2"	213.081796730287	1.27886190547455	0.221884817251019	5.76362962242598	8.2323971851549e-09	2.0353229974098e-06
"RPLP2"	4360.69233047596	-0.567072699931652	0.0987385682948194	-5.74317320703348	9.2918594487637e-09	2.15367879785876e-06
"SLU7"	1059.5327090024	0.646284606303356	0.112527142693628	5.74336636328678	9.2812616659955e-09	2.15367879785876e-06
"MKI67"	5178.8220365345	0.511354546289758	0.0907065273139616	5.6374613981176	1.72575273002926e-08	3.87875999958394e-06
"RPS15A"	376.088366814887	-0.927673179555465	0.166433374825352	-5.57384106720738	2.49183083321075e-08	5.43585567350709e-06
"RBM12"	2103.91194879125	0.570348488926529	0.102839718524668	5.54599426280733	2.92288408936639e-08	6.19400894023729e-06
"NAP1L1"	2714.61831614286	-0.556482569154686	0.100578477082446	-5.53281959815844	3.15123536747912e-08	6.49242020016463e-06
"RPLP0"	1107.77121082759	-0.614247791682918	0.111854203452819	-5.49150387488129	3.98525578810926e-08	7.98882221092064e-06
"SLC25A6"	1501.10949625467	-0.67250510604747	0.122747771503764	-5.47875613388913	4.28326214706256e-08	8.36025140651659e-06
"KNL1"	1117.92149685014	0.642776633441668	0.117476559973077	5.47153094701597	4.4616441124119e-08	8.48513189275873e-06
"ATP7A"	440.03486542093	0.940090597453026	0.173147499859574	5.42942057041227	5.65373084617005e-08	1.04834304215108e-05
"RACK1"	20799.9513846982	-0.455285410079966	0.0844425737550465	-5.39165719179369	6.98108523027433e-08	1.26289534519377e-05
"AC117378.1"	1398.42238990363	0.611318238306303	0.113540130695656	5.38416007239714	7.2783710959219e-08	1.28532567662983e-05
"SLC25A5"	4404.21030984813	-0.479154877494348	0.0893840048396028	-5.36063335217726	8.29306824261292e-08	1.43045784082465e-05
"RPL32"	2508.179107252	-0.592135197325058	0.112376301458471	-5.26921770551316	1.37006394692101e-07	2.2581698431807e-05
"RPL7A"	1183.29105489744	-0.579791985274358	0.109995342281549	-5.27105942168256	1.35638544113234e-07	2.2581698431807e-05
"RPS21"	2641.29363271111	-0.57091703934321	0.108587974528595	-5.25764516579013	1.45911707098037e-07	2.35266767727421e-05
"CCNG1"	1557.10963699393	-0.600863266849231	0.114902787785237	-5.22931843892503	1.70136094449686e-07	2.68489236709217e-05
"EIF4G2"	4237.45054713572	0.480822451335198	0.0925687698788963	5.19421887062167	2.05581169770733e-07	3.17665736706152e-05
"UBA52"	4025.99940682263	-0.469283318365572	0.0907508140861559	-5.1711196543102	2.32695500564612e-07	3.52225005650557e-05
"RPL14"	1169.61856348888	-0.576091327723768	0.111912011988996	-5.14771665243955	2.63676380571289e-07	3.9113754293945e-05
"RPL37A"	5923.430940204	-0.595506867815002	0.117005729369732	-5.08955305883552	3.58908427628336e-07	5.21965452493994e-05
"RPS12"	708.593439731306	-0.733643898076598	0.14466617319103	-5.07128848364454	3.9513126672082e-07	5.5296011420157e-05
"TXNDC5"	1857.8225497389	-0.536965216846807	0.105835161831052	-5.07359943100936	3.90360350276456e-07	5.5296011420157e-05
"NT5DC2"	536.084016516664	-0.731227629716849	0.144581880332776	-5.0575329912284	4.24714970281013e-07	5.83353876773013e-05
"ATP1A1"	8145.78094435085	-0.447481337515237	0.0893748485353394	-5.00679268103375	5.5344481201134e-07	7.46345485579656e-05
"AZIN1"	629.499213178295	0.656331910546056	0.132069336747626	4.96960101950278	6.70908098555918e-07	8.76680829284297e-05
"RPL26"	577.107667138414	-0.685816577507602	0.13802497524035	-4.96878609333822	6.7373341336396e-07	8.76680829284297e-05
"VIM"	12186.8267122616	-0.477280253861212	0.097036597265918	-4.91855925814545	8.71835249623381e-07	0.000111489690456149
"GNAS"	10450.5521941235	-0.407674749992509	0.083752304489642	-4.86762426988416	1.12947808430487e-06	0.000141988795784563
