	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
A1BG	67	73	56	85
A2M	73	57	32	37
AAAS	1144	1067	1012	1124
AACS	351	335	220	291
AADAT	322	315	192	292
AAGAB	1498	1410	1042	1240
AAK1	288	240	92	144
AAMDC	255	263	190	254
AAMP	3458	3311	2497	3022
AAR2	549	469	474	546
AARS	4030	3757	2879	3818
AARS2	1267	1111	784	1068
AASDH	885	779	651	809
AASDHPPT	1510	1391	1130	1344
AASS	1224	1162	889	1082
AATF	1560	1569	1128	1449
ABCA1	74	86	45	46
ABCA2	390	315	210	306
ABCA3	702	546	408	579
ABCA5	559	484	366	473
ABCA7	299	249	152	230
ABCB1	150	156	129	162
ABCB10	1412	1308	1088	1288
ABCB6	331	239	229	282
ABCB7	1560	1393	1143	1460
ABCB8	365	286	245	299
ABCB9	152	133	112	157
ABCC1	1113	828	515	716
ABCC10	569	426	362	398
ABCC2	59	63	35	52
ABCC4	1657	1519	1044	1323
ABCC5	999	922	587	763
ABCC8	54	47	35	51
ABCD1	46	37	32	26
ABCD3	2754	2540	1940	2415
ABCD4	625	580	352	536
ABCE1	3871	3640	3107	3834
ABCF1	2621	2595	1874	2452
ABCF2	33	31	33	54
ABCF3	618	593	417	514
ABCG2	64	44	64	67
ABHD1	47	48	38	46
ABHD10	883	834	730	827
ABHD11	197	132	117	138
ABHD12	358	321	295	339
ABHD12B	51	35	29	28
ABHD13	96	101	110	128
ABHD14A	99	46	70	46
ABHD14B	162	122	119	141
ABHD15	53	51	42	48
ABHD16A	330	247	263	318
ABHD17B	411	339	296	356
ABHD17C	86	81	51	70
ABHD18	369	310	249	305
ABHD2	423	433	314	367
ABHD3	278	229	213	303
ABHD4	56	57	28	35
ABHD5	501	416	348	459
ABHD6	155	116	98	111
ABHD8	127	95	55	59
ABI1	540	470	442	557
ABI2	634	554	429	600
ABI3BP	39	41	28	33
ABITRAM	148	136	107	114
ABL1	1011	945	601	763
ABL2	1153	994	647	866
ABLIM1	517	504	444	541
ABR	460	421	287	402
ABRACL	406	409	275	377
ABRAXAS1	223	210	145	184
ABRAXAS2	527	454	385	540
ABT1	1036	989	806	985
ABTB2	119	103	59	100
AC004706.3	93	77	34	52
AC004832.3	109	68	76	95
AC015871.1	57	61	38	41
AC023055.1	87	74	72	74
AC026464.4	51	46	43	49
AC068831.7	91	102	31	43
AC073896.1	110	96	61	74
AC079447.1	96	73	45	65
AC090004.1	120	79	96	105
AC092073.1	134	118	70	101
AC092835.1	81	72	49	55
AC093512.2	82	70	48	51
AC099489.1	130	105	64	81
AC104109.3	178	134	86	132
AC117378.1	566	558	342	454
AC118549.1	3911	3577	2816	3529
AC138811.2	524	363	293	447
AC245033.1	569	404	168	377
ACAA1	542	481	326	434
ACAA2	552	536	418	482
ACACA	4340	3888	2577	3314
ACACB	484	413	255	382
ACAD10	338	300	192	279
ACAD11	1534	1312	917	1248
ACAD8	424	415	292	379
ACAD9	1103	982	747	961
ACADL	81	73	58	53
ACADM	1953	1987	1507	1897
ACADS	163	145	132	154
ACADSB	400	375	287	348
ACADVL	1201	1037	919	1116
ACAP2	870	787	582	706
ACAP3	418	368	257	329
ACAT1	2463	2290	1721	2135
ACAT2	2709	2475	2055	2464
ACBD3	1476	1467	1140	1439
ACBD5	344	322	233	304
ACBD6	1127	1037	825	1069
ACCS	65	62	28	57
ACD	231	221	206	262
ACER3	144	126	119	152
ACIN1	4604	4364	3057	4131
ACLY	9048	7963	7273	8881
ACO1	1151	1093	854	1037
ACO2	1661	1443	1187	1555
ACOT13	383	350	271	346
ACOT2	140	128	88	114
ACOT7	546	536	324	455
ACOT8	237	182	171	216
ACOT9	570	510	417	526
ACOX1	978	956	753	935
ACOX3	280	254	195	229
ACP1	1107	976	688	902
ACP2	254	239	196	240
ACP4	27	25	35	32
ACP6	461	386	308	366
ACSF2	149	123	137	154
ACSF3	461	415	322	412
ACSL1	484	470	366	447
ACSL3	2676	2485	1940	2419
ACSL4	1285	1234	886	1141
ACSM3	172	151	114	143
ACSS1	234	231	141	210
ACSS2	285	244	226	247
ACSS3	59	62	39	52
ACTA2	73	63	47	78
ACTB	16750	15306	12928	16431
ACTG1	18478	16213	17305	22992
ACTL6A	1072	1032	937	1224
ACTN1	1412	1199	872	1197
ACTN2	194	180	84	121
ACTN4	2389	2093	1532	2098
ACTR10	806	792	661	840
ACTR1A	1736	1539	1287	1672
ACTR1B	522	459	335	464
ACTR2	2387	2284	1351	1977
ACTR3	2590	2447	2036	2612
ACTR3B	247	176	125	135
ACTR5	413	354	265	351
ACTR6	1029	1079	798	963
ACTR8	1741	1611	1236	1464
ACTRT3	57	76	42	49
ACVR1	127	75	59	79
ACVR1B	322	329	223	254
ACVR1C	33	36	31	31
ACVR2A	304	285	220	287
ACVR2B	496	437	301	412
ACYP1	147	156	89	164
ACYP2	37	36	30	42
ADA	197	179	124	165
ADAL	184	168	159	166
ADAM10	930	873	598	829
ADAM11	131	121	95	122
ADAM15	1003	828	813	953
ADAM17	881	850	595	756
ADAM19	51	69	45	53
ADAM22	406	346	255	370
ADAM23	292	283	186	285
ADAM9	1994	1943	1497	1949
ADAMTS1	833	746	633	833
ADAMTS13	161	112	80	73
ADAMTS17	256	241	126	191
ADAMTS19	210	196	116	159
ADAMTS2	47	27	29	35
ADAMTS20	305	252	183	253
ADAMTS3	257	272	215	252
ADAMTS6	66	67	59	48
ADAMTS9	298	279	145	234
ADAMTSL4	40	40	28	25
ADAP1	57	60	45	61
ADAP2	83	77	59	64
ADAR	5930	5169	4016	5319
ADARB1	354	284	235	319
ADAT1	537	445	337	380
ADAT2	357	357	202	224
ADAT3	58	59	26	31
ADCK1	185	185	141	158
ADCK2	593	555	427	574
ADCK5	66	62	41	53
ADCY1	392	341	238	323
ADCY3	1229	1058	864	1115
ADCY6	381	322	224	258
ADCY7	103	83	67	71
ADCY9	614	560	314	440
ADCYAP1R1	25	25	33	27
ADD1	1370	1395	995	1286
ADD2	463	441	273	378
ADD3	1347	1188	1166	1478
ADGRA2	92	65	60	70
ADGRA3	1070	941	687	992
ADGRB2	279	237	169	222
ADGRB3	363	327	206	299
ADGRE5	93	57	34	49
ADGRG6	105	107	87	101
ADGRL1	816	624	395	532
ADGRL2	2653	2300	1960	2596
ADGRL3	515	435	318	443
ADGRV1	3356	3097	2058	2835
ADH5	1525	1461	1359	1562
ADI1	1169	1163	745	1049
ADIPOR1	1484	1341	1139	1463
ADIPOR2	643	627	578	641
ADK	862	838	602	792
ADM	38	42	47	55
ADNP	3281	2782	1595	2119
ADNP2	1432	1246	921	1161
ADO	161	182	164	183
ADORA2A	39	25	27	43
ADORA2B	157	127	143	157
ADPGK	944	797	693	794
ADPRHL1	55	45	36	36
ADPRHL2	524	496	389	467
ADPRM	102	88	97	108
ADRA2C	44	54	39	62
ADRM1	1490	1397	1231	1331
ADSL	4094	3775	3446	4067
ADSS	2662	2759	1802	2459
AEBP2	525	422	278	370
AEN	655	598	546	643
AFAP1	257	280	141	207
AFAP1L1	100	87	86	104
AFDN	4857	4429	2850	3708
AFF1	536	436	309	394
AFF3	140	112	80	106
AFF4	2153	1772	1294	1703
AFG1L	183	185	138	198
AFG3L2	2549	2389	1789	2107
AFMID	252	233	146	188
AFTPH	783	654	529	680
AGA	252	239	175	237
AGAP1	565	567	359	475
AGAP2	84	86	65	95
AGAP3	1017	800	717	831
AGAP6	120	83	87	107
AGAP9	152	140	70	107
AGBL3	72	77	51	56
AGBL5	1387	1099	1085	1335
AGER	66	60	35	41
AGFG1	1237	973	939	1233
AGFG2	102	75	62	88
AGGF1	219	218	154	207
AGK	1128	966	779	985
AGL	2884	2467	1937	2504
AGMAT	59	47	33	46
AGO1	1139	983	641	852
AGO2	1077	857	645	851
AGO3	808	731	477	653
AGO4	306	273	216	246
AGPAT1	271	248	182	239
AGPAT2	138	126	109	146
AGPAT3	502	432	325	360
AGPAT4	331	317	213	299
AGPAT5	525	574	393	448
AGPS	2017	2150	1524	1866
AGRN	702	571	324	411
AGTPBP1	2802	2692	2024	2561
AGTRAP	169	133	166	175
AHCTF1	1768	1630	1229	1544
AHCY	3579	3096	3339	4027
AHCYL1	1343	1194	961	1185
AHCYL2	290	286	194	227
AHDC1	107	55	29	42
AHI1	1214	1107	835	1040
AHNAK	1951	2049	1023	1424
AHNAK2	281	222	152	209
AHSA1	3620	3401	2877	3651
AIF1L	151	131	80	111
AIFM1	2363	2270	1788	2237
AIFM2	81	88	47	59
AIG1	512	418	345	417
AIMP1	1223	1208	889	1141
AIMP2	1483	1373	1196	1343
AIP	594	562	508	632
AJUBA	134	131	72	84
AK1	367	356	255	312
AK2	1904	1992	1469	1715
AK3	253	239	191	240
AK6	745	703	516	682
AK9	89	95	63	66
AKAP1	2226	2028	1574	1938
AKAP10	952	796	574	830
AKAP11	3358	3155	1999	2489
AKAP12	3951	3785	2691	3418
AKAP13	2881	2493	1697	2123
