"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HNRNPD"	2916.4995413786	-0.904359823632267	0.0705952051257326	-12.810499268634	1.43210140451263e-37	1.48523236662005e-33
"SPEN"	15901.363261607	-0.755567640863945	0.0631424349473006	-11.9660833715797	5.34947749357756e-33	2.77397155429464e-29
"DIAPH1"	1899.99560520757	-0.737533429928902	0.0793509844674659	-9.29457189319803	1.47799783007236e-20	3.83207887392011e-17
"RPL22"	251.338960092363	-1.79236188515952	0.192431966720217	-9.31426267531475	1.22802489430883e-20	3.83207887392011e-17
"EEF1A1"	9683.51957551225	0.598531863234747	0.0658831046402143	9.08475498389628	1.03932505621461e-19	2.15576803160034e-16
"ATP2A2"	4097.64410208912	-0.580402117839845	0.0647755087961406	-8.96020932334885	3.24062633253585e-19	4.44123519910035e-16
"HIST1H2AH"	10201.9525449889	0.549535398238176	0.061290241169621	8.96611577554956	3.07155095446652e-19	4.44123519910035e-16
"POLR2A"	1608.60994739021	-0.788191077366292	0.0880259407863075	-8.95407729046272	3.42588772469413e-19	4.44123519910035e-16
"BRD4"	616.143832084874	-1.06444771974105	0.126949871577886	-8.38478768438919	5.08173933651341e-17	5.85585762877562e-14
"ANKRD52"	1181.7983890479	-0.823010334001816	0.0984096075114858	-8.36310960701432	6.10864140014884e-17	6.16372517489125e-14
"TOP1"	2341.0110207551	-0.615521050702462	0.0736700717598497	-8.35510317824778	6.5375544232768e-17	6.16372517489125e-14
"ACTG1"	18840.2815192209	0.486047981137911	0.058299226741164	8.33712569286483	7.61181372371989e-17	6.57851001072491e-14
"WDR26"	1967.68011165501	-0.633428915484629	0.076161139100866	-8.31695695419853	9.02505121321627e-17	7.19990816402046e-14
"RPL12"	5436.74408797635	0.566385792588076	0.0689309851406497	8.21670822537062	2.09165138798438e-16	1.54946546748471e-13
"RPL23A"	1551.26499595859	0.742382200743216	0.0906210953263203	8.19215656211117	2.56586562238809e-16	1.77403949131913e-13
"TUBA1B"	7865.54454670384	0.490373586115091	0.0599354405519142	8.18169653212685	2.7987516769687e-16	1.81411585261515e-13
"PLEC"	1069.61700967618	-0.83095465445316	0.102934124633384	-8.07268393657336	6.87694598547161e-16	4.19534157737212e-13
"ANP32B"	1198.90796676091	-0.776868092477855	0.096563944430348	-8.04511556627861	8.61640727536707e-16	4.96448665849066e-13
"HIST1H2BO"	4750.75076845578	0.515223173207508	0.0648612101346044	7.9434714853189	1.96599905803972e-15	1.07312506478579e-12
"HSPA8"	32039.1718033324	0.449305009596198	0.0568386963162444	7.90491405883613	2.68118513534565e-15	1.330046163867e-12
"PRR12"	215.521030876672	-1.47423505856081	0.186509145871704	-7.90435799633604	2.69317996733266e-15	1.330046163867e-12
"ARID1A"	876.650536891344	-0.872161947691462	0.111232936915318	-7.84086055693593	4.47469129621093e-15	2.10941015604561e-12
"HIST1H2BL"	2197.66312740735	0.641399822522439	0.08233647407794	7.78998408306005	6.70176368796641e-15	2.89599963366248e-12
"PABPC1"	7057.3229678085	-0.529375876285508	0.0679276572378922	-7.79323029545328	6.53174151418543e-15	2.89599963366248e-12
"HIST3H2BB"	2614.33838841605	1.14165479809758	0.147840544111343	7.72220370913792	1.14335468274201e-14	4.74309256588696e-12
"PSMD8"	2328.77229254898	0.674287677255041	0.0873772743305129	7.71696854155101	1.19129039288631e-14	4.75187410177845e-12
"ANKRD18A"	400.063716607886	-1.04925852195631	0.137070817984431	-7.65486437875848	1.93516358417388e-14	7.43317834498791e-12
"TMEM123"	787.282785802293	0.861335657390166	0.113440804027932	7.59282045619214	3.13016132346756e-14	1.15938939591722e-11
"KMT2B"	525.274103352919	-0.976483742066729	0.129340197137417	-7.5497313571377	4.36156953369529e-14	1.5597875046191e-11
"HIST1H3A"	2829.36843469924	0.659068977765569	0.087669770881931	7.51763089073392	5.5777707221544e-14	1.92823533864878e-11
"RPL32"	12112.2967792948	0.542007060133412	0.0722040876302519	7.50659800465817	6.06837104630677e-14	2.03016374584669e-11
"HIST1H2BK"	4944.25287242485	0.519183382451457	0.0692527232330882	7.49693814500274	6.53257863964952e-14	2.11716790849391e-11
"HIST1H2AB"	1769.59841142582	0.684881602225989	0.0916122297753164	7.47587526147651	7.66916771310616e-14	2.41021025310982e-11
"HNRNPA1"	867.886371471018	0.798020362258849	0.107320644746938	7.43585136057076	1.03896613384755e-13	3.1691522865097e-11
"EP300"	1887.85193977617	-0.678318287973207	0.093459634673995	-7.25787437902267	3.9322047175732e-13	1.16516843217005e-10
"USP14"	1023.43800726578	-0.710641092052788	0.0989631661016235	-7.18086455846656	6.92719525103477e-13	1.99560949856893e-10
"POGZ"	1243.10105133369	-0.650274628788115	0.0909601857571984	-7.1490028672974	8.74105049235359e-13	2.45009282854592e-10
"BPTF"	5330.49870606807	-0.467904181818422	0.0656425097390689	-7.12806660924996	1.01788519810126e-12	2.74355218610554e-10
"WNK2"	409.212479518217	-1.00079503987826	0.140438628162829	-7.12620917029967	1.03170895051698e-12	2.74355218610554e-10
"SETD1A"	765.393082474076	-0.838679538931113	0.118221895065267	-7.0941134759183	1.30183281289193e-12	3.37532702562555e-10
"ANKRD18B"	569.298865757922	-0.832328725027583	0.117565692227625	-7.07969059048338	1.44476672487532e-12	3.65455504967851e-10
"ATXN2L"	910.401149830475	-0.820127973736397	0.116276767048328	-7.05324025216084	1.74798653090028e-12	4.3162781695159e-10
"TRAM1"	1971.84786653827	0.568537178480795	0.0812565773717942	6.99681425024119	2.61848066336651e-12	6.31540999064512e-10
"YLPM1"	2337.79944449304	-0.559633422089788	0.0800576594034142	-6.99037951221843	2.74143645574438e-12	6.4616903369375e-10
