	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
A1BG	29	43	21	16
A2M	3	5	2	4
AAAS	1441	1981	1198	1162
AACS	575	727	467	466
AADAT	98	120	81	71
AAGAB	1046	1276	931	954
AAK1	423	520	359	376
AAMDC	137	237	144	136
AAMP	3524	4712	2962	2808
AAR2	487	681	411	418
AARS	3692	4343	2947	2798
AARS2	408	598	400	291
AASDH	228	221	166	168
AASDHPPT	1749	1962	1413	1403
AASS	410	586	524	497
AATF	1251	1565	1093	1145
ABCA1	6	4	7	1
ABCA2	329	342	363	297
ABCA3	445	532	409	367
ABCA5	242	260	231	192
ABCA7	115	130	120	81
ABCB1	947	1024	789	718
ABCB10	269	401	244	244
ABCB6	260	314	255	230
ABCB7	1258	1328	979	1036
ABCB8	345	486	300	330
ABCB9	97	132	96	85
ABCC1	818	1070	831	782
ABCC10	276	341	256	249
ABCC2	7	4	6	4
ABCC4	818	935	736	753
ABCC5	383	521	356	373
ABCC8	12	12	7	10
ABCD1	60	61	43	48
ABCD3	2419	2735	2039	2104
ABCD4	167	199	139	125
ABCE1	2145	2366	1585	1788
ABCF1	2542	3114	2118	2072
ABCF2	26	49	25	24
ABCF3	470	589	388	377
ABCG2	135	118	74	90
ABHD1	3	1	0	1
ABHD10	843	919	662	673
ABHD11	207	290	195	175
ABHD12	289	317	231	212
ABHD12B	0	0	0	0
ABHD13	131	144	106	132
ABHD14A	39	44	22	33
ABHD14B	115	136	77	104
ABHD15	33	34	24	24
ABHD16A	216	247	196	192
ABHD17B	323	406	303	306
ABHD17C	164	210	134	117
ABHD18	224	265	158	165
ABHD2	485	648	451	455
ABHD3	384	468	328	310
ABHD4	105	137	77	88
ABHD5	189	202	144	131
ABHD6	92	131	84	72
ABHD8	258	354	206	173
ABI1	769	829	533	572
ABI2	469	471	374	341
ABI3BP	1	4	9	2
ABITRAM	136	222	112	138
ABL1	480	668	415	426
ABL2	283	273	196	188
ABLIM1	559	588	426	373
ABR	1023	1239	875	823
ABRACL	673	764	555	629
ABRAXAS1	92	104	68	76
ABRAXAS2	560	575	360	460
ABT1	601	849	516	520
ABTB2	190	204	139	138
AC004706.3	15	39	28	20
AC004832.3	1	6	6	2
AC015871.1	4	5	5	4
AC023055.1	305	318	196	239
AC026464.4	54	97	42	74
AC068831.7	17	41	12	15
AC073896.1	16	38	17	16
AC079447.1	233	258	185	198
AC090004.1	0	0	0	0
AC092073.1	0	1	2	1
AC092835.1	52	70	39	54
AC093512.2	214	183	158	197
AC099489.1	2	5	4	10
AC104109.3	851	1084	776	926
AC117378.1	1643	1928	1083	1296
AC118549.1	392	427	287	289
AC138811.2	1686	2367	1459	1787
AC245033.1	931	1604	1045	1003
ACAA1	482	611	410	367
ACAA2	1420	1508	1156	1100
ACACA	1748	2179	1654	1548
ACACB	70	73	79	81
ACAD10	175	212	172	147
ACAD11	1121	1109	952	884
ACAD8	142	191	115	142
ACAD9	974	1081	805	816
ACADL	220	253	202	203
ACADM	2058	2067	1611	1595
ACADS	308	297	203	193
ACADSB	1275	1231	963	980
ACADVL	790	853	678	651
ACAP2	735	723	580	566
ACAP3	157	232	219	161
ACAT1	3161	3312	2524	2726
ACAT2	2780	3246	2268	2262
ACBD3	1234	1398	924	970
ACBD5	617	782	487	527
ACBD6	459	508	362	357
ACCS	17	15	10	7
ACD	370	532	305	331
ACER3	152	163	137	153
ACIN1	2719	3314	2181	2396
ACLY	7972	9100	6111	6412
ACO1	1082	1294	932	921
ACO2	771	1066	752	717
ACOT13	634	559	493	507
ACOT2	128	187	129	139
ACOT7	2119	2891	1646	1687
ACOT8	289	354	230	254
ACOT9	805	869	608	633
ACOX1	1270	1464	985	1093
ACOX3	107	155	107	103
ACP1	1300	1477	1051	1130
ACP2	312	407	290	298
ACP4	1	1	1	1
ACP6	199	223	162	172
ACSF2	193	188	122	116
ACSF3	330	409	232	246
ACSL1	890	928	769	725
ACSL3	3216	3681	2746	2814
ACSL4	1997	2168	1475	1615
ACSM3	62	52	38	30
ACSS1	304	387	312	264
ACSS2	159	223	128	131
ACSS3	189	211	165	145
ACTA2	430	700	469	451
ACTB	26215	31722	19574	20746
ACTG1	20400	26150	15050	15573
ACTL6A	2022	2417	1633	1661
ACTN1	2007	2716	1630	1686
ACTN2	7	23	11	12
ACTN4	9082	12175	7396	7253
ACTR10	1333	1446	1129	1072
ACTR1A	2516	3190	2078	1976
ACTR1B	214	286	197	175
ACTR2	1819	2289	1567	1637
ACTR3	2666	3033	2063	2238
ACTR3B	59	80	53	47
ACTR5	196	266	170	169
ACTR6	1399	1425	994	1162
ACTR8	721	798	543	565
ACTRT3	41	26	35	33
ACVR1	162	159	158	137
ACVR1B	347	519	382	361
ACVR1C	18	26	14	17
ACVR2A	224	291	216	211
ACVR2B	93	130	89	73
ACYP1	213	212	125	137
ACYP2	60	78	42	38
ADA	286	285	194	199
ADAL	123	107	97	80
ADAM10	853	906	946	853
ADAM11	103	131	114	107
ADAM15	522	676	499	467
ADAM17	259	357	278	276
ADAM19	43	51	37	39
ADAM22	107	103	100	111
ADAM23	180	220	201	177
ADAM9	804	886	859	759
ADAMTS1	4767	6229	4130	4298
ADAMTS13	21	9	34	13
ADAMTS17	35	59	42	26
ADAMTS19	138	185	156	136
ADAMTS2	73	80	75	55
ADAMTS20	51	48	58	57
ADAMTS3	144	162	130	154
ADAMTS6	9	5	8	6
ADAMTS9	32	35	29	28
ADAMTSL4	8	5	5	7
ADAP1	13	24	18	15
ADAP2	49	49	46	32
ADAR	4150	4812	3168	3436
ADARB1	107	199	104	109
ADAT1	135	124	111	106
ADAT2	116	112	90	61
ADAT3	53	100	45	58
ADCK1	114	150	82	86
ADCK2	524	627	467	380
ADCK5	19	29	28	17
ADCY1	37	22	25	30
ADCY3	501	618	504	421
ADCY6	414	556	388	330
ADCY7	73	62	50	55
ADCY9	297	361	303	264
ADCYAP1R1	12	20	9	17
ADD1	1652	2061	1466	1421
ADD2	338	444	238	248
ADD3	1748	1973	1452	1475
ADGRA2	28	38	40	21
ADGRA3	170	195	134	159
ADGRB2	54	48	66	45
ADGRB3	14	11	25	18
ADGRE5	1085	1292	1035	978
ADGRG6	394	394	399	399
ADGRL1	276	285	303	238
ADGRL2	859	983	764	819
ADGRL3	79	98	103	86
ADGRV1	547	609	883	624
ADH5	712	1008	732	634
ADI1	695	1016	561	552
ADIPOR1	448	558	359	385
ADIPOR2	760	976	636	632
ADK	1294	1349	990	1001
ADM	89	152	97	96
ADNP	2255	2584	1962	2012
ADNP2	675	763	567	607
ADO	229	324	166	151
ADORA2A	19	7	11	8
ADORA2B	101	91	86	68
ADPGK	527	676	450	441
ADPRHL1	32	32	33	29
ADPRHL2	525	672	478	464
ADPRM	51	62	34	50
ADRA2C	9	9	13	17
ADRM1	2825	4403	2278	2338
ADSL	2920	3194	2442	2284
ADSS	1122	1515	1032	1028
AEBP2	619	800	508	514
AEN	650	1047	592	698
AFAP1	141	186	144	133
AFAP1L1	115	106	90	75
AFDN	1800	2194	1632	1584
AFF1	627	694	503	529
AFF3	204	236	201	202
AFF4	2216	2312	1698	1901
AFG1L	166	204	151	107
AFG3L2	1193	1422	1101	1004
AFMID	207	298	174	228
AFTPH	321	405	266	246
AGA	297	342	228	260
AGAP1	183	266	200	202
AGAP2	55	59	35	40
AGAP3	548	737	415	424
AGAP6	1	3	4	3
AGAP9	2	3	7	0
AGBL3	20	20	13	7
AGBL5	271	322	219	235
AGER	5	3	3	2
AGFG1	1639	1839	1257	1263
AGFG2	121	174	93	94
