	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
A1BG	67	73	93	141
A2M	73	57	71	109
AAAS	1144	1067	1935	2746
AACS	351	335	397	709
AADAT	322	315	414	613
AAGAB	1498	1410	2110	2827
AAK1	288	240	228	470
AAMDC	255	263	418	608
AAMP	3458	3311	4933	6574
AAR2	549	469	900	1351
AARS	4030	3757	5470	7950
AARS2	1267	1111	1625	2409
AASDH	885	779	1271	1861
AASDHPPT	1510	1391	2318	3200
AASS	1224	1162	1850	2532
AATF	1560	1569	2162	2863
ABCA1	74	86	83	115
ABCA2	390	315	408	701
ABCA3	702	546	728	1248
ABCA5	559	484	733	1111
ABCA7	299	249	285	491
ABCB1	150	156	256	362
ABCB10	1412	1308	2016	2971
ABCB6	331	239	411	648
ABCB7	1560	1393	2337	3403
ABCB8	365	286	429	679
ABCB9	152	133	242	312
ABCC1	1113	828	924	1741
ABCC10	569	426	574	972
ABCC2	59	63	97	113
ABCC4	1657	1519	2204	3198
ABCC5	999	922	1188	1765
ABCC8	54	47	70	93
ABCD1	46	37	67	97
ABCD3	2754	2540	3908	5668
ABCD4	625	580	742	1077
ABCE1	3871	3640	6171	8912
ABCF1	2621	2595	3779	5029
ABCF2	33	31	87	134
ABCF3	618	593	858	1134
ABCG2	64	44	96	154
ABHD1	47	48	59	102
ABHD10	883	834	1324	1848
ABHD11	197	132	225	377
ABHD12	358	321	610	875
ABHD12B	51	35	53	98
ABHD13	96	101	208	281
ABHD14A	99	46	123	155
ABHD14B	162	122	262	318
ABHD15	53	51	67	108
ABHD16A	330	247	535	699
ABHD17B	411	339	625	870
ABHD17C	86	81	108	168
ABHD18	369	310	517	750
ABHD2	423	433	624	945
ABHD3	278	229	470	667
ABHD4	56	57	45	89
ABHD5	501	416	741	1052
ABHD6	155	116	174	263
ABHD8	127	95	118	171
ABI1	540	470	967	1282
ABI2	634	554	897	1351
ABI3BP	39	41	40	69
ABITRAM	148	136	196	299
ABL1	1011	945	1097	1770
ABL2	1153	994	1265	1983
ABLIM1	517	504	892	1217
ABR	460	421	505	831
ABRACL	406	409	641	878
ABRAXAS1	223	210	295	432
ABRAXAS2	527	454	764	1056
ABT1	1036	989	1637	2268
ABTB2	119	103	136	249
AC004706.3	93	77	59	96
AC004832.3	109	68	172	199
AC015871.1	57	61	76	99
AC023055.1	87	74	148	192
AC026464.4	51	46	60	100
AC068831.7	91	102	85	108
AC073896.1	110	96	128	168
AC079447.1	96	73	98	147
AC090004.1	120	79	142	260
AC092073.1	134	118	133	240
AC092835.1	81	72	89	153
AC093512.2	82	70	103	139
AC099489.1	130	105	115	225
AC104109.3	178	134	221	319
AC117378.1	566	558	858	1157
AC118549.1	3911	3577	5596	8270
AC138811.2	524	363	737	1135
AC245033.1	569	404	808	1123
ACAA1	542	481	736	998
ACAA2	552	536	708	1085
ACACA	4340	3888	5074	7724
ACACB	484	413	507	838
ACAD10	338	300	442	650
ACAD11	1534	1312	1873	2801
ACAD8	424	415	559	811
ACAD9	1103	982	1522	2188
ACADL	81	73	98	131
ACADM	1953	1987	3028	4033
ACADS	163	145	262	343
ACADSB	400	375	562	853
ACADVL	1201	1037	1716	2534
ACAP2	870	787	1180	1724
ACAP3	418	368	570	732
ACAT1	2463	2290	3414	4879
ACAT2	2709	2475	4133	5565
ACBD3	1476	1467	2229	2913
ACBD5	344	322	474	647
ACBD6	1127	1037	1757	2453
ACCS	65	62	70	120
ACD	231	221	386	514
ACER3	144	126	234	350
ACIN1	4604	4364	6091	8544
ACLY	9048	7963	13585	19389
ACO1	1151	1093	1729	2399
ACO2	1661	1443	2303	3438
ACOT13	383	350	593	785
ACOT2	140	128	213	278
ACOT7	546	536	639	987
ACOT8	237	182	317	483
ACOT9	570	510	848	1150
ACOX1	978	956	1433	2088
ACOX3	280	254	307	516
ACP1	1107	976	1575	2102
ACP2	254	239	345	585
ACP4	27	25	64	75
ACP6	461	386	606	841
ACSF2	149	123	215	334
ACSF3	461	415	619	896
ACSL1	484	470	778	1053
