	SRR1795409merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795411merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795413merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795415merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795417merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795419merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795421merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795423merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795425merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795427merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795429merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795431merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795433merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795435merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795437merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795439merged_dedupRemoved_cufflinks_counts_fpkm_counts
ENSG00000186092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187634	12.7144	14.978	16.5989	13.1191	18.9426	15.9036	17.5021	14.8406	17.5402	42.4913	32.3493	18.8806	44.9866	17.851	22.8829	26.4038
ENSG00000188976	27.0505	29.5134	35.2882	29.1837	42.0237	38.708	34.4008	25.1127	95.1445	93.3319	115.336	125.014	110.474	109.105	78.6711	86.8967
ENSG00000187961	8.11283	6.71525	8.92221	6.970510000000001	9.42613	7.715789999999998	9.0308	8.80908	5.88288	7.42259	9.04149	7.91558	8.08301	0.0	0.0	10.2181
ENSG00000187583	0.11507	0.06478210000000001	0.0677626	0.143541	0.0	0.074437	0.110519	0.0	0.0	1.58964	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187642	0.0	0.0	0.0	0.0557896	0.0	0.0578552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188290	22.3865	26.5394	25.6555	18.8477	26.7833	23.2826	24.092	22.4416	99.2481	91.8309	76.2679	140.96	113.638	115.737	58.4453	86.1932
ENSG00000187608	5.41884	7.06433	5.36171	5.93727	5.58288	4.20483	7.066160000000001	4.55187	5.92086	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000188157	4.9137	4.32505	3.899480000000001	4.33004	3.79846	4.03346	3.80757	4.4508800000000015	12.0582	18.9873	21.7447	25.0941	10.6034	7.36315	20.9748	18.4309
ENSG00000237330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000131591	3.94263	4.17715	5.00778	4.82059	5.350619999999998	6.00073	6.38407	6.96592	14.8087	17.083	17.3407	15.1813	15.5024	10.7651	6.899780000000002	9.79869
ENSG00000162571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000186891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000186827	0.292731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000078808	18.2718	18.7627	19.7071	18.4493	21.7614	24.7647	23.1395	19.952	49.4589	83.2048	41.2916	55.8676	43.62600000000001	51.2676	69.7018	46.6652
ENSG00000176022	12.6492	13.0434	13.8131	11.6087	14.8212	12.9795	14.3846	13.2984	5.30696	12.0527	10.8751	14.2813	4.86113	6.75127	10.0967	3.0726
ENSG00000184163	0.607945	0.5128189999999999	0.0	0.18938	0.244654	0.196591	0.583313	0.308894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160087	12.8209	11.8401	16.0272	13.1174	16.0203	17.3877	15.3385	14.363	36.9416	24.8588	37.8507	66.2746	45.1176	39.1629	35.1415	39.2119
ENSG00000162572	1.06981	1.00396	1.46996	1.44594	1.29144	1.73016	2.61191	1.47983	0.0	0.0	0.0	0.0	2.23564	0.0	0.0	0.0
ENSG00000131584	6.687	6.72032	7.71402	6.846239999999999	7.340960000000001	7.09903	7.80779	7.4116399999999985	1.87789	1.89551	0.0	1.6845	1.7201400000000002	0.0	2.04158	4.34901
