	SRR1795409merged_dedupRemoved	SRR1795411merged_dedupRemoved	SRR1795413merged_dedupRemoved	SRR1795415merged_dedupRemoved	SRR1795417merged_dedupRemoved	SRR1795419merged_dedupRemoved	SRR1795421merged_dedupRemoved	SRR1795423merged_dedupRemoved	SRR1795425merged_dedupRemoved	SRR1795427merged_dedupRemoved	SRR1795429merged_dedupRemoved	SRR1795431merged_dedupRemoved	SRR1795433merged_dedupRemoved	SRR1795435merged_dedupRemoved	SRR1795437merged_dedupRemoved	SRR1795439merged_dedupRemoved
ENSG00000000003	452	379	434	355	428	464	592	673	13	16	11	10	8	6	26	15
ENSG00000000005	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	253	239	284	189	213	246	343	355	45	65	38	31	31	26	60	52
ENSG00000000457	306	226	231	185	203	222	348	437	5	4	3	0	3	3	4	4
ENSG00000000460	239	210	265	195	237	265	343	430	29	20	6	10	10	9	20	19
ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	1	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0
ENSG00000001036	343	306	332	256	289	314	434	495	27	30	14	7	12	8	25	13
ENSG00000001084	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000001167	453	424	418	392	326	408	531	677	19	18	7	9	6	14	19	13
ENSG00000001460	77	77	78	68	59	76	124	157	6	3	5	2	2	5	6	3
ENSG00000001461	422	327	378	299	284	371	482	620	15	17	5	8	2	5	9	13
ENSG00000001497	456	427	474	394	397	462	603	687	73	61	29	26	33	27	65	67
ENSG00000001561	176	159	166	129	142	193	240	323	20	15	3	7	5	6	12	15
ENSG00000001617	32	25	30	25	18	35	45	72	0	2	0	1	1	0	2	2
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	435	395	449	364	332	440	589	714	7	5	3	6	4	8	7	4
ENSG00000001630	34	29	28	15	12	20	29	24	3	3	2	2	3	2	3	5
ENSG00000001631	81	74	81	54	60	89	100	139	3	1	2	3	3	3	4	4
ENSG00000002016	125	91	117	89	75	102	106	180	0	1	2	1	3	1	3	1
ENSG00000002330	106	109	97	72	90	111	144	172	6	8	2	4	4	3	3	2
