""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	1
"19"	1
"20"	1
"21"	1
"22"	1
"23"	1
"24"	1
"25"	1
"26"	1
"27"	1
"28"	1
"29"	1
"30"	1
"31"	1
"32"	1
"33"	1
"34"	1
"35"	1
"36"	1
"37"	1
"38"	1
"39"	1
"40"	1
"41"	1
"42"	1
"43"	1
"44"	1
"45"	1
"46"	1
"47"	1
"48"	2
"49"	3
"50"	2
"51"	2
"52"	2
"53"	2
"54"	2
"55"	2
"56"	2
"57"	2
"58"	3
"59"	3
"60"	3
"61"	3
"62"	3
"63"	3
"64"	3
"65"	3
"66"	3
"67"	4
"68"	4
"69"	4
"70"	4
"71"	4
"72"	4
"73"	4
"74"	5
"75"	5
"76"	5
"77"	5
"78"	6
"79"	6
"80"	6
"81"	5
"82"	4
"83"	4
"84"	4
"85"	4
"86"	4
"87"	4
"88"	4
"89"	4
"90"	4
"91"	4
"92"	4
"93"	3
"94"	2
"95"	2
"96"	2
"97"	2
"98"	1
"99"	1
"100"	1
"101"	1
"102"	1
"103"	1
"104"	1
"105"	1
"106"	1
"107"	1
"108"	1
"109"	1
"110"	1
"111"	1
"112"	1
"113"	0
"114"	0
"115"	0
"116"	0
"117"	0
"118"	0
"119"	0
"120"	0
"121"	0
"122"	0
"123"	0
"124"	0
"125"	0
"126"	0
"127"	0
"128"	0
"129"	0
"130"	0
"131"	0
"132"	0
"133"	0
"134"	0
"135"	0
"136"	0
"137"	0
"138"	0
"139"	0
"140"	0
"141"	0
"142"	0
"143"	0
"144"	0
"145"	0
"146"	0
"147"	0
"148"	0
"149"	0
"150"	0
"151"	0
"152"	0
"153"	0
"154"	0
"155"	0
"156"	0
"157"	0
"158"	0
"159"	0
"160"	0
"161"	0
"162"	0
"163"	0
"164"	0
"165"	0
"166"	0
"167"	0
"168"	0
"169"	0
"170"	0
"171"	0
"172"	0
"173"	0
"174"	0
"175"	0
"176"	0
"177"	0
"178"	0
"179"	0
"180"	0
"181"	0
"182"	1
"183"	1
"184"	1
"185"	1
"186"	1
