""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	0
"19"	0
"20"	0
"21"	0
"22"	0
"23"	0
"24"	0
"25"	0
"26"	0
"27"	0
"28"	0
"29"	0
"30"	0
"31"	0
"32"	0
"33"	0
"34"	0
"35"	0
"36"	0
"37"	0
"38"	0
"39"	0
"40"	0
"41"	0
"42"	0
"43"	0
"44"	0
"45"	0
"46"	0
"47"	0
"48"	0
"49"	0
"50"	0
"51"	0
"52"	0
"53"	0
"54"	0
"55"	0
"56"	0
"57"	0
"58"	0
"59"	0
"60"	0
"61"	0
"62"	0
"63"	0
"64"	0
"65"	0
"66"	0
"67"	0
"68"	0
"69"	0
"70"	0
"71"	0
"72"	0
"73"	0
"74"	0
"75"	0
"76"	0
"77"	0
"78"	0
"79"	0
"80"	0
"81"	3
"82"	4
"83"	4
"84"	4
"85"	4
"86"	4
"87"	4
"88"	4
"89"	4
"90"	4
"91"	4
"92"	4
"93"	4
"94"	5
"95"	5
"96"	5
"97"	5
"98"	5
"99"	5
"100"	5
"101"	5
"102"	5
"103"	5
"104"	5
"105"	5
"106"	4
"107"	4
"108"	3
"109"	2
"110"	2
"111"	2
"112"	1
"113"	1
"114"	1
"115"	1
"116"	1
"117"	1
"118"	1
"119"	1
"120"	1
"121"	1
"122"	1
"123"	1
"124"	1
"125"	1
"126"	1
"127"	0
"128"	0
"129"	0
"130"	0
"131"	0
"132"	0
"133"	0
"134"	0
"135"	0
"136"	0
"137"	0
"138"	0
"139"	0
"140"	0
"141"	0
"142"	0
"143"	0
"144"	0
"145"	0
"146"	0
"147"	0
"148"	0
"149"	0
"150"	0
"151"	0
"152"	0
"153"	0
"154"	0
"155"	0
"156"	0
"157"	0
"158"	0
"159"	0
"160"	0
"161"	0
"162"	0
"163"	0
"164"	0
"165"	0
"166"	0
"167"	0
"168"	0
"169"	0
"170"	0
"171"	0
"172"	0
"173"	0
"174"	0
"175"	0
"176"	0
"177"	0
"178"	0
"179"	0
"180"	0
"181"	0
"182"	0
"183"	0
"184"	0
"185"	0
"186"	0
