""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	0
"19"	0
"20"	0
"21"	0
"22"	0
"23"	0
"24"	0
"25"	0
"26"	0
"27"	0
"28"	0
"29"	0
"30"	0
"31"	0
"32"	0
"33"	0
"34"	0
"35"	0
"36"	0
"37"	0
"38"	0
"39"	0
"40"	0
"41"	0
"42"	0
"43"	0
"44"	0
"45"	0
"46"	0
"47"	0
"48"	0
"49"	0
"50"	0
"51"	0
"52"	0
"53"	0
"54"	0
"55"	0
"56"	0
"57"	0
"58"	0
"59"	0
"60"	0
"61"	0
"62"	0
"63"	1
"64"	1
"65"	1
"66"	1
"67"	1
"68"	1
"69"	1
"70"	1
"71"	1
"72"	1
"73"	1
"74"	1
"75"	1
"76"	1
"77"	1
"78"	1
"79"	1
"80"	1
"81"	1
"82"	1
"83"	1
"84"	1
"85"	1
"86"	1
"87"	1
"88"	1
"89"	1
"90"	1
"91"	1
"92"	1
"93"	1
"94"	1
"95"	0
"96"	0
"97"	0
"98"	0
"99"	0
"100"	0
"101"	0
"102"	0
"103"	0
"104"	0
"105"	0
"106"	0
"107"	0
"108"	0
"109"	0
"110"	0
"111"	0
"112"	0
"113"	0
"114"	0
"115"	0
"116"	0
"117"	0
"118"	0
"119"	0
"120"	0
"121"	0
"122"	0
"123"	0
"124"	0
"125"	0
"126"	0
"127"	0
"128"	0
"129"	0
"130"	0
"131"	0
"132"	0
"133"	0
"134"	0
"135"	0
"136"	0
"137"	0
"138"	0
"139"	0
"140"	0
"141"	0
"142"	0
"143"	0
"144"	0
"145"	0
"146"	0
"147"	0
"148"	0
"149"	0
"150"	0
"151"	0
"152"	0
"153"	0
"154"	0
"155"	0
"156"	0
"157"	0
"158"	0
"159"	0
"160"	0
"161"	0
"162"	0
"163"	0
"164"	0
"165"	0
"166"	1
"167"	1
"168"	1
"169"	1
"170"	1
"171"	2
"172"	2
"173"	3
"174"	5
"175"	6
"176"	6
"177"	6
"178"	6
"179"	6
"180"	6
"181"	6
"182"	6
"183"	7
"184"	7
"185"	7
"186"	7
