""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	0
"19"	0
"20"	0
"21"	0
"22"	0
"23"	0
"24"	0
"25"	0
"26"	0
"27"	0
"28"	0
"29"	0
"30"	0
"31"	0
"32"	0
"33"	0
"34"	0
"35"	0
"36"	0
"37"	0
"38"	0
"39"	0
"40"	0
"41"	0
"42"	0
"43"	0
"44"	0
"45"	0
"46"	0
"47"	0
"48"	0
"49"	0
"50"	0
"51"	0
"52"	0
"53"	0
"54"	0
"55"	0
"56"	0
"57"	0
"58"	0
"59"	0
"60"	0
"61"	0
"62"	0
"63"	0
"64"	0
"65"	0
"66"	0
"67"	0
"68"	0
"69"	0
"70"	0
"71"	0
"72"	0
"73"	0
"74"	0
"75"	0
"76"	0
"77"	0
"78"	0
"79"	0
"80"	0
"81"	0
"82"	0
"83"	0
"84"	0
"85"	0
"86"	0
"87"	0
"88"	0
"89"	0
"90"	0
"91"	0
"92"	0
"93"	0
"94"	0
"95"	0
"96"	0
"97"	0
"98"	0
"99"	0
"100"	0
"101"	0
"102"	0
"103"	0
"104"	0
"105"	0
"106"	1
"107"	1
"108"	1
"109"	1
"110"	1
"111"	1
"112"	1
"113"	1
"114"	1
"115"	1
"116"	1
"117"	1
"118"	1
"119"	1
"120"	1
"121"	1
"122"	1
"123"	1
"124"	1
"125"	2
"126"	2
"127"	2
"128"	2
"129"	2
"130"	2
"131"	2
"132"	2
"133"	3
"134"	3
"135"	3
"136"	3
"137"	3
"138"	2
"139"	2
"140"	2
"141"	2
"142"	2
"143"	2
"144"	2
"145"	2
"146"	2
"147"	2
"148"	3
"149"	3
"150"	3
"151"	3
"152"	3
"153"	3
"154"	3
"155"	3
"156"	2
"157"	2
"158"	2
"159"	3
"160"	3
"161"	3
"162"	3
"163"	3
"164"	2
"165"	2
"166"	2
"167"	2
"168"	2
"169"	2
"170"	2
"171"	2
"172"	2
"173"	2
"174"	1
"175"	1
"176"	1
"177"	1
"178"	1
"179"	1
"180"	1
"181"	1
"182"	1
"183"	1
"184"	1
"185"	1
"186"	1
