""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	0
"19"	0
"20"	0
"21"	0
"22"	0
"23"	0
"24"	0
"25"	0
"26"	0
"27"	0
"28"	0
"29"	0
"30"	0
"31"	0
"32"	0
"33"	0
"34"	0
"35"	0
"36"	0
"37"	0
"38"	0
"39"	0
"40"	0
"41"	0
"42"	0
"43"	0
"44"	0
"45"	0
"46"	0
"47"	0
"48"	0
"49"	0
"50"	0
"51"	0
"52"	0
"53"	0
"54"	0
"55"	0
"56"	0
"57"	0
"58"	0
"59"	0
"60"	0
"61"	0
"62"	0
"63"	0
"64"	0
"65"	0
"66"	0
"67"	0
"68"	0
"69"	0
"70"	0
"71"	0
"72"	0
"73"	0
"74"	0
"75"	0
"76"	0
"77"	1
"78"	1
"79"	1
"80"	2
"81"	5
"82"	6
"83"	7
"84"	7
"85"	7
"86"	7
"87"	7
"88"	7
"89"	7
"90"	7
"91"	7
"92"	7
"93"	7
"94"	7
"95"	7
"96"	7
"97"	7
"98"	7
"99"	7
"100"	7
"101"	7
"102"	7
"103"	7
"104"	7
"105"	7
"106"	7
"107"	7
"108"	6
"109"	6
"110"	5
"111"	5
"112"	4
"113"	0
"114"	0
"115"	0
"116"	0
"117"	0
"118"	0
"119"	0
"120"	0
"121"	0
"122"	0
"123"	0
"124"	1
"125"	1
"126"	1
"127"	1
"128"	1
"129"	1
"130"	1
"131"	1
"132"	1
"133"	1
"134"	1
"135"	1
"136"	1
"137"	1
"138"	1
"139"	1
"140"	1
"141"	1
"142"	1
"143"	1
"144"	1
"145"	1
"146"	1
"147"	1
"148"	1
"149"	1
"150"	1
"151"	1
"152"	1
"153"	1
"154"	1
"155"	1
"156"	0
"157"	0
"158"	0
"159"	0
"160"	0
"161"	0
"162"	0
"163"	0
"164"	0
"165"	0
"166"	0
"167"	0
"168"	0
"169"	0
"170"	0
"171"	0
"172"	0
"173"	0
"174"	0
"175"	0
"176"	0
"177"	0
"178"	0
"179"	0
"180"	0
"181"	0
"182"	0
"183"	0
"184"	0
"185"	0
"186"	0
